pmcid	forename_lastname	affiliation
7273966	Peng-Hua_Bai	Institute of Plant Protection, Tianjin Academy of Agricultural Sciences, Tianjin, China
7273966	Hong-Min_Wang	College of Economics and Management, Shanxi Agricultural University, Taigu, China
7273966	Bao-Sheng_Liu	Institute of Plant Protection, Tianjin Academy of Agricultural Sciences, Tianjin, China
7273966	Min_Li	Tianjin Key Laboratory of Animal and Plant Resistance, Tianjin Normal University, Tianjin, China
7273966	Bai-Ming_Liu	Institute of Plant Protection, Tianjin Academy of Agricultural Sciences, Tianjin, China
7273966	Xi-Shu_Gu	Institute of Plant Protection, Tianjin Academy of Agricultural Sciences, Tianjin, China
7273966	Rui_Tang	State Key Laboratory for Biology of Plant Diseases and Insect Pests, Institute of Plant Protection, Chinese Academy of Agricultural Sciences, Beijing, China
4683673	Henry_Chung	UNKNOWN
4683673	Sean B_Carroll	UNKNOWN
4270785	Ann M._Ray	Department of Biology, Xavier University, Cincinnati, Ohio, United States of America
4270785	Richard A._Arnold	Entomological Consulting Services, Ltd., Pleasant Hill, California, United States of America
4270785	Ian_Swift	California State Collection of Arthropods, Sacramento, California, United States of America
4270785	Philip A._Schapker	Department of Integrative Biology, Oregon State University, Corvallis, Oregon, United States of America
4270785	Sean_McCann	Department of Biological Sciences, Simon Fraser University, Burnaby, British Columbia, Canada
4270785	Christopher J._Marshall	Department of Integrative Biology, Oregon State University, Corvallis, Oregon, United States of America
4270785	J. Steven_McElfresh	Department of Entomology, University of California Riverside, Riverside, California, United States of America
4270785	Jocelyn G._Millar	Department of Entomology, University of California Riverside, Riverside, California, United States of America
4267778	B&#xE9;r&#xE9;nice_Fassotte	Functional and Evolutionary Entomology, Gembloux Agro-Bio Tech, University of Liege, Gembloux, Belgium
4267778	Christophe_Fischer	Unit of Analysis Quality and Risk, Laboratory of Analytical Chemistry, Gembloux Agro-Bio Tech, University of Liege, Gembloux, Belgium
4267778	Delphine_Durieux	Functional and Evolutionary Entomology, Gembloux Agro-Bio Tech, University of Liege, Gembloux, Belgium
4267778	Georges_Lognay	Unit of Analysis Quality and Risk, Laboratory of Analytical Chemistry, Gembloux Agro-Bio Tech, University of Liege, Gembloux, Belgium
4267778	Eric_Haubruge	Functional and Evolutionary Entomology, Gembloux Agro-Bio Tech, University of Liege, Gembloux, Belgium
4267778	Fr&#xE9;d&#xE9;ric_Francis	Functional and Evolutionary Entomology, Gembloux Agro-Bio Tech, University of Liege, Gembloux, Belgium
4267778	Fran&#xE7;ois J._Verheggen	Functional and Evolutionary Entomology, Gembloux Agro-Bio Tech, University of Liege, Gembloux, Belgium
