pmcid	forename_lastname	affiliation
7469201	Yan_Wang	Key Laboratory of Plant Protection Resources and Pest Management of the Ministry of Education, College of Plant Protection, Northwest A&amp;F University, Yangling 712100, China; 
7469201	Wu_Dai	Key Laboratory of Plant Protection Resources and Pest Management of the Ministry of Education, College of Plant Protection, Northwest A&amp;F University, Yangling 712100, China; 
7469212	Vivek_Srivastava	Department of Forest Resources Management, The University of British Columbia, Vancouver, BC V6T 1Z4, Canada; 
7469212	Wanwan_Liang	Center for Geospatial Analytics, North Carolina State University, Raleigh, NC 27695, USA; 
7469212	Melody A._Keena	Northern Research Station, USDA Forest Service, Hamden, CT 06514, USA; 
7469212	Amanda D._Roe	Great Lakes Forestry Center, Natural Resources Canada, Sault Ste. Marie, ON P6A 2E5, Canada; 
7469212	Richard C._Hamelin	Department of Forest and Conservation Sciences, The University of British Columbia, Vancouver, BC V6T 1Z4, Canada; 
7469212	Verena C._Griess	Department of Forest Resources Management, The University of British Columbia, Vancouver, BC V6T 1Z4, Canada; 
7333248	Ayushi_Gupta	<institution>Plant-Insect Interaction Group, International Centre for Genetic Engineering and Biotechnology</institution>, <addr-line>New Delhi</addr-line>, <country>India</country>
7333248	Suresh_Nair	<institution>Plant-Insect Interaction Group, International Centre for Genetic Engineering and Biotechnology</institution>, <addr-line>New Delhi</addr-line>, <country>India</country>
7349294	Yan_Wang	Key Laboratory of Plant Protection Resources and Pest Integrated Management of the Ministry of Education, College of Plant Protection, Northwest A&amp;F University, Yangling 712100, Shaanxi, China;  (W.W.)
7349294	Junru_Zhang	Key Laboratory of Plant Protection Resources and Pest Integrated Management of the Ministry of Education, College of Plant Protection, Northwest A&amp;F University, Yangling 712100, Shaanxi, China;  (W.W.)
7349294	Wanshan_Wang	Key Laboratory of Plant Protection Resources and Pest Integrated Management of the Ministry of Education, College of Plant Protection, Northwest A&amp;F University, Yangling 712100, Shaanxi, China;  (W.W.)
7349294	Jolanta_Bro&#x17C;ek	Faculty of Natural Science, Institute of Biology, Biotechnology and Environmental Protection, University of Silesia in Katowice, Bankowa 9, 40-007 Katowice, Poland; 
7349294	Wu_Dai	Key Laboratory of Plant Protection Resources and Pest Integrated Management of the Ministry of Education, College of Plant Protection, Northwest A&amp;F University, Yangling 712100, Shaanxi, China;  (W.W.)
7240479	David_Renault	Universit&#xE9; de Rennes 1, CNRS, ECOBIO (Ecosyst&#xE8;mes, Biodiversit&#xE9;, &#xC9;volution) UMR 6553, F-35000 Rennes, France; ; Tel.: +33-(0)2-2323-6627
7071726	Michael E._Sparks	0000 0004 0404 0958grid.463419.dUSDA-ARS Invasive Insect Biocontrol and Behavior Laboratory, Beltsville, MD 20705 USA 
7071726	Raman_Bansal	0000 0004 0404 0958grid.463419.dUSDA-ARS San Joaquin Valley Agricultural Sciences Center, Parlier, CA 93648 USA 
7071726	Joshua B._Benoit	0000 0001 2179 9593grid.24827.3bDepartment of Biological Sciences, University of Cincinnati, Cincinnati, OH 45221 USA 
7071726	Michael B._Blackburn	0000 0004 0404 0958grid.463419.dUSDA-ARS Invasive Insect Biocontrol and Behavior Laboratory, Beltsville, MD 20705 USA 
7071726	Hsu_Chao	0000 0001 2160 926Xgrid.39382.33Department of Human and Molecular Genetics, Human Genome Sequencing Center, Baylor College of Medicine, Houston, TX 77030 USA 
7071726	Mengyao_Chen	0000 0001 0941 7177grid.164295.dDepartment of Entomology, University of Maryland, College Park, MD 20742 USA 
7071726	Sammy_Cheng	0000 0004 1936 9174grid.16416.34Department of Biology, University of Rochester, Rochester, NY 14627 USA 
7071726	Christopher_Childers	0000 0001 2113 2895grid.483014.aUSDA-ARS National Agricultural Library, Beltsville, MD 20705 USA 
7071726	Huyen_Dinh	0000 0001 2160 926Xgrid.39382.33Department of Human and Molecular Genetics, Human Genome Sequencing Center, Baylor College of Medicine, Houston, TX 77030 USA 
7071726	Harsha Vardhan_Doddapaneni	0000 0001 2160 926Xgrid.39382.33Department of Human and Molecular Genetics, Human Genome Sequencing Center, Baylor College of Medicine, Houston, TX 77030 USA 
7071726	Shannon_Dugan	0000 0001 2160 926Xgrid.39382.33Department of Human and Molecular Genetics, Human Genome Sequencing Center, Baylor College of Medicine, Houston, TX 77030 USA 
7071726	Elena N._Elpidina	0000 0001 2342 9668grid.14476.30A.N. Belozersky Institute of Physico-Chemical Biology, Moscow State University, Moscow, 119911 Russia 
7071726	David W._Farrow	0000 0001 2179 9593grid.24827.3bDepartment of Biological Sciences, University of Cincinnati, Cincinnati, OH 45221 USA 
7071726	Markus_Friedrich	0000 0001 1456 7807grid.254444.7Department of Biological Sciences, Wayne State University, Detroit, MI 48201 USA 
7071726	Richard A._Gibbs	0000 0001 2160 926Xgrid.39382.33Department of Human and Molecular Genetics, Human Genome Sequencing Center, Baylor College of Medicine, Houston, TX 77030 USA 
7071726	Brantley_Hall	0000 0001 0694 4940grid.438526.eDepartment of Biochemistry, Virginia Tech, Blacksburg, VA 24061 USA 
7071726	Yi_Han	0000 0001 2160 926Xgrid.39382.33Department of Human and Molecular Genetics, Human Genome Sequencing Center, Baylor College of Medicine, Houston, TX 77030 USA 
7071726	Richard W._Hardy	0000 0001 0790 959Xgrid.411377.7Department of Biology, Indiana University, Bloomington, IN 47405 USA 
7071726	Christopher J._Holmes	0000 0001 2179 9593grid.24827.3bDepartment of Biological Sciences, University of Cincinnati, Cincinnati, OH 45221 USA 
