pmcid	forename_lastname	affiliation
6276054	A._Giraldo	Westerdijk Fungal Biodiversity Institute, Uppsalalaan 8, 3584 CT Utrecht, the Netherlands
6276054	P.W._Crous	Westerdijk Fungal Biodiversity Institute, Uppsalalaan 8, 3584 CT Utrecht, the Netherlands
3905950	Paul M._Kirk	Mycology Section, Royal Botanic Gardens, Kew, Surrey TW9 3DS, UK;
3905950	Joost A._Stalpers	CBS-KNAW Fungal Biodiversity Centre, Uppsalalaan 8, 3584 CT, Utrecht, The Netherlands
3905950	Uwe_Braun	Martin-Luther-Universit&#xE4;t, Institut f&#xFC;r Biologie, Bereich Geobotanik und Botanischer Garten, Herbarium, Neuwerk 21, 06099 Halle (Saale), Germany
3905950	Pedro W._Crous	CBS-KNAW Fungal Biodiversity Centre, Uppsalalaan 8, 3584 CT, Utrecht, The Netherlands
3905950	Karen_Hansen	Department of Botany, Swedish Museum of Natural History (S), P.O. Box 50007, Svante Arrhenius v&#xE4;g 7, SE-104 05 Stockholm, Sweden
3905950	David L._Hawksworth	Mycology Section, Royal Botanic Gardens, Kew, Surrey TW9 3DS, UK;
3905950	Kevin D._Hyde	Institute of Excellence in Fungal Research, and School of Science, Mae Fah Luang University, Chiang Rai, Thailand
3905950	Robert_L&#xFC;cking	Science &amp; Education, The Field Museum, 1400 S. Lake Shore Drive, Chicago, IL 60605, USA
3905950	Thorsten H._Lumbsch	Science &amp; Education, The Field Museum, 1400 S. Lake Shore Drive, Chicago, IL 60605, USA
3905950	Amy Y._Rossman	Systematic Mycology &amp; Microbiology Laboratory, USDA-ARS, Beltsville, MD 20705 USA
3905950	Keith A._Seifert	Biodiversity (Mycology), Agriculture &amp; Agri-Food Canada, Ottawa, Ontario K1A 0C6 Canada
3905950	Mark_Stadler	Helmholtz Centre for Infection Research GmbH, Dept. Microbial Drugs, Inhoffenstra&#xDF;e 7, 38124 Braunschweig, Germany
3724830	Manpreet K._Dhami	Centre for Microbial Innovation, School of Biological Sciences, The University of Auckland, Auckland, New Zealand
3724830	Bevan S._Weir	Landcare Research, Auckland, New Zealand
3724830	Michael W._Taylor	Centre for Microbial Innovation, School of Biological Sciences, The University of Auckland, Auckland, New Zealand
3724830	Jacqueline R._Beggs	School of Biological Sciences, The University of Auckland, Auckland, New Zealand
