pmcid	forename_lastname	affiliation
7430709	Renfu_Zhang	College of Agronomy, Key Laboratory of the Pest Monitoring and Safety Control of Crops and Forests of Xinjiang Uygur Autonomous Region, Xinjiang Agricultural University, Urumqi, Xinjiang, PR China
7430709	Wei_Wang	Institute of Plant Protection, Xinjiang Academy of Agricultural Sciences, Key Laboratory of Intergraded Management of Harmful Crop Vermin of China North-western Oasis, Ministry of Agriculture, Urumqi, Xinjiang, PR China
7430709	Haiyang_Liu	Institute of Plant Protection, Xinjiang Academy of Agricultural Sciences, Key Laboratory of Intergraded Management of Harmful Crop Vermin of China North-western Oasis, Ministry of Agriculture, Urumqi, Xinjiang, PR China
7430709	Dengyuan_Wang	College of Agronomy, Key Laboratory of the Pest Monitoring and Safety Control of Crops and Forests of Xinjiang Uygur Autonomous Region, Xinjiang Agricultural University, Urumqi, Xinjiang, PR China
7430709	Ju_Yao	Institute of Plant Protection, Xinjiang Academy of Agricultural Sciences, Key Laboratory of Intergraded Management of Harmful Crop Vermin of China North-western Oasis, Ministry of Agriculture, Urumqi, Xinjiang, PR China
7469162	Mar&#xED;a_Quintana-Gonz&#xE1;lez de Chaves	Departamento de Protecci&#xF3;n Vegetal, Instituto Canario de Investigaciones Agrarias (ICIA), Crta. El Boquer&#xF3;n s/n, 38270 La Laguna, Spain;  (F.S.)
7469162	Gabriela R._Teresani	APTA-Instituto Agron&#xF4;mico (IAC)-Centro de Pesquisa e Desenvolvimento de Fitossanidade, Campinas 13020-902, Brazil; 
7469162	Estrella_Hern&#xE1;ndez-Su&#xE1;rez	Departamento de Protecci&#xF3;n Vegetal, Instituto Canario de Investigaciones Agrarias (ICIA), Crta. El Boquer&#xF3;n s/n, 38270 La Laguna, Spain;  (F.S.)
7469162	Edson_Bertolini	Faculdade de Agronomia, Departamento de Fitosanidade, Universidade Federal do Rio Grande do Sul (UFRGS), Avenida Bento Gon&#xE7;alves 7712, Porto Alegre 91540-000, Brazil; 
7469162	Ar&#xE1;nzazu_Moreno	Instituto de Ciencias Agrarias, Consejo Superior de Investigaciones Cient&#xED;ficas (CSIC), Calle Serrano, 115, 28006 Madrid, Spain;  (A.F.)
7469162	Alberto_Fereres	Instituto de Ciencias Agrarias, Consejo Superior de Investigaciones Cient&#xED;ficas (CSIC), Calle Serrano, 115, 28006 Madrid, Spain;  (A.F.)
7469162	Mariano_Cambra	Instituto Valenciano de Investigaciones Agrarias (IVIA), Centro de Protecci&#xF3;n Vegetal y Biotecnolog&#xED;a, Carretera CV-315, Km 10.7, 46113 Moncada, Spain; 
7469162	Felipe_Siverio	Departamento de Protecci&#xF3;n Vegetal, Instituto Canario de Investigaciones Agrarias (ICIA), Crta. El Boquer&#xF3;n s/n, 38270 La Laguna, Spain;  (F.S.)
7414796	Andr&#xE9; Cirilo de S_Almeida	Federal Goiano Institute, Campus Uruta&#xED;, Rodovia Prof. Geraldo Silva Nascimento, Uruta&#xED;, GO, Brazil
7414796	Fl&#xE1;vio Gon&#xE7;alves_de Jesus	Federal Goiano Institute, Campus Uruta&#xED;, Rodovia Prof. Geraldo Silva Nascimento, Uruta&#xED;, GO, Brazil
7414796	Jos&#xE9; Alexandre F_Barrigossi	Embrapa Rice and Beans, Rodovia, Santo Ant&#xF4;nio de Goi&#xE1;s, GO, Brazil
7469201	Yan_Wang	Key Laboratory of Plant Protection Resources and Pest Management of the Ministry of Education, College of Plant Protection, Northwest A&amp;F University, Yangling 712100, China; 
7469201	Wu_Dai	Key Laboratory of Plant Protection Resources and Pest Management of the Ministry of Education, College of Plant Protection, Northwest A&amp;F University, Yangling 712100, China; 
7411831	Elisa_Garzo	Departamento de Protecci&#xF3;n Vegetal, Instituto de Ciencias Agrarias (ICA), Consejo Superior de Investigaciones Cient&#xED;ficas (CSIC), 28006 Madrid, Spain;  (A.F.)
7411831	Ar&#xE1;nzazu_Moreno	Departamento de Protecci&#xF3;n Vegetal, Instituto de Ciencias Agrarias (ICA), Consejo Superior de Investigaciones Cient&#xED;ficas (CSIC), 28006 Madrid, Spain;  (A.F.)
7411831	Mar&#xED;a_Plaza	Departamento de Protecci&#xF3;n Vegetal, Instituto de Ciencias Agrarias (ICA), Consejo Superior de Investigaciones Cient&#xED;ficas (CSIC), 28006 Madrid, Spain;  (A.F.)
7411831	Alberto_Fereres	Departamento de Protecci&#xF3;n Vegetal, Instituto de Ciencias Agrarias (ICA), Consejo Superior de Investigaciones Cient&#xED;ficas (CSIC), 28006 Madrid, Spain;  (A.F.)
7351760	Wen-bin_Chen	0000 0004 1760 2876grid.256111.0State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, Institute of Applied Ecology, Fujian Agriculture and Forestry University, Fuzhou, China 
7351760	Liette_Vasseur	0000 0004 1760 2876grid.256111.0State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, Institute of Applied Ecology, Fujian Agriculture and Forestry University, Fuzhou, China 
7351760	Shuai-qi_Zhang	0000 0004 1760 2876grid.256111.0State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, Institute of Applied Ecology, Fujian Agriculture and Forestry University, Fuzhou, China 
7351760	Han-fang_Zhang	0000 0004 1760 2876grid.256111.0State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, Institute of Applied Ecology, Fujian Agriculture and Forestry University, Fuzhou, China 
7351760	Jun_Mao	0000 0004 1760 2876grid.256111.0State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, Institute of Applied Ecology, Fujian Agriculture and Forestry University, Fuzhou, China 
7351760	Tian-sheng_Liu	0000 0004 1760 2876grid.256111.0State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, Institute of Applied Ecology, Fujian Agriculture and Forestry University, Fuzhou, China 
7351760	Xian-yong_Zhou	0000 0004 1760 2876grid.256111.0State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, Institute of Applied Ecology, Fujian Agriculture and Forestry University, Fuzhou, China 
7351760	Xin_Wang	0000 0004 1760 2876grid.256111.0State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, Institute of Applied Ecology, Fujian Agriculture and Forestry University, Fuzhou, China 
7351760	Jing_Zhang	0000 0004 1760 2876grid.256111.0State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, Institute of Applied Ecology, Fujian Agriculture and Forestry University, Fuzhou, China 
7351760	Min-sheng_You	0000 0004 1760 2876grid.256111.0State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, Institute of Applied Ecology, Fujian Agriculture and Forestry University, Fuzhou, China 
7351760	Geoff M._Gurr	0000 0004 1760 2876grid.256111.0State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, Institute of Applied Ecology, Fujian Agriculture and Forestry University, Fuzhou, China 
7338578	Yang_Zeng	Department of Plant Protection, Institute of Vegetables and Flowers, Chinese Academy of Agricultural Sciences, Beijing, China
7338578	Austin_Merchant	Department of Entomology, University of Kentucky, Lexington, KY, United States
7338578	Qingjun_Wu	Department of Plant Protection, Institute of Vegetables and Flowers, Chinese Academy of Agricultural Sciences, Beijing, China
7338578	Shaoli_Wang	Department of Plant Protection, Institute of Vegetables and Flowers, Chinese Academy of Agricultural Sciences, Beijing, China
7338578	Lan_Kong	Department of Computer Science, Eastern Kentucky University, Richmond, KY, United States
7338578	Xuguo_Zhou	Department of Entomology, University of Kentucky, Lexington, KY, United States
7338578	Wen_Xie	Department of Plant Protection, Institute of Vegetables and Flowers, Chinese Academy of Agricultural Sciences, Beijing, China
7338578	Youjun_Zhang	Department of Plant Protection, Institute of Vegetables and Flowers, Chinese Academy of Agricultural Sciences, Beijing, China
7404982	Mikel_Dom&#xED;nguez-Arrizabalaga	Institute for Multidisciplinary Research in Applied Biology-IMAB, Universidad P&#xFA;blica de Navarra, 31192 Mutilva, Navarra, Spain;  (M.V.)
7404982	Maite_Villanueva	Institute for Multidisciplinary Research in Applied Biology-IMAB, Universidad P&#xFA;blica de Navarra, 31192 Mutilva, Navarra, Spain;  (M.V.)
7404982	Baltasar_Escriche	Departamento de Gen&#xE9;tica/ERI BioTecMed, Universitat de Val&#xE8;ncia, Burjassot, 46100 Val&#xE8;ncia, Spain; 
7404982	Carmen_Anc&#xED;n-Azpilicueta	Departamento de Ciencias, Universidad P&#xFA;blica de Navarra, 31006 Pamplona, Spain; 
7404982	Primitivo_Caballero	Institute for Multidisciplinary Research in Applied Biology-IMAB, Universidad P&#xFA;blica de Navarra, 31192 Mutilva, Navarra, Spain;  (M.V.)
7345159	Dawrin_Pech-Puch	Centro de Investigaci&#xF3;ns Cient&#xED;ficas Avanzadas (CICA) e Departamento de Qu&#xED;mica, Facultade de Ciencias, AE CICA-INIBIC, Universidade da Coru&#xF1;a, 15071 A Coru&#xF1;a, Spain;  (M.P.-P.)
7345159	Mar_P&#xE9;rez-Povedano	Centro de Investigaci&#xF3;ns Cient&#xED;ficas Avanzadas (CICA) e Departamento de Qu&#xED;mica, Facultade de Ciencias, AE CICA-INIBIC, Universidade da Coru&#xF1;a, 15071 A Coru&#xF1;a, Spain;  (M.P.-P.)
7345159	Marta_Martinez-Guitian	Servicio de Microbiolox&#xED;a, Instituto de Investigaci&#xF3;n Biom&#xE9;dica, AE CICA-INIBIC Complexo Hospitalario Universitario A Coru&#xF1;a, 15006 A Coru&#xF1;a, Spain;  (G.B.)
7345159	Cristina_Lasarte-Monterrubio	Servicio de Microbiolox&#xED;a, Instituto de Investigaci&#xF3;n Biom&#xE9;dica, AE CICA-INIBIC Complexo Hospitalario Universitario A Coru&#xF1;a, 15006 A Coru&#xF1;a, Spain;  (G.B.)
7345159	Juan Carlos_V&#xE1;zquez-Ucha	Servicio de Microbiolox&#xED;a, Instituto de Investigaci&#xF3;n Biom&#xE9;dica, AE CICA-INIBIC Complexo Hospitalario Universitario A Coru&#xF1;a, 15006 A Coru&#xF1;a, Spain;  (G.B.)
7345159	Germ&#xE1;n_Bou	Servicio de Microbiolox&#xED;a, Instituto de Investigaci&#xF3;n Biom&#xE9;dica, AE CICA-INIBIC Complexo Hospitalario Universitario A Coru&#xF1;a, 15006 A Coru&#xF1;a, Spain;  (G.B.)
7345159	Jaime_Rodr&#xED;guez	Centro de Investigaci&#xF3;ns Cient&#xED;ficas Avanzadas (CICA) e Departamento de Qu&#xED;mica, Facultade de Ciencias, AE CICA-INIBIC, Universidade da Coru&#xF1;a, 15071 A Coru&#xF1;a, Spain;  (M.P.-P.)
7345159	Alejandro_Beceiro	Servicio de Microbiolox&#xED;a, Instituto de Investigaci&#xF3;n Biom&#xE9;dica, AE CICA-INIBIC Complexo Hospitalario Universitario A Coru&#xF1;a, 15006 A Coru&#xF1;a, Spain;  (G.B.)
7345159	Carlos_Jimenez	Centro de Investigaci&#xF3;ns Cient&#xED;ficas Avanzadas (CICA) e Departamento de Qu&#xED;mica, Facultade de Ciencias, AE CICA-INIBIC, Universidade da Coru&#xF1;a, 15071 A Coru&#xF1;a, Spain;  (M.P.-P.)
7348700	Kemal_B&#xFC;y&#xFC;kg&#xFC;zel	Department of Biology, Faculty of Arts and Science, Zonguldak B&#xFC;lent Ecevit University, 67100 Zonguldak, Turkey; 
7348700	Ender_B&#xFC;y&#xFC;kg&#xFC;zel	Department of Molecular Biology and Genetics, Faculty of Arts and Science, Zonguldak B&#xFC;lent Ecevit University, 67100 Zonguldak, Turkey; 
7348700	Ewa_Chudzi&#x144;ska	Department of Genetics, Faculty of Biology, Adam Mickiewicz University, 61-614 Pozna&#x144;, Poland;  (A.L.-W.)
7348700	Anetta_Lewandowska-Wosik	Department of Genetics, Faculty of Biology, Adam Mickiewicz University, 61-614 Pozna&#x144;, Poland;  (A.L.-W.)
7348700	Renata_Gaj	Department of Agricultural Chemistry &amp; Environmental Biogeochemistry, Poznan University of Life Science, 60-637 Pozna&#x144;, Poland; 
7348700	Zbigniew_Adamski	Electron and Confocal Microscope Laboratory, Faculty of Biology, Adam Mickiewicz University, 61-614 Pozna&#x144;, Poland
7404234	Katie_Reding	Department of Entomology, University of Maryland, College Park, Maryland 20742
7404234	Leslie_Pick	Department of Entomology, University of Maryland, College Park, Maryland 20742
7237031	Jeffrey A._Fabrick	U.S. Department of Agriculture (USDA), Agricultural Research Service (ARS), U.S. Arid Land Agricultural Research Center, Maricopa, AZ, United States of America
7237031	Andrea J._Yool	Adelaide Medical School, University of Adelaide, Adelaide, SA, Australia
7237031	Dale W._Spurgeon	U.S. Department of Agriculture (USDA), Agricultural Research Service (ARS), U.S. Arid Land Agricultural Research Center, Maricopa, AZ, United States of America
7247421	Fan_Li	<institution>State Key Laboratory of Crop Stress Biology for Arid Areas and Key Laboratory of Integrated Pest Management on Crops in Northwestern Loess Plateau of Ministry of Agriculture, Northwest A&amp;F University</institution>, <addr-line>Yangling</addr-line>, <country>China</country>
7247421	Ke_Li	<institution>State Key Laboratory of Crop Stress Biology for Arid Areas and Key Laboratory of Integrated Pest Management on Crops in Northwestern Loess Plateau of Ministry of Agriculture, Northwest A&amp;F University</institution>, <addr-line>Yangling</addr-line>, <country>China</country>
7247421	Li-Juan_Wu	<institution>State Key Laboratory of Crop Stress Biology for Arid Areas and Key Laboratory of Integrated Pest Management on Crops in Northwestern Loess Plateau of Ministry of Agriculture, Northwest A&amp;F University</institution>, <addr-line>Yangling</addr-line>, <country>China</country>
7247421	Yong-Liang_Fan	<institution>State Key Laboratory of Crop Stress Biology for Arid Areas and Key Laboratory of Integrated Pest Management on Crops in Northwestern Loess Plateau of Ministry of Agriculture, Northwest A&amp;F University</institution>, <addr-line>Yangling</addr-line>, <country>China</country>
7247421	Tong-Xian_Liu	<institution>State Key Laboratory of Crop Stress Biology for Arid Areas and Key Laboratory of Integrated Pest Management on Crops in Northwestern Loess Plateau of Ministry of Agriculture, Northwest A&amp;F University</institution>, <addr-line>Yangling</addr-line>, <country>China</country>
7290861	Michele_Carmo-Sousa	Fund for Citrus Protection, FUNDECITRUS, Araraquara, S&#xE3;o Paulo 14807040, Brazil;  (N.A.W.)
