pmcid	forename_lastname	affiliation
7291294	Gyan P._Harwood	Department of Entomology, University of Illinois at Urbana-Champaign, Urbana, IL 61801, USA; 
7291294	Adam G._Dolezal	Department of Entomology, University of Illinois at Urbana-Champaign, Urbana, IL 61801, USA; 
7186362	Jiakang_Ru	Department of Biology, School of Life Science, Beijing Institute of Technology, Beijing, China
7186362	Yixin_Huo	Department of Biology, School of Life Science, Beijing Institute of Technology, Beijing, China
7186362	Yu_Yang	Department of Biology, School of Life Science, Beijing Institute of Technology, Beijing, China
7246199	Lawrence W._Sheppard	1Department of Ecology and Evolutionary Biology and Kansas Biological SurveyUniversity of KansasLawrenceKSUSA
7246199	Brandon_Mechtley	2School of Arts, Media and EngineeringArizona State UniversityTempeAZUSA
7246199	Jonathan A._Walter	3Department of Environmental SciencesUniversity of VirginiaCharlottesvilleVAUSA
7246199	Daniel C._Reuman	1Department of Ecology and Evolutionary Biology and Kansas Biological SurveyUniversity of KansasLawrenceKSUSA
7031503	Alexandria N._Payne	0000 0004 4687 2082grid.264756.4Department of Entomology, Texas A&amp;M University, 2475 TAMU, College Station, TX 77843-2475 USA 
7031503	Tonya F._Shepherd	0000 0004 4687 2082grid.264756.4Department of Entomology, Texas A&amp;M University, 2475 TAMU, College Station, TX 77843-2475 USA 
7031503	Juliana_Rangel	0000 0004 4687 2082grid.264756.4Department of Entomology, Texas A&amp;M University, 2475 TAMU, College Station, TX 77843-2475 USA 
6965105	Christopher_Edomwande	0000 0001 2222 4564grid.258894.aLake Forest College, Department of Biology, Lake Forest, IL 60045 USA 
6965105	Flavia_Barbosa	0000 0001 2222 4564grid.258894.aLake Forest College, Department of Biology, Lake Forest, IL 60045 USA 
6903733	Andrea_Osimani	Dipartimento di Scienze Agrarie, Alimentari ed Ambientali, Universit&#xE0; Politecnica delle Marche, Ancona, Italy
6903733	Vesna_Milanovi&#x107;	Dipartimento di Scienze Agrarie, Alimentari ed Ambientali, Universit&#xE0; Politecnica delle Marche, Ancona, Italy
6903733	Andrea_Roncolini	Dipartimento di Scienze Agrarie, Alimentari ed Ambientali, Universit&#xE0; Politecnica delle Marche, Ancona, Italy
6903733	Paola_Riolo	Dipartimento di Scienze Agrarie, Alimentari ed Ambientali, Universit&#xE0; Politecnica delle Marche, Ancona, Italy
6903733	Sara_Ruschioni	Dipartimento di Scienze Agrarie, Alimentari ed Ambientali, Universit&#xE0; Politecnica delle Marche, Ancona, Italy
6903733	Nunzio_Isidoro	Dipartimento di Scienze Agrarie, Alimentari ed Ambientali, Universit&#xE0; Politecnica delle Marche, Ancona, Italy
6903733	Nino_Loreto	Dipartimento di Scienze Agrarie, Alimentari ed Ambientali, Universit&#xE0; Politecnica delle Marche, Ancona, Italy
6903733	Elena_Franciosi	Food Quality and Nutrition Department (DQAN), Research and Innovation Center, Fondazione Edmund Mach (FEM), San Michele all&#x2019;Adige, Italy
6903733	Kieran_Tuohy	Food Quality and Nutrition Department (DQAN), Research and Innovation Center, Fondazione Edmund Mach (FEM), San Michele all&#x2019;Adige, Italy
6903733	Ike_Olivotto	Dipartimento di Scienze della Vita e dell'Ambiente, Universit&#xE0; Politecnica delle Marche, Ancona, Italy
6903733	Matteo_Zarantoniello	Dipartimento di Scienze della Vita e dell'Ambiente, Universit&#xE0; Politecnica delle Marche, Ancona, Italy
6903733	Federica_Cardinali	Dipartimento di Scienze Agrarie, Alimentari ed Ambientali, Universit&#xE0; Politecnica delle Marche, Ancona, Italy
6903733	Cristiana_Garofalo	Dipartimento di Scienze Agrarie, Alimentari ed Ambientali, Universit&#xE0; Politecnica delle Marche, Ancona, Italy
6903733	Lucia_Aquilanti	Dipartimento di Scienze Agrarie, Alimentari ed Ambientali, Universit&#xE0; Politecnica delle Marche, Ancona, Italy
