pmcid	forename_lastname	affiliation
7490381	Suk-Ling_Wee	grid.412113.40000 0004 1937 1557Department of Biological Sciences and Biotechnology, Faculty of Science and Technology, Universiti Kebangsaan Malaysia, 43600 Bangi, Selangor Malaysia 
7490381	Anthony R._Clarke	grid.1024.70000000089150953School of Biology and Environmental Science, Queensland University of Technology (QUT), GPO Box 2434, Brisbane, Qld 4001 Australia 
7479100	Saleh Mohammad_Adnan	grid.1004.50000 0001 2158 5405Applied BioSciences, Macquarie University, Sydney, NSW 2109 Australia 
7479100	Iffat_Farhana	grid.1004.50000 0001 2158 5405Applied BioSciences, Macquarie University, Sydney, NSW 2109 Australia 
7479100	Soo Jean_Park	grid.1004.50000 0001 2158 5405Applied BioSciences, Macquarie University, Sydney, NSW 2109 Australia 
7479100	Polychronis_Rempoulakis	Biosecurity and Food Safety, NSW Department of Primary Industries, Gosford, Australia 
7479100	Phillip W._Taylor	grid.1004.50000 0001 2158 5405Applied BioSciences, Macquarie University, Sydney, NSW 2109 Australia 
7283806	Mariana_Mateos	Departments of Ecology and Conservation Biology, and Wildlife and Fisheries Sciences, Texas A&amp;M University, College Station, TX, United States
7283806	Humberto_Martinez Montoya	Laboratorio de Gen&#xE9;tica y Gen&#xF3;mica Comparativa, Unidad Acad&#xE9;mica Multidisciplinaria Reynosa Aztlan, Universidad Aut&#xF3;noma de Tamaulipas, Ciudad Victoria, Mexico
7283806	Silvia B._Lanzavecchia	Instituto de Gen&#xE9;tica &#x2018;Ewald A. Favret&#x2019; &#x2013; GV IABIMO (INTA-CONICET) Hurlingham, Buenos Aires, Argentina
7283806	Claudia_Conte	Instituto de Gen&#xE9;tica &#x2018;Ewald A. Favret&#x2019; &#x2013; GV IABIMO (INTA-CONICET) Hurlingham, Buenos Aires, Argentina
7283806	Karina_Guill&#xE9;n	El Colegio de la Frontera Sur, Tapachula, Mexico
7283806	Brenda M._Mor&#xE1;n-Aceves	El Colegio de la Frontera Sur, Tapachula, Mexico
7283806	Jorge_Toledo	El Colegio de la Frontera Sur, Tapachula, Mexico
7283806	Pablo_Liedo	El Colegio de la Frontera Sur, Tapachula, Mexico
7283806	Elias D._Asimakis	Department of Environmental Engineering, University of Patras, Agrinio, Greece
7283806	Vangelis_Doudoumis	Department of Environmental Engineering, University of Patras, Agrinio, Greece
7283806	Georgios A._Kyritsis	Laboratory of Entomology and Agricultural Zoology, Department of Agriculture Crop Production and Rural Environment, University of Thessaly, Larissa, Greece
7283806	Nikos T._Papadopoulos	Laboratory of Entomology and Agricultural Zoology, Department of Agriculture Crop Production and Rural Environment, University of Thessaly, Larissa, Greece
7283806	Antonios A._Augustinos	Department of Plant Protection, Institute of Industrial and Forage Crops, Hellenic Agricultural Organization &#x2013; DEMETER, Patras, Greece
7283806	Diego F._Segura	Instituto de Gen&#xE9;tica &#x2018;Ewald A. Favret&#x2019; &#x2013; GV IABIMO (INTA-CONICET) Hurlingham, Buenos Aires, Argentina
7283806	George_Tsiamis	Department of Environmental Engineering, University of Patras, Agrinio, Greece
