pmcid	forename_lastname	affiliation
7508298	Buddhi B_Achhami	Department of Land Resources and Environmental Sciences, Montana State University, Bozeman, MT
7508298	Gadi V P_Reddy	Western Triangle Agricultural Research Center, Conrad, MT
7508298	Jamie D_Sherman	Department of Plant Sciences and Plant Pathology, Montana State University, Bozeman, MT
7508298	Robert K D_Peterson	Department of Land Resources and Environmental Sciences, Montana State University, Bozeman, MT
7508298	David K_Weaver	Department of Land Resources and Environmental Sciences, Montana State University, Bozeman, MT
7478134	Sohaib_MEHMOOD	Botany Division, Institute of Pure and Applied Biology, Bahauddin Zakariya University, MultanPakistan
7478134	Muhammad_IMRAN	Forman Christian College (A Chartered University), LahorePakistan
7478134	Arslan_ALI	Dr. Panjwani Center for Molecular Medicine and Drug Research, International Center for Chemical and Biological Sciences, University of Karachi, KarachiPakistan
7478134	Aisha_MUNAWAR	Institute of Chemical Sciences, University of Engineering and Technology, LahorePakistan
7478134	Binish_KHALIQ	Institutes of Molecular Biology and Biotechnology, University of Lahore, LahorePakistan
7478134	Farzeen_ANWAR	Forman Christian College (A Chartered University), LahorePakistan
7478134	Qamar_SAEED	Department of Entomology, Bahauddin Zakariya University, MultanPakistan
7478134	Friedrich_BUCK	Institute of Clinical Chemistry, University Hospital Hamburg-Eppendrof, HamburgGermany
7478134	Saber_HUSSAIN	Botany Division, Institute of Pure and Applied Biology, Bahauddin Zakariya University, MultanPakistan
7478134	Ahsan_SAEED	Botany Division, Institute of Pure and Applied Biology, Bahauddin Zakariya University, MultanPakistan
7478134	Muhammad_YASIN ASHRAF	Institutes of Molecular Biology and Biotechnology, University of Lahore, LahorePakistan
7478134	Ahmed_AKREM	Botany Division, Institute of Pure and Applied Biology, Bahauddin Zakariya University, MultanPakistan
7469204	Anna_Skourti	Laboratory of Agricultural Zoology and Entomology, Department of Crop Science, Agricultural University of Athens, 75 Iera Odos str., 11855 Athens, Attica, Greece;  (N.E.P.)
7469204	Nickolas G._Kavallieratos	Laboratory of Agricultural Zoology and Entomology, Department of Crop Science, Agricultural University of Athens, 75 Iera Odos str., 11855 Athens, Attica, Greece;  (N.E.P.)
7469204	Nikos E._Papanikolaou	Laboratory of Agricultural Zoology and Entomology, Department of Crop Science, Agricultural University of Athens, 75 Iera Odos str., 11855 Athens, Attica, Greece;  (N.E.P.)
7469149	Jacob D._Langsi	Faculty of Sciences, University of Ngaoundere, Ngaoundere P. O. Box 454, Cameroon;  (H.M.)
