pmcid	forename_lastname	affiliation
7479100	Saleh Mohammad_Adnan	grid.1004.50000 0001 2158 5405Applied BioSciences, Macquarie University, Sydney, NSW 2109 Australia 
7479100	Iffat_Farhana	grid.1004.50000 0001 2158 5405Applied BioSciences, Macquarie University, Sydney, NSW 2109 Australia 
7479100	Soo Jean_Park	grid.1004.50000 0001 2158 5405Applied BioSciences, Macquarie University, Sydney, NSW 2109 Australia 
7479100	Polychronis_Rempoulakis	Biosecurity and Food Safety, NSW Department of Primary Industries, Gosford, Australia 
7479100	Phillip W._Taylor	grid.1004.50000 0001 2158 5405Applied BioSciences, Macquarie University, Sydney, NSW 2109 Australia 
7470329	Dongjing_Zhang	Key Laboratory of Tropical Disease Control of the Ministry of Education, Sun Yat-sen University&#x2013;Michigan State University Joint Center of Vector Control for Tropical Diseases, Zhongshan School of Medicine, Guangzhou, China
7470329	Zhiyong_Xi	Key Laboratory of Tropical Disease Control of the Ministry of Education, Sun Yat-sen University&#x2013;Michigan State University Joint Center of Vector Control for Tropical Diseases, Zhongshan School of Medicine, Guangzhou, China
7470329	Yongjun_Li	Lingnan Statistical Science Research Institute, Guangzhou University, Guangzhou, China
7470329	Xiaohua_Wang	Guangzhou Wolbaki Biotech, Guangzhou, China
7470329	Hanano_Yamada	Insect Pest Control Laboratory, Joint FAO/IAEA Division of Nuclear Techniques in Food and Agriculture, International Atomic Energy Agency, Vienna, Austria
7470329	Jieru_Qiu	Department of Laboratory Medicine, Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China
7470329	Yongkang_Liang	Key Laboratory of Tropical Disease Control of the Ministry of Education, Sun Yat-sen University&#x2013;Michigan State University Joint Center of Vector Control for Tropical Diseases, Zhongshan School of Medicine, Guangzhou, China
7470329	Meichun_Zhang	Key Laboratory of Tropical Disease Control of the Ministry of Education, Sun Yat-sen University&#x2013;Michigan State University Joint Center of Vector Control for Tropical Diseases, Zhongshan School of Medicine, Guangzhou, China
7470329	Yu_Wu	Key Laboratory of Tropical Disease Control of the Ministry of Education, Sun Yat-sen University&#x2013;Michigan State University Joint Center of Vector Control for Tropical Diseases, Zhongshan School of Medicine, Guangzhou, China
7470329	Xiaoying_Zheng	Key Laboratory of Tropical Disease Control of the Ministry of Education, Sun Yat-sen University&#x2013;Michigan State University Joint Center of Vector Control for Tropical Diseases, Zhongshan School of Medicine, Guangzhou, China
7488584	Yuan-chen_Zhang	College of Biology and Food Engineering, Anyang Institute of Technology, Anyang, China
7488584	Shan-shan_Gao	College of Biology and Food Engineering, Anyang Institute of Technology, Anyang, China
7488584	Shuang_Xue	College of Biology and Food Engineering, Anyang Institute of Technology, Anyang, China
7488584	Kun-peng_Zhang	College of Biology and Food Engineering, Anyang Institute of Technology, Anyang, China
7488584	Jing-shun_Wang	College of Biology and Food Engineering, Anyang Institute of Technology, Anyang, China
7488584	Bin_Li	College of Life Sciences, Nanjing Normal University, Nanjing, China
7473531	Brian_Onken	        Department of Molecular Biology and Biochemistry Rutgers University, Piscataway, NJ, United States of America      
7473531	Natallia_Kalinava	        Department of Molecular Biology and Biochemistry Rutgers University, Piscataway, NJ, United States of America      
7473531	Monica_Driscoll	        Department of Molecular Biology and Biochemistry Rutgers University, Piscataway, NJ, United States of America      
7478134	Sohaib_MEHMOOD	Botany Division, Institute of Pure and Applied Biology, Bahauddin Zakariya University, MultanPakistan
7478134	Muhammad_IMRAN	Forman Christian College (A Chartered University), LahorePakistan
7478134	Arslan_ALI	Dr. Panjwani Center for Molecular Medicine and Drug Research, International Center for Chemical and Biological Sciences, University of Karachi, KarachiPakistan
7478134	Aisha_MUNAWAR	Institute of Chemical Sciences, University of Engineering and Technology, LahorePakistan
7478134	Binish_KHALIQ	Institutes of Molecular Biology and Biotechnology, University of Lahore, LahorePakistan
7478134	Farzeen_ANWAR	Forman Christian College (A Chartered University), LahorePakistan
7478134	Qamar_SAEED	Department of Entomology, Bahauddin Zakariya University, MultanPakistan
7478134	Friedrich_BUCK	Institute of Clinical Chemistry, University Hospital Hamburg-Eppendrof, HamburgGermany
7478134	Saber_HUSSAIN	Botany Division, Institute of Pure and Applied Biology, Bahauddin Zakariya University, MultanPakistan
7478134	Ahsan_SAEED	Botany Division, Institute of Pure and Applied Biology, Bahauddin Zakariya University, MultanPakistan
7478134	Muhammad_YASIN ASHRAF	Institutes of Molecular Biology and Biotechnology, University of Lahore, LahorePakistan
7478134	Ahmed_AKREM	Botany Division, Institute of Pure and Applied Biology, Bahauddin Zakariya University, MultanPakistan
7433769	Xiangrui_Liu	Key Laboratory of Green Prevention and Control of Tropical Plant Diseases and Pests (Hainan University), Ministry of Education, Haikou, Hainan Province, China
7433769	Xianwu_Lin	Key Laboratory of Green Prevention and Control of Tropical Plant Diseases and Pests (Hainan University), Ministry of Education, Haikou, Hainan Province, China
