pmcid	forename_lastname	affiliation
7438863	Zahra_Afraze	Department of Plant Protection, Faculty of Agricultural Sciences, University of Guilan, Rasht, Iran
7438863	Jalal J._Sendi	Department of Plant Protection, Faculty of Agricultural Sciences, University of Guilan, Rasht, Iran
7438863	Azadeh_Karimi-Malati	Department of Plant Protection, Faculty of Agricultural Sciences, University of Guilan, Rasht, Iran
7438863	Arash_Zibaee	Department of Plant Protection, Faculty of Agricultural Sciences, University of Guilan, Rasht, Iran
7290786	Fatemeh_Ganjisaffar	Department of Entomology, University of California, 900 University Ave., Riverside, CA 92521, USA; 
7290786	Thomas M._Perring	Department of Entomology, University of California, 900 University Ave., Riverside, CA 92521, USA; 
7291086	Fredrick Fidelis_Umaru	Institute of Biological Sciences, Faculty of Science, University of Malaya, Kuala Lumpur 50603, Malaysia; 
7291086	Khanom_Simarani	Institute of Biological Sciences, Faculty of Science, University of Malaya, Kuala Lumpur 50603, Malaysia; 
7204558	Hamzeh_Hasanvand	<institution>Department of Plant Protection, Faculty of Agriculture, Vali-e-Asr University of Rafsanjan</institution>, <addr-line>Rafsanjan</addr-line>, <country>Iran</country>
7204558	Hamzeh_Izadi	<institution>Department of Plant Protection, Faculty of Agriculture, Vali-e-Asr University of Rafsanjan</institution>, <addr-line>Rafsanjan</addr-line>, <country>Iran</country>
7204558	Mozhgan_Mohammadzadeh	<institution>Department of Plant Protection, Faculty of Agriculture, Vali-e-Asr University of Rafsanjan</institution>, <addr-line>Rafsanjan</addr-line>, <country>Iran</country>
7052130	Sengottayan_Senthil-Nathan	<institution>Division of Biopesticides and Environmental Toxicology, Sri Paramakalyani Centre for Excellence in Environmental Sciences, Manonmaniam Sundaranar University</institution>, <addr-line>Tirunelveli</addr-line>, <country>India</country>
7022684	Yufei_Yuan	Beijing Key Laboratory for Forest Pest Control, College of Forestry, Beijing Forestry University, Beijing, China
7022684	Lusha_Li	Beijing Key Laboratory for Forest Pest Control, College of Forestry, Beijing Forestry University, Beijing, China
7022684	Jingfen_Zhao	Forestry Station of Fengtai District Garden Greening Bureau, Beijing, China
7022684	Min_Chen	Beijing Key Laboratory for Forest Pest Control, College of Forestry, Beijing Forestry University, Beijing, China
