pmcid	forename_lastname	affiliation
7477086	Pamela_Bachman	Science Organization, The Climate Corporation, Creve Coeur, MO, United States
7477086	Jennifer_Fridley	Regulatory Science, Bayer Crop Science, Chesterfield, MO, United States
7477086	Geoffrey_Mueller	Regulatory Science, Bayer Crop Science, Chesterfield, MO, United States
7477086	William_Moar	Regulatory Science, Bayer Crop Science, Chesterfield, MO, United States
7477086	Steven L._Levine	Regulatory Science, Bayer Crop Science, Chesterfield, MO, United States
7391001	Claude_Bragard	UNKNOWN
7391001	Katharina_Dehnen&#x2010;Schmutz	UNKNOWN
7391001	Francesco_Di Serio	UNKNOWN
7391001	Paolo_Gonthier	UNKNOWN
7391001	Marie&#x2010;Agn&#xE8;s_Jacques	UNKNOWN
7391001	Josep Anton_Jaques Miret	UNKNOWN
7391001	Annemarie Fejer_Justesen	UNKNOWN
7391001	Christer Sven_Magnusson	UNKNOWN
7391001	Panagiotis_Milonas	UNKNOWN
7391001	Juan A_Navas&#x2010;Cortes	UNKNOWN
7391001	Stephen_Parnell	UNKNOWN
7391001	Roel_Potting	UNKNOWN
7391001	Philippe Lucien_Reignault	UNKNOWN
7391001	Hans&#x2010;Hermann_Thulke	UNKNOWN
7391001	Wopke_Van der Werf	UNKNOWN
7391001	Antonio Vicent_Civera	UNKNOWN
7391001	Jonathan_Yuen	UNKNOWN
7391001	Lucia_Zappal&#xE0;	UNKNOWN
7391001	Ewelina_Czwienczek	UNKNOWN
7391001	Vir&#xE1;g_Kert&#xE9;sz	UNKNOWN
7391001	Franz_Streissl	UNKNOWN
7391001	Alan_MacLeod	UNKNOWN
7387505	Patricia_Hern&#xE1;ndez-Mart&#xED;nez	Laboratory of Biotechnological Control of Pest, ERI de Biotecnolog&#xED;a y Biomedicina, Department of Genetics, Universitat de Val&#xE8;ncia, Burjassot, Spain
7387505	Ayda_Khorramnejad	Laboratory of Biotechnological Control of Pest, ERI de Biotecnolog&#xED;a y Biomedicina, Department of Genetics, Universitat de Val&#xE8;ncia, Burjassot, Spain
7387505	Katterine_Prentice	Laboratory of Agrozoology, Department of Plants and Crops, Faculty of Bioscience Engineering, Ghent University, Ghent, Belgium
7387505	Ascensi&#xF3;n_Andr&#xE9;s-Garrido	Laboratory of Biotechnological Control of Pest, ERI de Biotecnolog&#xED;a y Biomedicina, Department of Genetics, Universitat de Val&#xE8;ncia, Burjassot, Spain
7387505	Natalia Mara_Vera-Velasco	Laboratory Membrane Proteins, ERI de Biotecnolog&#xED;a y Biomedicina, Department of Biochemistry and Molecular Biology, Universitat de Val&#xE8;ncia, Burjassot, Spain
7387505	Guy_Smagghe	Laboratory of Agrozoology, Department of Plants and Crops, Faculty of Bioscience Engineering, Ghent University, Ghent, Belgium
7387505	Baltasar_Escriche	Laboratory of Biotechnological Control of Pest, ERI de Biotecnolog&#xED;a y Biomedicina, Department of Genetics, Universitat de Val&#xE8;ncia, Burjassot, Spain
7411984	Guillermo_Cabrera Walsh	ARS-SABCL/FuEDEI (Foundation for the Study of Invasive Species), Hurlingham B1686EFA, Argentina
7411984	Cr&#xE9;bio J._&#xC1;vila	EMBRAPA Agropecuaria Oeste, Dourados, Mato Grosso de Sul Caixa-postal 449, Brazil; 
7411984	Nora_Cabrera	Facultad de Ciencias Naturales y Museo, Universidad Nacional de La Plata, La Plata B1900FWA, Argentina; 
