pmcid	forename_lastname	affiliation
7413517	Ya-Nan_Hao	        Biocontrol Engineering Laboratory of Crop Diseases and Pests of Gansu Province, College of Plant Protection, Gansu Agricultural University, Lanzhou, China      
7413517	Yuan-Xing_Sun	        Biocontrol Engineering Laboratory of Crop Diseases and Pests of Gansu Province, College of Plant Protection, Gansu Agricultural University, Lanzhou, China      
7413517	Chang-Zhong_Liu	        Biocontrol Engineering Laboratory of Crop Diseases and Pests of Gansu Province, College of Plant Protection, Gansu Agricultural University, Lanzhou, China      
7404982	Mikel_Dom&#xED;nguez-Arrizabalaga	Institute for Multidisciplinary Research in Applied Biology-IMAB, Universidad P&#xFA;blica de Navarra, 31192 Mutilva, Navarra, Spain;  (M.V.)
7404982	Maite_Villanueva	Institute for Multidisciplinary Research in Applied Biology-IMAB, Universidad P&#xFA;blica de Navarra, 31192 Mutilva, Navarra, Spain;  (M.V.)
7404982	Baltasar_Escriche	Departamento de Gen&#xE9;tica/ERI BioTecMed, Universitat de Val&#xE8;ncia, Burjassot, 46100 Val&#xE8;ncia, Spain; 
7404982	Carmen_Anc&#xED;n-Azpilicueta	Departamento de Ciencias, Universidad P&#xFA;blica de Navarra, 31006 Pamplona, Spain; 
7404982	Primitivo_Caballero	Institute for Multidisciplinary Research in Applied Biology-IMAB, Universidad P&#xFA;blica de Navarra, 31192 Mutilva, Navarra, Spain;  (M.V.)
7073712	Lauren M._Perez	Department of Entomology, University of Georgia, Tifton, GA 31793, USA;  (M.R.A.)
7073712	Patricia J._Moore	Department of Entomology, University of Georgia, Athens, GA 30601, USA; 
7073712	Mark R._Abney	Department of Entomology, University of Georgia, Tifton, GA 31793, USA;  (M.R.A.)
7073712	Michael D._Toews	Department of Entomology, University of Georgia, Tifton, GA 31793, USA;  (M.R.A.)
6983295	Enrico_Ruzzier	Department of Agronomy, Food, Natural Resources, Animals and the Environment (DAFNAE), Universit&#xE0; degli Studi di Padova, Padova, Italy
6983295	Marcin_Kadej	Department of Invertebrate Biology, Evolution and Conservation, University of Wroc&#x142;aw, Wroc&#x142;aw, Poland
6983295	Andrea_Battisti	Department of Agronomy, Food, Natural Resources, Animals and the Environment (DAFNAE), Universit&#xE0; degli Studi di Padova, Padova, Italy
7020479	Fuqiang_Zhao	College of Life Science and Bioengineering, Shenyang University, Shenyang 110044, Liaoning, China; 
7020479	Ping_Wang	National Center for Pharmaceutical Crops, Arthur Temple College of Forestry and Agriculture, Stephen F. Austin State University, Nacogdoches, TX 75962, USA (Z.S.)
7020479	Rima D._Lucardi	Southern Research Station, USDA Forest Service, 320 Green Street, Athens, GA 30602, USA; 
7020479	Zushang_Su	National Center for Pharmaceutical Crops, Arthur Temple College of Forestry and Agriculture, Stephen F. Austin State University, Nacogdoches, TX 75962, USA (Z.S.)
7020479	Shiyou_Li	National Center for Pharmaceutical Crops, Arthur Temple College of Forestry and Agriculture, Stephen F. Austin State University, Nacogdoches, TX 75962, USA (Z.S.)
6920439	Simon J._McKirdy	0000 0004 0436 6763grid.1025.6Harry Butler Institute, Murdoch University, Murdoch, WA 6150 Australia 
6920439	Simon_O&#x2019;Connor	0000 0004 0436 6763grid.1025.6Harry Butler Institute, Murdoch University, Murdoch, WA 6150 Australia 
6920439	Melissa L._Thomas	0000 0004 0436 6763grid.1025.6Harry Butler Institute, Murdoch University, Murdoch, WA 6150 Australia 
6920439	Kristin L._Horton	0000 0004 0645 1689grid.473921.aChevron Australia, 256 St Georges Tce, Perth, WA 6000 Australia 
6920439	Angus_Williams	0000 0004 0645 1689grid.473921.aChevron Australia, 256 St Georges Tce, Perth, WA 6000 Australia 
6920439	Darryl_Hardie	Department of Primary Industries and Regional Development Western Australia, Division of Agriculture and Food, 4 Baron-Hay Court, South Perth, 6151 Australia 
6920439	Grey T._Coupland	0000 0004 0436 6763grid.1025.6Harry Butler Institute, Murdoch University, Murdoch, WA 6150 Australia 
6920439	Johann_van der Merwe	0000 0004 0436 6763grid.1025.6Harry Butler Institute, Murdoch University, Murdoch, WA 6150 Australia 
6836213	David W._Hagstrum	Department of Entomology, Kansas State University, Manhattan, KS 66502, USA
6836213	Christos G._Athanassiou	Laboratory of Entomology and Agricultural Zoology, Department of Agriculture, Crop Production and Rural Environment, University of Thessaly, Phytokou str., Nea Ionia, 38446 Magnissia, Greece
6571663	Deanna S._Scheff	USDA&#x2014;Agricultural Research Service Center for Grain and Animal Health Research Center, 1515 College Ave, Manhattan, KS 66502, USA;  (F.H.A.)
6571663	Daniel_Brabec	USDA&#x2014;Agricultural Research Service Center for Grain and Animal Health Research Center, 1515 College Ave, Manhattan, KS 66502, USA;  (F.H.A.)
6571663	James F._Campbell	USDA&#x2014;Agricultural Research Service Center for Grain and Animal Health Research Center, 1515 College Ave, Manhattan, KS 66502, USA;  (F.H.A.)
6571663	Frank H._Arthur	USDA&#x2014;Agricultural Research Service Center for Grain and Animal Health Research Center, 1515 College Ave, Manhattan, KS 66502, USA;  (F.H.A.)
6571962	Vaclav_Stejskal	Crop Research Institute, Drnovska 507/73, CZ-16106 Prague 6-Ruzyne, Czech Republic;  (R.A.)
6571962	Tomas_Vendl	Crop Research Institute, Drnovska 507/73, CZ-16106 Prague 6-Ruzyne, Czech Republic;  (R.A.)
6571962	Zhihong_Li	Key Laboratory of Ministry of Agriculture for Monitoring and Green Management of Crop Pests, Department of Entomology, College of Plant Protection, China Agricultural University, Beijing 100193, China; 
6571962	Radek_Aulicky	Crop Research Institute, Drnovska 507/73, CZ-16106 Prague 6-Ruzyne, Czech Republic;  (R.A.)
6571631	Frank H._Arthur	USDA, ARS, Center for Grain and Animal Health Research, 1515 College Avenue, Manhattan, KS 66502, USA; 
6571631	Michael J._Domingue	Department of Entomology, Kansas State University, Manhattan, KS 66506, USA; 
6571631	Deanna S._Scheff	USDA, ARS, Center for Grain and Animal Health Research, 1515 College Avenue, Manhattan, KS 66502, USA; 
6571631	Scott W._Myers	Otis Laboratory USDA, APHIS, CPHST, 1398 West Truck Road, Buzzards Bay, MA 02542, USA; 
6571956	Srinivas K._Lanka	Department of Entomology, 123 West Waters Hall, Kansas State University, Manhattan, KS 66506, USA;  (K.Y.Z.)
6571956	Frank H._Arthur	USDA-ARS-Center for Grain and Animal Health Research, 1515 College Avenue, Manhattan, KS 66502, USA; 
6571956	James F._Campbell	USDA-ARS-Center for Grain and Animal Health Research, 1515 College Avenue, Manhattan, KS 66502, USA; 
6571956	Kun Yan_Zhu	Department of Entomology, 123 West Waters Hall, Kansas State University, Manhattan, KS 66506, USA;  (K.Y.Z.)
6523121	Fuji_Jian	Department of Biosystems Engineering, University of Manitoba, Winnipeg, MB R3T 5V6, Canada; 
6523208	Alison R._Gerken	USDA, Agricultural Research Service, Center for Grain and Animal Health Research, 1515 College Ave, Manhattan, KS 66502, USA; 
6523208	James F._Campbell	USDA, Agricultural Research Service, Center for Grain and Animal Health Research, 1515 College Ave, Manhattan, KS 66502, USA; 
