pmcid	forename_lastname	affiliation
7465820	Michael_G&#xE9;taz	Environmental Genomics and Systems Biology Research Group, Institute of Natural Resource Sciences, Zurich University of Applied Sciences (ZHAW), CH-8820 W&#xE4;denswil, Switzerland;  (T.H.S.)
7465820	Joanna_Pu&#x142;awska	Department of Phytopathology, Research Institute of Horticulture, 96-100 Skierniewice, Poland; 
7465820	Theo H.M._Smits	Environmental Genomics and Systems Biology Research Group, Institute of Natural Resource Sciences, Zurich University of Applied Sciences (ZHAW), CH-8820 W&#xE4;denswil, Switzerland;  (T.H.S.)
7465820	Jo&#xEB;l F._Pothier	Environmental Genomics and Systems Biology Research Group, Institute of Natural Resource Sciences, Zurich University of Applied Sciences (ZHAW), CH-8820 W&#xE4;denswil, Switzerland;  (T.H.S.)
7428492	Zainab_Aljbory	1Department of EntomologyKansas State UniversityManhattanKSUSA
7428492	Michael J._Aikins	1Department of EntomologyKansas State UniversityManhattanKSUSA
7428492	Yoonseong_Park	1Department of EntomologyKansas State UniversityManhattanKSUSA
7428492	Gerald R._Reeck	3Department of Biochemistry and Molecular BiophysicsKansas State UniversityManhattanKSUSA
7428492	Ming&#x2010;Shun_Chen	1Department of EntomologyKansas State UniversityManhattanKSUSA
7348853	Darija_Lemic	Department for Agricultural Zoology, Faculty of Agriculture, University of Zagreb, 10000 Zagreb, Croatia;  (I.P.&#x17D;.)
7348853	Katarina M._Mikac	Centre for Sustainable Ecosystem Solutions, School of Earth, Atmospheric and Life Sciences, Faculty of Science, Medicine and Health, University of Wollongong, 2522 Wollongong, Australia; 
7348853	Matej_Genda	Department for Agricultural Zoology, Faculty of Agriculture, University of Zagreb, 10000 Zagreb, Croatia;  (I.P.&#x17D;.)
7348853	&#x17D;eljko_Juki&#x107;	Department of Field Crops, Forage and Grassland, Faculty of Agriculture, University of Zagreb, 10000 Zagreb, Croatia; 
7348853	Ivana_Paja&#x10D; &#x17D;ivkovi&#x107;	Department for Agricultural Zoology, Faculty of Agriculture, University of Zagreb, 10000 Zagreb, Croatia;  (I.P.&#x17D;.)
7257214	Alice B._Dennis	grid.418656.80000 0001 1551 0562Department of Aquatic Ecology, Eawag, 8600 D&#xFC;bendorf, Switzerland 
7257214	Gabriel I._Ballesteros	grid.10999.380000 0001 0036 2536Instituto de Ciencias Biol&#xF3;gicas, Universidad de Talca, Talca, Chile 
7257214	St&#xE9;phanie_Robin	grid.462490.d0000 0004 0556 944XIGEPP, Agrocampus Ouest, INRAE, Universit&#xE9; de Rennes, 35650 Le Rheu, France 
7257214	Lukas_Schrader	grid.5949.10000 0001 2172 9288Institute for Evolution and Biodiversity, Universit&#xE4;t M&#xFC;nster, M&#xFC;nster, Germany 
7257214	Jens_Bast	grid.9851.50000 0001 2165 4204Department of Ecology and Evolution, Universit&#xE9; de Lausanne, 1015 Lausanne, Switzerland 
7257214	Jan_Bergh&#xF6;fer	grid.5949.10000 0001 2172 9288Institute for Evolution and Biodiversity, Universit&#xE4;t M&#xFC;nster, M&#xFC;nster, Germany 
7257214	Leo W._Beukeboom	grid.4830.f0000 0004 0407 1981Groningen Institute for Evolutionary Life Sciences, University of Groningen, Groningen, The Netherlands 
7257214	Maya_Belghazi	grid.5399.60000 0001 2176 4817Aix-Marseille Univ, CNRS, INP, Inst Neurophysiopathol, PINT, PFNT, Marseille, France 
7257214	Anthony_Bretaudeau	grid.462490.d0000 0004 0556 944XIGEPP, Agrocampus Ouest, INRAE, Universit&#xE9; de Rennes, 35650 Le Rheu, France 
7257214	Jan_Buellesbach	grid.5949.10000 0001 2172 9288Institute for Evolution and Biodiversity, Universit&#xE4;t M&#xFC;nster, M&#xFC;nster, Germany 
7257214	Elizabeth_Cash	grid.47840.3f0000 0001 2181 7878Department of Environmental Science, Policy, &amp; Management, University of California, Berkeley, Berkeley, CA 94720 USA 
7257214	Dominique_Colinet	grid.4444.00000 0001 2112 9282Universit&#xE9; C&#xF4;te d&#x2019;Azur, INRAE, CNRS, ISA, Sophia Antipolis, France 
7257214	Zo&#xE9;_Dumas	grid.9851.50000 0001 2165 4204Department of Ecology and Evolution, Universit&#xE9; de Lausanne, 1015 Lausanne, Switzerland 
7257214	Mohammed_Errbii	grid.5949.10000 0001 2172 9288Institute for Evolution and Biodiversity, Universit&#xE4;t M&#xFC;nster, M&#xFC;nster, Germany 
7257214	Patrizia_Falabella	grid.7367.50000000119391302Department of Sciences, University of Basilicata, 85100 Potenza, Italy 
7257214	Jean-Luc_Gatti	grid.4444.00000 0001 2112 9282Universit&#xE9; C&#xF4;te d&#x2019;Azur, INRAE, CNRS, ISA, Sophia Antipolis, France 
7257214	Elzemiek_Geuverink	grid.4830.f0000 0004 0407 1981Groningen Institute for Evolutionary Life Sciences, University of Groningen, Groningen, The Netherlands 
7257214	Joshua D._Gibson	grid.47840.3f0000 0001 2181 7878Department of Environmental Science, Policy, &amp; Management, University of California, Berkeley, Berkeley, CA 94720 USA 
7257214	Corinne_Hertaeg	grid.418656.80000 0001 1551 0562Department of Aquatic Ecology, Eawag, 8600 D&#xFC;bendorf, Switzerland 
7257214	Stefanie_Hartmann	grid.11348.3f0000 0001 0942 1117Institute of Biochemistry and Biology, University of Potsdam, 14476 Potsdam, Germany 
7257214	Emmanuelle_Jacquin-Joly	grid.4444.00000 0001 2112 9282INRAE, Sorbonne Universit&#xE9;, CNRS, IRD, UPEC, Universit&#xE9; Paris Diderot, Institute of Ecology and Environmental Sciences of Paris, iEES-Paris, F-78000 Versailles, France 
7257214	Mark_Lammers	grid.5949.10000 0001 2172 9288Institute for Evolution and Biodiversity, Universit&#xE4;t M&#xFC;nster, M&#xFC;nster, Germany 
7257214	Blas I._Lavandero	grid.10999.380000 0001 0036 2536Laboratorio de Control Biol&#xF3;gico, Instituto de Ciencias Biol&#xF3;gicas, Universidad de Talca, Talca, Chile 
7257214	Ina_Lindenbaum	grid.5949.10000 0001 2172 9288Institute for Evolution and Biodiversity, Universit&#xE4;t M&#xFC;nster, M&#xFC;nster, Germany 
7257214	Lauriane_Massardier-Galata	grid.4444.00000 0001 2112 9282Universit&#xE9; C&#xF4;te d&#x2019;Azur, INRAE, CNRS, ISA, Sophia Antipolis, France 
7257214	Camille_Meslin	grid.4444.00000 0001 2112 9282INRAE, Sorbonne Universit&#xE9;, CNRS, IRD, UPEC, Universit&#xE9; Paris Diderot, Institute of Ecology and Environmental Sciences of Paris, iEES-Paris, F-78000 Versailles, France 
7257214	Nicolas_Montagn&#xE9;	grid.4444.00000 0001 2112 9282INRAE, Sorbonne Universit&#xE9;, CNRS, IRD, UPEC, Universit&#xE9; Paris Diderot, Institute of Ecology and Environmental Sciences of Paris, iEES-Paris, F-78000 Versailles, France 
7257214	Nina_Pak	grid.47840.3f0000 0001 2181 7878Department of Environmental Science, Policy, &amp; Management, University of California, Berkeley, Berkeley, CA 94720 USA 
7257214	Maryl&#xE8;ne_Poiri&#xE9;	grid.4444.00000 0001 2112 9282Universit&#xE9; C&#xF4;te d&#x2019;Azur, INRAE, CNRS, ISA, Sophia Antipolis, France 
7257214	Rosanna_Salvia	grid.7367.50000000119391302Department of Sciences, University of Basilicata, 85100 Potenza, Italy 
7257214	Chris R._Smith	grid.255360.70000 0001 1960 0522Department of Biology, Earlham College, Richmond, IN 47374 USA 
7257214	Denis_Tagu	grid.462490.d0000 0004 0556 944XIGEPP, Agrocampus Ouest, INRAE, Universit&#xE9; de Rennes, 35650 Le Rheu, France 
7257214	Sophie_Tares	grid.4444.00000 0001 2112 9282Universit&#xE9; C&#xF4;te d&#x2019;Azur, INRAE, CNRS, ISA, Sophia Antipolis, France 
7257214	Heiko_Vogel	grid.418160.a0000 0004 0491 7131Department of Entomology, Max Planck Institute for Chemical Ecology, Jena, Germany 
7257214	Tanja_Schwander	grid.9851.50000 0001 2165 4204Department of Ecology and Evolution, Universit&#xE9; de Lausanne, 1015 Lausanne, Switzerland 
7257214	Jean-Christophe_Simon	grid.462490.d0000 0004 0556 944XIGEPP, Agrocampus Ouest, INRAE, Universit&#xE9; de Rennes, 35650 Le Rheu, France 
7257214	Christian C._Figueroa	grid.10999.380000 0001 0036 2536Instituto de Ciencias Biol&#xF3;gicas, Universidad de Talca, Talca, Chile 
7257214	Christoph_Vorburger	grid.418656.80000 0001 1551 0562Department of Aquatic Ecology, Eawag, 8600 D&#xFC;bendorf, Switzerland 
7257214	Fabrice_Legeai	grid.462490.d0000 0004 0556 944XIGEPP, Agrocampus Ouest, INRAE, Universit&#xE9; de Rennes, 35650 Le Rheu, France 
