pmcid	forename_lastname	affiliation
7457495	Wei-Jun_Li	grid.263906.8Chongqing Key Laboratory of Entomology and Pest Control Engineering, College of Plant Protection, Southwest University, Chongqing, 400715 China 
7457495	Yu-Jia_Song	grid.263906.8Chongqing Key Laboratory of Entomology and Pest Control Engineering, College of Plant Protection, Southwest University, Chongqing, 400715 China 
7457495	Hong-Liang_Han	grid.263906.8Chongqing Key Laboratory of Entomology and Pest Control Engineering, College of Plant Protection, Southwest University, Chongqing, 400715 China 
7457495	Hui-Qian_Xu	grid.263906.8Chongqing Key Laboratory of Entomology and Pest Control Engineering, College of Plant Protection, Southwest University, Chongqing, 400715 China 
7457495	Dong_Wei	grid.263906.8Chongqing Key Laboratory of Entomology and Pest Control Engineering, College of Plant Protection, Southwest University, Chongqing, 400715 China 
7457495	Guy_Smagghe	grid.263906.8Chongqing Key Laboratory of Entomology and Pest Control Engineering, College of Plant Protection, Southwest University, Chongqing, 400715 China 
7457495	Jin-Jun_Wang	grid.263906.8Chongqing Key Laboratory of Entomology and Pest Control Engineering, College of Plant Protection, Southwest University, Chongqing, 400715 China 
7433769	Xiangrui_Liu	Key Laboratory of Green Prevention and Control of Tropical Plant Diseases and Pests (Hainan University), Ministry of Education, Haikou, Hainan Province, China
7433769	Xianwu_Lin	Key Laboratory of Green Prevention and Control of Tropical Plant Diseases and Pests (Hainan University), Ministry of Education, Haikou, Hainan Province, China
7433769	Jing_Li	Key Laboratory of Green Prevention and Control of Tropical Plant Diseases and Pests (Hainan University), Ministry of Education, Haikou, Hainan Province, China
7433769	Fen_Li	Key Laboratory of Green Prevention and Control of Tropical Plant Diseases and Pests (Hainan University), Ministry of Education, Haikou, Hainan Province, China
7433769	Fengqin_Cao	Key Laboratory of Green Prevention and Control of Tropical Plant Diseases and Pests (Hainan University), Ministry of Education, Haikou, Hainan Province, China
7433769	Rihui_Yan	Key Laboratory of Green Prevention and Control of Tropical Plant Diseases and Pests (Hainan University), Ministry of Education, Haikou, Hainan Province, China
7431611	Maarten_De Cock	Royal Museum for Central Africa, Tervuren, Belgium
7431611	Massimiliano_Virgilio	Royal Museum for Central Africa, Tervuren, Belgium
