pmcid	forename_lastname	affiliation
7469210	Rachel K._Brooks	Forest Health and Resiliency Division, Washington Department of Natural Resources, Olympia, WA 98504, USA
7469210	Ashley_Toland	Integrated Pest Prevention and Management Program, Oregon Department of Agriculture, Salem, OR 97301, USA; 
7469210	Andrew C._Dechaine	Department of Entomology, Virginia Tech, Blacksburg, VA 24061, USA;  (S.S.)
7469210	Thomas_McAvoy	Department of Entomology, Virginia Tech, Blacksburg, VA 24061, USA;  (S.S.)
7469210	Scott_Salom	Department of Entomology, Virginia Tech, Blacksburg, VA 24061, USA;  (S.S.)
7413517	Ya-Nan_Hao	        Biocontrol Engineering Laboratory of Crop Diseases and Pests of Gansu Province, College of Plant Protection, Gansu Agricultural University, Lanzhou, China      
7413517	Yuan-Xing_Sun	        Biocontrol Engineering Laboratory of Crop Diseases and Pests of Gansu Province, College of Plant Protection, Gansu Agricultural University, Lanzhou, China      
7413517	Chang-Zhong_Liu	        Biocontrol Engineering Laboratory of Crop Diseases and Pests of Gansu Province, College of Plant Protection, Gansu Agricultural University, Lanzhou, China      
7419273	Yuxuan_Yuan	School of Life Sciences, The Chinese University of Hong Kong, Hong Kong SAR, China
7419273	Claire Yik-Lok_Chung	School of Life Sciences, The Chinese University of Hong Kong, Hong Kong SAR, China
7419273	Ting-Fung_Chan	School of Life Sciences, The Chinese University of Hong Kong, Hong Kong SAR, China
7386586	Ohseok_Kwon	School of Applied Biosciences, College of Agriculture and Life Sciences, Kyungpook National University, Daegu, Republic of Korea
7386586	Moon Bo_Choi	School of Applied Biosciences, College of Agriculture and Life Sciences, Kyungpook National University, Daegu, Republic of Korea
7411794	Nidia B&#xE9;lgica_P&#xE9;rez-De la O	Facultad de Ciencias Agr&#xED;colas, Universidad Aut&#xF3;noma de Chiapas, Entronque Carretera Costera y Estaci&#xF3;n Huehuet&#xE1;n, Huehuet&#xE1;n 30660, Chiapas, Mexico;  (S.E.-Z.)
