pmcid	forename_lastname	affiliation
7477568	Md. Mahbub_Hasan	grid.412656.20000 0004 0451 7306Department of Zoology, Rajshahi University, Rajshahi, 6205 Bangladesh 
7477568	Sayla Aktar_Chowdhory	grid.412656.20000 0004 0451 7306Department of Zoology, Rajshahi University, Rajshahi, 6205 Bangladesh 
7477568	A. S. M. Shafiqur_Rahman	grid.412656.20000 0004 0451 7306Department of Zoology, Rajshahi University, Rajshahi, 6205 Bangladesh 
7477568	Christos G._Athanassiou	grid.410558.d0000 0001 0035 6670Laboratory of Entomology and Agricultural Zoology, Department of Agriculture, Crop Production and Rural Environment, University of Thessaly, Phytokou Str., 38446 Nea Ionia, Magnesia Greece 
7439961	Shahzaib_Ali	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan, China
7439961	Qian_Zhu	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan, China
7439961	Waqar_Jaleel	Guangdong Provincial Key Laboratory of High Technology for Plant Protection, Plant Protection Research Institute, Guangdong Academy of Agricultural Sciences, Guangzhou, China
7439961	Shakeel Ur_Rehman	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan, China
7439961	Muhammad Asim_Rasheed	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan, China
7439961	Muhammad Musa_Khan	Key Laboratory of Bio-Pesticide Innovation and Application, Engineering Research Centre of Biological Control, South China Agricultural University, Guangzhou, China
7439961	Yasir_Islam	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan, China
7439961	Muhammad_Hafeez	State Key Laboratory Breeding Base for Zhejiang Sustainable Pest and Disease Control, Institute of Plant Protection and Microbiology, Zhejiang Academy of Agricultural Sciences, Hangzhou, Zhejiang, China
7439961	Xingmiao_Zhou	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan, China
7472478	Tahira_Syed	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Muhammad_Askari	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Zhigang_Meng	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Yanyan_Li	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Muhammad Ali_Abid	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Yunxiao_Wei	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Sandui_Guo	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
