pmcid	forename_lastname	affiliation
7404640	Muhammad Tanveer_Munir	LIMBHA, Ecole Sup&#xE9;rieure du Bois, 7 rue Christian Pauc, 44000 Nantes, France
7404640	Michel_Federighi	Oniris, UMR 1014 SECALIM Oniris/INRAe, route de Gachet, CS 40706, CEDEX 3, 44307 Nantes, France
6571962	Vaclav_Stejskal	Crop Research Institute, Drnovska 507/73, CZ-16106 Prague 6-Ruzyne, Czech Republic;  (R.A.)
6571962	Tomas_Vendl	Crop Research Institute, Drnovska 507/73, CZ-16106 Prague 6-Ruzyne, Czech Republic;  (R.A.)
6571962	Zhihong_Li	Key Laboratory of Ministry of Agriculture for Monitoring and Green Management of Crop Pests, Department of Entomology, College of Plant Protection, China Agricultural University, Beijing 100193, China; 
6571962	Radek_Aulicky	Crop Research Institute, Drnovska 507/73, CZ-16106 Prague 6-Ruzyne, Czech Republic;  (R.A.)
5799738	Yves_Bousquet	Canadian National Collection of Insects, Arachnids and Nematodes, Agriculture and Agri-Food Canada, Ottawa, Ontario, K1A 0C6, Canada
5799738	Donald B._Thomas	USDA ARS, Cattle Fever Tick Research Laboratory, 22675 N Moorefield Rd, Edinburg, Texas, 78596, USA
5799738	Patrice_Bouchard	Canadian National Collection of Insects, Arachnids and Nematodes, Agriculture and Agri-Food Canada, Ottawa, Ontario, K1A 0C6, Canada
5799738	Aaron D._Smith	Northern Arizona University, Department of Biological Sciences, POB 5640, Flagstaff, Arizona, 86011, USA
5799738	Rolf L._Aalbu	California Academy of Sciences, Department of Entomology, 55 Music Concourse Dr, Golden Gate Park, San Francisco, California, 94118, USA
5799738	M. Andrew_Johnston	Arizona State University, School of Life Sciences, POB 874501, Tempe, Arizona, 85287, USA
5799738	Warren E. Steiner_Jr.	Smithsonian Institution, Department of Entomology, NHB 187, Washington, DC, 20013, USA
4829933	Reginald P._Webster	24 Mill Stream Drive, Charters Settlement, NB, Canada E3C 1X1      
3708791	Jianwei_Li	Department of Developmental Biology, Johann-Friedrich-Blumenbach-Institute of Zoology and Anthropology, GZMB, Ernst-Caspari-Haus, Georg-August-University G&#xF6;ttingen, G&#xF6;ttingen, Germany      
3708791	Sabrina_Lehmann	Department of Developmental Biology, Johann-Friedrich-Blumenbach-Institute of Zoology and Anthropology, GZMB, Ernst-Caspari-Haus, Georg-August-University G&#xF6;ttingen, G&#xF6;ttingen, Germany      
3708791	Bernhard_Wei&#xDF;becker	Department of Forest Zoology and Forest Conservation, B&#xFC;sgen-Institute, Georg-August-University G&#xF6;ttingen, G&#xF6;ttingen, Germany      
3708791	Irene_Ojeda Naharros	Department of Developmental Biology, Johann-Friedrich-Blumenbach-Institute of Zoology and Anthropology, GZMB, Ernst-Caspari-Haus, Georg-August-University G&#xF6;ttingen, G&#xF6;ttingen, Germany      
3708791	Stefan_Sch&#xFC;tz	Department of Forest Zoology and Forest Conservation, B&#xFC;sgen-Institute, Georg-August-University G&#xF6;ttingen, G&#xF6;ttingen, Germany      
3708791	Gerrit_Joop	Department of Evolutionary Ecology and Genetics, Zoological Institute, Christian-Albrechts-Universit&#xE4;t zu Kiel, Kiel, Germany      
3708791	Ernst A._Wimmer	Department of Developmental Biology, Johann-Friedrich-Blumenbach-Institute of Zoology and Anthropology, GZMB, Ernst-Caspari-Haus, Georg-August-University G&#xF6;ttingen, G&#xF6;ttingen, Germany      
3337064	Reginald P._Webster	Natural Resources Canada, Canadian Forest Service - Atlantic Forestry Centre, 1350 Regent St., P.O. Box 4000, Fredericton, NB, Canada E3B 5P7
3337064	Jon D._Sweeney	Natural Resources Canada, Canadian Forest Service - Atlantic Forestry Centre, 1350 Regent St., P.O. Box 4000, Fredericton, NB, Canada E3B 5P7
3337064	Ian_DeMerchant	Natural Resources Canada, Canadian Forest Service - Atlantic Forestry Centre, 1350 Regent St., P.O. Box 4000, Fredericton, NB, Canada E3B 5P7
3337064	Patrice_Bouchard	Canadian National Collection of Insects, Arachnids and Nematodes, Agriculture and Agri-Food Canada, 960 Carling Avenue, Ottawa, Ontario, K1A 0C6, Canada
3337064	Yves_Bousquet	Canadian National Collection of Insects, Arachnids and Nematodes, Agriculture and Agri-Food Canada, 960 Carling Avenue, Ottawa, Ontario, K1A 0C6, Canada
3312420	Vytautas_Tamutis	Kaunas T. Ivanauskas Zoological Museum, Laisv&#x117;s al. 106, LT-44253 Kaunas, Lithuania
3312420	Brigita_Tamut&#x117;	Kaunas T. Ivanauskas Zoological Museum, Laisv&#x117;s al. 106, LT-44253 Kaunas, Lithuania
3312420	Romas_Ferenca	Kaunas T. Ivanauskas Zoological Museum, Laisv&#x117;s al. 106, LT-44253 Kaunas, Lithuania
524659	J. F._Campbell	USDA ARS, Grain Marketing and Production Research Center, Manhattan KS 66502, USA 
524659	C._Runnion	USDA ARS, Grain Marketing and Production Research Center, Manhattan KS 66502, USA 
