pmcid	forename_lastname	affiliation
7428492	Zainab_Aljbory	1Department of EntomologyKansas State UniversityManhattanKSUSA
7428492	Michael J._Aikins	1Department of EntomologyKansas State UniversityManhattanKSUSA
7428492	Yoonseong_Park	1Department of EntomologyKansas State UniversityManhattanKSUSA
7428492	Gerald R._Reeck	3Department of Biochemistry and Molecular BiophysicsKansas State UniversityManhattanKSUSA
7428492	Ming&#x2010;Shun_Chen	1Department of EntomologyKansas State UniversityManhattanKSUSA
7180195	Yan-Xia_Yao	<institution>Key Laboratory of Forest Protection of National Forestry and Grassland Administration/Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of Forestry</institution>, <addr-line>Beijing</addr-line>, <country>China</country>
7180195	Xing-Pu_Shang	<institution>Key Laboratory of Forest Protection of National Forestry and Grassland Administration/Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of Forestry</institution>, <addr-line>Beijing</addr-line>, <country>China</country>
7180195	Jun_Yang	<institution>Key Laboratory of Forest Protection of National Forestry and Grassland Administration/Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of Forestry</institution>, <addr-line>Beijing</addr-line>, <country>China</country>
7180195	Ruo-Zhu_Lin	<institution>Key Laboratory of Forest Protection of National Forestry and Grassland Administration/Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of Forestry</institution>, <addr-line>Beijing</addr-line>, <country>China</country>
7180195	Wen-Xia_Huai	<institution>Key Laboratory of Forest Protection of National Forestry and Grassland Administration/Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of Forestry</institution>, <addr-line>Beijing</addr-line>, <country>China</country>
7180195	Wen-Xia_Zhao	<institution>Key Laboratory of Forest Protection of National Forestry and Grassland Administration/Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of Forestry</institution>, <addr-line>Beijing</addr-line>, <country>China</country>
6917271	Markus W._Eitle	University of Natural Resources and Life Sciences, Department of Crop Sciences, Institute of Viticulture and Pomology, Vienna, Austria
6917271	James C._Carolan	Department of Biology, Maynooth University, Maynooth, Co. Kildare, Ireland
6917271	Michaela_Griesser	University of Natural Resources and Life Sciences, Department of Crop Sciences, Institute of Viticulture and Pomology, Vienna, Austria
6917271	Astrid_Forneck	University of Natural Resources and Life Sciences, Department of Crop Sciences, Institute of Viticulture and Pomology, Vienna, Austria
6195418	Zainab_Al-Jbory	Department of Entomology, Kansas State University, Waters Hall, Manhattan, KS
6195418	Mustapha_El-Bouhssini	International Center for Agricultural Research in the Dry Areas (ICARDA), Rabat BP 6299, Morocco
6195418	Ming-Shun_Chen	Department of Entomology, Kansas State University, Waters Hall, Manhattan, KS
5823858	Jacob A._Corcoran	0000 0001 0930 2361grid.4514.4Department of Biology, Lund University, Lund, Sweden 
5823858	Yonathan_Sonntag	0000 0001 0930 2361grid.4514.4Division of Biochemistry and Structural Biology, Department of Chemistry, Lund University, Lund, Sweden 
5823858	Martin N._Andersson	0000 0001 0930 2361grid.4514.4Department of Biology, Lund University, Lund, Sweden 
5823858	Urban_Johanson	0000 0001 0930 2361grid.4514.4Division of Biochemistry and Structural Biology, Department of Chemistry, Lund University, Lund, Sweden 
5823858	Christer_L&#xF6;fstedt	0000 0001 0930 2361grid.4514.4Department of Biology, Lund University, Lund, Sweden 
4880318	Ming-Shun_Chen	Hard Winter Wheat Genetics Research Unit, USDA-ARS, Kansas State University, Manhattan, Kansas, United States of America
4880318	Sanzhen_Liu	Department of Plant Pathology, Kansas State University, Manhattan, Kansas, United States of America
4880318	Haiyan_Wang	Department of Statistics, Kansas State University, Manhattan, Kansas, United States of America
4880318	Xiaoyan_Cheng	Department of Entomology, Kansas State University, Manhattan, Kansas, United States of America
4880318	Mustapha_El Bouhssini	International Center for Agricultural Research in the Dry Area, Rabat, Morocco
4880318	R. Jeff_Whitworth	Department of Entomology, Kansas State University, Manhattan, Kansas, United States of America
4672216	Yanxia_Yao	Key Laboratory of Forest Protection, China State Forestry Administration/Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of Forestry, Beijing, China
4672216	Wenxia_Zhao	Key Laboratory of Forest Protection, China State Forestry Administration/Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of Forestry, Beijing, China
4672216	Xingpu_Shang	Key Laboratory of Forest Protection, China State Forestry Administration/Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of Forestry, Beijing, China
4308891	Subhashree_Subramanyam	Department of Agronomy, Purdue University, West Lafayette, IN 47907 USA 
4308891	Nagesh_Sardesai	Department of Agronomy, Purdue University, West Lafayette, IN 47907 USA 
4308891	Subhash C_Minocha	Department of Biological Sciences, University of New Hampshire, Durham, NH 03824 USA 
4308891	Cheng_Zheng	Department of Statistics, Purdue University, West Lafayette, IN 47907 USA 
4308891	Richard H_Shukle	Department of Entomology, Purdue University, West Lafayette, IN 47907 USA 
4308891	Christie E_Williams	Department of Agronomy, Purdue University, West Lafayette, IN 47907 USA 
3509590	Maha_Mezghani-Khemakhem	UR11ES10 Genomics of Crop Insect Pests, Facult&#xE9; des Sciences de Tunis, University of Tunis El-Manar, El Manar 2092, Tunisia; E-Mails:  (H.M.)
3509590	Dhia_Bouktila	UR11ES10 Genomics of Crop Insect Pests, Facult&#xE9; des Sciences de Tunis, University of Tunis El-Manar, El Manar 2092, Tunisia; E-Mails:  (H.M.)
3509590	Nathalie_Casse	Laboratory Mer, Mol&#xE9;cules, Sant&#xE9; (MMS), UFR Sciences and Techniques Le Mans, University of Maine, Le Mans 72085, France; E-Mail: 
3509590	Houcine_Maaroufi	UR11ES10 Genomics of Crop Insect Pests, Facult&#xE9; des Sciences de Tunis, University of Tunis El-Manar, El Manar 2092, Tunisia; E-Mails:  (H.M.)
3509590	Mohamed_Makni	UR11ES10 Genomics of Crop Insect Pests, Facult&#xE9; des Sciences de Tunis, University of Tunis El-Manar, El Manar 2092, Tunisia; E-Mails:  (H.M.)
3509590	Hanem_Makni	UR11ES10 Genomics of Crop Insect Pests, Facult&#xE9; des Sciences de Tunis, University of Tunis El-Manar, El Manar 2092, Tunisia; E-Mails:  (H.M.)
2706880	Hanem_Makni	Laboratoire de g&#xE9;n&#xE9;tique mol&#xE9;culaire, Immunologie et biotechnologie, Facult&#xE9; des sciences, Campus universitaire, Tunis, Tunisie
2706880	Moez_Sellami	Laboratoire de g&#xE9;n&#xE9;tique mol&#xE9;culaire, Immunologie et biotechnologie, Facult&#xE9; des sciences, Campus universitaire, Tunis, Tunisie
2706880	Mohamed_Marrakchi	Laboratoire de g&#xE9;n&#xE9;tique mol&#xE9;culaire, Immunologie et biotechnologie, Facult&#xE9; des sciences, Campus universitaire, Tunis, Tunisie
2706880	Nicole_Pasteur	Institut des sciences de l'&#xE9;volution (UMR-CNRS 5554), G&#xE9;n&#xE9;tique et environnement, Universit&#xE9; de Montpellier-II (CC065), 34095 Montpellier 05, France
