pmcid	forename_lastname	affiliation
7412232	Sarah I._Bonnet	UMR BIPAR, Animal Health Laboratory, INRAE, ANSES, Ecole Nationale V&#xE9;t&#xE9;rinaire d&#x2019;Alfort, Universit&#xE9; Paris-Est, CEDEX, 94701 Maisons-Alfort, France
7412232	Emilie_Bouhsira	UMR ENVT-INRA INTHERES, National Veterinary School of Toulouse, 31300 Toulouse, France; 
7412232	Nick_De Regge	Sciensano, Scientific Direction Infectious Diseases in Animals, 1050 Bruxelles, Belgium; 
7412232	Johanna_Fite	French Agency for Food, Environmental and Occupational Health &amp; Safety, 14 rue Pierre et Marie Curie, CEDEX, 94701 Maisons-Alfort, France;  (E.Q.)
7412232	Florence_Etor&#xE9;	French Agency for Food, Environmental and Occupational Health &amp; Safety, 14 rue Pierre et Marie Curie, CEDEX, 94701 Maisons-Alfort, France;  (E.Q.)
7412232	Mutien-Marie_Garigliany	Fundamental and Applied Research for Animal and Health (FARAH) Center, University of Li&#xE8;ge, B-4000 Li&#xE8;ge, Belgium;  (C.S.)
7412232	Ferran_Jori	UMR Animal, Sant&#xE9;, Territoires, Risque et Ecosyst&#xE8;mes (ASTRE), CIRAD-INRAE-Universit&#xE9; de Montpellier, 34398 Montpellier, France;  (L.V.)
7412232	Laetitia_Lempereur	Fundamental and Applied Research for Animal and Health (FARAH) Center, University of Li&#xE8;ge, B-4000 Li&#xE8;ge, Belgium;  (C.S.)
7412232	Marie-Fr&#xE9;d&#xE9;rique_Le Potier	Unit&#xE9; de Virologie Immunologie Porcines, Laboratoire de Ploufragan/Plouzan&#xE9;/Niort, Anses, 22440 Ploufragan, France; 
7412232	Elsa_Quillery	French Agency for Food, Environmental and Occupational Health &amp; Safety, 14 rue Pierre et Marie Curie, CEDEX, 94701 Maisons-Alfort, France;  (E.Q.)
7412232	Claude_Saegerman	Fundamental and Applied Research for Animal and Health (FARAH) Center, University of Li&#xE8;ge, B-4000 Li&#xE8;ge, Belgium;  (C.S.)
7412232	Timoth&#xE9;e_Vergne	UMR ENVT-INRA IHAP, National Veterinary School of Toulouse, 31300 Toulouse, France; 
7412232	Laurence_Vial	UMR Animal, Sant&#xE9;, Territoires, Risque et Ecosyst&#xE8;mes (ASTRE), CIRAD-INRAE-Universit&#xE9; de Montpellier, 34398 Montpellier, France;  (L.V.)
7180279	Am&#xE9;lie_Chastagner	Swine Virology and Immunology Unit, ANSES Ploufragan-Plouzan&#xE9;-Niort Laboratory, Ploufragan, France        
7180279	R&#xE9;mi_Pereira de Oliveira	Swine Virology and Immunology Unit, ANSES Ploufragan-Plouzan&#xE9;-Niort Laboratory, Ploufragan, France        
7180279	Evelyne_Hutet	Swine Virology and Immunology Unit, ANSES Ploufragan-Plouzan&#xE9;-Niort Laboratory, Ploufragan, France        
7180279	Mireille_Le Dimna	Swine Virology and Immunology Unit, ANSES Ploufragan-Plouzan&#xE9;-Niort Laboratory, Ploufragan, France        
7180279	Fr&#xE9;d&#xE9;ric_Paboeuf	SPF Pig Production and Experimentation Unit, ANSES Ploufragan-Plouzan&#xE9;-Niort Laboratory, Ploufragan, France        
7180279	Pierrick_Lucas	Viral Genetic and Biosecurity Unit, ANSES Ploufragan-Plouzan&#xE9;-Niort Laboratory, Ploufragan, France        
7180279	Yannick_Blanchard	Viral Genetic and Biosecurity Unit, ANSES Ploufragan-Plouzan&#xE9;-Niort Laboratory, Ploufragan, France        
7180279	Linda_Dixon	OIE Reference Laboratory, The Pirbright Institute, Surrey, United Kingdom        
7180279	Laurence_Vial	UMR ASTRE, CIRAD, Montpellier, France        
7180279	Marie-Fr&#xE9;d&#xE9;rique_Le Potier	Swine Virology and Immunology Unit, ANSES Ploufragan-Plouzan&#xE9;-Niort Laboratory, Ploufragan, France        
7150827	R&#xE9;mi_Pereira De Oliveira	UMR ASTRE, Centre de Coop&#xE9;ration Internationale en Recherche Agronomique pour le D&#xE9;veloppement (CIRAD), F-34398 Montpellier, France;  (L.V.)
7150827	Evelyne_Hutet	Unit&#xE9; de Virologie et Immunologie Porcines, Laboratoire de Ploufragan-Plouzan&#xE9;-Niort, Agence Nationale de S&#xE9;curit&#xE9; Sanitaire (ANSES), 22440 Ploufragan, France;  (F.P.)
7150827	Maxime_Duhayon	UMR ASTRE, Centre de Coop&#xE9;ration Internationale en Recherche Agronomique pour le D&#xE9;veloppement (CIRAD), F-34398 Montpellier, France;  (L.V.)
7150827	Jean-Marie_Guionnet	Unit&#xE9; de Virologie et Immunologie Porcines, Laboratoire de Ploufragan-Plouzan&#xE9;-Niort, Agence Nationale de S&#xE9;curit&#xE9; Sanitaire (ANSES), 22440 Ploufragan, France;  (F.P.)
7150827	Fr&#xE9;d&#xE9;ric_Paboeuf	Unit&#xE9; de Virologie et Immunologie Porcines, Laboratoire de Ploufragan-Plouzan&#xE9;-Niort, Agence Nationale de S&#xE9;curit&#xE9; Sanitaire (ANSES), 22440 Ploufragan, France;  (F.P.)
7150827	Laurence_Vial	UMR ASTRE, Centre de Coop&#xE9;ration Internationale en Recherche Agronomique pour le D&#xE9;veloppement (CIRAD), F-34398 Montpellier, France;  (L.V.)
7150827	Marie-Fr&#xE9;d&#xE9;rique_Le Potier	Unit&#xE9; de Virologie et Immunologie Porcines, Laboratoire de Ploufragan-Plouzan&#xE9;-Niort, Agence Nationale de S&#xE9;curit&#xE9; Sanitaire (ANSES), 22440 Ploufragan, France;  (F.P.)
7157692	R&#xE9;mi_Pereira De Oliveira	UMR ASTRE, CIRAD, Campus International de Baillarguet, F-34398 Montpellier, France;  (M.D.)
7157692	Evelyne_Hutet	Swine Virology and Immunology Unit, Ploufragan-Plouzan&#xE9;-Niort Laboratory, ANSES, 35 rue de Beaucemaine, 22440 Ploufragan, France;  (M.-F.L.P.)
7157692	Maxime_Duhayon	UMR ASTRE, CIRAD, Campus International de Baillarguet, F-34398 Montpellier, France;  (M.D.)
7157692	Fr&#xE9;d&#xE9;ric_Paboeuf	Swine Virology and Immunology Unit, Ploufragan-Plouzan&#xE9;-Niort Laboratory, ANSES, 35 rue de Beaucemaine, 22440 Ploufragan, France;  (M.-F.L.P.)
7157692	Marie-Fr&#xE9;d&#xE9;rique_Le Potier	Swine Virology and Immunology Unit, Ploufragan-Plouzan&#xE9;-Niort Laboratory, ANSES, 35 rue de Beaucemaine, 22440 Ploufragan, France;  (M.-F.L.P.)
7157692	Laurence_Vial	UMR ASTRE, CIRAD, Campus International de Baillarguet, F-34398 Montpellier, France;  (M.D.)
6950091	Alex_Pauvolid-Corr&#xEA;a	Laborat&#xF3;rio de Flaviv&#xED;rus, Instituto Oswaldo Cruz, Fiocruz, Rio de Janeiro 21040-900, Brazil; 
6950091	Helver_Gon&#xE7;alves Dias	Laborat&#xF3;rio de Imunologia Viral, Instituto Oswaldo Cruz, Fiocruz, Rio de Janeiro 21040-900, Brazil;  (F.B.d.S.)
6950091	Laura_Marina Siqueira Maia	Laborat&#xF3;rio de Virologia, Faculdade de Medicina, Universidade Federal de Mato Grosso (UFMT), Cuiab&#xE1; 78060-900, Brazil;  (R.D.S.)
6950091	Grasiela_Porf&#xED;rio	Laborat&#xF3;rio de Biologia Parasit&#xE1;ria, Programa de P&#xF3;s-Gradua&#xE7;&#xE3;o em Ci&#xEA;ncias Ambientais e Sustentabilidade Agropecu&#xE1;ria, Universidade Cat&#xF3;lica Dom Bosco (UCDB), Campo Grande 79117-010, Brazil;  (H.M.H.)
6950091	Thais_Oliveira Morgado	Hospital Veterin&#xE1;rio, Universidade Federal de Mato Grosso (UFMT), Cuiab&#xE1; 78060-900, Brazil;  (A.d.S.V.)
6950091	Gilberto_Sabino-Santos	Centro de Pesquisa em Virologia, Faculdade de Medicina, Universidade de S&#xE3;o Paulo (USP), Ribeir&#xE3;o Preto 14025-099, Brazil;  (L.T.M.F.)
6950091	Paula_Helena Santa Rita	Biot&#xE9;rio, Universidade Cat&#xF3;lica Dom Bosco (UCDB), Campo Grande 79117-010, Brazil;  (M.F.G.d.S.)
6950091	Wanessa_Teixeira Gomes Barreto	Laborat&#xF3;rio de Ecologia de Popula&#xE7;&#xF5;es e do Movimento, Programa de Ecologia e Conserva&#xE7;&#xE3;o, Universidade Federal de Mato Grosso do Sul (UFMS), Campo Grande 79070-900, Brazil;  (L.L.S.)
