pmcid	forename_lastname	affiliation
7082375	Bo&#x17C;ena_&#x141;agowska	Department of Plant Protection, University of Life Sciences in Lublin, Leszczy&#x144;skiego 7, 20-069 Lublin, PolandUniversity of Life Sciences in LublinLublinPoland
7082375	Katarzyna_Golan	Department of Plant Protection, University of Life Sciences in Lublin, Leszczy&#x144;skiego 7, 20-069 Lublin, PolandUniversity of Life Sciences in LublinLublinPoland
7077234	Wycliff M._Kinoti	Agriculture Victoria, AgriBio, Centre for AgriBioscience, Bundoora, VIC 3083, Australia
7077234	Narelle_Nancarrow	Agriculture Victoria, Horsham, VIC 3400, Australia
7077234	Alison_Dann	Plant Biosecurity and Diagnostic Branch, Bioisecurity Tasmania, Hobart, TAS 7001, Australia
7077234	Brendan C._Rodoni	Agriculture Victoria, AgriBio, Centre for AgriBioscience, Bundoora, VIC 3083, Australia
7077234	Fiona E._Constable	Agriculture Victoria, AgriBio, Centre for AgriBioscience, Bundoora, VIC 3083, Australia
6918246	Carlota_Gim&#xE9;nez-Rota	GATHERS Group, Arag&#xF3;n Institute of Engineering Research (I3A), University of Zaragoza, c/. Mariano Esquillor s/n, 50018 Zaragoza, Spain;  (A.M.M.)
6918246	Susana_Lor&#xE1;n	Department of Animal Production and Food Science, AgriFood Institute of Aragon (IA2), University of Zaragoza-CITA, Veterinary Faculty, University of Zaragoza, Miguel Servet 177, 50013 Zaragoza, Spain; 
6918246	Ana M._Mainar	GATHERS Group, Arag&#xF3;n Institute of Engineering Research (I3A), University of Zaragoza, c/. Mariano Esquillor s/n, 50018 Zaragoza, Spain;  (A.M.M.)
6918246	Mar&#xED;a J._Hern&#xE1;iz	Chemistry in Pharmaceutical Science Department, Pharmacy Faculty, Complutense University of Madrid, Plaza Ram&#xF3;n y Cajal s/n, 28040 Madrid, Spain; 
6918246	Carmen_Rota	Department of Animal Production and Food Science, AgriFood Institute of Aragon (IA2), University of Zaragoza-CITA, Veterinary Faculty, University of Zaragoza, Miguel Servet 177, 50013 Zaragoza, Spain; 
6780847	Renato_Ricciardi	Department of Agriculture, Food and Environment, University of Pisa, via del Borghetto 80, 56124 Pisa, Italy
6780847	Andrea_Lucchi	Department of Agriculture, Food and Environment, University of Pisa, via del Borghetto 80, 56124 Pisa, Italy
6780847	Giovanni_Benelli	Department of Agriculture, Food and Environment, University of Pisa, via del Borghetto 80, 56124 Pisa, Italy
6780847	David Maxwell_Suckling	The New Zealand Institute for Plant &amp; Food Research Limited, PB 4704, Christchurch 8140, New Zealand
6669712	Rachid_Tahzima	Plant Sciences, Fisheries and Food (ILVO), Flanders Research Institute for Agriculture, 9820 Merelbeke, Belgium
6669712	Yoika_Foucart	Plant Sciences, Fisheries and Food (ILVO), Flanders Research Institute for Agriculture, 9820 Merelbeke, Belgium
6669712	Gertie_Peusens	Department of Zoology, Proefcentrum Fruitteelt (pcfruit), 3800 Sint-Truiden, Belgium
6669712	Tim_Beli&#xEB;n	Department of Zoology, Proefcentrum Fruitteelt (pcfruit), 3800 Sint-Truiden, Belgium
6669712	S&#xE9;bastien_Massart	Department of Integrated and Urban Phytopathology, University of Li&#xE8;ge (ULg) - Gembloux Agro-Bio tech, 5030 Gembloux, Belgium
6669712	Kris_De Jonghe	Plant Sciences, Fisheries and Food (ILVO), Flanders Research Institute for Agriculture, 9820 Merelbeke, Belgium
6631394	Muhammad_Umer	State Key Laboratory of Agricultural Microbiology, Wuhan 430070, China;  (G.W.)
6631394	Jiwen_Liu	State Key Laboratory of Agricultural Microbiology, Wuhan 430070, China;  (G.W.)
6631394	Huafeng_You	State Key Laboratory of Agricultural Microbiology, Wuhan 430070, China;  (G.W.)
6631394	Chuan_Xu	State Key Laboratory of Agricultural Microbiology, Wuhan 430070, China;  (G.W.)
6631394	Kaili_Dong	State Key Laboratory of Agricultural Microbiology, Wuhan 430070, China;  (G.W.)
6631394	Ni_Luo	Key Laboratory of Horticultural Plant Biology (Ministry of Education), College of Horticulture and Forestry Sciences, Huazhong Agricultural University, Wuhan 430070, China; 
6631394	Linghong_Kong	State Key Laboratory of Agricultural Microbiology, Wuhan 430070, China;  (G.W.)
6631394	Xuepei_Li	State Key Laboratory of Agricultural Microbiology, Wuhan 430070, China;  (G.W.)
6631394	Ni_Hong	State Key Laboratory of Agricultural Microbiology, Wuhan 430070, China;  (G.W.)
6631394	Guoping_Wang	State Key Laboratory of Agricultural Microbiology, Wuhan 430070, China;  (G.W.)
6631394	Xudong_Fan	National Center for Eliminating Viruses from Deciduous Fruit Trees, Research Institute of Pomology, Chinese Academy of Agricultural Sciences, Xingcheng 125100, China; 
6631394	Ioly_Kotta-Loizou	Department of Life Sciences, Faculty of Natural Sciences, Imperial College London, London SW7 2AZ, UK
6631394	Wenxing_Xu	State Key Laboratory of Agricultural Microbiology, Wuhan 430070, China;  (G.W.)
6529898	Haojie_Tong	Institute of Insect Sciences, Zhejiang University, Hangzhou, China
6529898	Zihao_Li	Institute of Insect Sciences, Zhejiang University, Hangzhou, China
6529898	Wanyi_Ye	Institute of Insect Sciences, Zhejiang University, Hangzhou, China
6529898	Ying_Wang	Institute of Insect Sciences, Zhejiang University, Hangzhou, China
6529898	Mohamed Abdelwanees Abdelmowla_Omar	Institute of Insect Sciences, Zhejiang University, Hangzhou, China
6529898	Yan_Ao	Institute of Insect Sciences, Zhejiang University, Hangzhou, China
