pmcid	forename_lastname	affiliation
7490381	Suk-Ling_Wee	grid.412113.40000 0004 1937 1557Department of Biological Sciences and Biotechnology, Faculty of Science and Technology, Universiti Kebangsaan Malaysia, 43600 Bangi, Selangor Malaysia 
7490381	Anthony R._Clarke	grid.1024.70000000089150953School of Biology and Environmental Science, Queensland University of Technology (QUT), GPO Box 2434, Brisbane, Qld 4001 Australia 
7479100	Saleh Mohammad_Adnan	grid.1004.50000 0001 2158 5405Applied BioSciences, Macquarie University, Sydney, NSW 2109 Australia 
7479100	Iffat_Farhana	grid.1004.50000 0001 2158 5405Applied BioSciences, Macquarie University, Sydney, NSW 2109 Australia 
7479100	Soo Jean_Park	grid.1004.50000 0001 2158 5405Applied BioSciences, Macquarie University, Sydney, NSW 2109 Australia 
7479100	Polychronis_Rempoulakis	Biosecurity and Food Safety, NSW Department of Primary Industries, Gosford, Australia 
7479100	Phillip W._Taylor	grid.1004.50000 0001 2158 5405Applied BioSciences, Macquarie University, Sydney, NSW 2109 Australia 
7474526	Mao-Ye_Li	Anhui Province Key Laboratory of Integrated Pest Management on Crops, Key Laboratory of Biology and Sustainable Management of Plant Diseases and Pests of Anhui Higher Education Institutes, College of Plant Protection, Anhui Agricultural University, Hefei, Anhui, China
7474526	Xiu-Yun_Jiang	Anhui Province Key Laboratory of Integrated Pest Management on Crops, Key Laboratory of Biology and Sustainable Management of Plant Diseases and Pests of Anhui Higher Education Institutes, College of Plant Protection, Anhui Agricultural University, Hefei, Anhui, China
7474526	Yu-Zhe_Qi	Anhui Province Key Laboratory of Integrated Pest Management on Crops, Key Laboratory of Biology and Sustainable Management of Plant Diseases and Pests of Anhui Higher Education Institutes, College of Plant Protection, Anhui Agricultural University, Hefei, Anhui, China
7474526	Yuan-Jie_Huang	People&#x2019;s Government of Fenshui Town, Tonglu County, Hangzhou, China
7474526	Shi-Guang_Li	Anhui Province Key Laboratory of Integrated Pest Management on Crops, Key Laboratory of Biology and Sustainable Management of Plant Diseases and Pests of Anhui Higher Education Institutes, College of Plant Protection, Anhui Agricultural University, Hefei, Anhui, China
7474526	Su_Liu	Anhui Province Key Laboratory of Integrated Pest Management on Crops, Key Laboratory of Biology and Sustainable Management of Plant Diseases and Pests of Anhui Higher Education Institutes, College of Plant Protection, Anhui Agricultural University, Hefei, Anhui, China
7488584	Yuan-chen_Zhang	College of Biology and Food Engineering, Anyang Institute of Technology, Anyang, China
7488584	Shan-shan_Gao	College of Biology and Food Engineering, Anyang Institute of Technology, Anyang, China
7488584	Shuang_Xue	College of Biology and Food Engineering, Anyang Institute of Technology, Anyang, China
7488584	Kun-peng_Zhang	College of Biology and Food Engineering, Anyang Institute of Technology, Anyang, China
7488584	Jing-shun_Wang	College of Biology and Food Engineering, Anyang Institute of Technology, Anyang, China
7488584	Bin_Li	College of Life Sciences, Nanjing Normal University, Nanjing, China
7503466	Jiao_Wang	Jiangsu Key Laboratory of Sericultural Biology and Biotechnology, School of Biotechnology, Jiangsu University of Science and Technology, Zhenjiang 212018, China;  (F.-A.W.)
