pmcid	forename_lastname	affiliation
7469164	Phakamas_Subta	Department of Biology, Faculty of Science, Chiang Mai University, Chiang Mai 50200, Thailand;  (P.C.)
7469164	Phongsathon_Yodsuwan	Department of Biology, Faculty of Science, Chiang Mai University, Chiang Mai 50200, Thailand;  (P.C.)
7469164	Rujipas_Yongsawas	Department of Biology, Faculty of Science, Chiang Mai University, Chiang Mai 50200, Thailand;  (P.C.)
7469164	Ammarin_In-on	Bioinformatics &amp; Systems Biology Program, King Mongkut&#x2019;s University of Technology Thonburi (Bang Khun Thian Campus), Bang Khun Thian, Bangkok 10150, Thailand; 
7469164	Natapot_Warrit	Center of Excellence in Entomology, Department of Biology, Faculty of Science, Chulalongkorn University, Bangkok 10330, Thailand; 
7469164	Somsak_Panha	Department of Biology, Faculty of Science, Chulalongkorn University, Bangkok 10330, Thailand; 
7469164	Kitiphong_Khongphinitbunjong	School of Science, Mae Fah Luang University, Chiang Rai 57100, Thailand; 
7469164	Panuwan_Chantawannakul	Department of Biology, Faculty of Science, Chiang Mai University, Chiang Mai 50200, Thailand;  (P.C.)
7469164	Korrawat_Attasopa	Department of Entomology and Plant Pathology, Faculty of Agriculture, Chiang Mai University, Chiang Mai 50200, Thailand; 
7469164	Terd_Disayathanoowat	Department of Biology, Faculty of Science, Chiang Mai University, Chiang Mai 50200, Thailand;  (P.C.)
7394822	Dongdong_Sun	College of Life Sciences, Anhui Normal University, Wuhu, China
7394822	Yuan_Huang	College of Life Sciences, Anhui Normal University, Wuhu, China
7394822	Zhenjie_Qin	College of Life Sciences, Anhui Normal University, Wuhu, China
7394822	Haixia_Zhan	College of Life Sciences, Anhui Normal University, Wuhu, China
7394822	Jinping_Zhang	MoA-CABI Joint Laboratory for Bio-safety, Institute of Plant Protection, Chinese Academy of Agricultural Sciences, Beijing, China
7394822	Yang_Liu	State Key Laboratory for Biology of Plant Diseases and Insect Pests, Institute of Plant Protection, Chinese Academy of Agricultural Sciences, Beijing, China
7394822	Shiyong_Yang	College of Life Sciences, Anhui Normal University, Wuhu, China
7387575	Jia-Li_Qian	Anhui Provincial Key Laboratory of Microbial Control, Engineering Research Center of Fungal Biotechnology, Ministry of Education, School of Forestry and Landscape Architecture, Anhui Agricultural University, Hefei, China
7387575	Ding-Ze_Mang	Graduate School of Bio-Applications and Systems Engineering, Tokyo University of Agriculture and Technology, Tokyo, Japan
7387575	Guo-Chang_Lv	Anhui Provincial Key Laboratory of Microbial Control, Engineering Research Center of Fungal Biotechnology, Ministry of Education, School of Forestry and Landscape Architecture, Anhui Agricultural University, Hefei, China
7387575	Jia_Ye	Anhui Provincial Key Laboratory of Microbial Control, Engineering Research Center of Fungal Biotechnology, Ministry of Education, School of Forestry and Landscape Architecture, Anhui Agricultural University, Hefei, China
7387575	Zhao-Qun_Li	Tea Research Institute, Chinese Academy of Agricultural Sciences, Hangzhou, China
7387575	Bo_Chu	Tea Research Institute, Chinese Academy of Agricultural Sciences, Hangzhou, China
7387575	Long_Sun	Anhui Provincial Key Laboratory of Microbial Control, Engineering Research Center of Fungal Biotechnology, Ministry of Education, School of Forestry and Landscape Architecture, Anhui Agricultural University, Hefei, China
7387575	Yu-Jun_Liu	Anhui Academy of Science and Technology, Hefei, China
7387575	Long-Wa_Zhang	Anhui Provincial Key Laboratory of Microbial Control, Engineering Research Center of Fungal Biotechnology, Ministry of Education, School of Forestry and Landscape Architecture, Anhui Agricultural University, Hefei, China
7380273	Chuncai_Yan	Tianjin Key Laboratory of Animal and Plant Resistance, Tianjin Normal University, Tianjin, China
7380273	Xiaoya_Sun	Tianjin Key Laboratory of Animal and Plant Resistance, Tianjin Normal University, Tianjin, China
7380273	Wei_Cao	Tianjin Key Laboratory of Animal and Plant Resistance, Tianjin Normal University, Tianjin, China
7380273	Ruoqun_Li	Tianjin Key Laboratory of Animal and Plant Resistance, Tianjin Normal University, Tianjin, China
7380273	Cong_Zhao	Tianjin Key Laboratory of Animal and Plant Resistance, Tianjin Normal University, Tianjin, China
7380273	Zeyang_Sun	Tianjin Key Laboratory of Animal and Plant Resistance, Tianjin Normal University, Tianjin, China
7380273	Wenbin_Liu	Tianjin Key Laboratory of Animal and Plant Resistance, Tianjin Normal University, Tianjin, China
7380273	Lina_Pan	Tianjin Key Laboratory of Animal and Plant Resistance, Tianjin Normal University, Tianjin, China
7404779	Akinbode A._Adedeji	Department of Biosystems and Agricultural Engineering, University of Kentucky, Lexington, KY 40546, USA;  (M.L.)
7404779	Nader_Ekramirad	Department of Biosystems and Agricultural Engineering, University of Kentucky, Lexington, KY 40546, USA;  (M.L.)
7404779	Ahmed_Rady	Department of Biosystems and Agricultural Engineering, University of Kentucky, Lexington, KY 40546, USA;  (M.L.)
7404779	Ali_Hamidisepehr	Department of Biosystems and Agricultural Engineering, University of Kentucky, Lexington, KY 40546, USA;  (M.L.)
7404779	Kevin D._Donohue	Department of Electrical and Computer Engineering, University of Kentucky, Lexington, KY 40506, USA;  (C.A.P.)
7404779	Raul T._Villanueva	Department of Entomology, University of Kentucky, Princeton, KY 42445-0469, USA; 
7404779	Chadwick A._Parrish	Department of Electrical and Computer Engineering, University of Kentucky, Lexington, KY 40506, USA;  (C.A.P.)
7404779	Mengxing_Li	Department of Biosystems and Agricultural Engineering, University of Kentucky, Lexington, KY 40546, USA;  (M.L.)
7404660	Lobeno_Mozhui	Department of Zoology, Nagaland University, Lumami, Nagaland 798627, India;  (P.K.)
7404660	L.N._Kakati	Department of Zoology, Nagaland University, Lumami, Nagaland 798627, India;  (P.K.)
7404660	Patricia_Kiewhuo	Department of Zoology, Nagaland University, Lumami, Nagaland 798627, India;  (P.K.)
7404660	Sapu_Changkija	Department of Genetics and Plant Breeding, Nagaland University, Medziphema, Nagaland 797106, India; 
7349032	Martin_Adamek	Department of Microelectronics, Faculty of Electrical Engineering and Communication, Brno University of Technology, Technicka 3058/10, 616 00 Brno, Czech Republic;  (M.B.)
7349032	Anna_Adamkova	Department of Food Analysis and Chemistry, Faculty of Technology, Tomas Bata University in Zlin, Vavreckova 275, 760 01 Zlin, Czech Republic;  (M.B.)
7349032	Jiri_Mlcek	Department of Food Analysis and Chemistry, Faculty of Technology, Tomas Bata University in Zlin, Vavreckova 275, 760 01 Zlin, Czech Republic;  (M.B.)
7349032	Klara_Vojackova	Department of Food Analysis and Chemistry, Faculty of Technology, Tomas Bata University in Zlin, Vavreckova 275, 760 01 Zlin, Czech Republic;  (M.B.)
7349032	Oldrich_Famera	Department of Food Science, Faculty of Agrobiology, Food and Natural Resources, Czech University of Life Sciences Prague, Kamycka 129, 165 00 Praha 6 - Suchdol, Czech Republic; 
