pmcid	forename_lastname	affiliation
7412047	Nancy_Power	Department of Entomology, University of California, 900 University Ave., Riverside, CA 92521, USA;  (T.M.P.)
7412047	Fatemeh_Ganjisaffar	Department of Entomology, University of California, 900 University Ave., Riverside, CA 92521, USA;  (T.M.P.)
7412047	Thomas M._Perring	Department of Entomology, University of California, 900 University Ave., Riverside, CA 92521, USA;  (T.M.P.)
7473968	Sofia_Cividini	grid.10025.360000 0004 1936 8470Department of Biostatistics, Institute of Translational Medicine, University of Liverpool, Crown Street, Liverpool, L693BX UK 
7473968	Giuseppe_Montesanto	grid.5395.a0000 0004 1757 3729Dipartimento di Biologia, Universit&#xE0; degli Studi di Pisa, Pisa, Italy 
7274415	Hollister W._Herhold	        Division of Invertebrate Zoology, American Museum of Natural History, New York, New York, United States of America      
7274415	Steven R._Davis	        Division of Invertebrate Zoology, American Museum of Natural History, New York, New York, United States of America      
7274415	David A._Grimaldi	        Division of Invertebrate Zoology, American Museum of Natural History, New York, New York, United States of America      
7198579	Yuki_Mitaka	0000 0001 0723 4764grid.419025.bApplied Entomology Laboratory, Department of Bioresource Field Sciences, Kyoto Institute of Technology, Kyoto, 616-8354 Japan 
7198579	Shigeru_Matsuyama	0000 0001 2369 4728grid.20515.33Graduate School of Life and Environmental Sciences, University of Tsukuba, Ibaraki, 305-8572 Japan 
7198579	Nobuaki_Mizumoto	0000 0001 2151 2636grid.215654.1School of Life Sciences, Arizona State University, Arizona, AZ 85287-9425 USA 
7198579	Kenji_Matsuura	0000 0004 0372 2033grid.258799.8Laboratory of Insect Ecology, Graduate School of Agriculture, Kyoto University, Kyoto, 606-8502 Japan 
7198579	Toshiharu_Akino	0000 0001 0723 4764grid.419025.bApplied Entomology Laboratory, Department of Bioresource Field Sciences, Kyoto Institute of Technology, Kyoto, 616-8354 Japan 
7189384	Ignacio_Alba-Alejandre	0000000121678994grid.4489.1Department of Zoology, Faculty of Sciences, University of Granada, Campus de Fuentenueva, Granada, Spain 
7189384	Javier_Alba-Tercedor	0000000121678994grid.4489.1Department of Zoology, Faculty of Sciences, University of Granada, Campus de Fuentenueva, Granada, Spain 
7189384	Wayne B._Hunter	0000 0004 0404 0958grid.463419.dU.S. Department Agriculture, Agricultural Research Service, Fort Pierce, Florida USA 
7178596	Jessica_Hernandez	grid.164295.d0000 0001 0941 7177Department of Entomology, University of Maryland, 4291 Fieldhouse Drive, College Park, MD 20742 USA 
7178596	Leslie_Pick	grid.164295.d0000 0001 0941 7177Department of Entomology, University of Maryland, 4291 Fieldhouse Drive, College Park, MD 20742 USA 
7178596	Katie_Reding	grid.164295.d0000 0001 0941 7177Department of Entomology, University of Maryland, 4291 Fieldhouse Drive, College Park, MD 20742 USA 
7071726	Michael E._Sparks	0000 0004 0404 0958grid.463419.dUSDA-ARS Invasive Insect Biocontrol and Behavior Laboratory, Beltsville, MD 20705 USA 
7071726	Raman_Bansal	0000 0004 0404 0958grid.463419.dUSDA-ARS San Joaquin Valley Agricultural Sciences Center, Parlier, CA 93648 USA 
7071726	Joshua B._Benoit	0000 0001 2179 9593grid.24827.3bDepartment of Biological Sciences, University of Cincinnati, Cincinnati, OH 45221 USA 
7071726	Michael B._Blackburn	0000 0004 0404 0958grid.463419.dUSDA-ARS Invasive Insect Biocontrol and Behavior Laboratory, Beltsville, MD 20705 USA 
7071726	Hsu_Chao	0000 0001 2160 926Xgrid.39382.33Department of Human and Molecular Genetics, Human Genome Sequencing Center, Baylor College of Medicine, Houston, TX 77030 USA 
7071726	Mengyao_Chen	0000 0001 0941 7177grid.164295.dDepartment of Entomology, University of Maryland, College Park, MD 20742 USA 
7071726	Sammy_Cheng	0000 0004 1936 9174grid.16416.34Department of Biology, University of Rochester, Rochester, NY 14627 USA 
7071726	Christopher_Childers	0000 0001 2113 2895grid.483014.aUSDA-ARS National Agricultural Library, Beltsville, MD 20705 USA 
7071726	Huyen_Dinh	0000 0001 2160 926Xgrid.39382.33Department of Human and Molecular Genetics, Human Genome Sequencing Center, Baylor College of Medicine, Houston, TX 77030 USA 
7071726	Harsha Vardhan_Doddapaneni	0000 0001 2160 926Xgrid.39382.33Department of Human and Molecular Genetics, Human Genome Sequencing Center, Baylor College of Medicine, Houston, TX 77030 USA 
7071726	Shannon_Dugan	0000 0001 2160 926Xgrid.39382.33Department of Human and Molecular Genetics, Human Genome Sequencing Center, Baylor College of Medicine, Houston, TX 77030 USA 
7071726	Elena N._Elpidina	0000 0001 2342 9668grid.14476.30A.N. Belozersky Institute of Physico-Chemical Biology, Moscow State University, Moscow, 119911 Russia 
7071726	David W._Farrow	0000 0001 2179 9593grid.24827.3bDepartment of Biological Sciences, University of Cincinnati, Cincinnati, OH 45221 USA 
7071726	Markus_Friedrich	0000 0001 1456 7807grid.254444.7Department of Biological Sciences, Wayne State University, Detroit, MI 48201 USA 
7071726	Richard A._Gibbs	0000 0001 2160 926Xgrid.39382.33Department of Human and Molecular Genetics, Human Genome Sequencing Center, Baylor College of Medicine, Houston, TX 77030 USA 
7071726	Brantley_Hall	0000 0001 0694 4940grid.438526.eDepartment of Biochemistry, Virginia Tech, Blacksburg, VA 24061 USA 
7071726	Yi_Han	0000 0001 2160 926Xgrid.39382.33Department of Human and Molecular Genetics, Human Genome Sequencing Center, Baylor College of Medicine, Houston, TX 77030 USA 
7071726	Richard W._Hardy	0000 0001 0790 959Xgrid.411377.7Department of Biology, Indiana University, Bloomington, IN 47405 USA 
7071726	Christopher J._Holmes	0000 0001 2179 9593grid.24827.3bDepartment of Biological Sciences, University of Cincinnati, Cincinnati, OH 45221 USA 
7071726	Daniel S. T._Hughes	0000 0001 2160 926Xgrid.39382.33Department of Human and Molecular Genetics, Human Genome Sequencing Center, Baylor College of Medicine, Houston, TX 77030 USA 
7071726	Panagiotis_Ioannidis	0000 0001 2223 3006grid.419765.8Department of Genetic Medicine and Development, University of Geneva Medical School and Swiss Institute of Bioinformatics, 1211 Geneva, Switzerland 
7071726	Alys M._Cheatle Jarvela	0000 0001 0941 7177grid.164295.dDepartment of Entomology, University of Maryland, College Park, MD 20742 USA 
7071726	J. Spencer_Johnston	0000 0004 4687 2082grid.264756.4Department of Entomology, Texas A&amp;M University, College Station, TX 77843 USA 
7071726	Jeffery W._Jones	0000 0001 1456 7807grid.254444.7Department of Biological Sciences, Wayne State University, Detroit, MI 48201 USA 
7071726	Brent A._Kronmiller	0000 0001 2112 1969grid.4391.fCenter for Genome Research and Biocomputing, Oregon State University, Corvallis, OR 97331 USA 
7071726	Faith_Kung	0000 0001 0941 7177grid.164295.dDepartment of Entomology, University of Maryland, College Park, MD 20742 USA 
7071726	Sandra L._Lee	0000 0001 2160 926Xgrid.39382.33Department of Human and Molecular Genetics, Human Genome Sequencing Center, Baylor College of Medicine, Houston, TX 77030 USA 
7071726	Alexander G._Martynov	0000 0004 0555 3608grid.454320.4Center for Data-Intensive Biomedicine and Biotechnology, Skolkovo Institute of Science and Technology, Skolkovo, 143025 Russia 
7071726	Patrick_Masterson	0000 0001 2297 5165grid.94365.3dNational Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Bethesda, MD 20894 USA 
