pmcid	forename_lastname	affiliation
7357564	Jan A._Veenstra	INCIA UMR 5287 CNRS, Universit&#xE9; de Bordeaux, Pessac, France
7310253	Smitha_George	grid.266539.d0000 0004 1936 8438Department of Entomology, University of Kentucky, Lexington, KY 40546 USA 
7310253	Subba Reddy_Palli	grid.266539.d0000 0004 1936 8438Department of Entomology, University of Kentucky, Lexington, KY 40546 USA 
7317607	Zhongyuan_Deng	School of Agricultural Sciences, Zhengzhou University, Zhengzhou, China
7317607	Yakun_Zhang	State Key Laboratory for Biology of Plant Diseases and Insect Pests, Institute of Plant Protection, Chinese Academy of Agricultural Sciences, Beijing, China
7317607	Min_Zhang	School of Agricultural Sciences, Zhengzhou University, Zhengzhou, China
7317607	Jinyong_Huang	School of Agricultural Sciences, Zhengzhou University, Zhengzhou, China
7317607	Changyou_Li	College of Plant Health and Medicine, Qingdao Agricultural University, Qingdao, China
7317607	Xinzhi_Ni	Agricultural Research Service, U.S. Department of Agriculture, Crop Genetics and Breeding Research Unit, University of Georgia &#x2013; Tifton Campus, Tifton, GA, United States
7317607	Xianchun_Li	Department of Entomology and BIO5 Institute, University of Arizona, Tucson, AZ, United States
7240479	David_Renault	Universit&#xE9; de Rennes 1, CNRS, ECOBIO (Ecosyst&#xE8;mes, Biodiversit&#xE9;, &#xC9;volution) UMR 6553, F-35000 Rennes, France; ; Tel.: +33-(0)2-2323-6627
6880982	Yasukazu_Okada	Department of Biological Sciences, Tokyo Metropolitan University, Hachioji, Tokyo, Japan
6880982	Masako_Katsuki	Laboratory of Applied Entomology, Graduate School of Agricultural and Life Sciences, The University of Tokyo, Tokyo, Japan
6880982	Naoki_Okamoto	Department of Entomology, Institute for Integrative Genome Biology, University of California, Riverside, Riverside, California, United States of America
6880982	Haruna_Fujioka	Department of Biological Sciences, Tokyo Metropolitan University, Hachioji, Tokyo, Japan
6880982	Kensuke_Okada	Graduate School of Environmental and Life Science, Okayama University, Okayama, Japan
6814814	Maximiliano_Tourmente	0000 0004 1936 8024grid.8391.3Centre for Ecology and Conservation, College of Life and Environmental Sciences, University of Exeter, Penryn, United Kingdom 
6814814	C. Ruth_Archer	0000 0004 1936 8024grid.8391.3Centre for Ecology and Conservation, College of Life and Environmental Sciences, University of Exeter, Penryn, United Kingdom 
6814814	David J._Hosken	0000 0004 1936 8024grid.8391.3Centre for Ecology and Conservation, College of Life and Environmental Sciences, University of Exeter, Penryn, United Kingdom 
6571962	Vaclav_Stejskal	Crop Research Institute, Drnovska 507/73, CZ-16106 Prague 6-Ruzyne, Czech Republic;  (R.A.)
6571962	Tomas_Vendl	Crop Research Institute, Drnovska 507/73, CZ-16106 Prague 6-Ruzyne, Czech Republic;  (R.A.)
6571962	Zhihong_Li	Key Laboratory of Ministry of Agriculture for Monitoring and Green Management of Crop Pests, Department of Entomology, College of Plant Protection, China Agricultural University, Beijing 100193, China; 
6571962	Radek_Aulicky	Crop Research Institute, Drnovska 507/73, CZ-16106 Prague 6-Ruzyne, Czech Republic;  (R.A.)
6506240	Saurav_Baral	National Centre for Biological Sciences, Tata Institute of Fundamental Research, GKVK Campus, Bellary Road, Bengaluru 560065, India.
6506240	Gandhimathi_Arumugam	National Centre for Biological Sciences, Tata Institute of Fundamental Research, GKVK Campus, Bellary Road, Bengaluru 560065, India.
6506240	Riddhi_Deshmukh	National Centre for Biological Sciences, Tata Institute of Fundamental Research, GKVK Campus, Bellary Road, Bengaluru 560065, India.
6506240	Krushnamegh_Kunte	National Centre for Biological Sciences, Tata Institute of Fundamental Research, GKVK Campus, Bellary Road, Bengaluru 560065, India.
6394555	Grzegorz_Sowa	0000 0001 2162 9631grid.5522.0Institute of Environmental Sciences, Jagiellonian University, Gronostajowa 7, 30-387 Krak&#xF3;w, Poland 
6394555	Tomasz_Skalski	0000 0001 2335 3149grid.6979.1Biotechnology Centre, Silesian University of Technology, ul. Krzywoustego 8, 44-100 Gliwice, Poland 
6295036	Amit_Roy	0000 0004 1936 8438grid.266539.dDepartment of Entomology, College of Agriculture, Food and Environment, University of Kentucky, Lexington, KY 40546 USA 
6295036	Subba Reddy_Palli	0000 0004 1936 8438grid.266539.dDepartment of Entomology, College of Agriculture, Food and Environment, University of Kentucky, Lexington, KY 40546 USA 
6303786	Jin-Li_Zhang	<institution>State Key Laboratory of Rice and Ministry of Agriculture Key Laboratory of Molecular Biology of Crop Pathogens and Insect Pests, Institutes of Insect Sciences, Zhejiang University</institution>, <addr-line>Hangzhou 310058</addr-line>, <country>People's Republic of China</country>
6303786	Xiao-Bo_Yuan	<institution>State Key Laboratory of Rice and Ministry of Agriculture Key Laboratory of Molecular Biology of Crop Pathogens and Insect Pests, Institutes of Insect Sciences, Zhejiang University</institution>, <addr-line>Hangzhou 310058</addr-line>, <country>People's Republic of China</country>
6303786	Sun-Jie_Chen	<institution>State Key Laboratory of Rice and Ministry of Agriculture Key Laboratory of Molecular Biology of Crop Pathogens and Insect Pests, Institutes of Insect Sciences, Zhejiang University</institution>, <addr-line>Hangzhou 310058</addr-line>, <country>People's Republic of China</country>
6303786	Hao-Hao_Chen	<institution>State Key Laboratory of Rice and Ministry of Agriculture Key Laboratory of Molecular Biology of Crop Pathogens and Insect Pests, Institutes of Insect Sciences, Zhejiang University</institution>, <addr-line>Hangzhou 310058</addr-line>, <country>People's Republic of China</country>
6303786	Nan_Xu	<institution>State Key Laboratory of Rice and Ministry of Agriculture Key Laboratory of Molecular Biology of Crop Pathogens and Insect Pests, Institutes of Insect Sciences, Zhejiang University</institution>, <addr-line>Hangzhou 310058</addr-line>, <country>People's Republic of China</country>
6303786	Wen-Hua_Xue	<institution>State Key Laboratory of Rice and Ministry of Agriculture Key Laboratory of Molecular Biology of Crop Pathogens and Insect Pests, Institutes of Insect Sciences, Zhejiang University</institution>, <addr-line>Hangzhou 310058</addr-line>, <country>People's Republic of China</country>
6303786	Sheng-Jie_Fu	<institution>State Key Laboratory of Rice and Ministry of Agriculture Key Laboratory of Molecular Biology of Crop Pathogens and Insect Pests, Institutes of Insect Sciences, Zhejiang University</institution>, <addr-line>Hangzhou 310058</addr-line>, <country>People's Republic of China</country>
6303786	Chuan-Xi_Zhang	<institution>State Key Laboratory of Rice and Ministry of Agriculture Key Laboratory of Molecular Biology of Crop Pathogens and Insect Pests, Institutes of Insect Sciences, Zhejiang University</institution>, <addr-line>Hangzhou 310058</addr-line>, <country>People's Republic of China</country>
6303786	Hai-Jun_Xu	<institution>State Key Laboratory of Rice and Ministry of Agriculture Key Laboratory of Molecular Biology of Crop Pathogens and Insect Pests, Institutes of Insect Sciences, Zhejiang University</institution>, <addr-line>Hangzhou 310058</addr-line>, <country>People's Republic of China</country>
6280856	Tom P. G._Van den Beuken	0000000084992262grid.7177.6Department of Evolutionary and Population Biology, Institute for Biodiversity and Ecosystem Dynamics, University of Amsterdam, PO Box 94240, 1090 GE Amsterdam, The Netherlands 
6280856	Isabel M._Smallegange	0000000084992262grid.7177.6Department of Evolutionary and Population Biology, Institute for Biodiversity and Ecosystem Dynamics, University of Amsterdam, PO Box 94240, 1090 GE Amsterdam, The Netherlands 
6316112	Tomas_Vendl	Crop Research Institute, Drnovska 507/73, Prague 6-Ruzyne CZ-16106, Czech Republic;  (R.A.)
6316112	Vaclav_Stejskal	Crop Research Institute, Drnovska 507/73, Prague 6-Ruzyne CZ-16106, Czech Republic;  (R.A.)
6316112	Radek_Aulicky	Crop Research Institute, Drnovska 507/73, Prague 6-Ruzyne CZ-16106, Czech Republic;  (R.A.)
5799738	Yves_Bousquet	Canadian National Collection of Insects, Arachnids and Nematodes, Agriculture and Agri-Food Canada, Ottawa, Ontario, K1A 0C6, Canada
5799738	Donald B._Thomas	USDA ARS, Cattle Fever Tick Research Laboratory, 22675 N Moorefield Rd, Edinburg, Texas, 78596, USA
5799738	Patrice_Bouchard	Canadian National Collection of Insects, Arachnids and Nematodes, Agriculture and Agri-Food Canada, Ottawa, Ontario, K1A 0C6, Canada
5799738	Aaron D._Smith	Northern Arizona University, Department of Biological Sciences, POB 5640, Flagstaff, Arizona, 86011, USA
5799738	Rolf L._Aalbu	California Academy of Sciences, Department of Entomology, 55 Music Concourse Dr, Golden Gate Park, San Francisco, California, 94118, USA
5799738	M. Andrew_Johnston	Arizona State University, School of Life Sciences, POB 874501, Tempe, Arizona, 85287, USA
5799738	Warren E. Steiner_Jr.	Smithsonian Institution, Department of Entomology, NHB 187, Washington, DC, 20013, USA
5524875	Shotaro_Mine	0000 0001 2151 536Xgrid.26999.3dDepartment of Integrated Biosciences, Graduate School of Frontier Sciences, The University of Tokyo, 5-1-5 Kashiwanoha, Kashiwa-shi, Chiba, 277-8562 Japan 
5524875	Megumi_Sumitani	0000 0001 0699 0373grid.410590.9Genetically Modified Organism Research Center, National Institute of Agrobiological Sciences, Owashi, Tsukuba, 305-8634 Japan 
5524875	Fugaku_Aoki	0000 0001 2151 536Xgrid.26999.3dDepartment of Integrated Biosciences, Graduate School of Frontier Sciences, The University of Tokyo, 5-1-5 Kashiwanoha, Kashiwa-shi, Chiba, 277-8562 Japan 
5524875	Masatsugu_Hatakeyama	0000 0001 0699 0373grid.410590.9Division of Insect Sciences, National Institute of Agrobiological Sciences, Owashi, Tsukuba, 305-8634 Japan 
5524875	Masataka G._Suzuki	0000 0001 2151 536Xgrid.26999.3dDepartment of Integrated Biosciences, Graduate School of Frontier Sciences, The University of Tokyo, 5-1-5 Kashiwanoha, Kashiwa-shi, Chiba, 277-8562 Japan 
5324616	M. S._Maraqa	                  1                Centre for Ecology and Conservation        College of Life &amp; Environmental Sciences        University of Exeter        Cornwall        UK      
5324616	R._Griffin	                  2                Department of Biology        University of Turku        Turun Yliopisto        Finland      
5324616	M. D._Sharma	                  1                Centre for Ecology and Conservation        College of Life &amp; Environmental Sciences        University of Exeter        Cornwall        UK      
5324616	A. J._Wilson	                  1                Centre for Ecology and Conservation        College of Life &amp; Environmental Sciences        University of Exeter        Cornwall        UK      
5324616	J._Hunt	                  3                School of Science and Health        Western Sydney University        Penrith        NSW        Australia      
5324616	D. J._Hosken	                  1                Centre for Ecology and Conservation        College of Life &amp; Environmental Sciences        University of Exeter        Cornwall        UK      
5324616	C. M._House	                  3                School of Science and Health        Western Sydney University        Penrith        NSW        Australia      
4941388	Hiroki_Gotoh	Graduate School of Bioagricultural Sciences, Nagoya University, Chikusa, Nagoya 464-8601, Japan
4941388	Mai_Ishiguro	Graduate School of Bioagricultural Sciences, Nagoya University, Chikusa, Nagoya 464-8601, Japan
4941388	Hideto_Nishikawa	Graduate School of Bioagricultural Sciences, Nagoya University, Chikusa, Nagoya 464-8601, Japan
4941388	Shinichi_Morita	Division of Evolutionary Developmental Biology, National Institute for Basic Biology, 38, Nishigonaka, Myodaiji, Okazaki 444-8585, Japan
4941388	Kensuke_Okada	Graduate School of Environmental and Life Science, Okayama University, Okayama 700-8530, Japan
4941388	Takahisa_Miyatake	Graduate School of Environmental and Life Science, Okayama University, Okayama 700-8530, Japan
4941388	Toshinobu_Yaginuma	Graduate School of Bioagricultural Sciences, Nagoya University, Chikusa, Nagoya 464-8601, Japan
4941388	Teruyuki_Niimi	Graduate School of Bioagricultural Sciences, Nagoya University, Chikusa, Nagoya 464-8601, Japan
5035384	Clarissa M._House	*Centre for Ecology and Conservation, College of Life and Environmental Sciences, University of Exeter, Penryn Campus, Cornwall, TR10 9EZ, UK
5035384	M. D._Sharma	*Centre for Ecology and Conservation, College of Life and Environmental Sciences, University of Exeter, Penryn Campus, Cornwall, TR10 9EZ, UK
5035384	Kensuke_Okada	Laboratory of Evolutionary Ecology, Graduate School of Environmental Science, Okayama University, Tsushima-naka 1-1-1, Okayama, Japan
5035384	David J._Hosken	*Centre for Ecology and Conservation, College of Life and Environmental Sciences, University of Exeter, Penryn Campus, Cornwall, TR10 9EZ, UK
4979707	Paul N._Joseph	1Entomology and Nematology DepartmentUniversity of Florida1881 Natural Area DriveGainesvilleFlorida32608
4979707	Daniel A._Sasson	2Whitney Laboratory for Marine BioscienceUniversity of Florida9505 Ocean Shore BlvdSt. AugustineFlorida32080
4979707	Pablo E._Allen	1Entomology and Nematology DepartmentUniversity of Florida1881 Natural Area DriveGainesvilleFlorida32608
4979707	Ummat_Somjee	1Entomology and Nematology DepartmentUniversity of Florida1881 Natural Area DriveGainesvilleFlorida32608
4979707	Christine W._Miller	1Entomology and Nematology DepartmentUniversity of Florida1881 Natural Area DriveGainesvilleFlorida32608
4897696	Juliano_Morimoto	Department of Zoology, Edward Grey Institute, University of Oxford, South Parks Road, Oxford OX1 3PS, United Kingdom
4897696	Stuart_Wigby	Department of Zoology, Edward Grey Institute, University of Oxford, South Parks Road, Oxford OX1 3PS, United Kingdom
4866275	David_Berger	Animal Ecology, Department of Ecology and Genetics, Uppsala University, Evolutionary Biology Centre, Norbyv&#xE4;gen 18D, 75105 Uppsala, Sweden 
4866275	Tao_You	Animal Ecology, Department of Ecology and Genetics, Uppsala University, Evolutionary Biology Centre, Norbyv&#xE4;gen 18D, 75105 Uppsala, Sweden 
4866275	Maravillas R._Minano	Animal Ecology, Department of Ecology and Genetics, Uppsala University, Evolutionary Biology Centre, Norbyv&#xE4;gen 18D, 75105 Uppsala, Sweden 
4866275	Karl_Grieshop	Animal Ecology, Department of Ecology and Genetics, Uppsala University, Evolutionary Biology Centre, Norbyv&#xE4;gen 18D, 75105 Uppsala, Sweden 
4866275	Martin I._Lind	Animal Ecology, Department of Ecology and Genetics, Uppsala University, Evolutionary Biology Centre, Norbyv&#xE4;gen 18D, 75105 Uppsala, Sweden 
4866275	G&#xF6;ran_Arnqvist	Animal Ecology, Department of Ecology and Genetics, Uppsala University, Evolutionary Biology Centre, Norbyv&#xE4;gen 18D, 75105 Uppsala, Sweden 
4866275	Alexei A._Maklakov	Animal Ecology, Department of Ecology and Genetics, Uppsala University, Evolutionary Biology Centre, Norbyv&#xE4;gen 18D, 75105 Uppsala, Sweden 
5080317	Chiaki I._Yasuda	Faculty of Education, Wakayama University, Sakaedani 930, Wakayama, 640-8510 Japan 
5080317	Tsunenori_Koga	Faculty of Education, Wakayama University, Sakaedani 930, Wakayama, 640-8510 Japan 
4999037	S. M._Lane	                  1                Centre for Ecology and Conservation        College of Life and Environmental Sciences        University of Exeter        Cornwall        UK      
4999037	A. W._Dickinson	                  1                Centre for Ecology and Conservation        College of Life and Environmental Sciences        University of Exeter        Cornwall        UK      
4999037	T._Tregenza	                  1                Centre for Ecology and Conservation        College of Life and Environmental Sciences        University of Exeter        Cornwall        UK      
4999037	C. M._House	                  1                Centre for Ecology and Conservation        College of Life and Environmental Sciences        University of Exeter        Cornwall        UK      
4829933	Reginald P._Webster	24 Mill Stream Drive, Charters Settlement, NB, Canada E3C 1X1      
4526545	Leeann T._Reaney	School of Biological and Chemical Sciences, Queen Mary, University of London, Mile End Road, London, United Kingdom
4526545	Robert J._Knell	School of Biological and Chemical Sciences, Queen Mary, University of London, Mile End Road, London, United Kingdom
4495758	Sarah M._Lane	Centre for Ecology and Conservation, College of Life &amp; Environmental Sciences, University of Exeter, Penryn Campus, Cornwall TR10 9EZ, UK,
