pmcid	forename_lastname	affiliation
7469204	Anna_Skourti	Laboratory of Agricultural Zoology and Entomology, Department of Crop Science, Agricultural University of Athens, 75 Iera Odos str., 11855 Athens, Attica, Greece;  (N.E.P.)
7469204	Nickolas G._Kavallieratos	Laboratory of Agricultural Zoology and Entomology, Department of Crop Science, Agricultural University of Athens, 75 Iera Odos str., 11855 Athens, Attica, Greece;  (N.E.P.)
7469204	Nikos E._Papanikolaou	Laboratory of Agricultural Zoology and Entomology, Department of Crop Science, Agricultural University of Athens, 75 Iera Odos str., 11855 Athens, Attica, Greece;  (N.E.P.)
7464821	Mohammad Reza_Youssefi	Department of Veterinary Parasitology, Babol-Branch, Islamic Azad University, Babol 19585/466, Iran; 
7464821	Ali_Nikpay	Faculty of Veterinary Medicine, Amol University of Special Modern Technologies, Amol 4618649767, Iran; 
7464821	Niloufar_Hassanpour	Faculty of Veterinary Medicine, Babol-Branch, Islamic Azad University, Babol 19585/466, Iran;  (P.S.T.)
7464821	Aida_Mirzapour	Faculty of Veterinary Medicine, Babol-Branch, Islamic Azad University, Babol 19585/466, Iran;  (P.S.T.)
7464821	Parisa Saleh_Tabari	Faculty of Veterinary Medicine, Babol-Branch, Islamic Azad University, Babol 19585/466, Iran;  (P.S.T.)
7464821	Roman_Pavela	Crop Research Institute, Drnovska 507, Ruzyne, 161 06 Prague 6, Czech Republic; 
7464821	Filippo_Maggi	School of Pharmacy, University of Camerino, via Sant&#x2019;Agostino 1, 62032 Camerino, Italy; 
7464821	Riccardo_Petrelli	School of Pharmacy, University of Camerino, via Sant&#x2019;Agostino 1, 62032 Camerino, Italy; 
7413517	Ya-Nan_Hao	        Biocontrol Engineering Laboratory of Crop Diseases and Pests of Gansu Province, College of Plant Protection, Gansu Agricultural University, Lanzhou, China      
7413517	Yuan-Xing_Sun	        Biocontrol Engineering Laboratory of Crop Diseases and Pests of Gansu Province, College of Plant Protection, Gansu Agricultural University, Lanzhou, China      
7413517	Chang-Zhong_Liu	        Biocontrol Engineering Laboratory of Crop Diseases and Pests of Gansu Province, College of Plant Protection, Gansu Agricultural University, Lanzhou, China      
7464977	Spiridon_Mantzoukas	Department of Pharmacy, School of Health Sciences, University of Patras, 26504 Patras, Greece;  (A.M.)
7464977	Georgia_Korbou	Department of Pharmacy, School of Health Sciences, University of Patras, 26504 Patras, Greece;  (A.M.)
7464977	Alexandra_Magita	Department of Pharmacy, School of Health Sciences, University of Patras, 26504 Patras, Greece;  (A.M.)
7464977	Panagiotis_A. Eliopoulos	Department of Agrotechnology, University of Thessaly, 45100 Larissa, Greece; 
7464977	Konstantinos_Poulas	Department of Pharmacy, School of Health Sciences, University of Patras, 26504 Patras, Greece;  (A.M.)
7465044	Gianluca_Paventi	Department of Medicine and Health Sciences &#x201C;V. Tiberio&#x201D;, University of Molise, via de Sanctis, 86100 Campobasso, Italy
7465044	Laura_de Acutis	Department of Agricultural, Environmental and Food Sciences, University of Molise, via de Sanctis, 86100 Campobasso, Italy;  (A.D.C.)
7465044	Antonio_De Cristofaro	Department of Agricultural, Environmental and Food Sciences, University of Molise, via de Sanctis, 86100 Campobasso, Italy;  (A.D.C.)
7465044	Marco_Pistillo	Department of the Sciences of Agriculture, Food and Environment, University of Foggia, Via Napoli 25, 71122 Foggia, Italy; 
7465044	Giacinto S._Germinara	Department of the Sciences of Agriculture, Food and Environment, University of Foggia, Via Napoli 25, 71122 Foggia, Italy; 
7465044	Giuseppe_Rotundo	Department of Agricultural, Environmental and Food Sciences, University of Molise, via de Sanctis, 86100 Campobasso, Italy;  (A.D.C.)
7343874	Christos I._Rumbos	0000 0001 0035 6670grid.410558.dDepartment of Agriculture Crop Production and Rural Environment, School of Agricultural Sciences, University of Thessaly, Fytokou Str., 38446 Volos, Greece 
7343874	Ioannis T._Karapanagiotidis	0000 0001 0035 6670grid.410558.dDepartment of Ichthyology and Aquatic Environment, School of Agricultural Sciences, University of Thessaly, Fytokou Str., 38446 Volos, Greece 
7343874	Eleni_Mente	0000 0001 0035 6670grid.410558.dDepartment of Ichthyology and Aquatic Environment, School of Agricultural Sciences, University of Thessaly, Fytokou Str., 38446 Volos, Greece 
7343874	Pier_Psofakis	0000 0001 0035 6670grid.410558.dDepartment of Ichthyology and Aquatic Environment, School of Agricultural Sciences, University of Thessaly, Fytokou Str., 38446 Volos, Greece 
