pmcid	forename_lastname	affiliation
7452910	Leonid V._Egorov	The State Nature Reserve &#xAB;Prisursky&#xBB;, Lesnoj, 9, 428034 Cheboksary, Russia
7452910	Alexander B._Ruchin	The State Nature Reserve &#xAB;Prisursky&#xBB;, Lesnoj, 9, 428034 Cheboksary, Russia
7452910	Viktor B._Semenov	UNKNOWN
7452910	Oleg I._Semionenkov	National Park &#xAB;Smolensk Lakeland&#xBB;, Gurevich str., 19, Przhevalskoye, Demidov district, 216270 Smolensk region, Russia
7452910	Gennady B._Semishin	Joint Directorate of the Mordovia State Nature Reserve and National Park &#xAB;Smolny&#xBB;, Krasnaya str., 30, 430005 Saransk, Russia
7469215	Isaac L._Esquivel	Department of Entomology, Texas A&amp;M University, College Station, TX 77843, USA; 
7469215	Robert N._Coulson	Department of Entomology, Texas A&amp;M University, College Station, TX 77843, USA; 
7469215	Michael J._Brewer	Department of Entomology, Texas A&amp;M AgriLife Research, Corpus Christi, TX 78406, USA; 
7391001	Claude_Bragard	UNKNOWN
7391001	Katharina_Dehnen&#x2010;Schmutz	UNKNOWN
7391001	Francesco_Di Serio	UNKNOWN
7391001	Paolo_Gonthier	UNKNOWN
7391001	Marie&#x2010;Agn&#xE8;s_Jacques	UNKNOWN
7391001	Josep Anton_Jaques Miret	UNKNOWN
7391001	Annemarie Fejer_Justesen	UNKNOWN
7391001	Christer Sven_Magnusson	UNKNOWN
7391001	Panagiotis_Milonas	UNKNOWN
7391001	Juan A_Navas&#x2010;Cortes	UNKNOWN
7391001	Stephen_Parnell	UNKNOWN
7391001	Roel_Potting	UNKNOWN
7391001	Philippe Lucien_Reignault	UNKNOWN
7391001	Hans&#x2010;Hermann_Thulke	UNKNOWN
7391001	Wopke_Van der Werf	UNKNOWN
7391001	Antonio Vicent_Civera	UNKNOWN
7391001	Jonathan_Yuen	UNKNOWN
7391001	Lucia_Zappal&#xE0;	UNKNOWN
7391001	Ewelina_Czwienczek	UNKNOWN
7391001	Vir&#xE1;g_Kert&#xE9;sz	UNKNOWN
7391001	Franz_Streissl	UNKNOWN
7391001	Alan_MacLeod	UNKNOWN
7378549	Jos&#xE9; Ricardo_Cure	0000 0001 2223 8106grid.412208.dFacultad de Ciencias B&#xE1;sicas y Aplicadas, Universidad Militar Nueva Granada, Cr.11 No.101-80, Bogot&#xE1;, Colombia 
7378549	Daniel_Rodr&#xED;guez	0000 0001 2223 8106grid.412208.dFacultad de Ciencias B&#xE1;sicas y Aplicadas, Universidad Militar Nueva Granada, Cr.11 No.101-80, Bogot&#xE1;, Colombia 
7378549	Andrew Paul_Gutierrez	0000 0001 2181 7878grid.47840.3fDivision of Ecosystem Science, College of Natural Resources, University of California, Berkeley, CA 94720-3114 USA 
7378549	Luigi_Ponti	0000 0000 9864 2490grid.5196.bAgenzia nazionale per le nuove tecnologie, l&#x2019;energia e lo sviluppo economico sostenibile (ENEA), Centro Ricerche Casaccia, Via Anguillarese 301, 00123 Rome, Italy 
7409248	Kun_Wei	State Key Laboratory BreedingBaseof Green Pesticide and Agricultural Bioengineering, Key Laboratoryof Green Pesticide and Agricultural Bioengineering, Ministry of Education, Center for Research and Development of Fine Chemicalsof Guizhou University, Huaxi District, Guiyang 550025, People&#x2019;sRepublic of China
7409248	Weiming_Xu	State Key Laboratory BreedingBaseof Green Pesticide and Agricultural Bioengineering, Key Laboratoryof Green Pesticide and Agricultural Bioengineering, Ministry of Education, Center for Research and Development of Fine Chemicalsof Guizhou University, Huaxi District, Guiyang 550025, People&#x2019;sRepublic of China
7409248	Qin_Liu	State Key Laboratory BreedingBaseof Green Pesticide and Agricultural Bioengineering, Key Laboratoryof Green Pesticide and Agricultural Bioengineering, Ministry of Education, Center for Research and Development of Fine Chemicalsof Guizhou University, Huaxi District, Guiyang 550025, People&#x2019;sRepublic of China
7409248	Liyun_Yang	State Key Laboratory BreedingBaseof Green Pesticide and Agricultural Bioengineering, Key Laboratoryof Green Pesticide and Agricultural Bioengineering, Ministry of Education, Center for Research and Development of Fine Chemicalsof Guizhou University, Huaxi District, Guiyang 550025, People&#x2019;sRepublic of China
7409248	Zhuo_Chen	State Key Laboratory BreedingBaseof Green Pesticide and Agricultural Bioengineering, Key Laboratoryof Green Pesticide and Agricultural Bioengineering, Ministry of Education, Center for Research and Development of Fine Chemicalsof Guizhou University, Huaxi District, Guiyang 550025, People&#x2019;sRepublic of China
7387505	Patricia_Hern&#xE1;ndez-Mart&#xED;nez	Laboratory of Biotechnological Control of Pest, ERI de Biotecnolog&#xED;a y Biomedicina, Department of Genetics, Universitat de Val&#xE8;ncia, Burjassot, Spain
7387505	Ayda_Khorramnejad	Laboratory of Biotechnological Control of Pest, ERI de Biotecnolog&#xED;a y Biomedicina, Department of Genetics, Universitat de Val&#xE8;ncia, Burjassot, Spain
7387505	Katterine_Prentice	Laboratory of Agrozoology, Department of Plants and Crops, Faculty of Bioscience Engineering, Ghent University, Ghent, Belgium
7387505	Ascensi&#xF3;n_Andr&#xE9;s-Garrido	Laboratory of Biotechnological Control of Pest, ERI de Biotecnolog&#xED;a y Biomedicina, Department of Genetics, Universitat de Val&#xE8;ncia, Burjassot, Spain
7387505	Natalia Mara_Vera-Velasco	Laboratory Membrane Proteins, ERI de Biotecnolog&#xED;a y Biomedicina, Department of Biochemistry and Molecular Biology, Universitat de Val&#xE8;ncia, Burjassot, Spain
7387505	Guy_Smagghe	Laboratory of Agrozoology, Department of Plants and Crops, Faculty of Bioscience Engineering, Ghent University, Ghent, Belgium
7387505	Baltasar_Escriche	Laboratory of Biotechnological Control of Pest, ERI de Biotecnolog&#xED;a y Biomedicina, Department of Genetics, Universitat de Val&#xE8;ncia, Burjassot, Spain
7339632	Claude_Bragard	UNKNOWN
7339632	Katharina_Dehnen&#x2010;Schmutz	UNKNOWN
7339632	Francesco_Di Serio	UNKNOWN
7339632	Paolo_Gonthier	UNKNOWN
7339632	Marie&#x2010;Agn&#xE8;s_Jacques	UNKNOWN
7339632	Josep Anton_Jaques Miret	UNKNOWN
7339632	Annemarie Fejer_Justesen	UNKNOWN
7339632	Christer Sven_Magnusson	UNKNOWN
7339632	Panagiotis_Milonas	UNKNOWN
7339632	Juan A._Navas&#x2010;Cortes	UNKNOWN
7339632	Stephen_Parnell	UNKNOWN
7339632	Roel_Potting	UNKNOWN
7339632	Philippe Lucien_Reignault	UNKNOWN
7339632	Hans&#x2010;Hermann_Thulke	UNKNOWN
7339632	Wopke_Van der Werf	UNKNOWN
7339632	Antonio Vicent_Civera	UNKNOWN
7339632	Jonathan_Yuen	UNKNOWN
7339632	Lucia_Zappal&#xE0;	UNKNOWN
7339632	Ewelina_Czwienczek	UNKNOWN
7339632	Franz_Streissl	UNKNOWN
7339632	Alan_MacLeod	UNKNOWN
7339215	Claude_Bragard	UNKNOWN
7339215	Katharina_Dehnen&#x2010;Schmutz	UNKNOWN
7339215	Francesco_Di Serio	UNKNOWN
7339215	Paolo_Gonthier	UNKNOWN
7339215	Marie&#x2010;Agn&#xE8;s_Jacques	UNKNOWN
7339215	Josep Anton_Jaques Miret	UNKNOWN
7339215	Annemarie Fejer_Justesen	UNKNOWN
7339215	Alan_MacLeod	UNKNOWN
7339215	Christer Sven_Magnusson	UNKNOWN
7339215	Panagiotis_Milonas	UNKNOWN
7339215	Juan A_Navas&#x2010;Cortes	UNKNOWN
7339215	Stephen_Parnell	UNKNOWN
7339215	Roel_Potting	UNKNOWN
7339215	Philippe Lucien_Reignault	UNKNOWN
7339215	Hans&#x2010;Hermann_Thulke	UNKNOWN
7339215	Wopke_Van der Werf	UNKNOWN
7339215	Antonio_Vicent Civera	UNKNOWN
7339215	Jonathan_Yuen	UNKNOWN
7339215	Lucia_Zappal&#xE0;	UNKNOWN
7339215	Thierry_Candresse	UNKNOWN
7339215	Elisavet_Chatzivassiliou	UNKNOWN
7339215	Stephan_Winter	UNKNOWN
7339215	Bernard_Bottex	UNKNOWN
7332975	Claude_Bragard	UNKNOWN
7332975	Katharina_Dehnen&#x2010;Schmutz	UNKNOWN
7332975	Francesco_Di Serio	UNKNOWN
7332975	Paolo_Gonthier	UNKNOWN
7332975	Marie&#x2010;Agn&#xE8;s_Jacques	UNKNOWN
7332975	Josep Anton_Jaques Miret	UNKNOWN
7332975	Annemarie Fejer_Justesen	UNKNOWN
7332975	Christer Sven_Magnusson	UNKNOWN
7332975	Panagiotis_Milonas	UNKNOWN
7332975	Juan A_Navas&#x2010;Cortes	UNKNOWN
7332975	Stephen_Parnell	UNKNOWN
7332975	Roel_Potting	UNKNOWN
7332975	Philippe Lucien_Reignault	UNKNOWN
7332975	Hans&#x2010;Hermann_Thulke	UNKNOWN
7332975	Wopke_Van der Werf	UNKNOWN
7332975	Antonio_Vicent Civera	UNKNOWN
7332975	Jonathan_Yuen	UNKNOWN
7332975	Lucia_Zappal&#xE0;	UNKNOWN
7332975	Ewelina_Czwienczek	UNKNOWN
7332975	Franz_Streissl	UNKNOWN
7332975	Alan_MacLeod	UNKNOWN
7404982	Mikel_Dom&#xED;nguez-Arrizabalaga	Institute for Multidisciplinary Research in Applied Biology-IMAB, Universidad P&#xFA;blica de Navarra, 31192 Mutilva, Navarra, Spain;  (M.V.)
7404982	Maite_Villanueva	Institute for Multidisciplinary Research in Applied Biology-IMAB, Universidad P&#xFA;blica de Navarra, 31192 Mutilva, Navarra, Spain;  (M.V.)
7404982	Baltasar_Escriche	Departamento de Gen&#xE9;tica/ERI BioTecMed, Universitat de Val&#xE8;ncia, Burjassot, 46100 Val&#xE8;ncia, Spain; 
7404982	Carmen_Anc&#xED;n-Azpilicueta	Departamento de Ciencias, Universidad P&#xFA;blica de Navarra, 31006 Pamplona, Spain; 
7404982	Primitivo_Caballero	Institute for Multidisciplinary Research in Applied Biology-IMAB, Universidad P&#xFA;blica de Navarra, 31192 Mutilva, Navarra, Spain;  (M.V.)
7448044	Claude_Bragard	UNKNOWN
7448044	Katharina_Dehnen&#x2010;Schmutz	UNKNOWN
7448044	Francesco_Di Serio	UNKNOWN
7448044	Paolo_Gonthier	UNKNOWN
7448044	Marie&#x2010;Agn&#xE8;s_Jacques	UNKNOWN
7448044	Josep Anton_Jaques Miret	UNKNOWN
7448044	Annemarie Fejer_Justesen	UNKNOWN
7448044	Christer Sven_Magnusson	UNKNOWN
7448044	Panagiotis_Milonas	UNKNOWN
7448044	Juan A._Navas&#x2010;Cortes	UNKNOWN
7448044	Stephen_Parnell	UNKNOWN
7448044	Roel_Potting	UNKNOWN
7448044	Philippe Lucien_Reignault	UNKNOWN
7448044	Hans&#x2010;Hermann_Thulke	UNKNOWN
7448044	Wopke_Van der Werf	UNKNOWN
7448044	Antonio Vicent_Civera	UNKNOWN
7448044	Jonathan_Yuen	UNKNOWN
7448044	Lucia_Zappal&#xE0;	UNKNOWN
7448044	Ewelina_Czwienczek	UNKNOWN
7448044	Franz_Streissl	UNKNOWN
7448044	Alan_MacLeod	UNKNOWN
7303257	Zhong_Cheng	College of Mechatronic and Quality Technology Engineering, Nanning University, Nanning, China
7303257	Liang_Xian	National Engineering Research Center for Non-food Biorefinery, State Key Laboratory of Non-food Biomass Enzyme Technology, Guangxi Key Laboratory of Biorefinery, Guangxi Academy of Sciences, Nanning, China
7303257	Dong_Chen	National Engineering Research Center for Non-food Biorefinery, State Key Laboratory of Non-food Biomass Enzyme Technology, Guangxi Key Laboratory of Biorefinery, Guangxi Academy of Sciences, Nanning, China
7303257	Jian_Lu	State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources, College of Life Science and Technology, Guangxi University, Nanning, China
7303257	Yutuo_Wei	State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources, College of Life Science and Technology, Guangxi University, Nanning, China
7303257	Liqin_Du	State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources, College of Life Science and Technology, Guangxi University, Nanning, China
7303257	Qingyan_Wang	National Engineering Research Center for Non-food Biorefinery, State Key Laboratory of Non-food Biomass Enzyme Technology, Guangxi Key Laboratory of Biorefinery, Guangxi Academy of Sciences, Nanning, China
7303257	Yunlai_Chen	School of Environment and Life Science, Nanning Normal University, Nanning, China
7303257	Bo_Lu	National Engineering Research Center for Non-food Biorefinery, State Key Laboratory of Non-food Biomass Enzyme Technology, Guangxi Key Laboratory of Biorefinery, Guangxi Academy of Sciences, Nanning, China
7303257	Dewu_Bi	State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources, College of Life Science and Technology, Guangxi University, Nanning, China
7303257	Zhikai_Zhang	State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources, College of Life Science and Technology, Guangxi University, Nanning, China
7303257	Ribo_Huang	State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources, College of Life Science and Technology, Guangxi University, Nanning, China
7260174	Lorenzo_Furlan	Veneto Agricoltura, Agricultural Research Department, 35020 Legnaro, PD Italy 
7260174	Barbara_Contiero	0000 0004 1757 3470grid.5608.bUniversity of Padua, Department of Animal Medicine, Production and Health, 35020 Legnaro, PD Italy 
7260174	Francesca_Chiarini	Veneto Agricoltura, Agricultural Research Department, 35020 Legnaro, PD Italy 
7260174	Isadora_Benvegn&#xF9;	Freelance, 45011 Adria, RO Italy 
7260174	Mikl&#xF3;s_T&#xF3;th	0000 0001 2159 5435grid.425512.5Plant Protection Institute, Centre for Agricultural Research, Budapest, POB 102, H-1525 Hungary 
7243915	Marcos Fernando_Basso	Plant Biotechnology, Embrapa Genetic Resources and Biotechnology, Bras&#xED;lia, Brazil
7243915	Fabr&#xED;cio Barbosa Monteiro_Arraes	Plant Biotechnology, Embrapa Genetic Resources and Biotechnology, Bras&#xED;lia, Brazil
7243915	Ma&#xED;ra_Grossi-de-Sa	Plant Biotechnology, Embrapa Genetic Resources and Biotechnology, Bras&#xED;lia, Brazil
7243915	Valdeir Junio Vaz_Moreira	Plant Biotechnology, Embrapa Genetic Resources and Biotechnology, Bras&#xED;lia, Brazil
7243915	Marcio_Alves-Ferreira	Department of Genetic, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil
7243915	Maria Fatima_Grossi-de-Sa	Plant Biotechnology, Embrapa Genetic Resources and Biotechnology, Bras&#xED;lia, Brazil
