pmcid	forename_lastname	affiliation
7452910	Leonid V._Egorov	The State Nature Reserve &#xAB;Prisursky&#xBB;, Lesnoj, 9, 428034 Cheboksary, Russia
7452910	Alexander B._Ruchin	The State Nature Reserve &#xAB;Prisursky&#xBB;, Lesnoj, 9, 428034 Cheboksary, Russia
7452910	Viktor B._Semenov	UNKNOWN
7452910	Oleg I._Semionenkov	National Park &#xAB;Smolensk Lakeland&#xBB;, Gurevich str., 19, Przhevalskoye, Demidov district, 216270 Smolensk region, Russia
7452910	Gennady B._Semishin	Joint Directorate of the Mordovia State Nature Reserve and National Park &#xAB;Smolny&#xBB;, Krasnaya str., 30, 430005 Saransk, Russia
7291086	Fredrick Fidelis_Umaru	Institute of Biological Sciences, Faculty of Science, University of Malaya, Kuala Lumpur 50603, Malaysia; 
7291086	Khanom_Simarani	Institute of Biological Sciences, Faculty of Science, University of Malaya, Kuala Lumpur 50603, Malaysia; 
7034978	Maria Cristina_Stroe	Department of Molecular and Applied Microbiology, Leibniz Institute for Natural Product Research and Infection Biology (HKI)          Jena          Germany        
7034978	Tina_Netzker	Department of Molecular and Applied Microbiology, Leibniz Institute for Natural Product Research and Infection Biology (HKI)          Jena          Germany        
7034978	Kirstin_Scherlach	Department of Biomolecular Chemistry, HKI          Jena          Germany        
7034978	Thomas_Kr&#xFC;ger	Department of Molecular and Applied Microbiology, Leibniz Institute for Natural Product Research and Infection Biology (HKI)          Jena          Germany        
7034978	Christian_Hertweck	Institute of Microbiology, Friedrich Schiller University Jena          Jena          Germany        
7034978	Vito_Valiante	Leibniz Research Group &#x2013; Biobricks of Microbial Natural Product Syntheses, HKI          Jena          Germany        
7034978	Axel A_Brakhage	Department of Molecular and Applied Microbiology, Leibniz Institute for Natural Product Research and Infection Biology (HKI)          Jena          Germany        
6836213	David W._Hagstrum	Department of Entomology, Kansas State University, Manhattan, KS 66502, USA
6836213	Christos G._Athanassiou	Laboratory of Entomology and Agricultural Zoology, Department of Agriculture, Crop Production and Rural Environment, University of Thessaly, Phytokou str., Nea Ionia, 38446 Magnissia, Greece
6780364	Marzia Cristiana_Rosi	Department of Agriculture, Food, Environment and Forestry (DAGRI), University of Florence, 50144 Florence, Italy
6780364	Francesco_Garbati Pegna	Department of Agriculture, Food, Environment and Forestry (DAGRI), University of Florence, 50144 Florence, Italy
6780364	Anita_Nencioni	Department of Agriculture, Food, Environment and Forestry (DAGRI), University of Florence, 50144 Florence, Italy
6780364	Roberto_Guidi	Department of Agriculture, Food, Environment and Forestry (DAGRI), University of Florence, 50144 Florence, Italy
6780364	Michele_Bicego	Stalam, Radio Frequency Equipment, Via dell&#x2019;Olmo, 7, 36055 Nove (Vicenza), Italy
6780364	Antonio_Belcari	Department of Agriculture, Food, Environment and Forestry (DAGRI), University of Florence, 50144 Florence, Italy
6780364	Patrizia_Sacchetti	Department of Agriculture, Food, Environment and Forestry (DAGRI), University of Florence, 50144 Florence, Italy
6563255	Priyanka_Reddy	Agriculture Victoria, AgriBio, Centre for AgriBioscience, Bundoora, Victoria 3083, Australia;  (G.S.)
6563255	Kathryn_Guthridge	Agriculture Victoria, AgriBio, Centre for AgriBioscience, Bundoora, Victoria 3083, Australia;  (G.S.)
6563255	Simone_Vassiliadis	Agriculture Victoria, AgriBio, Centre for AgriBioscience, Bundoora, Victoria 3083, Australia;  (G.S.)
6563255	Joanne_Hemsworth	Agriculture Victoria, AgriBio, Centre for AgriBioscience, Bundoora, Victoria 3083, Australia;  (G.S.)
6563255	Inoka_Hettiarachchige	Agriculture Victoria, AgriBio, Centre for AgriBioscience, Bundoora, Victoria 3083, Australia;  (G.S.)
6563255	German_Spangenberg	Agriculture Victoria, AgriBio, Centre for AgriBioscience, Bundoora, Victoria 3083, Australia;  (G.S.)
6563255	Simone_Rochfort	Agriculture Victoria, AgriBio, Centre for AgriBioscience, Bundoora, Victoria 3083, Australia;  (G.S.)
6571962	Vaclav_Stejskal	Crop Research Institute, Drnovska 507/73, CZ-16106 Prague 6-Ruzyne, Czech Republic;  (R.A.)
6571962	Tomas_Vendl	Crop Research Institute, Drnovska 507/73, CZ-16106 Prague 6-Ruzyne, Czech Republic;  (R.A.)
6571962	Zhihong_Li	Key Laboratory of Ministry of Agriculture for Monitoring and Green Management of Crop Pests, Department of Entomology, College of Plant Protection, China Agricultural University, Beijing 100193, China; 
6571962	Radek_Aulicky	Crop Research Institute, Drnovska 507/73, CZ-16106 Prague 6-Ruzyne, Czech Republic;  (R.A.)
6018495	Dongmei_Li	0000 0001 0681 2788grid.467701.3Plant Health and Environment Laboratory, Diagnostic and Surveillance Services, Ministry for Primary Industries, P.O. Box 2095, Auckland, 1140 New Zealand 
6018495	David W._Waite	0000 0001 0681 2788grid.467701.3Plant Health and Environment Laboratory, Diagnostic and Surveillance Services, Ministry for Primary Industries, P.O. Box 2095, Auckland, 1140 New Zealand 
6018495	Qing-Hai_Fan	0000 0001 0681 2788grid.467701.3Plant Health and Environment Laboratory, Diagnostic and Surveillance Services, Ministry for Primary Industries, P.O. Box 2095, Auckland, 1140 New Zealand 
6018495	Sherly_George	0000 0001 0681 2788grid.467701.3Plant Health and Environment Laboratory, Diagnostic and Surveillance Services, Ministry for Primary Industries, P.O. Box 2095, Auckland, 1140 New Zealand 
6018495	Linda_Semeraro	0000 0004 0407 2669grid.452283.aAgriculture Victoria, AgriBio, Centre for AgriBioscience, Bundoora, Victoria, 3083 Australia 
6018495	Mark J._Blacket	0000 0004 0407 2669grid.452283.aAgriculture Victoria, AgriBio, Centre for AgriBioscience, Bundoora, Victoria, 3083 Australia 
5916228	Maria C_Dzialo	Laboratory for Genetics and Genomics, Centre of Microbial and Plant Genetics (CMPG), KU Leuven, Gaston Geenslaan 1, B-3001 Leuven, Belgium
5916228	Rahel_Park	Laboratory for Genetics and Genomics, Centre of Microbial and Plant Genetics (CMPG), KU Leuven, Gaston Geenslaan 1, B-3001 Leuven, Belgium
5916228	Jan_Steensels	Laboratory for Genetics and Genomics, Centre of Microbial and Plant Genetics (CMPG), KU Leuven, Gaston Geenslaan 1, B-3001 Leuven, Belgium
5916228	Bart_Lievens	Laboratory for Process Microbial Ecology and Bioinspirational Management (PME&amp;BIM), Department of Microbial and Molecular Systems, KU Leuven, Campus De Nayer, Fortsesteenweg 30A B-2860 Sint-Katelijne Waver, Belgium
5916228	Kevin J_Verstrepen	Laboratory for Genetics and Genomics, Centre of Microbial and Plant Genetics (CMPG), KU Leuven, Gaston Geenslaan 1, B-3001 Leuven, Belgium
5345375	Mahmoud S._Abdel-Dayem	King Saud University Museum of Arthropods (KSMA), Plant Protection Department, College of Food and Agriculture Sciences, King Saud University, P.O. Box 2460 Riyadh 11451, Saudi Arabia      
5345375	Hassan H._Fad	Entomology Department, Faculty of Science, Ain Shams University, Cairo, Egypt      
5345375	Ashraf M._El-Torkey	Plant Protection Research Institute, Agriculture Research Center, Giza, Egypt      
5345375	Ali A._Elgharbawy	King Saud University Museum of Arthropods (KSMA), Plant Protection Department, College of Food and Agriculture Sciences, King Saud University, P.O. Box 2460 Riyadh 11451, Saudi Arabia      
5345375	Yousif N._Aldryhim	King Saud University Museum of Arthropods (KSMA), Plant Protection Department, College of Food and Agriculture Sciences, King Saud University, P.O. Box 2460 Riyadh 11451, Saudi Arabia      
5345375	Boris C._Kondratieff	Department of Bioagricultural Sciences and Pest Management, Colorado State University, Campus Delivery 1177, Fort Collins, Colorado, U.S.A. 80523      
5345375	Amin N. Al_Ansi	King Saud University Museum of Arthropods (KSMA), Plant Protection Department, College of Food and Agriculture Sciences, King Saud University, P.O. Box 2460 Riyadh 11451, Saudi Arabia      
5345375	Hathal M._Aldhafer	King Saud University Museum of Arthropods (KSMA), Plant Protection Department, College of Food and Agriculture Sciences, King Saud University, P.O. Box 2460 Riyadh 11451, Saudi Arabia      
5267528	Paulo A.V._Borges	cE3c &#x2013; Centre for Ecology, Evolution and Environmental Changes / Azorean Biodiversity Group and Universidade dos A&#xE7;ores - Departamento de Ci&#xEA;ncias e Engenharia do Ambiente, Rua Capit&#xE3;o Jo&#xE3;o d&#x2019;&#xC1;vila, S&#xE3;o Pedro, 9700-042 Angra do Hero&#xED;smo, Terceira, Azores, Portugal      
5267528	Clara_Gaspar	cE3c &#x2013; Centre for Ecology, Evolution and Environmental Changes / Azorean Biodiversity Group and Universidade dos A&#xE7;ores - Departamento de Ci&#xEA;ncias e Engenharia do Ambiente, Rua Capit&#xE3;o Jo&#xE3;o d&#x2019;&#xC1;vila, S&#xE3;o Pedro, 9700-042 Angra do Hero&#xED;smo, Terceira, Azores, Portugal      
5267528	Lu&#xED;s Carlos Fonseca_Crespo	cE3c &#x2013; Centre for Ecology, Evolution and Environmental Changes / Azorean Biodiversity Group and Universidade dos A&#xE7;ores - Departamento de Ci&#xEA;ncias e Engenharia do Ambiente, Rua Capit&#xE3;o Jo&#xE3;o d&#x2019;&#xC1;vila, S&#xE3;o Pedro, 9700-042 Angra do Hero&#xED;smo, Terceira, Azores, Portugal      
5267528	Fran&#xE7;ois_Rigal	Environment and Microbiology Team, IPREM UMRCNRS-UPPA 5254, IBEAS BP1155, Universit&#xE9; de Pau et des Pays de l&#x2019;Adour, 64013 Pau Cedex, France      
5267528	Pedro_Cardoso	Finnish Museum of Natural History, University of Helsinki, Pohjoinen Rautatiekatu 13, P.O.Box 17, 00014, Helsinki, Finland      
5267528	Fernando_Pereira	cE3c &#x2013; Centre for Ecology, Evolution and Environmental Changes / Azorean Biodiversity Group and Universidade dos A&#xE7;ores - Departamento de Ci&#xEA;ncias e Engenharia do Ambiente, Rua Capit&#xE3;o Jo&#xE3;o d&#x2019;&#xC1;vila, S&#xE3;o Pedro, 9700-042 Angra do Hero&#xED;smo, Terceira, Azores, Portugal      
5267528	Carla_Rego	cE3c &#x2013; Centre for Ecology, Evolution and Environmental Changes / Azorean Biodiversity Group and Universidade dos A&#xE7;ores - Departamento de Ci&#xEA;ncias e Engenharia do Ambiente, Rua Capit&#xE3;o Jo&#xE3;o d&#x2019;&#xC1;vila, S&#xE3;o Pedro, 9700-042 Angra do Hero&#xED;smo, Terceira, Azores, Portugal      
5267528	Isabel R._Amorim	cE3c &#x2013; Centre for Ecology, Evolution and Environmental Changes / Azorean Biodiversity Group and Universidade dos A&#xE7;ores - Departamento de Ci&#xEA;ncias e Engenharia do Ambiente, Rua Capit&#xE3;o Jo&#xE3;o d&#x2019;&#xC1;vila, S&#xE3;o Pedro, 9700-042 Angra do Hero&#xED;smo, Terceira, Azores, Portugal      
5267528	Catarina_Melo	cE3c &#x2013; Centre for Ecology, Evolution and Environmental Changes / Azorean Biodiversity Group and Universidade dos A&#xE7;ores - Departamento de Ci&#xEA;ncias e Engenharia do Ambiente, Rua Capit&#xE3;o Jo&#xE3;o d&#x2019;&#xC1;vila, S&#xE3;o Pedro, 9700-042 Angra do Hero&#xED;smo, Terceira, Azores, Portugal      
5267528	Carlos_Aguiar	cE3c, Centre for Ecology, Evolution and Environmental Changes &amp; Faculty of Sciences, University of Lisbon, 1749-016, Lisbon, Portugal      
5267528	Genage_Andr&#xE9;	cE3c, Centre for Ecology, Evolution and Environmental Changes &amp; Faculty of Sciences, University of Lisbon, 1749-016, Lisbon, Portugal      
5267528	En&#xE9;sima P._Mendon&#xE7;a	cE3c &#x2013; Centre for Ecology, Evolution and Environmental Changes / Azorean Biodiversity Group and Universidade dos A&#xE7;ores - Departamento de Ci&#xEA;ncias e Engenharia do Ambiente, Rua Capit&#xE3;o Jo&#xE3;o d&#x2019;&#xC1;vila, S&#xE3;o Pedro, 9700-042 Angra do Hero&#xED;smo, Terceira, Azores, Portugal      
5267528	S&#xE9;rvio_Ribeiro	Laborat&#xF3;rio de Ecologia Evolutiva de Herb&#xED;voros de Dossel, DEBIO, Instituto de Ci&#xEA;ncias Exatas e Biol&#xF3;gicas, Universidade Federal de Ouro Preto, Campus Morro do Cruzeiro, 35400-000, Ouro Preto, MG, Brazil      
5267528	Joaqu&#xED;n_Hortal	Departamento de Biogeograf&#xED;a y Cambio Global, Museo Nacional de Ciencias Naturales (CSIC), C&#x2044;Jose&#xE9; Guti&#xE9;rrez Abascal 2, 28006, Madrid, Spain      
5267528	Ana M.C._Santos	Departamento de Biogeograf&#xED;a y Cambio Global, Museo Nacional de Ciencias Naturales (CSIC), C&#x2044;Jose&#xE9; Guti&#xE9;rrez Abascal 2, 28006, Madrid, Spain      
5267528	Lu&#xED;s_Barcelos	cE3c &#x2013; Centre for Ecology, Evolution and Environmental Changes / Azorean Biodiversity Group and Universidade dos A&#xE7;ores - Departamento de Ci&#xEA;ncias e Engenharia do Ambiente, Rua Capit&#xE3;o Jo&#xE3;o d&#x2019;&#xC1;vila, S&#xE3;o Pedro, 9700-042 Angra do Hero&#xED;smo, Terceira, Azores, Portugal      
5267528	Henrik_Enghoff	Natural History Museum of Denmark, University of Copenhagen, Universitetsparken 15, DK-2100, Copenhagen OE, Denmark      
5267528	Volker_Mahnert	Museum d&#xB4;Histoire Naturelle, Case Postale 6434, 1211, Geneva, Swaziland      
5267528	Margarida T._Pita	Centro de Estudos da Macaron&#xE9;sia (CEM), Universidade da Madeira, Campus Universit&#xE1;rio da Penteada - Bloco C - Piso 1, 9000-399 Funchal, Madeira, Portugal      
5267528	Jordi_Ribes	Valencia 123-125, ent., 3a, E-08011, Barcelona, Spain      
5267528	Arturo_Baz	Dep. de Ciencias de la Vida. Universidad de Alcal&#xE1;, 28871 Alcal&#xE1; de Henares, Madrid, Spain      
5267528	Ant&#xF3;nio B._Sousa	SPEN &#x2013; Sociedade Portuguesa de Entomologia, Apartado 8221, P-1803-001, Lisboa, Portugal      
5267528	Virg&#xED;lio_Vieira	cE3c &#x2013; Centre for Ecology, Evolution and Environmental Changes / Azorean Biodiversity Group and Universidade dos A&#xE7;ores - Departamento de Ci&#xEA;ncias e Engenharia do Ambiente, Rua Capit&#xE3;o Jo&#xE3;o d&#x2019;&#xC1;vila, S&#xE3;o Pedro, 9700-042 Angra do Hero&#xED;smo, Terceira, Azores, Portugal      
5267528	J&#xF6;rg_Wunderlich	Hindenburgstr. 94, D-75334, Straubenhardt, Germany      
