pmcid	forename_lastname	affiliation
7398947	Sergio_Vargas-Fonseca	Laboratorio de Entomolog&#xED;a, Departamento de Biolog&#xED;a, Pontificia Universidad Javeriana, Carrera 7, No. 43&#x2013;82, Bogot&#xE1;, ColombiaPontificia Universidad JaverianaBogotaColombia
7398947	Yenny_Correa-Carmona	Grupo de Entomolog&#xED;a Universidad de Antioquia (GEUA), Apartado A&#xE9;reo 1226 Medell&#xED;n, ColombiaGrupo de Entomolog&#xED;a Universidad de AntioquiaMedellinColombia
7398947	Jos&#xE9; Mauricio_Montes-Rodr&#xED;guez	Corporaci&#xF3;n Colombiana de Investigaci&#xF3;n Agropecuaria - AGROSAVIA. Centro de Investigaci&#xF3;n La Suiza &#x2013; Km 32 v&#xED;a al mar, vereda Gal&#xE1;pagos, Rionegro, Santander, ColombiaCorporaci&#xF3;n Colombiana de Investigaci&#xF3;n AgropecuariaBucaramangaColombia
7398947	Humberto_Calero-Mej&#xED;a	Grupo de Investigaci&#xF3;n en Ecolog&#xED;a y Conservaci&#xF3;n Neotropical, Fundaci&#xF3;n de apoyo educativo e investigativo SAMANEA, Cali, ColombiaFundaci&#xF3;n de apoyo educativo e investigativo SAMANEACaliColombia
7398947	Alberto_Zilli	Natural History Museum, Life Sciences, DC2-2N, Cromwell Road, SW7 5BD, London, UKNatural History MuseumLondonUnited Kingdom
5633087	Kuppusamy_Sivasankaran	Entomology Research Institute, Loyola College, University of Madras, Chennai 600 034, Tamil Nadu, India
5633087	Pratheesh_Mathew	Entomology Research Institute, Loyola College, University of Madras, Chennai 600 034, Tamil Nadu, India
5633087	Sekar_Anand	Entomology Research Institute, Loyola College, University of Madras, Chennai 600 034, Tamil Nadu, India
5633087	Stanislaus Antony_Ceasar	Entomology Research Institute, Loyola College, University of Madras, Chennai 600 034, Tamil Nadu, India
5633087	Soosaimanikam_Mariapackiam	Entomology Research Institute, Loyola College, University of Madras, Chennai 600 034, Tamil Nadu, India
5633087	Savarimuthu_Ignacimuthu	Entomology Research Institute, Loyola College, University of Madras, Chennai 600 034, Tamil Nadu, India
3236462	Stephen Chan Teck_Leong	Faculty of Agriculture and Food Sciences, Universiti Putra Malaysia Bintulu Sarawak Campus, 97008 Bintulu, Sarawak, Malaysia
3236462	Roland Jui Heng_Kueh	Faculty of Agriculture and Food Sciences, Universiti Putra Malaysia Bintulu Sarawak Campus, 97008 Bintulu, Sarawak, Malaysia
