pmcid	forename_lastname	affiliation
7501621	Seung-Hun_Lee	grid.412310.50000 0001 0688 9267National Research Center for Protozoan Diseases, Obihiro University of Agriculture and Veterinary Medicine, Obihiro, Hokkaido 080-8555 Japan 
7501621	Jixu_Li	grid.412310.50000 0001 0688 9267National Research Center for Protozoan Diseases, Obihiro University of Agriculture and Veterinary Medicine, Obihiro, Hokkaido 080-8555 Japan 
7501621	Paul Franck Adjou_Moumouni	grid.412310.50000 0001 0688 9267National Research Center for Protozoan Diseases, Obihiro University of Agriculture and Veterinary Medicine, Obihiro, Hokkaido 080-8555 Japan 
7501621	Kiyoshi_Okado	grid.412310.50000 0001 0688 9267National Research Center for Protozoan Diseases, Obihiro University of Agriculture and Veterinary Medicine, Obihiro, Hokkaido 080-8555 Japan 
7501621	Weiqing_Zheng	grid.412310.50000 0001 0688 9267National Research Center for Protozoan Diseases, Obihiro University of Agriculture and Veterinary Medicine, Obihiro, Hokkaido 080-8555 Japan 
7501621	Mingming_Liu	grid.412310.50000 0001 0688 9267National Research Center for Protozoan Diseases, Obihiro University of Agriculture and Veterinary Medicine, Obihiro, Hokkaido 080-8555 Japan 
7501621	Shengwei_Ji	grid.412310.50000 0001 0688 9267National Research Center for Protozoan Diseases, Obihiro University of Agriculture and Veterinary Medicine, Obihiro, Hokkaido 080-8555 Japan 
7501621	Soochong_Kim	grid.254229.a0000 0000 9611 0917College of Veterinary Medicine, Chungbuk National University, Cheongju, 28644 South Korea 
7501621	Rika_Umemiya-Shirafuji	grid.412310.50000 0001 0688 9267National Research Center for Protozoan Diseases, Obihiro University of Agriculture and Veterinary Medicine, Obihiro, Hokkaido 080-8555 Japan 
7501621	Xuenan_Xuan	grid.412310.50000 0001 0688 9267National Research Center for Protozoan Diseases, Obihiro University of Agriculture and Veterinary Medicine, Obihiro, Hokkaido 080-8555 Japan 
7500676	Liliana_Rojo-Arreola	CONACyT-Centro de Investigaciones Biol&#xF3;gicas del Noroeste, M&#xE9;xico City, M&#xE9;xico
7500676	Fernando_Garc&#xED;a-Carre&#xF1;o	Centro de Investigaciones Biol&#xF3;gicas del Noroeste, M&#xE9;xico City, M&#xE9;xico
7500676	Rogelio_Romero	Centro de Investigaciones Biol&#xF3;gicas del Noroeste, M&#xE9;xico City, M&#xE9;xico
7500676	Luis_D&#xED;az Dominguez	Centro de Investigaciones Biol&#xF3;gicas del Noroeste, M&#xE9;xico City, M&#xE9;xico
7454071	Jeong Rae_Yoo	UNKNOWN
7454071	Sang Taek_Heo	UNKNOWN
7454071	Sung Wook_Song	UNKNOWN
7454071	Seung Geon_Bae	UNKNOWN
7454071	Seul_Lee	UNKNOWN
7454071	Sungho_Choi	UNKNOWN
7454071	Chaehyun_Lee	UNKNOWN
7454071	Sugyeong_Jeong	UNKNOWN
7454071	Myeongseop_Kim	UNKNOWN
7454071	Woojin_Sa	UNKNOWN
7454071	Yeongrim_Lee	UNKNOWN
7454071	Haseon_Choi	UNKNOWN
7454071	Sun-Ho_Kee	UNKNOWN
7454071	Keun Hwa_Lee	UNKNOWN
7471206	Franz_Rubel	grid.6583.80000 0000 9686 6466Unit for Veterinary Public Health and Epidemiology, University of Veterinary Medicine Vienna, Veterin&#xE4;rplatz 1, 1210 Vienna, Austria 
