pmcid	forename_lastname	affiliation
7452775	Pureum_Noh	1Division of EcoScienceEwha Womans UniversitySeoulKorea
7452775	Seung&#x2010;Yoon_Oh	3School of Biological SciencesSeoul National UniversitySeoulKorea
7452775	Soyeon_Park	2National Institute of EcologySeochun&#x2010;gunKorea
7452775	Taesung_Kwon	5Division of Forest EcologyKorea Forest Research InstituteSeoulKorea
7452775	Yonghwan_Kim	6Department of PhysicsKonkuk UniversitySeoulKorea
7452775	Jae Chun_Choe	1Division of EcoScienceEwha Womans UniversitySeoulKorea
7452775	Gilsang_Jeong	1Division of EcoScienceEwha Womans UniversitySeoulKorea
7466983	Thomas_Brody	Neural Cell-Fate Determinants Section,
7466983	Amarendra_Yavatkar	Division of Intramural Research, Information Technology Program, NINDS, NIH, Bethesda, Maryland
7466983	Alexander_Kuzin	Neural Cell-Fate Determinants Section,
7466983	Ward F._Odenwald	Neural Cell-Fate Determinants Section,
7336853	Waring_Trible	Laboratory of Social Evolution and Behavior, The Rockefeller University, 1230 York Avenue, New York, NY, 10065, USA
7336853	Sean K._McKenzie	Laboratory of Social Evolution and Behavior, The Rockefeller University, 1230 York Avenue, New York, NY, 10065, USA
7336853	Daniel J. C._Kronauer	Laboratory of Social Evolution and Behavior, The Rockefeller University, 1230 York Avenue, New York, NY, 10065, USA
7349007	Ching-Chen_Lee	Center for Ecology and Environment, Department of Life Science, Tunghai University, Taichung 40704, Taiwan; 
7349007	Yi-Ming_Weng	Department of Entomology, University of Wisconsin-Madison, Madison, WI 53706, USA; 
7349007	Li-Chuan_Lai	Department of Ecological Humanities, Providence University, Taichung 43301, Taiwan; 
7349007	Andrew V._Suarez	Department of Entomology, University of Illinois, Urbana-Champaign, Urbana, IL 61801, USA; 
7349007	Wen-Jer_Wu	Department of Entomology, National Taiwan University, Taipei 10617, Taiwan; 
7349007	Chung-Chi_Lin	Department of Biology, National Changhua University of Education, Changhua 50007, Taiwan; 
7349007	Chin-Cheng Scotty_Yang	Research Institute for Sustainable Humanosphere, Kyoto University, Kyoto 611-0011, Japan
7271259	Stella T._Kessy	Department of Environmental Health and Ecological Sciences, Ifakara Health Institute, Off Mlabani Passage, P.O. Box 53, Ifakara, Morogoro, Tanzania
7271259	Bruno A._Nyundo	Department of Zoology and Wildlife Conservation, College of Natural and Applied Sciences, University of Dar es Salaam, P.O. Box 35064, Dar es Salaam, Tanzania
7271259	Ladslaus L._Mnyone	Department of Environmental Health and Ecological Sciences, Ifakara Health Institute, Off Mlabani Passage, P.O. Box 53, Ifakara, Morogoro, Tanzania
