pmcid	forename_lastname	affiliation
7503728	Hubert_Sytykiewicz	Institute of Biological Sciences, Faculty of Exact and Natural Sciences, Siedlce University of Natural Sciences and Humanities, 14 Prusa St., 08-110 Siedlce, Poland;  (J.S.)
7503728	Iwona_&#x141;ukasik	Institute of Biological Sciences, Faculty of Exact and Natural Sciences, Siedlce University of Natural Sciences and Humanities, 14 Prusa St., 08-110 Siedlce, Poland;  (J.S.)
7503728	Sylwia_Go&#x142;awska	Institute of Biological Sciences, Faculty of Exact and Natural Sciences, Siedlce University of Natural Sciences and Humanities, 14 Prusa St., 08-110 Siedlce, Poland;  (J.S.)
7503728	Iwona_Sprawka	Institute of Biological Sciences, Faculty of Exact and Natural Sciences, Siedlce University of Natural Sciences and Humanities, 14 Prusa St., 08-110 Siedlce, Poland;  (J.S.)
7503728	Artur_Go&#x142;awski	Institute of Biological Sciences, Faculty of Exact and Natural Sciences, Siedlce University of Natural Sciences and Humanities, 14 Prusa St., 08-110 Siedlce, Poland;  (J.S.)
7503728	Julia_S&#x142;awianowska	Institute of Biological Sciences, Faculty of Exact and Natural Sciences, Siedlce University of Natural Sciences and Humanities, 14 Prusa St., 08-110 Siedlce, Poland;  (J.S.)
7503728	Katarzyna_Kmie&#x107;	Department of Plant Protection, Faculty of Horticulture and Landscape Architecture, University of Life Sciences in Lublin, 7 Leszczy&#x144;skiego St., 20-069 Lublin, Poland; 
7502230	Howard_London	Bio-Protection Research Centre, Lincoln University, Lincoln, New Zealand
7502230	David J._Saville	Bio-Protection Research Centre, Lincoln University, Lincoln, New Zealand
7502230	Charles N._Merfield	The BHU Future Farming Centre, Lincoln University, Lincoln, New Zealand
7502230	Oluwashola_Olaniyan	Bio-Protection Research Centre, Lincoln University, Lincoln, New Zealand
7502230	Stephen D._Wratten	Bio-Protection Research Centre, Lincoln University, Lincoln, New Zealand
7332040	Natalia A._Rossi	Wildlife Conservation Society, Bronx, New York, United States of America
7332040	Angelica_Menchaca-Rodriguez	School of Biological Sciences, the University of Bristol, Bristol, England, United Kingdom
7332040	Rafael_Antelo	Fundaci&#xF3;n Palmarito Casanare, Bogot&#xE1;, Colombia
7332040	Byron_Wilson	Department of Life Sciences, University of the West Indies, Mona, Jamaica
7332040	Kurt_McLaren	Department of Life Sciences, University of the West Indies, Mona, Jamaica
7332040	Frank_Mazzotti	Fort Lauderdale Research and Education Center, University of Florida, Fort Lauderdale, Florida, United States of America
7332040	Rafael_Crespo	Fort Lauderdale Research and Education Center, University of Florida, Fort Lauderdale, Florida, United States of America
7332040	Joe_Wasilewski	Fort Lauderdale Research and Education Center, University of Florida, Fort Lauderdale, Florida, United States of America
7332040	Fernando_Alda	Department of Biology, Geology and Environmental Science, University of Tennessee at Chattanooga, Chattanooga, Tennessee, United States of America
7332040	Ignacio_Doadrio	Departamento de Biodiversidad y Biolog&#xED;a Evolutiva, Museo Nacional de Ciencias Naturales, Madrid, Spain
7332040	Tito R._Barros	Museo de Biolog&#xED;a de la Universidad del Zulia, Maracaibo, Venezuela
7332040	Evon_Hekkala	Department of Biological Sciences, Fordham University, Bronx, New York, United States of America
7332040	Manuel_Alonso-Tabet	Refugio de Fauna Monte Cabanigu&#xE1;n-Ojo de Agua, Las Tunas, Cuba
7332040	Yairen_Alonso-Gim&#xE9;nez	Refugio de Fauna Monte Cabanigu&#xE1;n-Ojo de Agua, Las Tunas, Cuba
7332040	Manuel_Lopez	Refugio de Fauna Monte Cabanigu&#xE1;n-Ojo de Agua, Las Tunas, Cuba
7332040	Georgina_Espinosa-Lopez	Facultad de Biolog&#xED;a, Universidad de la Habana, La Habana, Cuba
7332040	Joe_Burgess	US Forest Service, Idleyld Park, Oregon, United States of America
7332040	John B._Thorbjarnarson	Wildlife Conservation Society, Bronx, New York, United States of America
7332040	Joshua R._Ginsberg	Cary Institute of Ecosystem Studies, Millbrook, New York, United States of America
7332040	Kent A._Vliet	Department of Biology, University of Florida, Gainesville, Florida, United States of America
7332040	George_Amato	Sackler Institute of Comparative Genomics, American Museum of Natural History, Manhattan, New York, United States of America
7349642	Jeniffer K._Alvarez-Baca	Laboratorio de Control Biol&#xF3;gico, Instituto de Ciencias Biol&#xF3;gicas, Universidad de Talca, Talca 3460000, Chile;  (A.A.-T.)
7349642	Armando_Alfaro-Tapia	Laboratorio de Control Biol&#xF3;gico, Instituto de Ciencias Biol&#xF3;gicas, Universidad de Talca, Talca 3460000, Chile;  (A.A.-T.)
7349642	Blas_Lavandero	Laboratorio de Control Biol&#xF3;gico, Instituto de Ciencias Biol&#xF3;gicas, Universidad de Talca, Talca 3460000, Chile;  (A.A.-T.)
7349642	C&#xE9;cile_Le Lann	UMR 6553 Ecobio, Centre National de la Recherche Scientifique, Universit&#xE9; de Rennes 1, 263 Avenue du G&#xE9;n&#xE9;ral Leclerc, 35042 Rennes, France;  (J.V.B.)
7349642	Joan_Van Baaren	UMR 6553 Ecobio, Centre National de la Recherche Scientifique, Universit&#xE9; de Rennes 1, 263 Avenue du G&#xE9;n&#xE9;ral Leclerc, 35042 Rennes, France;  (J.V.B.)
7160944	Cecilia_Mittelberger	Applied Genomics and Molecular Biology, Institute for Plant Health, Laimburg Research Centre, Pfatten, Italy 
7160944	Lisa_Obkircher	Applied Genomics and Molecular Biology, Institute for Plant Health, Laimburg Research Centre, Pfatten, Italy 
7160944	Vicky_Oberkofler	Applied Genomics and Molecular Biology, Institute for Plant Health, Laimburg Research Centre, Pfatten, Italy 
7160944	Alan_Ianeselli	Applied Genomics and Molecular Biology, Institute for Plant Health, Laimburg Research Centre, Pfatten, Italy 
7160944	Christine_Kerschbamer	Applied Genomics and Molecular Biology, Institute for Plant Health, Laimburg Research Centre, Pfatten, Italy 
7160944	Andreas_Gallmetzer	Virology and Diagnostics, Institute for Plant Health, Laimburg Research Centre, Pfatten, Italy 
7160944	Yazmid_Reyes-Dominguez	Virology and Diagnostics, Institute for Plant Health, Laimburg Research Centre, Pfatten, Italy 
7160944	Thomas_Letschka	Applied Genomics and Molecular Biology, Institute for Plant Health, Laimburg Research Centre, Pfatten, Italy 
7160944	Katrin_Janik	Applied Genomics and Molecular Biology, Institute for Plant Health, Laimburg Research Centre, Pfatten, Italy 
7240687	Ting-Ting_Xu	Key Laboratory of Zoological Systematics and Evolution, Institute of Zoology, Chinese Academy of Sciences, Beijing 100101, China;  (L.-Y.J.)
7240687	Li-Yun_Jiang	Key Laboratory of Zoological Systematics and Evolution, Institute of Zoology, Chinese Academy of Sciences, Beijing 100101, China;  (L.-Y.J.)
7240687	Jing_Chen	Key Laboratory of Zoological Systematics and Evolution, Institute of Zoology, Chinese Academy of Sciences, Beijing 100101, China;  (L.-Y.J.)
7240687	Ge-Xia_Qiao	Key Laboratory of Zoological Systematics and Evolution, Institute of Zoology, Chinese Academy of Sciences, Beijing 100101, China;  (L.-Y.J.)
