pmcid	forename_lastname	affiliation
7488527	Dmitry_Kutcherov	grid.15447.330000 0001 2289 6897Department of Entomology, St. Petersburg State University, St. Petersburg, 199034 Russia 
7452910	Leonid V._Egorov	The State Nature Reserve &#xAB;Prisursky&#xBB;, Lesnoj, 9, 428034 Cheboksary, Russia
7452910	Alexander B._Ruchin	The State Nature Reserve &#xAB;Prisursky&#xBB;, Lesnoj, 9, 428034 Cheboksary, Russia
7452910	Viktor B._Semenov	UNKNOWN
7452910	Oleg I._Semionenkov	National Park &#xAB;Smolensk Lakeland&#xBB;, Gurevich str., 19, Przhevalskoye, Demidov district, 216270 Smolensk region, Russia
7452910	Gennady B._Semishin	Joint Directorate of the Mordovia State Nature Reserve and National Park &#xAB;Smolny&#xBB;, Krasnaya str., 30, 430005 Saransk, Russia
7452120	Zong-Jie_Fu	Department of Nephrology, Ruijin Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, 200025, PR China
7452120	Zhi-Yu_Wang	Department of Nephrology, Ruijin Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, 200025, PR China
7452120	Lian_Xu	Department of Cardiovascular Medicine, Shanghai Key Laboratory of Hypertension, Shanghai Institute of Hypertension, Ruijin Hospital, Ruijin Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, 200025, PR China
7452120	Xiao-Hui_Chen	Department of Cardiovascular Medicine, Shanghai Key Laboratory of Hypertension, Shanghai Institute of Hypertension, Ruijin Hospital, Ruijin Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, 200025, PR China
7452120	Xiang-Xiao_Li	Department of Cardiovascular Medicine, Shanghai Key Laboratory of Hypertension, Shanghai Institute of Hypertension, Ruijin Hospital, Ruijin Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, 200025, PR China
7452120	Wei-Tang_Liao	Research Center for Experimental Medicine, Ruijin Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, 200025, PR China
7452120	Hong-Kun_Ma	Department of Nephrology, Ruijin Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, 200025, PR China
7452120	Meng-Di_Jiang	Department of Nephrology, Ruijin Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, 200025, PR China
