pmcid	forename_lastname	affiliation
7442752	Mahmoud S._Abdel-Dayem	King Saud University Museum of Arthropods (KSMA), Plant Protection Department, College of Food and Agricultural Sciences, King Saud University, Riyadh, 11451, Saudi ArabiaKing Saud University Museum of ArthropodsRiyadhSaudi Arabia
7442752	Usama M. Abu_El-Ghiet	Biology Department, Faculty of Science, Jazan University, Jazan, Saudi ArabiaJazan UniversityJazanSaudi Arabia
7442752	Tarek M._Elsheikh	Biology Department, Faculty of Science, Jazan University, Jazan, Saudi ArabiaJazan UniversityJazanSaudi Arabia
7442752	Ali A._Elgharbawy	Zoology Department, Faculty of Science, Al-Azhar University, Cairo, EgyptAl-Azhar UniversityCairoEgypt
7442752	Zarrag I.A._Al-Fifi	Biology Department, Faculty of Science, Jazan University, Jazan, Saudi ArabiaJazan UniversityJazanSaudi Arabia
7442752	Hathal M._Aldhafer	King Saud University Museum of Arthropods (KSMA), Plant Protection Department, College of Food and Agricultural Sciences, King Saud University, Riyadh, 11451, Saudi ArabiaKing Saud University Museum of ArthropodsRiyadhSaudi Arabia
7469181	Yunho_Yang	Department of Agricultural Biotechnology, Seoul National University, Seoul 08826, Korea; 
7469181	Murray B._Isman	Faculty of Land and Food Systems, University of British Columbia, Vancouver, BC V6T 1Z4, Canada; 
7469181	Jun-Hyung_Tak	Department of Agricultural Biotechnology, Seoul National University, Seoul 08826, Korea; 
7397326	Ao_Shang	Guangdong Provincial Key Laboratory of Food, Nutrition and Health, Department of Nutrition, School of Public Health, Sun Yat-Sen University, Guangzhou 510080, China;  (M.L.)
7397326	Ren-You_Gan	Research Center for Plants and Human Health, Institute of Urban Agriculture, Chinese Academy of Agricultural Sciences, Chengdu 610213, China;  (H.-Y.L.)
7397326	Jia-Rong_Zhang	Department of Food Science &amp; Technology, School of Agriculture and Biology, Shanghai Jiao Tong University, Shanghai 200240, China; 
7397326	Xiao-Yu_Xu	Guangdong Provincial Key Laboratory of Food, Nutrition and Health, Department of Nutrition, School of Public Health, Sun Yat-Sen University, Guangzhou 510080, China;  (M.L.)
7397326	Min_Luo	Guangdong Provincial Key Laboratory of Food, Nutrition and Health, Department of Nutrition, School of Public Health, Sun Yat-Sen University, Guangzhou 510080, China;  (M.L.)
