pmcid	forename_lastname	affiliation
7469195	Cesar_Rodriguez-Saona	P.E. Marucci Center for Blueberry &amp; Cranberry Research, Rutgers University, Chatsworth, NJ 08019, USA; 
7469195	Pablo_Urbaneja-Bernat	P.E. Marucci Center for Blueberry &amp; Cranberry Research, Rutgers University, Chatsworth, NJ 08019, USA; 
7469195	Jordano_Salamanca	Escuela de Ciencias Agr&#xED;colas, Pecuarias y del Medio Ambiente (ECAPMA), Universidad Nacional Abierta y a Distancia (UNAD), Bogot&#xE1; 110111, Colombia;  (V.G.-T.)
7469195	Vanessa_Garz&#xF3;n-Tovar	Escuela de Ciencias Agr&#xED;colas, Pecuarias y del Medio Ambiente (ECAPMA), Universidad Nacional Abierta y a Distancia (UNAD), Bogot&#xE1; 110111, Colombia;  (V.G.-T.)
7067897	Desislava_Stoianova	Institute of Biodiversity and Ecosystem Research, Bulgarian Academy of Sciences, 1 Tsar Osvoboditel Blvd., Sofia 1000, Bulgaria
7067897	Nikolay_Simov	National Museum of Natural History, Bulgarian Academy of Sciences, 1 Tsar Osvoboditel Blvd., Sofia 1000, Bulgaria
7067897	Manh Quang_Vu	Hanoi National University of Education (HNUE), 136 Xuan Thuy Rd., DHSP Cau Giay; c/o Ho Chi Minh City University of Food Industry, 140 Le Trong Tan St., Tan Phu, Ho Chi Minh City, Vietnam
7067897	Duc Minh_Nguyen	Institute of Ecology and Works Protection, Hanoi, Vietnam
7067897	Snejana_Grozeva	Institute of Biodiversity and Ecosystem Research, Bulgarian Academy of Sciences, 1 Tsar Osvoboditel Blvd., Sofia 1000, Bulgaria
6928651	Camila C._Filgueiras	Department of Entomology, College of Agriculture and Life Sciences, Cornell AgriTech, Cornell University, Geneva, NY 14456, USA;  (D.S.W.)
6928651	Adalvan D._Martins	Department of Entomology, College of Agriculture and Life Sciences, Cornell AgriTech, Cornell University, Geneva, NY 14456, USA;  (D.S.W.)
6928651	Ramom V._Pereira	Department of Entomology, College of Agriculture and Life Sciences, Cornell AgriTech, Cornell University, Geneva, NY 14456, USA;  (D.S.W.)
6928651	Denis S._Willett	Department of Entomology, College of Agriculture and Life Sciences, Cornell AgriTech, Cornell University, Geneva, NY 14456, USA;  (D.S.W.)
6773686	Carlos A._Avila	Texas A&amp;M AgriLife Research and Extension Center, Weslaco, TX 78596 USA 
6773686	Thiago G._Marconi	Texas A&amp;M AgriLife Research and Extension Center, Weslaco, TX 78596 USA 
6773686	Zenaida_Viloria	Texas A&amp;M AgriLife Research and Extension Center, Weslaco, TX 78596 USA 
6773686	Julianna_Kurpis	Texas A&amp;M AgriLife Research and Extension Center, Weslaco, TX 78596 USA 
6773686	Sonia Y._Del Rio	Texas A&amp;M AgriLife Research and Extension Center, Weslaco, TX 78596 USA 
6345466	Qiuling_Tang	State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, Fujian Agriculture and Forestry University, Fuzhou, Fujian, PR China
6345466	Kangsheng_Ma	Department of Entomology, China Agricultural University, Beijing, PR China
6345466	Hsin_Chi	Department of Plant Production and Technologies, Ni&#x11F;de &#xD6;mer Halisdemir University, Ni&#x11F;de, Turkey
6345466	Youming_Hou	State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, Fujian Agriculture and Forestry University, Fuzhou, Fujian, PR China
6345466	Xiwu_Gao	Department of Entomology, China Agricultural University, Beijing, PR China
6163323	David G._James	Department of Entomology, Washington State University, Irrigated Agriculture Research and Extension Center, 24106 North Bunn Road, Prosser, WA 99350, USA;  (K.B.)
6163323	Lorraine_Seymour	Department of Entomology, Washington State University, Irrigated Agriculture Research and Extension Center, 24106 North Bunn Road, Prosser, WA 99350, USA;  (K.B.)
6163323	Gerry_Lauby	Department of Entomology, Washington State University, Irrigated Agriculture Research and Extension Center, 24106 North Bunn Road, Prosser, WA 99350, USA;  (K.B.)
6163323	Katie_Buckley	Department of Entomology, Washington State University, Irrigated Agriculture Research and Extension Center, 24106 North Bunn Road, Prosser, WA 99350, USA;  (K.B.)
6010948	Meredith C._Schuman	Department of Molecular Ecology, Max Planck Institute for Chemical Ecology, Jena, Germany
6010948	Stefan_Meldau	Department of Molecular Ecology, Max Planck Institute for Chemical Ecology, Jena, Germany
6010948	Emmanuel_Gaquerel	Department of Molecular Ecology, Max Planck Institute for Chemical Ecology, Jena, Germany
6010948	Celia_Diezel	Department of Molecular Ecology, Max Planck Institute for Chemical Ecology, Jena, Germany
6010948	Erica_McGale	Department of Molecular Ecology, Max Planck Institute for Chemical Ecology, Jena, Germany
6010948	Sara_Greenfield	Department of Molecular Ecology, Max Planck Institute for Chemical Ecology, Jena, Germany
6010948	Ian T._Baldwin	Department of Molecular Ecology, Max Planck Institute for Chemical Ecology, Jena, Germany
5620685	Glynn_Tillman	Crop Protection &amp; Management Research Laboratory, USDA, ARS, Tifton, GA 31793, USA; ; Tel.: +1-229-387-2375
5117714	Yong-Sheng_Yao	Department of Entomology, China Agricultural University, Beijing, China
5117714	Peng_Han	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan, China
5117714	Chang-Ying_Niu	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan, China
5117714	Yong-Cheng_Dong	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan, China
5117714	Xi-Wu_Gao	Department of Entomology, China Agricultural University, Beijing, China
5117714	Jin-Jie_Cui	State Key Laboratory of Cotton Biology, Institute of Cotton Research CAAS, Anyang, China
5117714	Nicolas_Desneux	INRA (French National Institute for Agricultural Research), Universit&#xE9; Nice Sophia Antipolis, CNRS, UMR 1355&#x2013;7254 Institut Sophia Agrobiotech, Sophia Antipolis, France
5039543	David G._James	Department of Entomology, Washington State University, Prosser, WA 99350, USA;  (K.B.)
5039543	Lorraine_Seymour	Department of Entomology, Washington State University, Prosser, WA 99350, USA;  (K.B.)
5039543	Gerry_Lauby	Department of Entomology, Washington State University, Prosser, WA 99350, USA;  (K.B.)
5039543	Katie_Buckley	Department of Entomology, Washington State University, Prosser, WA 99350, USA;  (K.B.)
4397498	Meredith C_Schuman	Department of Molecular Ecology, Max Planck Institute for Chemical Ecology, Jena, Germany
4397498	Silke_Allmann	Department of Molecular Ecology, Max Planck Institute for Chemical Ecology, Jena, Germany
4397498	Ian T_Baldwin	Department of Molecular Ecology, Max Planck Institute for Chemical Ecology, Jena, Germany
4128818	Huilin_Yu	State Key Laboratory for Biology of Plant Diseases and Insect Pests, Institute of Plant Protection, Chinese Academy of Agricultural Sciences, Beijing, China
4128818	J&#xF6;rg_Romeis	State Key Laboratory for Biology of Plant Diseases and Insect Pests, Institute of Plant Protection, Chinese Academy of Agricultural Sciences, Beijing, China
4128818	Yunhe_Li	State Key Laboratory for Biology of Plant Diseases and Insect Pests, Institute of Plant Protection, Chinese Academy of Agricultural Sciences, Beijing, China
4128818	Xiangju_Li	State Key Laboratory for Biology of Plant Diseases and Insect Pests, Institute of Plant Protection, Chinese Academy of Agricultural Sciences, Beijing, China
4128818	Kongming_Wu	State Key Laboratory for Biology of Plant Diseases and Insect Pests, Institute of Plant Protection, Chinese Academy of Agricultural Sciences, Beijing, China
3800831	Marcela_Cornelis	Universidad Nacional de La Pampa. Facultad de Ciencias Exactas y Naturales. Uruguay 151 L6300CLB, Santa Rosa, La Pampa. Argentina
3800831	Mar&#xED;a C._Coscar&#xF3;n	Universidad Nacional de La Plata. Facultad de Ciencias Naturales y Museo. Divisi&#xF3;n Entomolog&#xED;a. Paseo del Bosque s/n 1900, La Plata, Buenos Aires. Argentina
