pmcid	forename_lastname	affiliation
7510271	Ute_Deichmann	grid.7489.20000 0004 1937 0511Jacques Loeb Centre for the History and Philosophy of the Life Sciences, Ben-Gurion University of the Negev, P.O. Box 653, Beer Sheva, 8410500 Israel 
7468154	Jordan C._Richard	grid.462979.70000 0001 2287 7477U.S. Fish and Wildlife Service, Southwestern Virginia Field Office, 330 Cummings Street, Abingdon, VA 24210 USA 
7468154	Eric_Leis	La Crosse Fish Health Center, Midwest Fisheries Center, U.S. Fish and Wildlife Service, 555 Lester Ave, Onalaska, WI 54650 USA 
7468154	Christopher D._Dunn	grid.14003.360000 0001 2167 3675Department of Pathobiological Sciences and Freshwater and Marine Sciences Program, University of Wisconsin-Madison, 1656 Linden Drive, Madison, WI 53706 USA 
7468154	Rose_Agbalog	grid.462979.70000 0001 2287 7477U.S. Fish and Wildlife Service, Southwestern Virginia Field Office, 330 Cummings Street, Abingdon, VA 24210 USA 
7468154	Diane_Waller	grid.2865.90000000121546924U.S. Geological Survey, Upper Midwest Environmental Sciences Center, 2630 Fanta Reed Rd, La Crosse, WI 54603 USA 
7468154	Susan_Knowles	grid.415843.f0000 0001 2236 2537U.S. Geological Survey, National Wildlife Health Center, 6006 Schroeder Rd, Madison, WI 53711 USA 
7468154	Joel_Putnam	grid.2865.90000000121546924U.S. Geological Survey, Upper Midwest Environmental Sciences Center, 2630 Fanta Reed Rd, La Crosse, WI 54603 USA 
7468154	Tony L._Goldberg	grid.14003.360000 0001 2167 3675Department of Pathobiological Sciences and Freshwater and Marine Sciences Program, University of Wisconsin-Madison, 1656 Linden Drive, Madison, WI 53706 USA 
7457359	Patcharin_Phokasem	grid.7132.70000 0000 9039 7662Graduate School, Chiang Mai University, A. Meung, Chiang Mai, 50200 Thailand 
7457359	Salinee_Jantrapirom	grid.419025.b0000 0001 0723 4764Department of Applied Biology, Kyoto Institute of Technology, Matsugasaki, Sakyo-ku, Kyoto, 606-8585 Japan 
7457359	Jirarat_Karinchai	grid.7132.70000 0000 9039 7662Department of Biochemistry, Faculty of Medicine, Chiang Mai University, A. Meung, Chiang Mai, 50200 Thailand 
7457359	Hideki_Yoshida	grid.419025.b0000 0001 0723 4764Department of Applied Biology, Kyoto Institute of Technology, Matsugasaki, Sakyo-ku, Kyoto, 606-8585 Japan 
7457359	Masamitsu_Yamaguchi	grid.419025.b0000 0001 0723 4764Department of Applied Biology, Kyoto Institute of Technology, Matsugasaki, Sakyo-ku, Kyoto, 606-8585 Japan 
7457359	Panuwan_Chantawannakul	grid.7132.70000 0000 9039 7662Bee Protection laboratory, Department of Biology, Faculty of Science, Chiang Mai University, A. Meung, Chiang Mai, 50200 Thailand 
7457960	Andres_Schlageter-Tello	National Animal Nutrition Program, University of Kentucky, Lexington, KY
7457960	George C_Fahey	Department of Animal Sciences, University of Illinois, Urbana, IL
7457960	Tarra_Freel	Enviroflight LLC, Maysville, KY
7457960	Liz_Koutsos	Enviroflight LLC, Maysville, KY
7457960	Phillip S_Miller	National Animal Nutrition Program, University of Kentucky, Lexington, KY
7457960	William P_Weiss	National Animal Nutrition Program, University of Kentucky, Lexington, KY
7468914	Alba_Migu&#xE9;ns-G&#xF3;mez	MoBioFood Research Group, Departament de Bioqu&#xED;mica i Biotecnologia, Universitat Rovira i Virgili, c/Marcel&#xB7;l&#xED; Domingo n 1, 43007 Tarragona, Spain;  (M.P.)
7468914	Carme_Grau-Bov&#xE9;	MoBioFood Research Group, Departament de Bioqu&#xED;mica i Biotecnologia, Universitat Rovira i Virgili, c/Marcel&#xB7;l&#xED; Domingo n 1, 43007 Tarragona, Spain;  (M.P.)
7468914	Marta_Sierra-Cruz	MoBioFood Research Group, Departament de Bioqu&#xED;mica i Biotecnologia, Universitat Rovira i Virgili, c/Marcel&#xB7;l&#xED; Domingo n 1, 43007 Tarragona, Spain;  (M.P.)
7468914	Rosa_Jorba-Mart&#xED;n	Servei de Cirurgia General i de l&#x2019;Aparell Digestiu, Hospital Universitari Joan XXIII, 43007 Tarragona, Spain;  (A.C.)
7468914	Aleidis_Caro	Servei de Cirurgia General i de l&#x2019;Aparell Digestiu, Hospital Universitari Joan XXIII, 43007 Tarragona, Spain;  (A.C.)
7468914	Esther_Rodr&#xED;guez-Gallego	MoBioFood Research Group, Departament de Bioqu&#xED;mica i Biotecnologia, Universitat Rovira i Virgili, c/Marcel&#xB7;l&#xED; Domingo n 1, 43007 Tarragona, Spain;  (M.P.)
7468914	Ra&#xFA;l_Beltr&#xE1;n-Deb&#xF3;n	MoBioFood Research Group, Departament de Bioqu&#xED;mica i Biotecnologia, Universitat Rovira i Virgili, c/Marcel&#xB7;l&#xED; Domingo n 1, 43007 Tarragona, Spain;  (M.P.)
7468914	M Teresa_Blay	MoBioFood Research Group, Departament de Bioqu&#xED;mica i Biotecnologia, Universitat Rovira i Virgili, c/Marcel&#xB7;l&#xED; Domingo n 1, 43007 Tarragona, Spain;  (M.P.)
7468914	Ximena_Terra	MoBioFood Research Group, Departament de Bioqu&#xED;mica i Biotecnologia, Universitat Rovira i Virgili, c/Marcel&#xB7;l&#xED; Domingo n 1, 43007 Tarragona, Spain;  (M.P.)
7468914	Anna_Ard&#xE9;vol	MoBioFood Research Group, Departament de Bioqu&#xED;mica i Biotecnologia, Universitat Rovira i Virgili, c/Marcel&#xB7;l&#xED; Domingo n 1, 43007 Tarragona, Spain;  (M.P.)
