pmcid	forename_lastname	affiliation
7438540	Petia Simeonova_Nikolova	Forest Resources and Management, Swiss Federal Research Institute WSL, Birmensdorf, Switzerland
7438540	Taryn L._Bauerle	School of Integrative Plant Science, Cornell University, Ithaca, NY, United States
7438540	Karl-Heinz_H&#xE4;berle	Ecophysiology of Plants, TUM School of Life Sciences, Technische Universit&#xE4;t M&#xFC;nchen, Freising, Germany
7438540	Helmut_Blaschke	Ecophysiology of Plants, TUM School of Life Sciences, Technische Universit&#xE4;t M&#xFC;nchen, Freising, Germany
7438540	Ivano_Brunner	Forest Soils and Biogeochemistry, Swiss Federal Research Institute WSL, Birmensdorf, Switzerland
7438540	Rainer_Matyssek	Ecophysiology of Plants, TUM School of Life Sciences, Technische Universit&#xE4;t M&#xFC;nchen, Freising, Germany
7412047	Nancy_Power	Department of Entomology, University of California, 900 University Ave., Riverside, CA 92521, USA;  (T.M.P.)
7412047	Fatemeh_Ganjisaffar	Department of Entomology, University of California, 900 University Ave., Riverside, CA 92521, USA;  (T.M.P.)
7412047	Thomas M._Perring	Department of Entomology, University of California, 900 University Ave., Riverside, CA 92521, USA;  (T.M.P.)
7290786	Fatemeh_Ganjisaffar	Department of Entomology, University of California, 900 University Ave., Riverside, CA 92521, USA; 
7290786	Thomas M._Perring	Department of Entomology, University of California, 900 University Ave., Riverside, CA 92521, USA; 
7197946	Pheylan A_Anderson	Department of Entomology, University of Minnesota, St. Paul, MN
7197946	Daniela T_Pezzini	Department of Entomology, University of Minnesota, St. Paul, MN
7197946	N&#xE1;dia M_Bueno	Department of Entomology, University of Minnesota, St. Paul, MN
7197946	Christina D_DiFonzo	Department of Entomology, Michigan State University, East Lansing, MI
7197946	Deborah L_Finke	Division of Plant Sciences, University of Missouri-Columbia, Columbia, MO
7197946	Thomas E_Hunt	Department of Entomology, University of Nebraska, Concord, NE
7197946	Janet J_Knodel	Department of Plant Pathology, North Dakota State University, Fargo, ND
7197946	Christian H_Krupke	Department of Entomology, Purdue University, West Lafayette, IN
7197946	Brian P_McCornack	Department of Entomology, Kansas State University, Manhattan, KS
7197946	Christopher R_Philips	Department of Entomology, University of Minnesota, St. Paul, MN
7197946	Adam J_Varenhorst	Department of Agronomy, Horticulture and Plant Science, South Dakota State University, Brookings, SD
7197946	Robert J_Wright	Department of Entomology, University of Nebraska-Lincoln, Lincoln, NE
7197946	Robert L_Koch	Department of Entomology, University of Minnesota, St. Paul, MN
7071726	Michael E._Sparks	0000 0004 0404 0958grid.463419.dUSDA-ARS Invasive Insect Biocontrol and Behavior Laboratory, Beltsville, MD 20705 USA 
7071726	Raman_Bansal	0000 0004 0404 0958grid.463419.dUSDA-ARS San Joaquin Valley Agricultural Sciences Center, Parlier, CA 93648 USA 
7071726	Joshua B._Benoit	0000 0001 2179 9593grid.24827.3bDepartment of Biological Sciences, University of Cincinnati, Cincinnati, OH 45221 USA 
7071726	Michael B._Blackburn	0000 0004 0404 0958grid.463419.dUSDA-ARS Invasive Insect Biocontrol and Behavior Laboratory, Beltsville, MD 20705 USA 
