pmcid	forename_lastname	affiliation
7442118	Marcello_Nicoletti	UNKNOWN
7421533	Claude_Bragard	UNKNOWN
7421533	Katharina_Dehnen&#x2010;Schmutz	UNKNOWN
7421533	Francesco_Di Serio	UNKNOWN
7421533	Paolo_Gonthier	UNKNOWN
7421533	Marie&#x2010;Agn&#xE8;s_Jacques	UNKNOWN
7421533	Josep Anton_Jaques Miret	UNKNOWN
7421533	Annemarie Fejer_Justesen	UNKNOWN
7421533	Alan_MacLeod	UNKNOWN
7421533	Christer Sven_Magnusson	UNKNOWN
7421533	Panagiotis_Milonas	UNKNOWN
7421533	Juan A_Navas&#x2010;Cortes	UNKNOWN
7421533	Stephen_Parnell	UNKNOWN
7421533	Philippe Lucien_Reignault	UNKNOWN
7421533	Hans&#x2010;Hermann_Thulke	UNKNOWN
7421533	Wopke_Van der Werf	UNKNOWN
7421533	Antonio Vicent_Civera	UNKNOWN
7421533	Jonathan_Yuen	UNKNOWN
7421533	Lucia_Zappal&#xE0;	UNKNOWN
7421533	Elisavet_Chatzivassiliou	UNKNOWN
7421533	Jane_Debode	UNKNOWN
7421533	Charles_Manceau	UNKNOWN
7421533	Ciro_Gardi	UNKNOWN
7421533	Olaf_Mosbach&#x2010;Schulz	UNKNOWN
7421533	Roel_Potting	UNKNOWN
7469178	He-Ying_Qian	School of Biotechnology, Jiangsu University of Science and Technology, Jiangsu 212018, China;  (G.L.)
7469178	Xiao_Zhang	School of Biotechnology, Jiangsu University of Science and Technology, Jiangsu 212018, China;  (G.L.)
7469178	Guo-Dong_Zhao	School of Biotechnology, Jiangsu University of Science and Technology, Jiangsu 212018, China;  (G.L.)
7469178	Hui-Min_Guo	School of Biotechnology, Jiangsu University of Science and Technology, Jiangsu 212018, China;  (G.L.)
7469178	Gang_Li	School of Biotechnology, Jiangsu University of Science and Technology, Jiangsu 212018, China;  (G.L.)
7469178	An-Ying_Xu	School of Biotechnology, Jiangsu University of Science and Technology, Jiangsu 212018, China;  (G.L.)
7291346	Aitor_Gavara	Centro de Ecolog&#xED;a Qu&#xED;mica Agr&#xED;cola, Instituto Agroforestal del Mediterr&#xE1;neo, Universitat Polit&#xE8;cnica de Val&#xE8;ncia, Edificio 6C, Camino de Vera s/n, 46022 Valencia, Spain; 
7291346	Sandra_Vacas	Centro de Ecolog&#xED;a Qu&#xED;mica Agr&#xED;cola, Instituto Agroforestal del Mediterr&#xE1;neo, Universitat Polit&#xE8;cnica de Val&#xE8;ncia, Edificio 6C, Camino de Vera s/n, 46022 Valencia, Spain; 
7291346	Ismael_Navarro	Ecolog&#xED;a y Protecci&#xF3;n Agr&#xED;cola SL, Pol. Ind. Ciutat de Carlet, 46240 Valencia, Spain; 
7291346	Jaime_Primo	Centro de Ecolog&#xED;a Qu&#xED;mica Agr&#xED;cola, Instituto Agroforestal del Mediterr&#xE1;neo, Universitat Polit&#xE8;cnica de Val&#xE8;ncia, Edificio 6C, Camino de Vera s/n, 46022 Valencia, Spain; 
7291346	Vicente_Navarro-Llopis	Centro de Ecolog&#xED;a Qu&#xED;mica Agr&#xED;cola, Instituto Agroforestal del Mediterr&#xE1;neo, Universitat Polit&#xE8;cnica de Val&#xE8;ncia, Edificio 6C, Camino de Vera s/n, 46022 Valencia, Spain; 
7082375	Bo&#x17C;ena_&#x141;agowska	Department of Plant Protection, University of Life Sciences in Lublin, Leszczy&#x144;skiego 7, 20-069 Lublin, PolandUniversity of Life Sciences in LublinLublinPoland
7082375	Katarzyna_Golan	Department of Plant Protection, University of Life Sciences in Lublin, Leszczy&#x144;skiego 7, 20-069 Lublin, PolandUniversity of Life Sciences in LublinLublinPoland
7074267	Enrico_Schifani	Department of Chemistry, Life Sciences &amp; Environmental Sustainability, University of Parma, Parco Area delle Scienze, 11/a, 43124 Parma, Italy;  (D.A.G.)
7074267	Cristina_Castracani	Department of Chemistry, Life Sciences &amp; Environmental Sustainability, University of Parma, Parco Area delle Scienze, 11/a, 43124 Parma, Italy;  (D.A.G.)
7074267	Daniele_Giannetti	Department of Chemistry, Life Sciences &amp; Environmental Sustainability, University of Parma, Parco Area delle Scienze, 11/a, 43124 Parma, Italy;  (D.A.G.)
7074267	Fiorenza Augusta_Spotti	Department of Chemistry, Life Sciences &amp; Environmental Sustainability, University of Parma, Parco Area delle Scienze, 11/a, 43124 Parma, Italy;  (D.A.G.)
7074267	Roberto_Reggiani	Azienda Agraria Sperimentale Stuard, Strada Madonna dell&#x2019;Aiuto, 7/a, 43126 San Pancrazio, Parma, Italy; 
7074267	Stefano_Leonardi	Department of Chemistry, Life Sciences &amp; Environmental Sustainability, University of Parma, Parco Area delle Scienze, 11/a, 43124 Parma, Italy;  (D.A.G.)
7074267	Alessandra_Mori	Department of Chemistry, Life Sciences &amp; Environmental Sustainability, University of Parma, Parco Area delle Scienze, 11/a, 43124 Parma, Italy;  (D.A.G.)
7074267	Donato Antonio_Grasso	Department of Chemistry, Life Sciences &amp; Environmental Sustainability, University of Parma, Parco Area delle Scienze, 11/a, 43124 Parma, Italy;  (D.A.G.)
7008799	Claude_Bragard	UNKNOWN
7008799	Katharina_Dehnen&#x2010;Schmutz	UNKNOWN
7008799	Francesco_Di Serio	UNKNOWN
7008799	Paolo_Gonthier	UNKNOWN
7008799	Marie&#x2010;Agn&#xE8;s_Jacques	UNKNOWN
7008799	Josep Anton_Jaques Miret	UNKNOWN
7008799	Annemarie Fejer_Justesen	UNKNOWN
7008799	Alan_MacLeod	UNKNOWN
7008799	Christer Sven_Magnusson	UNKNOWN
7008799	Panagiotis_Milonas	UNKNOWN
7008799	Juan A_Navas&#x2010;Cortes	UNKNOWN
7008799	Stephen_Parnell	UNKNOWN
7008799	Philippe Lucien_Reignault	UNKNOWN
7008799	Hans&#x2010;Hermann_Thulke	UNKNOWN
7008799	Wopke_Van der Werf	UNKNOWN
7008799	Antonio Vicent_Civera	UNKNOWN
7008799	Jonathan_Yuen	UNKNOWN
7008799	Lucia_Zappal&#xE0;	UNKNOWN
7008799	Elisavet_Chatzivassiliou	UNKNOWN
7008799	Jane_Debode	UNKNOWN
7008799	Charles_Manceau	UNKNOWN
7008799	Eduardo_de la&#xA0;Pe&#xF1;a	UNKNOWN
7008799	Ciro_Gardi	UNKNOWN
7008799	Olaf_Mosbach&#x2010;Schulz	UNKNOWN
7008799	Stefano_Preti	UNKNOWN
7008799	Roel_Potting	UNKNOWN
7022879	Khalid_Mohammed	College of Science, Health, Engineering and Education, Murdoch University, Perth, Western Australia 6150, Australia;  (J.N.)
7022879	Manjree_Agarwal	College of Science, Health, Engineering and Education, Murdoch University, Perth, Western Australia 6150, Australia;  (J.N.)
7022879	Beibei_Li	College of agriculture, Kansas State University, Manhattan, KS 66502, USA; 
7022879	James_Newman	College of Science, Health, Engineering and Education, Murdoch University, Perth, Western Australia 6150, Australia;  (J.N.)
7022879	Tao_Liu	Institute of Equipment Technology, Chinese Academy of Inspection and Quarantine, Beijing 100123, China
7022879	Yonglin_Ren	College of Science, Health, Engineering and Education, Murdoch University, Perth, Western Australia 6150, Australia;  (J.N.)
7009087	Claude_Bragard	UNKNOWN
7009087	Katharina_Dehnen&#x2010;Schmutz	UNKNOWN
7009087	Paolo_Gonthier	UNKNOWN
7009087	Marie&#x2010;Agn&#xE8;s_Jacques	UNKNOWN
7009087	Josep Anton_Jaques Miret	UNKNOWN
7009087	Annemarie Fejer_Justesen	UNKNOWN
7009087	Alan_MacLeod	UNKNOWN
7009087	Christer Sven_Magnusson	UNKNOWN
7009087	Panagiotis_Milonas	UNKNOWN
7009087	Juan A_Navas&#x2010;Cortes	UNKNOWN
7009087	Stephen_Parnell	UNKNOWN
7009087	Roel_Potting	UNKNOWN
7009087	Philippe Lucien_Reignault	UNKNOWN
7009087	Hans&#x2010;Hermann_Thulke	UNKNOWN
7009087	Wopke_Van der Werf	UNKNOWN
7009087	Antonio_Vicent Civera	UNKNOWN
7009087	Jonathan_Yuen	UNKNOWN
7009087	Lucia_Zappal&#xE0;	UNKNOWN
7009087	Thierry_Candresse	UNKNOWN
7009087	Elisavet_Chatzivassiliou	UNKNOWN
7009087	Franco_Finelli	UNKNOWN
7009087	Giovanni Paolo_Martelli	UNKNOWN
7009087	Stephan_Winter	UNKNOWN
7009087	Domenico_Bosco	UNKNOWN
7009087	Michela_Chiumenti	UNKNOWN
7009087	Francesco_Di Serio	UNKNOWN
7009087	Tomasz_Kaluski	UNKNOWN
7009087	Angelantonio_Minafra	UNKNOWN
7009087	Luisa_Rubino	UNKNOWN
6835568	Giovanni_Benelli	Department of Agriculture, Food and Environment, University of Pisa, via del Borghetto 80, 56124 Pisa, Italy; 
6835568	Andrea_Lucchi	Department of Agriculture, Food and Environment, University of Pisa, via del Borghetto 80, 56124 Pisa, Italy; 
6835568	Donald_Thomson	Pacific Biocontrol Corporation, 14615 NE 13th Court Suite A Vancouver, WA 98685, USA; 
6835568	Claudio_Ioriatti	Technological Transfer Centre and Research and Innovation Centre, Fondazione Edmund Mach (FEM), via E. Mach 1, 38010 San Michele all&#x2019;Adige (TN), Italy; 
6707215	Farman_Ullah	0000 0004 0530 8290grid.22935.3fDepartment of Entomology, College of Plant Protection, China Agricultural University, Beijing, 100193 China 
6707215	Hina_Gul	0000 0004 0530 8290grid.22935.3fDepartment of Entomology, College of Plant Protection, China Agricultural University, Beijing, 100193 China 
6707215	Hafiz Kamran_Yousaf	0000 0004 0530 8290grid.22935.3fDepartment of Entomology, College of Plant Protection, China Agricultural University, Beijing, 100193 China 
6707215	Wang_Xiu	0000 0004 0530 8290grid.22935.3fDepartment of Entomology, College of Plant Protection, China Agricultural University, Beijing, 100193 China 
6707215	Ding_Qian	0000 0004 0530 8290grid.22935.3fDepartment of Entomology, College of Plant Protection, China Agricultural University, Beijing, 100193 China 
6707215	Xiwu_Gao	0000 0004 0530 8290grid.22935.3fDepartment of Entomology, College of Plant Protection, China Agricultural University, Beijing, 100193 China 
6707215	Kaleem_Tariq	0000 0004 0478 6450grid.440522.5Department of Agriculture, Abdul Wali Khan University Mardan, Khyber Pakhtunkhwa, Pakistan 
6707215	Peng_Han	0000000119573309grid.9227.eKey Laboratory of Biogeography and Bioresource of Arid Land, Chinese Academy of Sciences, Urumqi, 830011 China 
6707215	Nicolas_Desneux	0000 0004 4910 6551grid.460782.fUniversit&#xE9; C&#xF4;te d&#x2019;Azur, INRA, CNRS, UMR ISA, 06000 Nice, France 
6707215	Dunlun_Song	0000 0004 0530 8290grid.22935.3fDepartment of Entomology, College of Plant Protection, China Agricultural University, Beijing, 100193 China 
6635889	Catherine M_Little	Department of Biology, Acadia University, Wolfville, NS, Canada
6635889	Thomas W_Chapman	Department of Biology, Memorial University of Newfoundland and Labrador, St. John&#x2019;s, NL, Canada
6635889	N Kirk_Hillier	Department of Biology, Acadia University, Wolfville, NS, Canada
6491722	Dariane_Souza	0000 0004 1937 0060grid.24434.35University of Nebraska-Lincoln, Department of Entomology, Lincoln, 68583 USA 
6491722	Bruno C._Vieira	0000 0004 1937 0060grid.24434.35University of Nebraska-Lincoln, Department of Agronomy and Horticulture, North Platte, 69101 USA 
6491722	Bradley K._Fritz	0000 0004 0404 0958grid.463419.dUSDA-ARS, Aerial Application Technology Research Unit, College Station, 77845 USA 
6491722	Wesley C._Hoffmann	0000 0004 0404 0958grid.463419.dUSDA-ARS, Aerial Application Technology Research Unit, College Station, 77845 USA 
6491722	Julie A._Peterson	0000 0004 1937 0060grid.24434.35University of Nebraska-Lincoln, Department of Entomology, North Platte, 69101 USA 
6491722	Greg R._Kruger	0000 0004 1937 0060grid.24434.35University of Nebraska-Lincoln, Department of Agronomy and Horticulture, North Platte, 69101 USA 
6491722	Lance J._Meinke	0000 0004 1937 0060grid.24434.35University of Nebraska-Lincoln, Department of Entomology, Lincoln, 68583 USA 
6422274	Paul_Amouroux	Departamento de Fruticultura y Enolog&#xED;a, Facultad de Agronom&#xED;a e Ingenier&#xED;a Forestal, Pontificia Universidad Cat&#xF3;lica de Chile, Santiago, Chile
6422274	Didier_Crochard	Universit&#xE9; C&#xF4;te d&#x2019;Azur, INRA, CNRS, ISA, Sophia Antipolis, France
6422274	Margarita_Correa	Universit&#xE9; C&#xF4;te d&#x2019;Azur, INRA, CNRS, ISA, Sophia Antipolis, France
6422274	G&#xE9;raldine_Groussier	Universit&#xE9; C&#xF4;te d&#x2019;Azur, INRA, CNRS, ISA, Sophia Antipolis, France
6422274	Philippe_Kreiter	Universit&#xE9; C&#xF4;te d&#x2019;Azur, INRA, CNRS, ISA, Sophia Antipolis, France
6422274	Carola_Roman	Xilema-ANASAC Control Biol&#xF3;gico, San Pedro, Quillota, Chile
6422274	Emilio_Guerrieri	Istituto per la Protezione Sostenibile delle Piante, Consiglio Nazionale delle Ricerche, Portici (NA), Italy
6422274	Antonio_Garonna	Dipartimento di Agraria, Universit&#xE0; degli Studi di Napoli &#x201C;Federico II&#x201D;, Portici (NA), Italy
6422274	Thibaut_Malausa	Universit&#xE9; C&#xF4;te d&#x2019;Azur, INRA, CNRS, ISA, Sophia Antipolis, France
6422274	Tania_Zaviezo	Departamento de Fruticultura y Enolog&#xED;a, Facultad de Agronom&#xED;a e Ingenier&#xED;a Forestal, Pontificia Universidad Cat&#xF3;lica de Chile, Santiago, Chile
6850510	Ralf_Dittrich	1tier3 solutionsLeverkusenGermany
6850510	Benedikt_Giessing	1tier3 solutionsLeverkusenGermany
6850510	Mar&#xED;a M._Benito	1tier3 solutionsLeverkusenGermany
6850510	Anja_Russ	1tier3 solutionsLeverkusenGermany
6850510	Christian_Wolf	1tier3 solutionsLeverkusenGermany
6850510	Manousos_Foudoulakis	2Dow AgroSciencesThorikoLavrionGreece
6850510	Steve_Norman	3Dow AgroSciencesAbingdonUnited Kingdom
6308424	Rafael R._Sola-Guirado	Rural Engineering Department, University of Cordoba. Ed. Leonardo da Vinci, Campus Rabanales, Ctra. Nacional IV, km 396, 14014 C&#xF3;rdoba, Spain;  (J.A.G.-R.)
6308424	Sergio_Bayano-Tejero	Rural Engineering Department, University of Cordoba. Ed. Leonardo da Vinci, Campus Rabanales, Ctra. Nacional IV, km 396, 14014 C&#xF3;rdoba, Spain;  (J.A.G.-R.)
6308424	Antonio_Rodr&#xED;guez-Lizana	Aerospace Engineering and Fluid Mechanics Department, University of Seville, Ctra. de Utrera km 1, 41013 Sevilla, Spain; 
6308424	Jes&#xFA;s A._Gil-Ribes	Rural Engineering Department, University of Cordoba. Ed. Leonardo da Vinci, Campus Rabanales, Ctra. Nacional IV, km 396, 14014 C&#xF3;rdoba, Spain;  (J.A.G.-R.)
6308424	Antonio_Miranda-Fuentes	Rural Engineering Department, University of Cordoba. Ed. Leonardo da Vinci, Campus Rabanales, Ctra. Nacional IV, km 396, 14014 C&#xF3;rdoba, Spain;  (J.A.G.-R.)
6316135	Edward W._Evans	Department of Biology, Utah State University, Logan, UT 84322-5305, USA; ; Tel.: +01-435-797-2552
6315970	Nicholas J._Mills	Department of Environmental Science, Policy and Management, University of California, Berkeley, CA 94720-3114, USA; ; Tel.: +1-510-642-1711
7009476	Michael_Jeger	UNKNOWN
7009476	Claude_Bragard	UNKNOWN
7009476	David_Caffier	UNKNOWN
7009476	Thierry_Candresse	UNKNOWN
7009476	Elisavet_Chatzivassiliou	UNKNOWN
7009476	Katharina_Dehnen&#x2010;Schmutz	UNKNOWN
7009476	Gianni_Gilioli	UNKNOWN
7009476	Jean&#x2010;Claude_Gr&#xE9;goire	UNKNOWN
7009476	Josep Anton_Jaques Miret	UNKNOWN
7009476	Maria Navajas_Navarro	UNKNOWN
7009476	Bj&#xF6;rn_Niere	UNKNOWN
7009476	Stephen_Parnell	UNKNOWN
7009476	Roel_Potting	UNKNOWN
7009476	Trond_Rafoss	UNKNOWN
7009476	Vittorio_Rossi	UNKNOWN
7009476	Gregor_Urek	UNKNOWN
7009476	Ariena_Van Bruggen	UNKNOWN
7009476	Wopke_Van der Werf	UNKNOWN
7009476	Jonathan_West	UNKNOWN
7009476	Stephan_Winter	UNKNOWN
7009476	Vir&#xE1;g_Kert&#xE9;sz	UNKNOWN
7009476	Alan_MacLeod	UNKNOWN
6144978	Yao&#x2010;Guang_Qin	1Key Laboratory of Zoological Systematics and EvolutionInstitute of ZoologyChinese Academy of SciencesBeijingChina
6144978	Qing&#x2010;Song_Zhou	1Key Laboratory of Zoological Systematics and EvolutionInstitute of ZoologyChinese Academy of SciencesBeijingChina
6144978	Fang_Yu	1Key Laboratory of Zoological Systematics and EvolutionInstitute of ZoologyChinese Academy of SciencesBeijingChina
6144978	Xu&#x2010;Bo_Wang	3Key Laboratory for Silviculture and Conservation of Ministry of EducationBeijing Forestry UniversityBeijingChina
6144978	Jiu&#x2010;Feng_Wei	4College of AgricultureShanxi Agricultural UniversityShanxiChina
6144978	Chao&#x2010;Dong_Zhu	1Key Laboratory of Zoological Systematics and EvolutionInstitute of ZoologyChinese Academy of SciencesBeijingChina
6144978	Yan&#x2010;Zhou_Zhang	1Key Laboratory of Zoological Systematics and EvolutionInstitute of ZoologyChinese Academy of SciencesBeijingChina
6144978	Alfried P._Vogler	5Department of Life SciencesNatural History MuseumLondonUK
6025178	Yan-Jie_Li	Department of Applied Chemistry, College of Science, China Agricultural University, Beijing 100193, China; 
