pmcid	forename_lastname	affiliation
7452442	Mar&#xED;a E._Brentassi	Divisi&#xF3;n Entomolog&#xED;a, Facultad de Ciencias Naturales y Museo, Universidad Nacional de La Plata, Buenos Aires, Argentina
7452442	Roc&#xED;o_Medina	Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas (CONICET), Buenos Aires, Argentina
7452442	Daniela_de la Fuente	Divisi&#xF3;n Entomolog&#xED;a, Facultad de Ciencias Naturales y Museo, Universidad Nacional de La Plata, Buenos Aires, Argentina
7452442	Mario EE._Franco	Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas (CONICET), Buenos Aires, Argentina
7452442	Andrea V._Toledo	Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas (CONICET), Buenos Aires, Argentina
7452442	Mario CN._Saparrat	Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas (CONICET), Buenos Aires, Argentina
7452442	Pedro A._Balatti	Comisi&#xF3;n de Investigaciones Cient&#xED;ficas de la Provincia de Buenos Aires (CIC), Buenos Aires, Argentina
7421533	Claude_Bragard	UNKNOWN
7421533	Katharina_Dehnen&#x2010;Schmutz	UNKNOWN
7421533	Francesco_Di Serio	UNKNOWN
7421533	Paolo_Gonthier	UNKNOWN
7421533	Marie&#x2010;Agn&#xE8;s_Jacques	UNKNOWN
7421533	Josep Anton_Jaques Miret	UNKNOWN
7421533	Annemarie Fejer_Justesen	UNKNOWN
7421533	Alan_MacLeod	UNKNOWN
7421533	Christer Sven_Magnusson	UNKNOWN
7421533	Panagiotis_Milonas	UNKNOWN
7421533	Juan A_Navas&#x2010;Cortes	UNKNOWN
7421533	Stephen_Parnell	UNKNOWN
7421533	Philippe Lucien_Reignault	UNKNOWN
7421533	Hans&#x2010;Hermann_Thulke	UNKNOWN
7421533	Wopke_Van der Werf	UNKNOWN
7421533	Antonio Vicent_Civera	UNKNOWN
7421533	Jonathan_Yuen	UNKNOWN
7421533	Lucia_Zappal&#xE0;	UNKNOWN
7421533	Elisavet_Chatzivassiliou	UNKNOWN
7421533	Jane_Debode	UNKNOWN
7421533	Charles_Manceau	UNKNOWN
7421533	Ciro_Gardi	UNKNOWN
7421533	Olaf_Mosbach&#x2010;Schulz	UNKNOWN
7421533	Roel_Potting	UNKNOWN
7472352	Cecilia A._Prator	Department of Environmental Science, Policy and Management, University of California, Berkeley, CA 94720, USA; 
7472352	Rodrigo P. P._Almeida	Department of Environmental Science, Policy and Management, University of California, Berkeley, CA 94720, USA; 
7472089	Qi_Wu	School of Agriculture, Food &amp; Wine, University of Adelaide, Waite Precinct, PMB 1, Glen Osmond, Adelaide 5064, South Australia, Australia;  (Y.W.)
7472089	Nuredin_Habili	The Australian Wine Research Institute, PO Box 197, Glen Osmond, Adelaide 5064, South Australia, Australia; 
7472089	Fiona_Constable	Agriculture Victoria Research, Department of Economic Development, Jobs, Transport and Resources, AgriBio, Bundoora, Melbourne 3083, Victoria, Australia; 
7472089	Maher_Al Rwahnih	Department of Plant Pathology, University of California, Davis, CA 95616, USA; 
7472089	Darius E._Goszczynski	Plant Protection Research Institute, Agricultural Research Council, Private Bag X134, Pretoria 0001, South Africa; 
7472089	Yeniu_Wang	School of Agriculture, Food &amp; Wine, University of Adelaide, Waite Precinct, PMB 1, Glen Osmond, Adelaide 5064, South Australia, Australia;  (Y.W.)
7472089	Vinay_Pagay	School of Agriculture, Food &amp; Wine, University of Adelaide, Waite Precinct, PMB 1, Glen Osmond, Adelaide 5064, South Australia, Australia;  (Y.W.)
7469146	Sheng Yin_Wang	College of Agriculture and Food Science, Zhejiang A&amp;F University, Hangzhou 311300, China;  (D.Y.Z.)
7469146	Bo Li_Wang	College of Economic and Management, Zhejiang A&amp;F University, Hangzhou 311300, China; 
7469146	Gai Lan_Yan	Fengdong New City Administration for Market Regulation, Xi&#x2019;an 710086, China; 
7469146	Yan Hong_Liu	College of Plant Protection, Northwest A&amp;F University, Yangling 712100, China; 
7469146	Da Yu_Zhang	College of Agriculture and Food Science, Zhejiang A&amp;F University, Hangzhou 311300, China;  (D.Y.Z.)
7469146	Tong Xian_Liu	College of Plant Protection, Northwest A&amp;F University, Yangling 712100, China; 
7459900	Eliana_Alves	Mass Spectrometry Centre, LAQV-REQUIMTE, Department of Chemistry, University of Aveiro, Campus Universit&#xE1;rio de Santiago, 3810-193 Aveiro, Portugal;  (M.d.R.D.)
7459900	Marina_Dias	Mass Spectrometry Centre, LAQV-REQUIMTE, Department of Chemistry, University of Aveiro, Campus Universit&#xE1;rio de Santiago, 3810-193 Aveiro, Portugal;  (M.d.R.D.)
7459900	Diana_Lopes	Mass Spectrometry Centre, LAQV-REQUIMTE, Department of Chemistry, University of Aveiro, Campus Universit&#xE1;rio de Santiago, 3810-193 Aveiro, Portugal;  (M.d.R.D.)
7459900	Adelaide_Almeida	Centre for Environmental and Marine Studies, CESAM, Department of Biology, University of Aveiro, Campus Universit&#xE1;rio de Santiago, 3810-193 Aveiro, Portugal; 
7459900	Maria do Ros&#xE1;rio_Domingues	Mass Spectrometry Centre, LAQV-REQUIMTE, Department of Chemistry, University of Aveiro, Campus Universit&#xE1;rio de Santiago, 3810-193 Aveiro, Portugal;  (M.d.R.D.)
7459900	Felisa_Rey	Mass Spectrometry Centre, LAQV-REQUIMTE, Department of Chemistry, University of Aveiro, Campus Universit&#xE1;rio de Santiago, 3810-193 Aveiro, Portugal;  (M.d.R.D.)
7387410	Wiam_Alsharif	DARWIN21, Biological and Environmental Sciences and Engineering Division, King Abdullah University of Science and Technology (KAUST), Thuwal, Saudi Arabia
7387410	Maged M._Saad	DARWIN21, Biological and Environmental Sciences and Engineering Division, King Abdullah University of Science and Technology (KAUST), Thuwal, Saudi Arabia
7387410	Heribert_Hirt	DARWIN21, Biological and Environmental Sciences and Engineering Division, King Abdullah University of Science and Technology (KAUST), Thuwal, Saudi Arabia
