pmcid	forename_lastname	affiliation
7404982	Mikel_Dom&#xED;nguez-Arrizabalaga	Institute for Multidisciplinary Research in Applied Biology-IMAB, Universidad P&#xFA;blica de Navarra, 31192 Mutilva, Navarra, Spain;  (M.V.)
7404982	Maite_Villanueva	Institute for Multidisciplinary Research in Applied Biology-IMAB, Universidad P&#xFA;blica de Navarra, 31192 Mutilva, Navarra, Spain;  (M.V.)
7404982	Baltasar_Escriche	Departamento de Gen&#xE9;tica/ERI BioTecMed, Universitat de Val&#xE8;ncia, Burjassot, 46100 Val&#xE8;ncia, Spain; 
7404982	Carmen_Anc&#xED;n-Azpilicueta	Departamento de Ciencias, Universidad P&#xFA;blica de Navarra, 31006 Pamplona, Spain; 
7404982	Primitivo_Caballero	Institute for Multidisciplinary Research in Applied Biology-IMAB, Universidad P&#xFA;blica de Navarra, 31192 Mutilva, Navarra, Spain;  (M.V.)
7240575	Caroline_Zanchi	Institute for Evolution and Biodiversity, University of M&#xFC;nster, H&#xFC;fferstra&#xDF;e 1, 48149 M&#xFC;nster, Germany
7240575	Ana Sofia_Lindeza	Institute for Evolution and Biodiversity, University of M&#xFC;nster, H&#xFC;fferstra&#xDF;e 1, 48149 M&#xFC;nster, Germany
7240575	Joachim_Kurtz	Institute for Evolution and Biodiversity, University of M&#xFC;nster, H&#xFC;fferstra&#xDF;e 1, 48149 M&#xFC;nster, Germany
6924328	Carole B._Rapo	Climate-KIC Office, Swiss Federal Institute of Technology, Z&#xFC;rich, Switzerland
6924328	Urs_Schaffner	CABI Switzerland, Delemont, Switzerland
6924328	Sanford D._Eigenbrode	Department of Entomology, Plant Pathology and Nematology, University of Idaho, Moscow, ID, USA
6924328	Hariet L._Hinz	CABI Switzerland, Delemont, Switzerland
6924328	William J._Price	Statistical Programs, University of Idaho, Moscow, ID, USA
6924328	Matthew_Morra	Soil and Water Systems, University of Idaho, Moscow, ID, USA
6924328	John_Gaskin	Northern Plains Agricultural Research Laboratory, USDA ARS, Sidney, MT, USA
6924328	Mark_Schwarzl&#xE4;nder	Department of Entomology, Plant Pathology and Nematology, University of Idaho, Moscow, ID, USA
6292897	Alejandra_Bravo	0000 0001 2159 0001grid.9486.3Instituto de Biotecnolog&#xED;a, Universidad Nacional Aut&#xF3;noma de M&#xE9;xico. Apdo. Postal 510-3, Cuernavaca, 62250 Morelos Mexico 
6292897	Jazmin A._L&#xF3;pez-Diaz	0000 0001 2159 0001grid.9486.3Instituto de Biotecnolog&#xED;a, Universidad Nacional Aut&#xF3;noma de M&#xE9;xico. Apdo. Postal 510-3, Cuernavaca, 62250 Morelos Mexico 
6292897	Takashi_Yamamoto	0000 0004 0414 655Xgrid.292487.2DuPont Pioneer, Hayward, CA 94545 USA 
6292897	Kathleen_Harding	0000 0004 0414 655Xgrid.292487.2DuPont Pioneer, Hayward, CA 94545 USA 
6292897	Jian-Zhou_Zhao	0000 0004 0414 655Xgrid.292487.2DuPont Pioneer, Johnston, IA 50131 USA 
6292897	Gretel_Mendoza	0000 0001 2159 0001grid.9486.3Instituto de Biotecnolog&#xED;a, Universidad Nacional Aut&#xF3;noma de M&#xE9;xico. Apdo. Postal 510-3, Cuernavaca, 62250 Morelos Mexico 
6292897	Janette_Onofre	0000 0001 2159 0001grid.9486.3Instituto de Biotecnolog&#xED;a, Universidad Nacional Aut&#xF3;noma de M&#xE9;xico. Apdo. Postal 510-3, Cuernavaca, 62250 Morelos Mexico 
6292897	Mary-Carmen_Torres-Quintero	0000 0001 2159 0001grid.9486.3Instituto de Biotecnolog&#xED;a, Universidad Nacional Aut&#xF3;noma de M&#xE9;xico. Apdo. Postal 510-3, Cuernavaca, 62250 Morelos Mexico 
6292897	Mark E._Nelson	0000 0004 0414 655Xgrid.292487.2DuPont Pioneer, Johnston, IA 50131 USA 
6292897	Gusui_Wu	0000 0004 0414 655Xgrid.292487.2DuPont Pioneer, Hayward, CA 94545 USA 
6292897	Amit_Sethi	0000 0004 0414 655Xgrid.292487.2DuPont Pioneer, Johnston, IA 50131 USA 
6292897	Mario_Sober&#xF3;n	0000 0001 2159 0001grid.9486.3Instituto de Biotecnolog&#xED;a, Universidad Nacional Aut&#xF3;noma de M&#xE9;xico. Apdo. Postal 510-3, Cuernavaca, 62250 Morelos Mexico 
