pmcid	forename_lastname	affiliation
7501787	Oksana G._Tomilova	Institute of Systematics and Ecology of Animals SB RAS, Novosibirsk, Russia
7501787	Elena M._Shaldyaeva	Institute of Systematics and Ecology of Animals SB RAS, Novosibirsk, Russia
7501787	Natalia A._Kryukova	Institute of Systematics and Ecology of Animals SB RAS, Novosibirsk, Russia
7501787	Yulia V._Pilipova	Department of Plant Protection, Novosibirsk State Agrarian University, Novosibirsk, Russia
7501787	Natalia S._Schmidt	Institute of Systematics and Ecology of Animals SB RAS, Novosibirsk, Russia
7501787	Viktor P._Danilov	Federal Scientific Centre of Agro-BioTechnologies (SFSCA) of the RAS, Novosibirsk, Russia
7501787	Vadim Y._Kryukov	Institute of Systematics and Ecology of Animals SB RAS, Novosibirsk, Russia
7501787	Viktor V._Glupov	Institute of Systematics and Ecology of Animals SB RAS, Novosibirsk, Russia
7493910	Dandan_Li	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Chi_Zhang	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Zeqian_Tong	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Dan_Su	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Gaisheng_Zhang	grid.144022.10000 0004 1760 4150Ministry of Education, Key Laboratory of Crop Heterosis of Shaanxi Province, National Yangling Agricultural Biotechnology and Breeding Center, Yangling Branch of State Wheat Improvement Centre/Wheat Breeding Engineering Research Center, Northwest A&amp;F University, Yangling, China 
7493910	Shize_Zhang	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Huiyan_Zhao	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Zuqing_Hu	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7489515	Farman_Ullah	Department of Entomology, China Agricultural University, Beijing, China
7489515	Hina_Gul	Department of Entomology, China Agricultural University, Beijing, China
7489515	Kaleem_Tariq	Department of Agriculture Entomology, Abdul Wali Khan University Mardan, Khyber Pakhtunkhwa, Pakistan
7489515	Nicolas_Desneux	Universit&#xE9; C&#xF4;te d&#x2019;Azur, INRAE, CNRS, UMR ISA, Nice, France
7489515	Xiwu_Gao	Department of Entomology, China Agricultural University, Beijing, China
7489515	Dunlun_Song	Department of Entomology, China Agricultural University, Beijing, China
7489556	Rasmus Emil_Jensen	        Department of Agroecology, Aarhus University, Flakkebjerg, Denmark      
7489556	Carmina_Cabral	        Department of Agroecology, Aarhus University, Flakkebjerg, Denmark      
7489556	Annie_Enkegaard	        Department of Agroecology, Aarhus University, Flakkebjerg, Denmark      
7489556	Tove_Steenberg	        Department of Agroecology, Aarhus University, Flakkebjerg, Denmark      
7481182	Prince_Zogli	grid.24434.350000 0004 1937 0060Department of Entomology, University of Nebraska-Lincoln, Lincoln, NE 68583-0816 USA 
7481182	Sophie_Alvarez	grid.24434.350000 0004 1937 0060Proteomics and Metabolomics Facility, Nebraska Center for Biotechnology, University of Nebraska-Lincoln, Lincoln, NE 68588 USA 
7481182	Michael J._Naldrett	grid.24434.350000 0004 1937 0060Proteomics and Metabolomics Facility, Nebraska Center for Biotechnology, University of Nebraska-Lincoln, Lincoln, NE 68588 USA 
7481182	Nathan A._Palmer	grid.463419.d0000 0001 0946 3608Wheat, Sorghum, and Forage Research Unit, USDA-ARS, Lincoln, NE 68583-0937 USA 
7481182	Kyle G._Koch	grid.24434.350000 0004 1937 0060Department of Entomology, University of Nebraska-Lincoln, Lincoln, NE 68583-0816 USA 
7481182	Lise_Pingault	grid.24434.350000 0004 1937 0060Department of Entomology, University of Nebraska-Lincoln, Lincoln, NE 68583-0816 USA 
7481182	Jeffrey D._Bradshaw	grid.24434.350000 0004 1937 0060Department of Entomology, University of Nebraska-Lincoln, Lincoln, NE 68583-0816 USA 
7481182	Paul_Twigg	grid.266814.f0000 0004 0386 5405Biology Department, University of Nebraska-Kearney, Kearney, NE 68849 USA 
7481182	Tiffany M._Heng-Moss	grid.24434.350000 0004 1937 0060Department of Entomology, University of Nebraska-Lincoln, Lincoln, NE 68583-0816 USA 
7481182	Joe_Louis	grid.24434.350000 0004 1937 0060Department of Entomology, University of Nebraska-Lincoln, Lincoln, NE 68583-0816 USA 
7481182	Gautam_Sarath	grid.24434.350000 0004 1937 0060Department of Entomology, University of Nebraska-Lincoln, Lincoln, NE 68583-0816 USA 
7444016	Chukwuemeka K._Nkere	International Institute of Tropical Agriculture, PMB, 5320, Ibadan, Nigeria
7444016	Emmanuel_Otoo	CSIR-Crops Research Institute, Kumasi, P.O. Box 3785, Fumesua, Ghana
7444016	Gabriel I._Atiri	Department of Crop Protection and Environmental Biology, University of Ibadan, Nigeria
7444016	Joseph_Onyeka	National Root Crops Research Institute, Umudike, PMB, 7006, Umuahia, Nigeria
7444016	Gon&#xE7;alo_Silva	Natural Resources Institute, University of Greenwich, Central Avenue, Chatham, ME4 4TB, UK
7444016	Moritz_B&#xF6;mer	Natural Resources Institute, University of Greenwich, Central Avenue, Chatham, ME4 4TB, UK
7444016	Susan E._Seal	Natural Resources Institute, University of Greenwich, Central Avenue, Chatham, ME4 4TB, UK
7444016	P. Lava_Kumar	International Institute of Tropical Agriculture, PMB, 5320, Ibadan, Nigeria
7463240	Keon Mook_Seong	grid.258803.40000 0001 0661 1556Department of Applied Biology, College of Ecology and Environment, Kyungpook National University, Sangju, Korea 
7463240	Brad S._Coates	grid.463419.d0000 0001 0946 3608USDA-ARS, Corn Insects and Crop Genetics Research Unit, Ames, IA USA 
7463240	Barry R._Pittendrigh	grid.17088.360000 0001 2150 1785Department of Entomology, Michigan State University, East Lansing, MI USA 
7503466	Jiao_Wang	Jiangsu Key Laboratory of Sericultural Biology and Biotechnology, School of Biotechnology, Jiangsu University of Science and Technology, Zhenjiang 212018, China;  (F.-A.W.)
7503466	Li-Wei_Shen	Jiangsu Key Laboratory of Sericultural Biology and Biotechnology, School of Biotechnology, Jiangsu University of Science and Technology, Zhenjiang 212018, China;  (F.-A.W.)
7503466	Xiao-Rong_Xing	Jiangsu Key Laboratory of Sericultural Biology and Biotechnology, School of Biotechnology, Jiangsu University of Science and Technology, Zhenjiang 212018, China;  (F.-A.W.)
7503466	Yu-Qi_Xie	Jiangsu Key Laboratory of Sericultural Biology and Biotechnology, School of Biotechnology, Jiangsu University of Science and Technology, Zhenjiang 212018, China;  (F.-A.W.)
7503466	Yi-Jiangcheng_Li	Jiangsu Key Laboratory of Sericultural Biology and Biotechnology, School of Biotechnology, Jiangsu University of Science and Technology, Zhenjiang 212018, China;  (F.-A.W.)
7503466	Zhi-Xiang_Liu	Jiangsu Key Laboratory of Sericultural Biology and Biotechnology, School of Biotechnology, Jiangsu University of Science and Technology, Zhenjiang 212018, China;  (F.-A.W.)
7503466	Jun_Wang	Jiangsu Key Laboratory of Sericultural Biology and Biotechnology, School of Biotechnology, Jiangsu University of Science and Technology, Zhenjiang 212018, China;  (F.-A.W.)
7503466	Fu-An_Wu	Jiangsu Key Laboratory of Sericultural Biology and Biotechnology, School of Biotechnology, Jiangsu University of Science and Technology, Zhenjiang 212018, China;  (F.-A.W.)
7503466	Sheng_Sheng	Jiangsu Key Laboratory of Sericultural Biology and Biotechnology, School of Biotechnology, Jiangsu University of Science and Technology, Zhenjiang 212018, China;  (F.-A.W.)
7504372	Ana_P&#xE9;rez-de-Castro	Instituto de Conservaci&#xF3;n y Mejora de la Agrodiversidad Valenciana (COMAV), Universitat Polit&#xE8;cnica de Val&#xE8;ncia, Camino de Vera, 46022 Valencia, Spain;  (M.B.P.)
7504372	Mar&#xED;a_L&#xF3;pez-Mart&#xED;n	Instituto de Conservaci&#xF3;n y Mejora de la Agrodiversidad Valenciana (COMAV), Universitat Polit&#xE8;cnica de Val&#xE8;ncia, Camino de Vera, 46022 Valencia, Spain;  (M.B.P.)
7504372	Cristina_Esteras	Instituto de Conservaci&#xF3;n y Mejora de la Agrodiversidad Valenciana (COMAV), Universitat Polit&#xE8;cnica de Val&#xE8;ncia, Camino de Vera, 46022 Valencia, Spain;  (M.B.P.)
7504372	Ana_Garc&#xE9;s-Claver	Centro de Investigaci&#xF3;n y Tecnolog&#xED;a Agroalimentaria de Arag&#xF3;n, Unidad de Hortofruticultura, Instituto Agroalimentario de Arag&#xF3;n-IA2 (CITA-Universidad de Zaragoza), 50059 Zaragoza, Spain; 
7504372	Francisco Javier_Palomares-R&#xED;us	Instituto de Hortofruticultura Subtropical y Mediterr&#xE1;nea &#x2018;La Mayora&#x2019; (IHSM, UMA-CSIC), Algarrobo-Costa, 29760 M&#xE1;laga, Spain;  (M.L.G.-G.)
7504372	Mar&#xED;a Bel&#xE9;n_Pic&#xF3;	Instituto de Conservaci&#xF3;n y Mejora de la Agrodiversidad Valenciana (COMAV), Universitat Polit&#xE8;cnica de Val&#xE8;ncia, Camino de Vera, 46022 Valencia, Spain;  (M.B.P.)
7504372	Mar&#xED;a Luisa_G&#xF3;mez-Guillam&#xF3;n	Instituto de Hortofruticultura Subtropical y Mediterr&#xE1;nea &#x2018;La Mayora&#x2019; (IHSM, UMA-CSIC), Algarrobo-Costa, 29760 M&#xE1;laga, Spain;  (M.L.G.-G.)
7433769	Xiangrui_Liu	Key Laboratory of Green Prevention and Control of Tropical Plant Diseases and Pests (Hainan University), Ministry of Education, Haikou, Hainan Province, China
7433769	Xianwu_Lin	Key Laboratory of Green Prevention and Control of Tropical Plant Diseases and Pests (Hainan University), Ministry of Education, Haikou, Hainan Province, China
7433769	Jing_Li	Key Laboratory of Green Prevention and Control of Tropical Plant Diseases and Pests (Hainan University), Ministry of Education, Haikou, Hainan Province, China
7433769	Fen_Li	Key Laboratory of Green Prevention and Control of Tropical Plant Diseases and Pests (Hainan University), Ministry of Education, Haikou, Hainan Province, China
7433769	Fengqin_Cao	Key Laboratory of Green Prevention and Control of Tropical Plant Diseases and Pests (Hainan University), Ministry of Education, Haikou, Hainan Province, China
