pmcid	forename_lastname	affiliation
7494183	Bo_Ye	Liaoning Ocean and Fisheries Science Research Institute, Liaoning Academy of Agricultural Sciences, Dalian, China
7494183	Zhenjun_Zhao	Liaoning Ocean and Fisheries Science Research Institute, Liaoning Academy of Agricultural Sciences, Dalian, China
7494183	Dongmei_Yue	Liaoning Ocean and Fisheries Science Research Institute, Liaoning Academy of Agricultural Sciences, Dalian, China
7494183	Peipei_Li	Liaoning Ocean and Fisheries Science Research Institute, Liaoning Academy of Agricultural Sciences, Dalian, China
7494183	Linmei_Wang	Liaoning Ocean and Fisheries Science Research Institute, Liaoning Academy of Agricultural Sciences, Dalian, China
7494183	Bo_Zhang	Liaoning Ocean and Fisheries Science Research Institute, Liaoning Academy of Agricultural Sciences, Dalian, China
7494183	Qi_Fan	Liaoning Ocean and Fisheries Science Research Institute, Liaoning Academy of Agricultural Sciences, Dalian, China
7482974	Hongmei_Huang	Department of Entomology, South China Agricultural University, Guangzhou, China
7482974	Lu_Ren	Department of Entomology, South China Agricultural University, Guangzhou, China
7482974	Huijing_Li	Department of Entomology, South China Agricultural University, Guangzhou, China
7482974	Axel_Schmidt	Department of Biochemistry, Max Planck Institute for Chemical Ecology, Jena, Germany
7482974	Jonathan_Gershenzon	Department of Biochemistry, Max Planck Institute for Chemical Ecology, Jena, Germany
7482974	Yongyue_Lu	Department of Entomology, South China Agricultural University, Guangzhou, China
7482974	Daifeng_Cheng	Department of Entomology, South China Agricultural University, Guangzhou, China
7470329	Dongjing_Zhang	Key Laboratory of Tropical Disease Control of the Ministry of Education, Sun Yat-sen University&#x2013;Michigan State University Joint Center of Vector Control for Tropical Diseases, Zhongshan School of Medicine, Guangzhou, China
7470329	Zhiyong_Xi	Key Laboratory of Tropical Disease Control of the Ministry of Education, Sun Yat-sen University&#x2013;Michigan State University Joint Center of Vector Control for Tropical Diseases, Zhongshan School of Medicine, Guangzhou, China
7470329	Yongjun_Li	Lingnan Statistical Science Research Institute, Guangzhou University, Guangzhou, China
7470329	Xiaohua_Wang	Guangzhou Wolbaki Biotech, Guangzhou, China
7470329	Hanano_Yamada	Insect Pest Control Laboratory, Joint FAO/IAEA Division of Nuclear Techniques in Food and Agriculture, International Atomic Energy Agency, Vienna, Austria
7470329	Jieru_Qiu	Department of Laboratory Medicine, Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China
7470329	Yongkang_Liang	Key Laboratory of Tropical Disease Control of the Ministry of Education, Sun Yat-sen University&#x2013;Michigan State University Joint Center of Vector Control for Tropical Diseases, Zhongshan School of Medicine, Guangzhou, China
7470329	Meichun_Zhang	Key Laboratory of Tropical Disease Control of the Ministry of Education, Sun Yat-sen University&#x2013;Michigan State University Joint Center of Vector Control for Tropical Diseases, Zhongshan School of Medicine, Guangzhou, China
7470329	Yu_Wu	Key Laboratory of Tropical Disease Control of the Ministry of Education, Sun Yat-sen University&#x2013;Michigan State University Joint Center of Vector Control for Tropical Diseases, Zhongshan School of Medicine, Guangzhou, China
7470329	Xiaoying_Zheng	Key Laboratory of Tropical Disease Control of the Ministry of Education, Sun Yat-sen University&#x2013;Michigan State University Joint Center of Vector Control for Tropical Diseases, Zhongshan School of Medicine, Guangzhou, China
7450566	Danfeng_Liu	grid.440773.30000 0000 9342 2456Yunnan Key Laboratory of Plant Reproductive Adaption and Evolutionary Ecology, Yunnan University, Kunming, 650504 China 
7450566	Li_Chen	grid.440773.30000 0000 9342 2456Yunnan Key Laboratory of Plant Reproductive Adaption and Evolutionary Ecology, Yunnan University, Kunming, 650504 China 
7450566	Chao_Chen	grid.440773.30000 0000 9342 2456Yunnan Key Laboratory of Plant Reproductive Adaption and Evolutionary Ecology, Yunnan University, Kunming, 650504 China 
