pmcid	forename_lastname	affiliation
7446811	Yao_Li	College of Horticulture and Plant Protection, Yangzhou University, Yangzhou, China
7446811	Danyu_Chen	College of Horticulture and Plant Protection, Yangzhou University, Yangzhou, China
7446811	Jia_Hu	College of Horticulture and Plant Protection, Yangzhou University, Yangzhou, China
7446811	Kun_Zhang	College of Horticulture and Plant Protection, Yangzhou University, Yangzhou, China
7446811	Lin_Kang	College of Horticulture and Plant Protection, Yangzhou University, Yangzhou, China
7446811	Yan_Chen	College of Horticulture and Plant Protection, Yangzhou University, Yangzhou, China
7446811	Lijun_Huang	College of Horticulture and Plant Protection, Yangzhou University, Yangzhou, China
7446811	Lu_Zhang	College of Horticulture and Plant Protection, Yangzhou University, Yangzhou, China
7446811	Yin_Xiang	College of Horticulture and Plant Protection, Yangzhou University, Yangzhou, China
7446811	Qisheng_Song	Division of Plant Sciences, University of Missouri, Columbia, Missouri, United States of America
7446811	Fang_Liu	College of Horticulture and Plant Protection, Yangzhou University, Yangzhou, China
7413487	Panjing_Liu	Institute of Plant Protection, Hebei Academy of Agriculture and Forestry Sciences/Integrated Pest Management Center of Hebei Province/Key Laboratory of IPM on Crops in Northern Region of North China, Ministry of Agriculture, Baoding, P. R. China
7413487	Xiaofang_Zhang	Institute of Plant Protection, Hebei Academy of Agriculture and Forestry Sciences/Integrated Pest Management Center of Hebei Province/Key Laboratory of IPM on Crops in Northern Region of North China, Ministry of Agriculture, Baoding, P. R. China
7413487	Runjie_Meng	Baoding Vocational and Technical College, Baoding, P. R. China
7413487	Chang_Liu	College of Plant Protection, Nanjing Agricultural University, Nanjing, P. R. China
7413487	Min_Li	Institute of Plant Protection, Hebei Academy of Agriculture and Forestry Sciences/Integrated Pest Management Center of Hebei Province/Key Laboratory of IPM on Crops in Northern Region of North China, Ministry of Agriculture, Baoding, P. R. China
7413487	Tao_Zhang	Institute of Plant Protection, Hebei Academy of Agriculture and Forestry Sciences/Integrated Pest Management Center of Hebei Province/Key Laboratory of IPM on Crops in Northern Region of North China, Ministry of Agriculture, Baoding, P. R. China
7469201	Yan_Wang	Key Laboratory of Plant Protection Resources and Pest Management of the Ministry of Education, College of Plant Protection, Northwest A&amp;F University, Yangling 712100, China; 
7469201	Wu_Dai	Key Laboratory of Plant Protection Resources and Pest Management of the Ministry of Education, College of Plant Protection, Northwest A&amp;F University, Yangling 712100, China; 
