pmcid	forename_lastname	affiliation
7498013	Stephen_Bolus	USDA-ARS, National Germplasm Resources Laboratory, Beltsville, Maryland, United States of America
7498013	Martha_Malapi-Wight	USDA-APHIS-PPQ, Plant Germplasm Quarantine Program, Beltsville, Maryland, United States of America
7498013	Samuel C._Grinstead	USDA-ARS, National Germplasm Resources Laboratory, Beltsville, Maryland, United States of America
7498013	Irazema_Fuentes-Bueno	USDA-ARS, National Germplasm Resources Laboratory, Beltsville, Maryland, United States of America
7498013	Leticia_Hendrickson	USDA-APHIS-PPQ, Plant Germplasm Quarantine Program, Beltsville, Maryland, United States of America
7498013	Rosemarie W._Hammond	USDA-ARS, Molecular Plant Pathology Laboratory, Beltsville, Maryland, United States of America
7498013	Dimitre_Mollov	USDA-ARS, National Germplasm Resources Laboratory, Beltsville, Maryland, United States of America
7493910	Dandan_Li	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Chi_Zhang	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Zeqian_Tong	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Dan_Su	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Gaisheng_Zhang	grid.144022.10000 0004 1760 4150Ministry of Education, Key Laboratory of Crop Heterosis of Shaanxi Province, National Yangling Agricultural Biotechnology and Breeding Center, Yangling Branch of State Wheat Improvement Centre/Wheat Breeding Engineering Research Center, Northwest A&amp;F University, Yangling, China 
7493910	Shize_Zhang	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Huiyan_Zhao	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Zuqing_Hu	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7469124	Busu_Li	KeyLaboratory of Experimental Marine Biology, Institute of Oceanology, Chinese Academy of Sciences, Qingdao 266071, China
7469124	Li_Li	KeyLaboratory of Experimental Marine Biology, Institute of Oceanology, Chinese Academy of Sciences, Qingdao 266071, China
7469124	Wei_Wang	KeyLaboratory of Experimental Marine Biology, Institute of Oceanology, Chinese Academy of Sciences, Qingdao 266071, China
7469124	Jie_Meng	KeyLaboratory of Experimental Marine Biology, Institute of Oceanology, Chinese Academy of Sciences, Qingdao 266071, China
7469124	Fei_Xu	KeyLaboratory of Experimental Marine Biology, Institute of Oceanology, Chinese Academy of Sciences, Qingdao 266071, China
7469124	Fucun_Wu	KeyLaboratory of Experimental Marine Biology, Institute of Oceanology, Chinese Academy of Sciences, Qingdao 266071, China
7469124	Guofan_Zhang	KeyLaboratory of Experimental Marine Biology, Institute of Oceanology, Chinese Academy of Sciences, Qingdao 266071, China
7403522	Kadirvel_Nithya	ICAR-Sugarcane Breeding Institute, Coimbatore 641 007, Tamil Nadu, India
7403522	Balasubramaniam_Parameswari	ICAR-Sugarcane Breeding Institute, Regional Centre, Karnal 132 001, Haryana, India
7403522	Rasappa_Viswanathan	ICAR-Sugarcane Breeding Institute, Coimbatore 641 007, Tamil Nadu, India
7360041	Minori_Uchimiya	USDA-ARS Southern Regional Research Center, New Orleans, Louisiana, United States of America
7360041	Joseph E._Knoll	USDA-ARS Crop Genetics and Breeding Research Unit, Tifton, Georgia, United States of America
7324606	Lianthanzauva_Duhlian	0000 0001 2172 0814grid.418196.3ICAR-National Institute for Plant Biotechnology, Indian Agricultural Research Institute Campus, New Delhi, 110012 India 
7324606	Murali Krishna_Koramutla	0000 0001 2172 0814grid.418196.3ICAR-National Institute for Plant Biotechnology, Indian Agricultural Research Institute Campus, New Delhi, 110012 India 
7324606	S._Subramanian	0000 0001 2172 0814grid.418196.3Division of Entomology, Indian Agricultural Research Institute, New Delhi, 110012 India 
7324606	Rohit_Chamola	0000 0001 2172 0814grid.418196.3ICAR-National Institute for Plant Biotechnology, Indian Agricultural Research Institute Campus, New Delhi, 110012 India 
7324606	Ramcharan_Bhattacharya	0000 0001 2172 0814grid.418196.3ICAR-National Institute for Plant Biotechnology, Indian Agricultural Research Institute Campus, New Delhi, 110012 India 
7412028	Runshi_Xie	Department of Horticultural Sciences, Texas A&amp;M University, College Station, TX 77843, USA;  (H.D.)
7412028	Bin_Wu	Department of Horticultural Sciences, Texas A&amp;M University, College Station, TX 77843, USA;  (H.D.)
7412028	Haijie_Dou	Department of Horticultural Sciences, Texas A&amp;M University, College Station, TX 77843, USA;  (H.D.)
7412028	Cuiyu_Liu	College of Forestry, Nanjing Forestry University, 159 Longpan Rd., Nanjing 210037, China; 
7412028	Gary W._Knox	Department of Environmental Horticulture, University of Florida/IFAS North Florida Research and Education Center, Quincy, FL 32351, USA; 
7412028	Hongmin_Qin	Department of Biology, Texas A&amp;M University, College Station, TX 77840, USA
7412028	Mengmeng_Gu	Department of Horticultural Sciences, Texas A&amp;M AgriLife Extension Service, College Station, TX 77843, USA
7313535	Lina Aguirre_Rojas	Department of Entomology, Kansas State University, Manhattan, KS, UnitedStates of America
7313535	Erin_Scully	Stored Product Insect and Engineering Unit, USDA-ARS Centerfor Grain andAnimal Health Research, Manhattan, KS, United States ofAmerica
7313535	Laramy_Enders	Department of Entomology, Purdue University, West Lafayette, IN, UnitedStates of America
7313535	Alicia_Timm	Department of Bioagricultural Sciences and Pest Management, ColoradoState University, Fort Collins, CO, United States of America
7313535	Deepak_Sinha	Department of Entomology, Kansas State University, Manhattan, KS, UnitedStates of America
7313535	Charles Michael_Smith	Department of Entomology, Kansas State University, Manhattan, KS, UnitedStates of America
7243947	Jacob R._MacWilliams	Graduate Program in Biochemistry and Molecular Biology, University of California, Riverside, Riverside, CA, United States
7243947	Stephanie_Dingwall	Department of Biochemistry, University of California, Riverside, Riverside, CA, United States
7243947	Quentin_Chesnais	Universit&#xE9; de Strasbourg, INRAE, SVQV UMR-A1131, Colmar, France
7243947	Akiko_Sugio	INRAE, UMR1349, Institute of Genetics, Environment and Plant Protection, Le Rheu, France
7243947	Isgouhi_Kaloshian	Graduate Program in Biochemistry and Molecular Biology, University of California, Riverside, Riverside, CA, United States
7290403	Phillipp_Kirfel	Fraunhofer Institute for Molecular Biology and Applied Ecology (IME), Branch for Bioresources, Ohlebergsweg 12, 35392 Giessen, Germany;  (A.V.)
7290403	Andreas_Vilcinskas	Fraunhofer Institute for Molecular Biology and Applied Ecology (IME), Branch for Bioresources, Ohlebergsweg 12, 35392 Giessen, Germany;  (A.V.)
7290403	Marisa_Skaljac	Fraunhofer Institute for Molecular Biology and Applied Ecology (IME), Branch for Bioresources, Ohlebergsweg 12, 35392 Giessen, Germany;  (A.V.)
7250505	Ruo-Lin_Cheng	Key Laboratory of Marine Genetic Resources, Third Institute of Oceanography, Ministry of Natural Resources, Xiamen, China
7250505	Xiao-Feng_Li	Key Laboratory of Marine Genetic Resources, Third Institute of Oceanography, Ministry of Natural Resources, Xiamen, China
7250505	Chuan-Xi_Zhang	Institute of Plant Virology, Ningbo University, China
7059971	Wardatou_Boukari	Department of Plant Pathology, Everglades Research and Education Center, University of Florida, Belle Glade, Florida, United States of America
7059971	Chunyan_Wei	Department of Plant Pathology, Everglades Research and Education Center, University of Florida, Belle Glade, Florida, United States of America
7059971	Lihua_Tang	Department of Plant Pathology, Everglades Research and Education Center, University of Florida, Belle Glade, Florida, United States of America
7059971	Martha_Hincapie	Department of Plant Pathology, Everglades Research and Education Center, University of Florida, Belle Glade, Florida, United States of America
7059971	Moramay_Naranjo	Florida Crystals Corporation, Belle Glade, Florida, United States of America
7059971	Gregg_Nuessly	Department of Entomology and Nematology, Everglades Research and Education Center, University of Florida, Belle Glade, Florida, United States of America
7059971	Julien_Beuzelin	Department of Entomology and Nematology, Everglades Research and Education Center, University of Florida, Belle Glade, Florida, United States of America
7059971	Sushma_Sood	Sugarcane Field Station, USDA-ARS, Canal Point, Florida, United States of America
7059971	Philippe_Rott	Department of Plant Pathology, Everglades Research and Education Center, University of Florida, Belle Glade, Florida, United States of America
6994723	Silke_Jacques	grid.493032.fCentre for Environment and Life Sciences, CSIRO Agriculture and Food, Floreat, WA 6014 Australia 
6994723	Jenny_Reidy-Crofts	grid.493032.fCentre for Environment and Life Sciences, CSIRO Agriculture and Food, Floreat, WA 6014 Australia 
6994723	Jana_Sperschneider	0000 0001 2180 7477grid.1001.0Biological Data Science Institute, The Australian National University, Canberra, ACT 2600 Australia 
6994723	Lars G._Kamphuis	grid.493032.fCentre for Environment and Life Sciences, CSIRO Agriculture and Food, Floreat, WA 6014 Australia 
6994723	Ling-Ling_Gao	grid.493032.fCentre for Environment and Life Sciences, CSIRO Agriculture and Food, Floreat, WA 6014 Australia 
6994723	Owain R._Edwards	grid.469914.7Centre for Environment and Life Sciences, CSIRO Land and Water, Floreat, WA 6014 Australia 
6994723	Karam B._Singh	grid.493032.fCentre for Environment and Life Sciences, CSIRO Agriculture and Food, Floreat, WA 6014 Australia 
6977789	Bi-Ying_Pan	0000 0001 2230 9154grid.410595.cCollege of Life and Environmental Sciences, Hangzhou Normal University, Hangzhou, 310036 Zhejiang People&#x2019;s Republic of China 
6977789	Yong-Kang_Liu	0000 0001 2230 9154grid.410595.cCollege of Life and Environmental Sciences, Hangzhou Normal University, Hangzhou, 310036 Zhejiang People&#x2019;s Republic of China 
6977789	Hong-Kai_Wu	0000 0001 2230 9154grid.410595.cCollege of Life and Environmental Sciences, Hangzhou Normal University, Hangzhou, 310036 Zhejiang People&#x2019;s Republic of China 
6977789	Xiao-Qing_Pang	0000 0001 2230 9154grid.410595.cCollege of Life and Environmental Sciences, Hangzhou Normal University, Hangzhou, 310036 Zhejiang People&#x2019;s Republic of China 
6977789	Shi-Gui_Wang	0000 0001 2230 9154grid.410595.cCollege of Life and Environmental Sciences, Hangzhou Normal University, Hangzhou, 310036 Zhejiang People&#x2019;s Republic of China 
6977789	Bin_Tang	0000 0001 2230 9154grid.410595.cCollege of Life and Environmental Sciences, Hangzhou Normal University, Hangzhou, 310036 Zhejiang People&#x2019;s Republic of China 
6977789	Cai-Di_Xu	0000 0001 2230 9154grid.410595.cCollege of Education, HangzhouNormal University, Hangzhou, 310036 Zhejiang People&#x2019;s Republic of China 
7022676	Qiang_Li	State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, College of Plant Protection, Fujian Agriculture and Forestry University, Fuzhou 350002, China;  (Z.C.)
7022676	Jun_Deng	State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, College of Plant Protection, Fujian Agriculture and Forestry University, Fuzhou 350002, China;  (Z.C.)
7022676	Cui_Chen	State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, College of Plant Protection, Fujian Agriculture and Forestry University, Fuzhou 350002, China;  (Z.C.)
7022676	Linda_Zeng	State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, College of Plant Protection, Fujian Agriculture and Forestry University, Fuzhou 350002, China;  (Z.C.)
7022676	Xiaolan_Lin	State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, College of Plant Protection, Fujian Agriculture and Forestry University, Fuzhou 350002, China;  (Z.C.)
7022676	Zhentao_Cheng	State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, College of Plant Protection, Fujian Agriculture and Forestry University, Fuzhou 350002, China;  (Z.C.)
7022676	Gexia_Qiao	Key Laboratory of Zoological Systematics and Evolution, Institute of Zoology, Chinese Academy of Sciences, Beijing 100101, China; 
7022676	Xiaolei_Huang	State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, College of Plant Protection, Fujian Agriculture and Forestry University, Fuzhou 350002, China;  (Z.C.)
6917271	Markus W._Eitle	University of Natural Resources and Life Sciences, Department of Crop Sciences, Institute of Viticulture and Pomology, Vienna, Austria
