pmcid	forename_lastname	affiliation
7493910	Dandan_Li	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Chi_Zhang	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Zeqian_Tong	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Dan_Su	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Gaisheng_Zhang	grid.144022.10000 0004 1760 4150Ministry of Education, Key Laboratory of Crop Heterosis of Shaanxi Province, National Yangling Agricultural Biotechnology and Breeding Center, Yangling Branch of State Wheat Improvement Centre/Wheat Breeding Engineering Research Center, Northwest A&amp;F University, Yangling, China 
7493910	Shize_Zhang	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Huiyan_Zhao	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Zuqing_Hu	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7491741	Xiaofen_Wu	CAS Key Laboratory of Tropical Marine Bio-resources and Ecology (LMB), Guangdong Provincial Key Laboratory of Applied Marine Biology (LAMB), South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou, PR China
7491741	Yao_Ruan	CAS Key Laboratory of Tropical Marine Bio-resources and Ecology (LMB), Guangdong Provincial Key Laboratory of Applied Marine Biology (LAMB), South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou, PR China
7491741	Ting_Chen	CAS Key Laboratory of Tropical Marine Bio-resources and Ecology (LMB), Guangdong Provincial Key Laboratory of Applied Marine Biology (LAMB), South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou, PR China
7491741	Zonghe_Yu	College of Marine Sciences, South China Agricultural University, Guangzhou, PR China
7491741	Da_Huo	CAS Key Laboratory of Tropical Marine Bio-resources and Ecology (LMB), Guangdong Provincial Key Laboratory of Applied Marine Biology (LAMB), South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou, PR China
7491741	Xiaomin_Li	CAS Key Laboratory of Tropical Marine Bio-resources and Ecology (LMB), Guangdong Provincial Key Laboratory of Applied Marine Biology (LAMB), South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou, PR China
7491741	Feifei_Wu	CAS Key Laboratory of Tropical Marine Bio-resources and Ecology (LMB), Guangdong Provincial Key Laboratory of Applied Marine Biology (LAMB), South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou, PR China
7491741	Xiao_Jiang	CAS Key Laboratory of Tropical Marine Bio-resources and Ecology (LMB), Guangdong Provincial Key Laboratory of Applied Marine Biology (LAMB), South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou, PR China
7491741	Chunhua_Ren	CAS Key Laboratory of Tropical Marine Bio-resources and Ecology (LMB), Guangdong Provincial Key Laboratory of Applied Marine Biology (LAMB), South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou, PR China
7477568	Md. Mahbub_Hasan	grid.412656.20000 0004 0451 7306Department of Zoology, Rajshahi University, Rajshahi, 6205 Bangladesh 
7477568	Sayla Aktar_Chowdhory	grid.412656.20000 0004 0451 7306Department of Zoology, Rajshahi University, Rajshahi, 6205 Bangladesh 
7477568	A. S. M. Shafiqur_Rahman	grid.412656.20000 0004 0451 7306Department of Zoology, Rajshahi University, Rajshahi, 6205 Bangladesh 
7477568	Christos G._Athanassiou	grid.410558.d0000 0001 0035 6670Laboratory of Entomology and Agricultural Zoology, Department of Agriculture, Crop Production and Rural Environment, University of Thessaly, Phytokou Str., 38446 Nea Ionia, Magnesia Greece 
7481685	Erin L._Cole	<institution>Department of Marine and Environmental Sciences, Northeastern University</institution>, <addr-line>134 Mugar Building, 360 Huntington Avenue, Boston, MA 02115</addr-line>, <country>USA</country>
7481685	Haley_Bayne	<institution>Department of Marine and Environmental Sciences, Northeastern University</institution>, <addr-line>134 Mugar Building, 360 Huntington Avenue, Boston, MA 02115</addr-line>, <country>USA</country>
7481685	Rebeca B._Rosengaus	<institution>Department of Marine and Environmental Sciences, Northeastern University</institution>, <addr-line>134 Mugar Building, 360 Huntington Avenue, Boston, MA 02115</addr-line>, <country>USA</country>
7469149	Jacob D._Langsi	Faculty of Sciences, University of Ngaoundere, Ngaoundere P. O. Box 454, Cameroon;  (H.M.)
7469149	Elias N._Nukenine	Faculty of Sciences, University of Ngaoundere, Ngaoundere P. O. Box 454, Cameroon;  (H.M.)
7469149	Kary M._Oumarou	National School of Veterinary Medicine and Sciences (ESMV), Ngaoundere P. O. Box 454, Cameroon; 
7469149	Hamadou_Moktar	Faculty of Sciences, University of Ngaoundere, Ngaoundere P. O. Box 454, Cameroon;  (H.M.)
7469149	Charles N._Fokunang	Faculty of Medicine and Biomedical Sciences, University of Yaound&#xE9; 1, Yaounde P. O. Box 33032, Cameroon; 
7469149	George N._Mbata	Agriculture Research Station, Fort Valley State University, 1005 State University Drive, Fort Valley, GA 31030, USA
7472377	Shuzhong_Li	Laboratory of Bio-Pesticide Innovation and Application of Guangdong Province, College of Agriculture, South China Agricultural University, Guangzhou 510642, China;  (X.X.)
7472377	Surajit_De Mandal	Laboratory of Bio-Pesticide Innovation and Application of Guangdong Province, College of Agriculture, South China Agricultural University, Guangzhou 510642, China;  (X.X.)
7472377	Xiaoxia_Xu	Laboratory of Bio-Pesticide Innovation and Application of Guangdong Province, College of Agriculture, South China Agricultural University, Guangzhou 510642, China;  (X.X.)
7472377	Fengliang_Jin	Laboratory of Bio-Pesticide Innovation and Application of Guangdong Province, College of Agriculture, South China Agricultural University, Guangzhou 510642, China;  (X.X.)
7466025	Ju_Jin	School of Pharmacy and Pharmacology, Griffith University, Gold Coast Campus, 4222 Queensland, Australia;  (A.K.D.)
7466025	Mark_Boersch	School of Pharmacy and Pharmacology, Griffith University, Gold Coast Campus, 4222 Queensland, Australia;  (A.K.D.)
7466025	Akshaya_Nagarajan	School of Pharmacy and Pharmacology, Griffith University, Gold Coast Campus, 4222 Queensland, Australia;  (A.K.D.)
7466025	Andrew K._Davey	School of Pharmacy and Pharmacology, Griffith University, Gold Coast Campus, 4222 Queensland, Australia;  (A.K.D.)
7466025	Matthew_Zunk	School of Pharmacy and Pharmacology, Griffith University, Gold Coast Campus, 4222 Queensland, Australia;  (A.K.D.)
7438863	Zahra_Afraze	Department of Plant Protection, Faculty of Agricultural Sciences, University of Guilan, Rasht, Iran
7438863	Jalal J._Sendi	Department of Plant Protection, Faculty of Agricultural Sciences, University of Guilan, Rasht, Iran
7438863	Azadeh_Karimi-Malati	Department of Plant Protection, Faculty of Agricultural Sciences, University of Guilan, Rasht, Iran
7438863	Arash_Zibaee	Department of Plant Protection, Faculty of Agricultural Sciences, University of Guilan, Rasht, Iran
7413487	Panjing_Liu	Institute of Plant Protection, Hebei Academy of Agriculture and Forestry Sciences/Integrated Pest Management Center of Hebei Province/Key Laboratory of IPM on Crops in Northern Region of North China, Ministry of Agriculture, Baoding, P. R. China
7413487	Xiaofang_Zhang	Institute of Plant Protection, Hebei Academy of Agriculture and Forestry Sciences/Integrated Pest Management Center of Hebei Province/Key Laboratory of IPM on Crops in Northern Region of North China, Ministry of Agriculture, Baoding, P. R. China
7413487	Runjie_Meng	Baoding Vocational and Technical College, Baoding, P. R. China
7413487	Chang_Liu	College of Plant Protection, Nanjing Agricultural University, Nanjing, P. R. China
7413487	Min_Li	Institute of Plant Protection, Hebei Academy of Agriculture and Forestry Sciences/Integrated Pest Management Center of Hebei Province/Key Laboratory of IPM on Crops in Northern Region of North China, Ministry of Agriculture, Baoding, P. R. China
7413487	Tao_Zhang	Institute of Plant Protection, Hebei Academy of Agriculture and Forestry Sciences/Integrated Pest Management Center of Hebei Province/Key Laboratory of IPM on Crops in Northern Region of North China, Ministry of Agriculture, Baoding, P. R. China
7398519	Daniel D._Noriega	Embrapa Genetic Resources and Biotechnology, Bras&#xED;lia-DF, Brazil
7398519	Fabricio B. M._Arraes	Embrapa Genetic Resources and Biotechnology, Bras&#xED;lia-DF, Brazil
7398519	Jos&#xE9; Dijair_Antonino	Embrapa Genetic Resources and Biotechnology, Bras&#xED;lia-DF, Brazil
7398519	Leonardo L. P._Macedo	Embrapa Genetic Resources and Biotechnology, Bras&#xED;lia-DF, Brazil
7398519	Fernando C. A._Fonseca	Embrapa Genetic Resources and Biotechnology, Bras&#xED;lia-DF, Brazil
7398519	Roberto C._Togawa	Embrapa Genetic Resources and Biotechnology, Bras&#xED;lia-DF, Brazil
7398519	Priscila_Grynberg	Embrapa Genetic Resources and Biotechnology, Bras&#xED;lia-DF, Brazil
7398519	Maria C. M._Silva	Embrapa Genetic Resources and Biotechnology, Bras&#xED;lia-DF, Brazil
7398519	Aldomario S._Negrisoli	Embrapa Tabuleiros Costeiros, Aracaju, Sergipe-SE, Brazil
7398519	Carolina V._Morgante	Embrapa Genetic Resources and Biotechnology, Bras&#xED;lia-DF, Brazil
7398519	Maria F._Grossi-de-Sa	Embrapa Genetic Resources and Biotechnology, Bras&#xED;lia-DF, Brazil
7380273	Chuncai_Yan	Tianjin Key Laboratory of Animal and Plant Resistance, Tianjin Normal University, Tianjin, China
7380273	Xiaoya_Sun	Tianjin Key Laboratory of Animal and Plant Resistance, Tianjin Normal University, Tianjin, China
7380273	Wei_Cao	Tianjin Key Laboratory of Animal and Plant Resistance, Tianjin Normal University, Tianjin, China
7380273	Ruoqun_Li	Tianjin Key Laboratory of Animal and Plant Resistance, Tianjin Normal University, Tianjin, China
7380273	Cong_Zhao	Tianjin Key Laboratory of Animal and Plant Resistance, Tianjin Normal University, Tianjin, China
7380273	Zeyang_Sun	Tianjin Key Laboratory of Animal and Plant Resistance, Tianjin Normal University, Tianjin, China
7380273	Wenbin_Liu	Tianjin Key Laboratory of Animal and Plant Resistance, Tianjin Normal University, Tianjin, China
7380273	Lina_Pan	Tianjin Key Laboratory of Animal and Plant Resistance, Tianjin Normal University, Tianjin, China
7411610	Yuriy B._Akhanaev	Laboratory of Ecological Physiology, Institute of Systematics and Ecology of Animals SB RAS, Frunze str. 11, Novosibirsk 630091, Russia;  (S.V.P.)
7411610	Irina A._Belousova	Laboratory of Ecological Physiology, Institute of Systematics and Ecology of Animals SB RAS, Frunze str. 11, Novosibirsk 630091, Russia;  (S.V.P.)
7411610	Darya A._Lebedeva	Laboratory of Ecological Physiology, Institute of Systematics and Ecology of Animals SB RAS, Frunze str. 11, Novosibirsk 630091, Russia;  (S.V.P.)
7411610	Sergey V._Pavlushin	Laboratory of Ecological Physiology, Institute of Systematics and Ecology of Animals SB RAS, Frunze str. 11, Novosibirsk 630091, Russia;  (S.V.P.)
7411610	Vyacheslav V._Martemyanov	Laboratory of Ecological Physiology, Institute of Systematics and Ecology of Animals SB RAS, Frunze str. 11, Novosibirsk 630091, Russia;  (S.V.P.)
7404779	Akinbode A._Adedeji	Department of Biosystems and Agricultural Engineering, University of Kentucky, Lexington, KY 40546, USA;  (M.L.)
7404779	Nader_Ekramirad	Department of Biosystems and Agricultural Engineering, University of Kentucky, Lexington, KY 40546, USA;  (M.L.)
7404779	Ahmed_Rady	Department of Biosystems and Agricultural Engineering, University of Kentucky, Lexington, KY 40546, USA;  (M.L.)
7404779	Ali_Hamidisepehr	Department of Biosystems and Agricultural Engineering, University of Kentucky, Lexington, KY 40546, USA;  (M.L.)
7404779	Kevin D._Donohue	Department of Electrical and Computer Engineering, University of Kentucky, Lexington, KY 40506, USA;  (C.A.P.)
7404779	Raul T._Villanueva	Department of Entomology, University of Kentucky, Princeton, KY 42445-0469, USA; 
7404779	Chadwick A._Parrish	Department of Electrical and Computer Engineering, University of Kentucky, Lexington, KY 40506, USA;  (C.A.P.)
7404779	Mengxing_Li	Department of Biosystems and Agricultural Engineering, University of Kentucky, Lexington, KY 40546, USA;  (M.L.)
