pmcid	forename_lastname	affiliation
7488116	Jian-Jun_Jin	grid.9227.e0000000119573309Germplasm Bank of Wild Species, Kunming Institute of Botany, Chinese Academy of Sciences, Kunming, Yunnan 650201 China 
7488116	Wen-Bin_Yu	grid.458477.d0000 0004 1799 1066Center for Integrative Conservation, Xishuangbanna Tropical Botanical Garden, Chinese Academy of Sciences, Mengla, Yunnan 666303 China 
7488116	Jun-Bo_Yang	grid.9227.e0000000119573309Germplasm Bank of Wild Species, Kunming Institute of Botany, Chinese Academy of Sciences, Kunming, Yunnan 650201 China 
7488116	Yu_Song	grid.458477.d0000 0004 1799 1066Center for Integrative Conservation, Xishuangbanna Tropical Botanical Garden, Chinese Academy of Sciences, Mengla, Yunnan 666303 China 
7488116	Claude W._dePamphilis	grid.29857.310000 0001 2097 4281Department of Biology, The Pennsylvania State University, University Park, PA 16801 USA 
7488116	Ting-Shuang_Yi	grid.9227.e0000000119573309Germplasm Bank of Wild Species, Kunming Institute of Botany, Chinese Academy of Sciences, Kunming, Yunnan 650201 China 
7488116	De-Zhu_Li	grid.9227.e0000000119573309Germplasm Bank of Wild Species, Kunming Institute of Botany, Chinese Academy of Sciences, Kunming, Yunnan 650201 China 
7479627	Dirk_Schenke	Institute of Phytopathology, Department of Molecular Phytopathology and Biotechnology, Christian-Albrechts-University of Kiel, Hermann Rodewald Str. 9, 24118 Kiel, Germany
7479627	Daguang_Cai	Institute of Phytopathology, Department of Molecular Phytopathology and Biotechnology, Christian-Albrechts-University of Kiel, Hermann Rodewald Str. 9, 24118 Kiel, Germany
7465820	Michael_G&#xE9;taz	Environmental Genomics and Systems Biology Research Group, Institute of Natural Resource Sciences, Zurich University of Applied Sciences (ZHAW), CH-8820 W&#xE4;denswil, Switzerland;  (T.H.S.)
7465820	Joanna_Pu&#x142;awska	Department of Phytopathology, Research Institute of Horticulture, 96-100 Skierniewice, Poland; 
7465820	Theo H.M._Smits	Environmental Genomics and Systems Biology Research Group, Institute of Natural Resource Sciences, Zurich University of Applied Sciences (ZHAW), CH-8820 W&#xE4;denswil, Switzerland;  (T.H.S.)
7465820	Jo&#xEB;l F._Pothier	Environmental Genomics and Systems Biology Research Group, Institute of Natural Resource Sciences, Zurich University of Applied Sciences (ZHAW), CH-8820 W&#xE4;denswil, Switzerland;  (T.H.S.)
7469148	Rebekka_Sontowski	German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig, Deutscher Platz 5e, 04103 Leipzig, Germany; 
7469148	Nicole M._van Dam	German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig, Deutscher Platz 5e, 04103 Leipzig, Germany; 
7428492	Zainab_Aljbory	1Department of EntomologyKansas State UniversityManhattanKSUSA
7428492	Michael J._Aikins	1Department of EntomologyKansas State UniversityManhattanKSUSA
7428492	Yoonseong_Park	1Department of EntomologyKansas State UniversityManhattanKSUSA
7428492	Gerald R._Reeck	3Department of Biochemistry and Molecular BiophysicsKansas State UniversityManhattanKSUSA
7428492	Ming&#x2010;Shun_Chen	1Department of EntomologyKansas State UniversityManhattanKSUSA
7457136	Andreas_Prothmann	Institute of Organismic and Molecular Evolution, Molecular Genetics and Genome Analysis, University of Mainz, Mainz, Germany
