pmcid	forename_lastname	affiliation
7474526	Mao-Ye_Li	Anhui Province Key Laboratory of Integrated Pest Management on Crops, Key Laboratory of Biology and Sustainable Management of Plant Diseases and Pests of Anhui Higher Education Institutes, College of Plant Protection, Anhui Agricultural University, Hefei, Anhui, China
7474526	Xiu-Yun_Jiang	Anhui Province Key Laboratory of Integrated Pest Management on Crops, Key Laboratory of Biology and Sustainable Management of Plant Diseases and Pests of Anhui Higher Education Institutes, College of Plant Protection, Anhui Agricultural University, Hefei, Anhui, China
7474526	Yu-Zhe_Qi	Anhui Province Key Laboratory of Integrated Pest Management on Crops, Key Laboratory of Biology and Sustainable Management of Plant Diseases and Pests of Anhui Higher Education Institutes, College of Plant Protection, Anhui Agricultural University, Hefei, Anhui, China
7474526	Yuan-Jie_Huang	People&#x2019;s Government of Fenshui Town, Tonglu County, Hangzhou, China
7474526	Shi-Guang_Li	Anhui Province Key Laboratory of Integrated Pest Management on Crops, Key Laboratory of Biology and Sustainable Management of Plant Diseases and Pests of Anhui Higher Education Institutes, College of Plant Protection, Anhui Agricultural University, Hefei, Anhui, China
7474526	Su_Liu	Anhui Province Key Laboratory of Integrated Pest Management on Crops, Key Laboratory of Biology and Sustainable Management of Plant Diseases and Pests of Anhui Higher Education Institutes, College of Plant Protection, Anhui Agricultural University, Hefei, Anhui, China
7424033	Clancy A._Short	Department of Entomology and Nematology, The University of Florida, Gainesville, FL, United States
7424033	John D._Hatle	Department of Biology, The University of North Florida, Jacksonville, FL, United States
7424033	Daniel A._Hahn	Department of Entomology and Nematology, The University of Florida, Gainesville, FL, United States
7469189	Maurilio_L&#xF3;pez-Ortega	Instituto de Biotecnolog&#xED;a y Ecolog&#xED;a Aplicada (INBIOTECA), Universidad Veracruzana, Xalapa, 91090 Veracruz, Mexico;  (M.H.-O.)
7469189	Francisco_D&#xED;az-Fleischer	Instituto de Biotecnolog&#xED;a y Ecolog&#xED;a Aplicada (INBIOTECA), Universidad Veracruzana, Xalapa, 91090 Veracruz, Mexico;  (M.H.-O.)
7469189	Jaime C._Pi&#xF1;ero	Stockbridge School of Agriculture, University of Massachusetts, Amherst, MA 01003, USA; 
7469189	Jos&#xE9; Ren&#xE9;_Valdez-Lazalde	Colegio de Postgraduados, Postgrado en Ciencias Forestales, Montecillo, 56230 Texcoco, Mexico; 
7469189	Manuel_Hern&#xE1;ndez-Ortiz	Instituto de Biotecnolog&#xED;a y Ecolog&#xED;a Aplicada (INBIOTECA), Universidad Veracruzana, Xalapa, 91090 Veracruz, Mexico;  (M.H.-O.)
7469189	Vicente_Hern&#xE1;ndez-Ortiz	Red de Interacciones Multitr&#xF3;ficas, Instituto de Ecolog&#xED;a A.C. Xalapa, 91073 Veracruz, Mexico; 
7391001	Claude_Bragard	UNKNOWN
7391001	Katharina_Dehnen&#x2010;Schmutz	UNKNOWN
7391001	Francesco_Di Serio	UNKNOWN
7391001	Paolo_Gonthier	UNKNOWN
7391001	Marie&#x2010;Agn&#xE8;s_Jacques	UNKNOWN
7391001	Josep Anton_Jaques Miret	UNKNOWN
7391001	Annemarie Fejer_Justesen	UNKNOWN
7391001	Christer Sven_Magnusson	UNKNOWN
7391001	Panagiotis_Milonas	UNKNOWN
7391001	Juan A_Navas&#x2010;Cortes	UNKNOWN
7391001	Stephen_Parnell	UNKNOWN
7391001	Roel_Potting	UNKNOWN
7391001	Philippe Lucien_Reignault	UNKNOWN
7391001	Hans&#x2010;Hermann_Thulke	UNKNOWN
