pmcid	forename_lastname	affiliation
7471381	Julie C._Dunning Hotopp	Institute for Genome Sciences, University of Maryland School of Medicine, Baltimore, Maryland, USA        
7471381	David A._Baltrus	School of Plant Sciences, University of Arizona, Tucson, Arizona, USA        
7471381	Vincent M._Bruno	Institute for Genome Sciences, University of Maryland School of Medicine, Baltimore, Maryland, USA        
7471381	John J._Dennehy	Biology Department, Queens College, City University of New York, Flushing, New York, USA        
7471381	Steven R._Gill	Department of Microbiology and Immunology, University of Rochester School of Medicine and Dentistry, Rochester, New York, USA        
7471381	Julia A._Maresca	Department of Civil and Environmental Engineering, University of Delaware, Newark, Delaware, USA        
7471381	Jelle_Matthijnssens	University of Leuven, Department of Microbiology, Immunology, and Transplantation, Rega Institute, Leuven, Belgium        
7471381	Irene L. G._Newton	Department of Biology, Indiana University, Bloomington, Indiana, USA        
7471381	Catherine_Putonti	Bioinformatics Program, Loyola University Chicago, Chicago, Illinois, USA        
7471381	David A._Rasko	Institute for Genome Sciences, University of Maryland School of Medicine, Baltimore, Maryland, USA        
7471381	Antonis_Rokas	Department of Biological Sciences, Vanderbilt University, Nashville, Tennessee, USA        
7471381	Simon_Roux	DOE Joint Genome Institute, Lawrence Berkeley National Laboratory, Berkeley, California, USA        
7471381	Jason E._Stajich	Department of Microbiology and Plant Pathology, University of California, Riverside, Riverside, California, USA        
7471381	Kenneth M._Stedman	Center for Life in Extreme Environments, Portland State University, Portland, Oregon, USA        
7471381	Frank J._Stewart	Department of Microbiology and Immunology, Montana State University, Bozeman, Montana, USA        
7471381	J. Cameron_Thrash	Department of Biological Sciences, University of Southern California, Los Angeles, California, USA        
6715869	A. R._Stahlke	Institute for Bioinformatics and Evolutionary Studies, University of Idaho, Moscow, Idaho, USA        
6715869	A. Z._Ozsoy	Department of Biological Sciences, Colorado Mesa University, Grand Junction, Colorado, USA        
6715869	D. W._Bean	Colorado Department of Agriculture, Palisade, Colorado, USA        
6715869	P. A._Hohenlohe	Institute for Bioinformatics and Evolutionary Studies, University of Idaho, Moscow, Idaho, USA        
5570027	Randall W._Long	Department of Ecology, Evolution and Marine Biology, University of California-Santa Barbara, Bldg 520, RM 4001, Fl 4L, Santa Barbara, CA 93106, USA
5570027	Susan E._Bush	School of Forestry, Northern Arizona University, S San Francisco St, Flagstaff, AZ 86011, USA
5570027	Kevin C._Grady	School of Forestry, Northern Arizona University, S San Francisco St, Flagstaff, AZ 86011, USA
5570027	David S._Smith	Keck Science Department, Claremont McKenna, Pitzer and Scripps Colleges, 925 N. Mills Ave, Claremont, CA 91711, USA
5570027	Daniel L._Potts	Biology Department, SUNY Buffalo State, 1300 Elmwood Ave, Buffalo, NY 14222, USA
5570027	Carla M._D'Antonio	School of Forestry, Northern Arizona University, S San Francisco St, Flagstaff, AZ 86011, USA
5570027	Tom L._Dudley	Marine Science Institute, University of California-Santa Barbara, Bldg 520, RM 4001, Fl 4L, Santa Barbara, CA 93106, USA
5570027	Shannon D._Fehlberg	Department of Research, Conservation and Collections, Desert Botanical Garden, 1201 N Galvin Pkwy, Phoenix, AZ 85008, USA
5570027	John F._Gaskin	USDA Agricultural Research Service, 1500 North Central Avenue, Sidney, MT 59270, USA
5570027	Edward P._Glenn	Department of Soil, Water and Environmental Science, University of Arizona, 1428 E University Blvd, Tucson, AZ 85719, USA
5570027	Kevin R._Hultine	Department of Research, Conservation and Collections, Desert Botanical Garden, 1201 N Galvin Pkwy, Phoenix, AZ 85008, USA
