pmcid	forename_lastname	affiliation
7417349	Jing_Zhao	<institution>Ministry of Agriculture Key Laboratory of Molecular Biology of Crop Pathogens and Insects, Institute of Insect Sciences, Zhejiang University</institution>, <addr-line>Hangzhou</addr-line>, <country>China</country>
7417349	Tao_Guo	<institution>Ministry of Agriculture Key Laboratory of Molecular Biology of Crop Pathogens and Insects, Institute of Insect Sciences, Zhejiang University</institution>, <addr-line>Hangzhou</addr-line>, <country>China</country>
7417349	Teng_Lei	<institution>Ministry of Agriculture Key Laboratory of Molecular Biology of Crop Pathogens and Insects, Institute of Insect Sciences, Zhejiang University</institution>, <addr-line>Hangzhou</addr-line>, <country>China</country>
7417349	Jia-Chen_Zhu	<institution>Ministry of Agriculture Key Laboratory of Molecular Biology of Crop Pathogens and Insects, Institute of Insect Sciences, Zhejiang University</institution>, <addr-line>Hangzhou</addr-line>, <country>China</country>
7417349	Fang_Wang	<institution>Ministry of Agriculture Key Laboratory of Molecular Biology of Crop Pathogens and Insects, Institute of Insect Sciences, Zhejiang University</institution>, <addr-line>Hangzhou</addr-line>, <country>China</country>
7417349	Xiao-Wei_Wang	<institution>Ministry of Agriculture Key Laboratory of Molecular Biology of Crop Pathogens and Insects, Institute of Insect Sciences, Zhejiang University</institution>, <addr-line>Hangzhou</addr-line>, <country>China</country>
7417349	Shu-Sheng_Liu	<institution>Ministry of Agriculture Key Laboratory of Molecular Biology of Crop Pathogens and Insects, Institute of Insect Sciences, Zhejiang University</institution>, <addr-line>Hangzhou</addr-line>, <country>China</country>
7404022	Chunxiao_Yang	State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources, South China Agricultural University, Guangzhou 510642, China; 
7404022	Da_Ou	Key Laboratory of Bio-Pesticide Innovation and Application of Guangdong Province, South China Agricultural University, Guangzhou 510642, China;  (C.G.)
7404022	Wei_Guo	Key Laboratory of Bio-Pesticide Innovation and Application of Guangdong Province, South China Agricultural University, Guangzhou 510642, China;  (C.G.)
7404022	Jing_L&#xFC;	Key Laboratory of Bio-Pesticide Innovation and Application of Guangdong Province, South China Agricultural University, Guangzhou 510642, China;  (C.G.)
7404022	Changfei_Guo	Key Laboratory of Bio-Pesticide Innovation and Application of Guangdong Province, South China Agricultural University, Guangzhou 510642, China;  (C.G.)
7404022	Baoli_Qiu	Key Laboratory of Bio-Pesticide Innovation and Application of Guangdong Province, South China Agricultural University, Guangzhou 510642, China;  (C.G.)
7404022	Huipeng_Pan	Key Laboratory of Bio-Pesticide Innovation and Application of Guangdong Province, South China Agricultural University, Guangzhou 510642, China;  (C.G.)
7314779	Chang Yeol_Yang	Horticultural and Herbal Crop Environment Division, National Institute of Horticultural and Herbal Science, Wanju, Republic of Korea 
7314779	Kenji_Mori	Photosensitive Materials Research Center, Toyo Gosei Co., Ltd, 4-2-1 Wakahagi, Inzai-shi, Chiba 270-1609 Japan 
7314779	Junheon_Kim	0000 0000 9151 8497grid.418977.4Forest Insect Pests and Diseases Division, National Institute of Forest Science, Seoul, Republic of Korea 
7314779	Ki Bong_Kwon	AD Corporation, Andong, Gyeongsangbuk-do Republic of Korea 
7292396	Gozde Busra_Eroglu	Department of Biology, Faculty of Science, Karadeniz Technical University, Trabzon, Turkey
7292396	Cihan_Inan	Department of Molecular Biology and Genetics, Faculty of Science, Karadeniz Technical University, Trabzon, Turkey
7292396	Remziye_Nalcacioglu	Department of Biology, Faculty of Science, Karadeniz Technical University, Trabzon, Turkey
7292396	Zihni_Demirbag	Department of Biology, Faculty of Science, Karadeniz Technical University, Trabzon, Turkey
7313665	Qing-Song_Zhou	Key Laboratory of the Zoological Systematics and Evolution, Institute of Zoology, Chinese Academy of Sciences, Beijing, China
7313665	Arong_Luo	Key Laboratory of the Zoological Systematics and Evolution, Institute of Zoology, Chinese Academy of Sciences, Beijing, China
7313665	Feng_Zhang	Department of Entomology, College of Plant Protection, Nanjing Agricultural University, China
7313665	Ze-Qing_Niu	Key Laboratory of the Zoological Systematics and Evolution, Institute of Zoology, Chinese Academy of Sciences, Beijing, China
7313665	Qing-Tao_Wu	Key Laboratory of the Zoological Systematics and Evolution, Institute of Zoology, Chinese Academy of Sciences, Beijing, China
