pmcid	forename_lastname	affiliation
7490912	Geng_Chen	grid.27871.3b0000 0000 9750 7019Department of Entomology, College of Plant Protection, Nanjing Agricultural University, Nanjing, 210095 China 
7490912	Yanhui_Wang	grid.27871.3b0000 0000 9750 7019Department of Entomology, College of Plant Protection, Nanjing Agricultural University, Nanjing, 210095 China 
7490912	Yanmin_Liu	grid.27871.3b0000 0000 9750 7019Department of Entomology, College of Plant Protection, Nanjing Agricultural University, Nanjing, 210095 China 
7490912	Fajun_Chen	grid.27871.3b0000 0000 9750 7019Department of Entomology, College of Plant Protection, Nanjing Agricultural University, Nanjing, 210095 China 
7490912	Lanzhi_Han	grid.464356.6The State Key Laboratory for Biology of Plant Diseases and Insect Pests, Institute of Plant Protection, Chinese Academy of Agricultural Sciences, Beijing, 100193 China 
7489556	Rasmus Emil_Jensen	        Department of Agroecology, Aarhus University, Flakkebjerg, Denmark      
7489556	Carmina_Cabral	        Department of Agroecology, Aarhus University, Flakkebjerg, Denmark      
7489556	Annie_Enkegaard	        Department of Agroecology, Aarhus University, Flakkebjerg, Denmark      
7489556	Tove_Steenberg	        Department of Agroecology, Aarhus University, Flakkebjerg, Denmark      
7504026	Fei-Ying_Yang	State Key Laboratory for Ecological Pest Control of Fujian and Taiwan Crops, Institute of Applied Ecology, Fujian Agriculture and Forestry University, Fuzhou 350002, China;  (L.V.)
7504026	Hafiz Sohaib Ahmed_Saqib	State Key Laboratory for Ecological Pest Control of Fujian and Taiwan Crops, Institute of Applied Ecology, Fujian Agriculture and Forestry University, Fuzhou 350002, China;  (L.V.)
7504026	Jun-Hui_Chen	State Key Laboratory for Ecological Pest Control of Fujian and Taiwan Crops, Institute of Applied Ecology, Fujian Agriculture and Forestry University, Fuzhou 350002, China;  (L.V.)
7504026	Qian-Qian_Ruan	State Key Laboratory for Ecological Pest Control of Fujian and Taiwan Crops, Institute of Applied Ecology, Fujian Agriculture and Forestry University, Fuzhou 350002, China;  (L.V.)
7504026	Liette_Vasseur	State Key Laboratory for Ecological Pest Control of Fujian and Taiwan Crops, Institute of Applied Ecology, Fujian Agriculture and Forestry University, Fuzhou 350002, China;  (L.V.)
7504026	Wei-Yi_He	State Key Laboratory for Ecological Pest Control of Fujian and Taiwan Crops, Institute of Applied Ecology, Fujian Agriculture and Forestry University, Fuzhou 350002, China;  (L.V.)
7504026	Min-Sheng_You	State Key Laboratory for Ecological Pest Control of Fujian and Taiwan Crops, Institute of Applied Ecology, Fujian Agriculture and Forestry University, Fuzhou 350002, China;  (L.V.)
7469166	Fr&#xE9;d&#xE9;ric_Francis	Functional and Evolutionary Entomology, TERRA, Universit&#xE9; de Li&#xE8;ge-Gembloux Agro-Bio Tech, 5030 Gembloux, Belgium; 
7469166	Hans_Jacquemyn	Laboratory of Plant Conservation and Population Biology, Biology Department, KU Leuven, B-3001 Leuven, Belgium; 
7469166	Frank_Delvigne	Microbial Processes and Interactions (MiPI), TERRA, Universit&#xE9; de Li&#xE8;ge-Gembloux Agro-Bio Tech, 5030 Gembloux, Belgium; 
7469166	Bart_Lievens	Functional and Evolutionary Entomology, TERRA, Universit&#xE9; de Li&#xE8;ge-Gembloux Agro-Bio Tech, 5030 Gembloux, Belgium; 
7472478	Tahira_Syed	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Muhammad_Askari	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Zhigang_Meng	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Yanyan_Li	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Muhammad Ali_Abid	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Yunxiao_Wei	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Sandui_Guo	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Chengzhen_Liang	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Rui_Zhang	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
