pmcid	forename_lastname	affiliation
7485214	Jorge G._Carvajal	Facultad Tecnol&#xF3;gica, Universidad de Santiago de Chile, Santiago, Chile
7485214	Alberto J._Alaniz	Facultad de Ingenier&#xED;a, Universidad de Santiago de Chile, Santiago, Chile
7485214	Mario A._Carvajal	Facultad Tecnol&#xF3;gica, Universidad de Santiago de Chile, Santiago, Chile
7485214	Emily S._Acheson	Department of Geography, The University of British Columbia, Vancouver, BC, Canada
7485214	Rodrigo_Cruz	Laboratorio de Micolog&#xED;a, Universidad de Valpara&#xED;so, Valpara&#xED;so, Chile
7485214	Pablo M._Vergara	Facultad Tecnol&#xF3;gica, Universidad de Santiago de Chile, Santiago, Chile
7485214	Massimo_Cogliati	Dipartimento di Scienze Biomediche per la Salute, Universit&#xE0; degli Studi di Milano, Milan, Italy
7412047	Nancy_Power	Department of Entomology, University of California, 900 University Ave., Riverside, CA 92521, USA;  (T.M.P.)
7412047	Fatemeh_Ganjisaffar	Department of Entomology, University of California, 900 University Ave., Riverside, CA 92521, USA;  (T.M.P.)
7412047	Thomas M._Perring	Department of Entomology, University of California, 900 University Ave., Riverside, CA 92521, USA;  (T.M.P.)
7303229	Huayan_Chen	State Key Laboratory of Biocontrol, School of Life Sciences / School of Ecology, Sun Yat-sen University, Guangzhou, ChinaState Key Laboratory of Biocontrol, School of Life Sciences / School of Ecology, Sun Yat-sen UniversityGuangzhouChina
7303229	Elijah J_Talamas	Florida State Collection of Arthropods, Gainesville, FL, United States of AmericaFlorida State Collection of ArthropodsGainesville, FLUnited States of America
7303229	Hong_Pang	State Key Laboratory of Biocontrol, School of Ecology, Sun Yat-sen University, Guangzhou, ChinaState Key Laboratory of Biocontrol, School of Ecology, Sun Yat-sen UniversityGuangzhouChina
7349340	Houston_Wilson	Department of Entomology, University of California, Riverside, Riverside, CA 92521, USA; 
7349340	Jessica J._Maccaro	Department of Entomology, University of California, Riverside, Riverside, CA 92521, USA; 
7349340	Kent M._Daane	Department of Environmental Science, Policy and Management, University of California, Berkeley, Berkeley, CA 94720-3114, USA; 
7349029	Abdul_Hafeez	Hubei Key Laboratory of Insect Resources Utilization and Sustainable Pest Management, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan 430070, China;  (M.N.A.)
7349029	Bei_Li	Hubei Key Laboratory of Insect Resources Utilization and Sustainable Pest Management, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan 430070, China;  (M.N.A.)
7349029	Wen_Liu	Hubei Key Laboratory of Insect Resources Utilization and Sustainable Pest Management, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan 430070, China;  (M.N.A.)
7349029	Muhammad Nauman_Atiq	Hubei Key Laboratory of Insect Resources Utilization and Sustainable Pest Management, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan 430070, China;  (M.N.A.)
7349029	Xiao-Ping_Wang	Hubei Key Laboratory of Insect Resources Utilization and Sustainable Pest Management, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan 430070, China;  (M.N.A.)
7290786	Fatemeh_Ganjisaffar	Department of Entomology, University of California, 900 University Ave., Riverside, CA 92521, USA; 
7290786	Thomas M._Perring	Department of Entomology, University of California, 900 University Ave., Riverside, CA 92521, USA; 
7277602	Yuzhe_Du	National Biological Control Laboratory, Biological Control of Pests Research Unit, Agriculture Research Service, United States Department of Agriculture, 59 Lee Road, Stoneville, MS 38776, USA;  (M.J.G.)
7277602	Michael J._Grodowitz	National Biological Control Laboratory, Biological Control of Pests Research Unit, Agriculture Research Service, United States Department of Agriculture, 59 Lee Road, Stoneville, MS 38776, USA;  (M.J.G.)
7277602	Jian_Chen	National Biological Control Laboratory, Biological Control of Pests Research Unit, Agriculture Research Service, United States Department of Agriculture, 59 Lee Road, Stoneville, MS 38776, USA;  (M.J.G.)
7284966	Fei_Xie	Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences, Beijing 100085, China;  (X.Z.)
7284966	Anzhou_Ma	Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences, Beijing 100085, China;  (X.Z.)
