pmcid	forename_lastname	affiliation
7497999	Pablo_Colunga-Salas	Centro de Medicina Tropical, Unidad de Investigaci&#xF3;n en Medicina Experimental, Facultad de Medicina, Universidad Nacional Aut&#xF3;noma de M&#xE9;xico, Ciudad de M&#xE9;xico, M&#xE9;xico
7497999	Sokani_S&#xE1;nchez-Montes	Centro de Medicina Tropical, Unidad de Investigaci&#xF3;n en Medicina Experimental, Facultad de Medicina, Universidad Nacional Aut&#xF3;noma de M&#xE9;xico, Ciudad de M&#xE9;xico, M&#xE9;xico
7497999	Patricia_Volkow	Departamento de Infectolog&#xED;a, Instituto Nacional de Cancerologia, Ciudad de M&#xE9;xico, M&#xE9;xico
7497999	Adriana_Ru&#xED;z-Remigio	Centro de Medicina Tropical, Unidad de Investigaci&#xF3;n en Medicina Experimental, Facultad de Medicina, Universidad Nacional Aut&#xF3;noma de M&#xE9;xico, Ciudad de M&#xE9;xico, M&#xE9;xico
7497999	Ingeborg_Becker	Centro de Medicina Tropical, Unidad de Investigaci&#xF3;n en Medicina Experimental, Facultad de Medicina, Universidad Nacional Aut&#xF3;noma de M&#xE9;xico, Ciudad de M&#xE9;xico, M&#xE9;xico
7417564	Kateryna_Kotsarenko	grid.448361.cInstitute of Parasitology, Biology Centre of the Czech Academy of Sciences, Branisovska 31, 37005 Ceske Budejovice, Czech Republic 
7417564	Pavlina_Vechtova	grid.448361.cInstitute of Parasitology, Biology Centre of the Czech Academy of Sciences, Branisovska 31, 37005 Ceske Budejovice, Czech Republic 
7417564	Jaroslava_Lieskovska	grid.14509.390000 0001 2166 4904Faculty of Science, University of South Bohemia, Branisovska 1760, 37005 Ceske Budejovice, Czech Republic 
7417564	Zolt&#xE1;n_F&#xFC;ssy	grid.14509.390000 0001 2166 4904Faculty of Science, University of South Bohemia, Branisovska 1760, 37005 Ceske Budejovice, Czech Republic 
7417564	Diogo C._Cabral-de-Mello	grid.410543.70000 0001 2188 478XDepartment of General and Applied Biology, S&#xE3;o Paulo State University, Rio Claro, S&#xE3;o Paulo Brazil 
7417564	Ryan O. M._Rego	grid.448361.cInstitute of Parasitology, Biology Centre of the Czech Academy of Sciences, Branisovska 31, 37005 Ceske Budejovice, Czech Republic 
7417564	Pilar_Alberdi	grid.8048.40000 0001 2194 2329Neuroplasticity and Neurodegeneration Group, Regional Center for Biomedical Research (CRIB), Ciudad Real Medical School, University of Castilla-La Mancha, 13005 Ciudad Real, Spain 
7417564	Marisol_Collins	grid.10025.360000 0004 1936 8470Department of Infection Biology and Microbiomes, Institute of Infection, Veterinary and Ecological Sciences, University of Liverpool, Liverpool, L3 5RF UK 
7417564	Lesley_Bell-Sakyi	grid.10025.360000 0004 1936 8470Department of Infection Biology and Microbiomes, Institute of Infection, Veterinary and Ecological Sciences, University of Liverpool, Liverpool, L3 5RF UK 
7417564	Jan_Sterba	grid.448361.cInstitute of Parasitology, Biology Centre of the Czech Academy of Sciences, Branisovska 31, 37005 Ceske Budejovice, Czech Republic 
7417564	Libor_Grubhoffer	grid.448361.cInstitute of Parasitology, Biology Centre of the Czech Academy of Sciences, Branisovska 31, 37005 Ceske Budejovice, Czech Republic 
7396615	Jos&#xE9; M. C._Ribeiro	Section of Vector Biology, Laboratory of Malaria and Vector Research, National Institute of Allergy and Infectious Diseases, Rockville, MD, United States
7396615	Ben J._Mans	Epidemiology, Parasites and Vectors, Agricultural Research Council - Onderstepoort Veterinary Research, Pretoria, South Africa
7345982	Brittany A._Armstrong	Department of Molecular Virology and Microbiology, Baylor College of Medicine, Houston, TX, United States
7345982	Alexander R._Kneubehl	Department of Molecular Virology and Microbiology, Baylor College of Medicine, Houston, TX, United States
7345982	Robert D._Mitchell	Knipling-Bushland U.S. Livestock Insects Research Laboratory, Veterinary Pest Genomics Center, Department of Agriculture&#x2014;Agricultural Research Service, Kerrville, TX, United States
7345982	Aparna_Krishnavajhala	Department of Pediatrics, National School of Tropical Medicine, Baylor College of Medicine, Houston, TX, United States
7345982	Pete D._Teel	Department of Entomology, Texas A&amp;M AgriLife Research, College Station, TX, United States
7345982	Adalberto A._P&#xE9;rez de Le&#xF3;n	Knipling-Bushland U.S. Livestock Insects Research Laboratory, Veterinary Pest Genomics Center, Department of Agriculture&#x2014;Agricultural Research Service, Kerrville, TX, United States
7345982	Job E._Lopez	Department of Molecular Virology and Microbiology, Baylor College of Medicine, Houston, TX, United States
7350222	Paul D._Kasaija	SaBio, Instituto de Investigaci&#xF3;n en Recursos Cineg&#xE9;ticos (IREC), Consejo Superior de Investigaciones Cient&#xED;ficas (CSIC), Universidad de Castilla-La Mancha (UCLM)-Junta de Comunidades de Castilla-La Mancha (JCCM), Ronda de Toledo s/n, 13005 Ciudad Real, Spain;  (M.C.)
7350222	Marinela_Contreras	SaBio, Instituto de Investigaci&#xF3;n en Recursos Cineg&#xE9;ticos (IREC), Consejo Superior de Investigaciones Cient&#xED;ficas (CSIC), Universidad de Castilla-La Mancha (UCLM)-Junta de Comunidades de Castilla-La Mancha (JCCM), Ronda de Toledo s/n, 13005 Ciudad Real, Spain;  (M.C.)
7350222	Fredrick_Kabi	National Livestock Resources Research Institute (NaLIRRI/NARO), P.O. Box 5704 Kampala, Uganda;  (S.M.)
7350222	Swidiq_Mugerwa	National Livestock Resources Research Institute (NaLIRRI/NARO), P.O. Box 5704 Kampala, Uganda;  (S.M.)
7350222	Jos&#xE9;_de la Fuente	SaBio, Instituto de Investigaci&#xF3;n en Recursos Cineg&#xE9;ticos (IREC), Consejo Superior de Investigaciones Cient&#xED;ficas (CSIC), Universidad de Castilla-La Mancha (UCLM)-Junta de Comunidades de Castilla-La Mancha (JCCM), Ronda de Toledo s/n, 13005 Ciudad Real, Spain;  (M.C.)
7203055	Jairo A._Mendoza-Roldan	Dipartimento di Medicina Veterinaria, Universit&#xE0; degli Studi di Bari, Bari, Italy
7203055	David_Modry	Dipartimento di Medicina Veterinaria, Universit&#xE0; degli Studi di Bari, Bari, Italy
7203055	Domenico_Otranto	Dipartimento di Medicina Veterinaria, Universit&#xE0; degli Studi di Bari, Bari, Italy
7232577	Brittany A._Armstrong	Department of Molecular Virology and Microbiology, Baylor College of Medicine, Houston, TX, United States
7232577	Alexander R._Kneubehl	Department of Molecular Virology and Microbiology, Baylor College of Medicine, Houston, TX, United States
7232577	Robert D._Mitchell	Knipling-Bushland U.S. Livestock Insects Research Laboratory, Veterinary Pest Genomics Center, Department of Agriculture&#x2014;Agricultural Research Service, Kerrville, TX, United States
7232577	Aparna_Krishnavajhala	Department of Pediatrics, National School of Tropical Medicine, Baylor College of Medicine, Houston, TX, United States
