pmcid	forename_lastname	affiliation
7471381	Julie C._Dunning Hotopp	Institute for Genome Sciences, University of Maryland School of Medicine, Baltimore, Maryland, USA        
7471381	David A._Baltrus	School of Plant Sciences, University of Arizona, Tucson, Arizona, USA        
7471381	Vincent M._Bruno	Institute for Genome Sciences, University of Maryland School of Medicine, Baltimore, Maryland, USA        
7471381	John J._Dennehy	Biology Department, Queens College, City University of New York, Flushing, New York, USA        
7471381	Steven R._Gill	Department of Microbiology and Immunology, University of Rochester School of Medicine and Dentistry, Rochester, New York, USA        
7471381	Julia A._Maresca	Department of Civil and Environmental Engineering, University of Delaware, Newark, Delaware, USA        
7471381	Jelle_Matthijnssens	University of Leuven, Department of Microbiology, Immunology, and Transplantation, Rega Institute, Leuven, Belgium        
7471381	Irene L. G._Newton	Department of Biology, Indiana University, Bloomington, Indiana, USA        
7471381	Catherine_Putonti	Bioinformatics Program, Loyola University Chicago, Chicago, Illinois, USA        
7471381	David A._Rasko	Institute for Genome Sciences, University of Maryland School of Medicine, Baltimore, Maryland, USA        
7471381	Antonis_Rokas	Department of Biological Sciences, Vanderbilt University, Nashville, Tennessee, USA        
7471381	Simon_Roux	DOE Joint Genome Institute, Lawrence Berkeley National Laboratory, Berkeley, California, USA        
7471381	Jason E._Stajich	Department of Microbiology and Plant Pathology, University of California, Riverside, Riverside, California, USA        
7471381	Kenneth M._Stedman	Center for Life in Extreme Environments, Portland State University, Portland, Oregon, USA        
7471381	Frank J._Stewart	Department of Microbiology and Immunology, Montana State University, Bozeman, Montana, USA        
7471381	J. Cameron_Thrash	Department of Biological Sciences, University of Southern California, Los Angeles, California, USA        
7359000	Kevin R_Hultine	Department of Research, Conservation and Collections, Desert Botanical Garden, 1201 North Galvin Parkway, Phoenix, AZ 85008, USA
7359000	Gerard J_Allan	Department of Biological Sciences and Merriam-Powell Center for Environmental Research, Northern Arizona University, 617 South Beaver Drive, Flagstaff, AZ 86011, USA
7359000	Davis_Blasini	School of Life Sciences, Arizona State University, 427 East Tyler Mall, Tempe, AZ 85281, USA
7359000	Helen M_Bothwell	Research School of Biology, Australian National University, 134 Linnaeus Way, Canberra ACT2601, Australia
7359000	Abraham_Cadmus	Department of Biological Sciences and Merriam-Powell Center for Environmental Research, Northern Arizona University, 617 South Beaver Drive, Flagstaff, AZ 86011, USA
7359000	Hillary F_Cooper	Department of Biological Sciences and Merriam-Powell Center for Environmental Research, Northern Arizona University, 617 South Beaver Drive, Flagstaff, AZ 86011, USA
7359000	Chris E_Doughty	School of Informatics, Computing, and Cyber Systems, Northern Arizona University, 1295 South Knoles Drive, Flagstaff, AZ 86011, USA
7359000	Catherine A_Gehring	Department of Biological Sciences and Merriam-Powell Center for Environmental Research, Northern Arizona University, 617 South Beaver Drive, Flagstaff, AZ 86011, USA
7359000	Alicyn R_Gitlin	Sierra Club &#x2013; Grand Canyon Chapter, 514 West Roosevelt Street, Phoenix, AZ 85003, USA 
7359000	Kevin C_Grady	School of Forestry, Northern Arizona University, East Pine Knoll Drive, Flagstaff, AZ 86011, USA
