pmcid	forename_lastname	affiliation
7314779	Chang Yeol_Yang	Horticultural and Herbal Crop Environment Division, National Institute of Horticultural and Herbal Science, Wanju, Republic of Korea 
7314779	Kenji_Mori	Photosensitive Materials Research Center, Toyo Gosei Co., Ltd, 4-2-1 Wakahagi, Inzai-shi, Chiba 270-1609 Japan 
7314779	Junheon_Kim	0000 0000 9151 8497grid.418977.4Forest Insect Pests and Diseases Division, National Institute of Forest Science, Seoul, Republic of Korea 
7314779	Ki Bong_Kwon	AD Corporation, Andong, Gyeongsangbuk-do Republic of Korea 
5248504	Emily E._Bendall	0000 0004 1936 8438grid.266539.dDepartment of Biology, University of Kentucky, 204 TH Morgan Building, Lexington, KY 40506 USA 
5248504	Kim L._Vertacnik	0000 0004 1936 8438grid.266539.dDepartment of Biology, University of Kentucky, 204 TH Morgan Building, Lexington, KY 40506 USA 
5248504	Catherine R._Linnen	0000 0004 1936 8438grid.266539.dDepartment of Biology, University of Kentucky, 204 TH Morgan Building, Lexington, KY 40506 USA 
1360072	Ellen_van Wilgenburg	Department of Zoology, University of Melbourne, VIC 3010 Australia.
1360072	Gerard_Driessen	Department of Animal Ecology, Institute of Ecological Science, Vrije Universiteit, De Boelelaan 1085, 1081 HV Amsterdam, The Netherlands
1360072	Leo W_Beukeboom	Evolutionary Genetics, Centre for Ecological and Evolutionary Studies, University of Groningen, P.O. Box 14, NL-9750 AA Haren, The Netherlands
