pmcid	forename_lastname	affiliation
7455698	Qingjiang_Yang	grid.9227.e0000000119573309Key Laboratory of Vertebrate Evolution and Human Origin, Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences, Beijing, 100044 China 
7455698	Xinying_Zhou	grid.9227.e0000000119573309Key Laboratory of Vertebrate Evolution and Human Origin, Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences, Beijing, 100044 China 
7455698	Robert Nicholas_Spengler	grid.469873.70000 0004 4914 1197Max Planck Institute for the Science of Human History, 07745 Jena, Germany 
7455698	Keliang_Zhao	grid.9227.e0000000119573309Key Laboratory of Vertebrate Evolution and Human Origin, Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences, Beijing, 100044 China 
7455698	Junchi_Liu	grid.9227.e0000000119573309Key Laboratory of Vertebrate Evolution and Human Origin, Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences, Beijing, 100044 China 
7455698	Yige_Bao	grid.9227.e0000000119573309Key Laboratory of Vertebrate Evolution and Human Origin, Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences, Beijing, 100044 China 
7455698	Peter Weiming_Jia	grid.1013.30000 0004 1936 834XDepartment of Archaeology, The University of Sydney, Sydney, NSW 2006 Australia 
7455698	Xiaoqiang_Li	grid.9227.e0000000119573309Key Laboratory of Vertebrate Evolution and Human Origin, Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences, Beijing, 100044 China 
7474356	Mariame_Najem	Environment &amp; Soil Microbiology Laboratory, Moulay Ismail University of Meknes, Faculty of Sciences, Meknes B. P: 11201, Morocco
7474356	Mohamed_Bammou	Environment &amp; Soil Microbiology Laboratory, Moulay Ismail University of Meknes, Faculty of Sciences, Meknes B. P: 11201, Morocco
7474356	Lamia_Bachiri	Environment &amp; Soil Microbiology Laboratory, Moulay Ismail University of Meknes, Faculty of Sciences, Meknes B. P: 11201, Morocco
7474356	El Houssine_Bouiamrine	Environment &amp; Soil Microbiology Laboratory, Moulay Ismail University of Meknes, Faculty of Sciences, Meknes B. P: 11201, Morocco
7474356	Jamal_Ibijbijen	Environment &amp; Soil Microbiology Laboratory, Moulay Ismail University of Meknes, Faculty of Sciences, Meknes B. P: 11201, Morocco
7474356	Laila_Nassiri	Environment &amp; Soil Microbiology Laboratory, Moulay Ismail University of Meknes, Faculty of Sciences, Meknes B. P: 11201, Morocco
7446816	Manat_Chaijan	        Food Technology and Innovation Research Center of Excellence, Department of Agro-Industry, School of Agricultural Technology, Walailak University, Thasala, Nakhon Si Thammarat, Thailand      
7446816	Worawan_Panpipat	        Food Technology and Innovation Research Center of Excellence, Department of Agro-Industry, School of Agricultural Technology, Walailak University, Thasala, Nakhon Si Thammarat, Thailand      
