pmcid	forename_lastname	affiliation
7489556	Rasmus Emil_Jensen	        Department of Agroecology, Aarhus University, Flakkebjerg, Denmark      
7489556	Carmina_Cabral	        Department of Agroecology, Aarhus University, Flakkebjerg, Denmark      
7489556	Annie_Enkegaard	        Department of Agroecology, Aarhus University, Flakkebjerg, Denmark      
7489556	Tove_Steenberg	        Department of Agroecology, Aarhus University, Flakkebjerg, Denmark      
7439961	Shahzaib_Ali	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan, China
7439961	Qian_Zhu	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan, China
7439961	Waqar_Jaleel	Guangdong Provincial Key Laboratory of High Technology for Plant Protection, Plant Protection Research Institute, Guangdong Academy of Agricultural Sciences, Guangzhou, China
7439961	Shakeel Ur_Rehman	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan, China
7439961	Muhammad Asim_Rasheed	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan, China
7439961	Muhammad Musa_Khan	Key Laboratory of Bio-Pesticide Innovation and Application, Engineering Research Centre of Biological Control, South China Agricultural University, Guangzhou, China
7439961	Yasir_Islam	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan, China
7439961	Muhammad_Hafeez	State Key Laboratory Breeding Base for Zhejiang Sustainable Pest and Disease Control, Institute of Plant Protection and Microbiology, Zhejiang Academy of Agricultural Sciences, Hangzhou, Zhejiang, China
7439961	Xingmiao_Zhou	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan, China
7421533	Claude_Bragard	UNKNOWN
7421533	Katharina_Dehnen&#x2010;Schmutz	UNKNOWN
7421533	Francesco_Di Serio	UNKNOWN
7421533	Paolo_Gonthier	UNKNOWN
7421533	Marie&#x2010;Agn&#xE8;s_Jacques	UNKNOWN
7421533	Josep Anton_Jaques Miret	UNKNOWN
7421533	Annemarie Fejer_Justesen	UNKNOWN
7421533	Alan_MacLeod	UNKNOWN
7421533	Christer Sven_Magnusson	UNKNOWN
7421533	Panagiotis_Milonas	UNKNOWN
7421533	Juan A_Navas&#x2010;Cortes	UNKNOWN
7421533	Stephen_Parnell	UNKNOWN
7421533	Philippe Lucien_Reignault	UNKNOWN
7421533	Hans&#x2010;Hermann_Thulke	UNKNOWN
7421533	Wopke_Van der Werf	UNKNOWN
7421533	Antonio Vicent_Civera	UNKNOWN
7421533	Jonathan_Yuen	UNKNOWN
7421533	Lucia_Zappal&#xE0;	UNKNOWN
7421533	Elisavet_Chatzivassiliou	UNKNOWN
7421533	Jane_Debode	UNKNOWN
7421533	Charles_Manceau	UNKNOWN
7421533	Ciro_Gardi	UNKNOWN
7421533	Olaf_Mosbach&#x2010;Schulz	UNKNOWN
7421533	Roel_Potting	UNKNOWN
7502230	Howard_London	Bio-Protection Research Centre, Lincoln University, Lincoln, New Zealand
7502230	David J._Saville	Bio-Protection Research Centre, Lincoln University, Lincoln, New Zealand
7502230	Charles N._Merfield	The BHU Future Farming Centre, Lincoln University, Lincoln, New Zealand
7502230	Oluwashola_Olaniyan	Bio-Protection Research Centre, Lincoln University, Lincoln, New Zealand
7502230	Stephen D._Wratten	Bio-Protection Research Centre, Lincoln University, Lincoln, New Zealand
7413517	Ya-Nan_Hao	        Biocontrol Engineering Laboratory of Crop Diseases and Pests of Gansu Province, College of Plant Protection, Gansu Agricultural University, Lanzhou, China      
7413517	Yuan-Xing_Sun	        Biocontrol Engineering Laboratory of Crop Diseases and Pests of Gansu Province, College of Plant Protection, Gansu Agricultural University, Lanzhou, China      
7413517	Chang-Zhong_Liu	        Biocontrol Engineering Laboratory of Crop Diseases and Pests of Gansu Province, College of Plant Protection, Gansu Agricultural University, Lanzhou, China      
7430832	Da_Wang	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology for Arid Areas (Northwest A&amp;F University), Yangling, 712100 Shaanxi China 
7430832	Deguang_Liu	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology for Arid Areas (Northwest A&amp;F University), Yangling, 712100 Shaanxi China 
7430832	Xiaoqin_Shi	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology for Arid Areas (Northwest A&amp;F University), Yangling, 712100 Shaanxi China 
7430832	Yujing_Yang	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology for Arid Areas (Northwest A&amp;F University), Yangling, 712100 Shaanxi China 
