pmcid	forename_lastname	affiliation
6308211	Md._Harun-Or-Rashid	Division of Applied Life Science (BK21 Plus), Plant Molecular Biologyand Biotechnology Research Center, Gyeongsang National University, Jinju, South Korea
6308211	Hyun-Jin_Kim	Division of Applied Life Science (BK21 Plus), Department of Food Science and Technology, College of Agriculture and Life Sciences, Gyeongsang National University, Jinju, South Korea
6308211	Seon-In_Yeom	Department of Agricultural Plant Science, Institute of Agriculture and Life Science, Gyeongsang National University, Jinju, South Korea
6308211	Hyeon-Ah_Yu	Napro Biotech, Gongju, South Korea
6308211	Md. Maniruzzaman_Manir	Department of Chemistry, Kongju National University, Gongju, South Korea
6308211	Surk-Sik_Moon	Department of Chemistry, Kongju National University, Gongju, South Korea
6308211	Yang Jae_Kang	Division of Applied Life Science (BK21 Plus), Plant Molecular Biologyand Biotechnology Research Center, Gyeongsang National University, Jinju, South Korea
6308211	Young Ryun_Chung	Division of Applied Life Science (BK21 Plus), Plant Molecular Biologyand Biotechnology Research Center, Gyeongsang National University, Jinju, South Korea
6086412	Gerson Adriano_Silva	Departamento de Fitotecnia, Universidade Federal de Vi&#xE7;osa, Vi&#xE7;osa, Minas Gerais, Brazil
6086412	Izailda Barbosa_Santos	Departamento de Entomologia, Universidade Federal de Vi&#xE7;osa, Vi&#xE7;osa, Minas Gerais, Brazil
6086412	Silv&#xE9;rio Oliveira_Campos	Departamento de Entomologia, Universidade Federal de Vi&#xE7;osa, Vi&#xE7;osa, Minas Gerais, Brazil
6086412	Tarc&#xED;sio Visintin_Silva Galdino	Departamento de Fitotecnia, Universidade Federal de Vi&#xE7;osa, Vi&#xE7;osa, Minas Gerais, Brazil
6086412	Elis&#xE2;ngela Gomes_Fidelis Morais	Departamento de Entomologia, Universidade Federal de Vi&#xE7;osa, Vi&#xE7;osa, Minas Gerais, Brazil
6086412	J&#xFA;lio Claudio_Martins	Departamento de Entomologia, Universidade Federal de Vi&#xE7;osa, Vi&#xE7;osa, Minas Gerais, Brazil
