pmcid	forename_lastname	affiliation
7508886	Romina_Giacometti	grid.7345.50000 0001 0056 1981Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas / Instituto de Investigaciones en Biociencias Agr&#xED;colas y Ambientales, Facultad de Agronom&#xED;a, Universidad de Buenos Aires, Avda. San Mart&#xED;n 4453, C1417DSE Buenos Aires, Argentina 
7508886	Vanesa_Jacobi	grid.7345.50000 0001 0056 1981Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas / Instituto de Investigaciones en Biociencias Agr&#xED;colas y Ambientales, Facultad de Agronom&#xED;a, Universidad de Buenos Aires, Avda. San Mart&#xED;n 4453, C1417DSE Buenos Aires, Argentina 
7508886	Florencia_Kronberg	grid.7345.50000 0001 0056 1981Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas / Instituto de Investigaciones en Biociencias Agr&#xED;colas y Ambientales, Facultad de Agronom&#xED;a, Universidad de Buenos Aires, Avda. San Mart&#xED;n 4453, C1417DSE Buenos Aires, Argentina 
7508886	Charalampos_Panagos	grid.213876.90000 0004 1936 738XComplex Carbohydrate Research Center (CCRC), University of Georgia, Athens, GA USA 
7508886	Arthur S._Edison	grid.213876.90000 0004 1936 738XComplex Carbohydrate Research Center (CCRC), University of Georgia, Athens, GA USA 
7508886	Jorge A._Zavala	grid.7345.50000 0001 0056 1981Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas / Instituto de Investigaciones en Biociencias Agr&#xED;colas y Ambientales, Facultad de Agronom&#xED;a, Universidad de Buenos Aires, Avda. San Mart&#xED;n 4453, C1417DSE Buenos Aires, Argentina 
7498604	Davide_Scaccini	grid.5608.b0000 0004 1757 3470Department of Agronomy Food Natural Resources Animals and Environment, University of Padova, 35020 Legnaro, Padua Italy 
7498604	Luka_Vanishvili	grid.5608.b0000 0004 1757 3470Department of Agronomy Food Natural Resources Animals and Environment, University of Padova, 35020 Legnaro, Padua Italy 
7498604	Paola_Tirello	grid.5608.b0000 0004 1757 3470Department of Agronomy Food Natural Resources Animals and Environment, University of Padova, 35020 Legnaro, Padua Italy 
7498604	Vaughn M._Walton	grid.4391.f0000 0001 2112 1969Department of Horticulture, Oregon State University, Corvallis, OR USA 
7498604	Carlo_Duso	grid.5608.b0000 0004 1757 3470Department of Agronomy Food Natural Resources Animals and Environment, University of Padova, 35020 Legnaro, Padua Italy 
7498604	Alberto_Pozzebon	grid.5608.b0000 0004 1757 3470Department of Agronomy Food Natural Resources Animals and Environment, University of Padova, 35020 Legnaro, Padua Italy 
7485756	Antonio_Gugliuzzo	        Department of Agriculture, Food and Environment (Di3A), University of Catania, Catania, Italy      
7485756	Giulio_Criscione	        Department of Agriculture, Food and Environment (Di3A), University of Catania, Catania, Italy      
7485756	Antonio_Biondi	        Department of Agriculture, Food and Environment (Di3A), University of Catania, Catania, Italy      
7485756	Dalia_Aiello	        Department of Agriculture, Food and Environment (Di3A), University of Catania, Catania, Italy      
7485756	Alessandro_Vitale	        Department of Agriculture, Food and Environment (Di3A), University of Catania, Catania, Italy      
7485756	Giancarlo_Polizzi	        Department of Agriculture, Food and Environment (Di3A), University of Catania, Catania, Italy      
7485756	Giovanna_Tropea Garzia	        Department of Agriculture, Food and Environment (Di3A), University of Catania, Catania, Italy      
7488116	Jian-Jun_Jin	grid.9227.e0000000119573309Germplasm Bank of Wild Species, Kunming Institute of Botany, Chinese Academy of Sciences, Kunming, Yunnan 650201 China 
7488116	Wen-Bin_Yu	grid.458477.d0000 0004 1799 1066Center for Integrative Conservation, Xishuangbanna Tropical Botanical Garden, Chinese Academy of Sciences, Mengla, Yunnan 666303 China 
7488116	Jun-Bo_Yang	grid.9227.e0000000119573309Germplasm Bank of Wild Species, Kunming Institute of Botany, Chinese Academy of Sciences, Kunming, Yunnan 650201 China 
7488116	Yu_Song	grid.458477.d0000 0004 1799 1066Center for Integrative Conservation, Xishuangbanna Tropical Botanical Garden, Chinese Academy of Sciences, Mengla, Yunnan 666303 China 
7488116	Claude W._dePamphilis	grid.29857.310000 0001 2097 4281Department of Biology, The Pennsylvania State University, University Park, PA 16801 USA 
7488116	Ting-Shuang_Yi	grid.9227.e0000000119573309Germplasm Bank of Wild Species, Kunming Institute of Botany, Chinese Academy of Sciences, Kunming, Yunnan 650201 China 
7488116	De-Zhu_Li	grid.9227.e0000000119573309Germplasm Bank of Wild Species, Kunming Institute of Botany, Chinese Academy of Sciences, Kunming, Yunnan 650201 China 
7479346	Mohammad M._Amirian	Department of Mathematics and Statistics, Dalhousie University, Halifax, Nova Scotia, Canada
7479346	I.N._Towers	School of Science, UNSW Canberra, ACT, Australia
7479346	Z._Jovanoski	School of Science, UNSW Canberra, ACT, Australia
7479346	Andrew J._Irwin	Department of Mathematics and Statistics, Dalhousie University, Halifax, Nova Scotia, Canada
7441993	Marcello_Nicoletti	UNKNOWN
7430709	Renfu_Zhang	College of Agronomy, Key Laboratory of the Pest Monitoring and Safety Control of Crops and Forests of Xinjiang Uygur Autonomous Region, Xinjiang Agricultural University, Urumqi, Xinjiang, PR China
7430709	Wei_Wang	Institute of Plant Protection, Xinjiang Academy of Agricultural Sciences, Key Laboratory of Intergraded Management of Harmful Crop Vermin of China North-western Oasis, Ministry of Agriculture, Urumqi, Xinjiang, PR China
7430709	Haiyang_Liu	Institute of Plant Protection, Xinjiang Academy of Agricultural Sciences, Key Laboratory of Intergraded Management of Harmful Crop Vermin of China North-western Oasis, Ministry of Agriculture, Urumqi, Xinjiang, PR China
7430709	Dengyuan_Wang	College of Agronomy, Key Laboratory of the Pest Monitoring and Safety Control of Crops and Forests of Xinjiang Uygur Autonomous Region, Xinjiang Agricultural University, Urumqi, Xinjiang, PR China
7430709	Ju_Yao	Institute of Plant Protection, Xinjiang Academy of Agricultural Sciences, Key Laboratory of Intergraded Management of Harmful Crop Vermin of China North-western Oasis, Ministry of Agriculture, Urumqi, Xinjiang, PR China
7423067	Shannon A._Richard	Department of Biology, James Madison University, Harrisonburg, VA, United States of America
7423067	Isabella M. G._Bukovich	Department of Biology, James Madison University, Harrisonburg, VA, United States of America
7423067	Eric A._Tillman	National Wildlife Research Center, Florida Field Station, U.S. Department of Agriculture, Gainesville, FL, United States of America
7423067	Sanjiv_Jayamohan	Department of Biology, James Madison University, Harrisonburg, VA, United States of America
7423067	John S._Humphrey	National Wildlife Research Center, Florida Field Station, U.S. Department of Agriculture, Gainesville, FL, United States of America
7423067	Paige E._Carrington	Department of Biology, James Madison University, Harrisonburg, VA, United States of America
7423067	William E._Bruce	National Wildlife Research Center, Florida Field Station, U.S. Department of Agriculture, Gainesville, FL, United States of America
7423067	Bryan M._Kluever	National Wildlife Research Center, Florida Field Station, U.S. Department of Agriculture, Gainesville, FL, United States of America
7423067	Michael L._Avery	National Wildlife Research Center, Florida Field Station, U.S. Department of Agriculture, Gainesville, FL, United States of America
7423067	M. Rockwell_Parker	Department of Biology, James Madison University, Harrisonburg, VA, United States of America
7414796	Andr&#xE9; Cirilo de S_Almeida	Federal Goiano Institute, Campus Uruta&#xED;, Rodovia Prof. Geraldo Silva Nascimento, Uruta&#xED;, GO, Brazil
7414796	Fl&#xE1;vio Gon&#xE7;alves_de Jesus	Federal Goiano Institute, Campus Uruta&#xED;, Rodovia Prof. Geraldo Silva Nascimento, Uruta&#xED;, GO, Brazil
7414796	Jos&#xE9; Alexandre F_Barrigossi	Embrapa Rice and Beans, Rodovia, Santo Ant&#xF4;nio de Goi&#xE1;s, GO, Brazil
7459587	Priyanka_Mittapelly	Department of Entomology, Ohio Agricultural Research and Development Center, The Ohio State University, Wooster, OH 44691, USA; 
7459587	Swapna Priya_Rajarapu	Department of Entomology, Ohio Agricultural Research and Development Center, The Ohio State University, Wooster, OH 44691, USA; 
7407435	Daniel_Simberloff	grid.411461.70000 0001 2315 1184Department of Ecology and Evolutionary Biology, University of Tennessee, Knoxville, TN 37996 USA 
7425231	S. H._Li	School of Basic Medicine, Kunming Medical University, Kunming650504, China
7425231	S. D._Li	School of Basic Medicine, Kunming Medical University, Kunming650504, China
7425231	H. J._Li	Department of (hepatology, oncology, infectious disease), the Third People&#x2019;s Hospital of Kunming, Kunming650043, China
7425231	J. Y._Li	Department of (hepatology, oncology, infectious disease), the Third People&#x2019;s Hospital of Kunming, Kunming650043, China
7425231	J. J._Xu	Department of (hepatology, oncology, infectious disease), the Third People&#x2019;s Hospital of Kunming, Kunming650043, China
7425231	G. J._Chang	Department of (hepatology, oncology, infectious disease), the Third People&#x2019;s Hospital of Kunming, Kunming650043, China
7425231	L. J._Yang	School of Basic Medicine, Kunming Medical University, Kunming650504, China
7425231	W. Q._Wang	School of Basic Medicine, Kunming Medical University, Kunming650504, China
7425231	Y. L._Zhang	Department of (hepatology, oncology, infectious disease), the Third People&#x2019;s Hospital of Kunming, Kunming650043, China
7425231	Z. Q._Ma	School of Basic Medicine, Kunming Medical University, Kunming650504, China
7425231	S. M._He	School of Basic Medicine, Kunming Medical University, Kunming650504, China
7425231	W. L._Wang	School of Basic Medicine, Kunming Medical University, Kunming650504, China
7425231	H. L._Huang	Department of (hepatology, oncology, infectious disease), the Third People&#x2019;s Hospital of Kunming, Kunming650043, China
7469209	Jeong Joon_Ahn	Research Institute of Climate Change and Agriculture, National Institute of Horticultural and Herbal Science, RDA, 281, Ayeon-ro, Jeju 63240, Korea; 
7469209	Jum Rae_Cho	Crop Protection Division, Department of Agro-food Safety and Crop Protection, National Institute of Agricultural Sciences, RDA, 166, Nongsaemgmyeong-ro, Wanju-gun, Jeollabuk-do 55365, Korea;  (J.-H.K.)
7469209	Jeong-Hwan_Kim	Crop Protection Division, Department of Agro-food Safety and Crop Protection, National Institute of Agricultural Sciences, RDA, 166, Nongsaemgmyeong-ro, Wanju-gun, Jeollabuk-do 55365, Korea;  (J.-H.K.)
