pmcid	forename_lastname	affiliation
7493910	Dandan_Li	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Chi_Zhang	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Zeqian_Tong	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Dan_Su	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Gaisheng_Zhang	grid.144022.10000 0004 1760 4150Ministry of Education, Key Laboratory of Crop Heterosis of Shaanxi Province, National Yangling Agricultural Biotechnology and Breeding Center, Yangling Branch of State Wheat Improvement Centre/Wheat Breeding Engineering Research Center, Northwest A&amp;F University, Yangling, China 
7493910	Shize_Zhang	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Huiyan_Zhao	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Zuqing_Hu	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7412557	Kyle G._Koch	Department of Entomology, University of Nebraska at Lincoln, Lincoln, NE, United States
7412557	Nathan A._Palmer	Wheat, Sorghum, and Forage Research Unit, USDA-ARS, Lincoln, NE, United States
7412557	Teresa_Donze-Reiner	Biology Department, West Chester University of Pennsylvania, West Chester, PA, United States
7412557	Erin D._Scully	Stored Product Insect and Engineering Research Unit, USDA-ARS, Manhattan, KS, United States
7412557	Javier_Seravalli	Redox Biology Center, Department of Biochemistry, University of Nebraska at Lincoln, Lincoln, NE, United States
7412557	Keenan_Amundsen	Department of Agronomy and Horticulture, University of Nebraska at Lincoln, Lincoln, NE, United States
7412557	Paul_Twigg	Biology Department, University of Nebraska at Kearney, Kearney, NE, United States
7412557	Joe_Louis	Department of Entomology, University of Nebraska at Lincoln, Lincoln, NE, United States
7412557	Jeffrey D._Bradshaw	Department of Entomology, University of Nebraska at Lincoln, Lincoln, NE, United States
7412557	Tiffany Marie_Heng-Moss	Department of Entomology, University of Nebraska at Lincoln, Lincoln, NE, United States
7412557	Gautam_Sarath	Wheat, Sorghum, and Forage Research Unit, USDA-ARS, Lincoln, NE, United States
7469146	Sheng Yin_Wang	College of Agriculture and Food Science, Zhejiang A&amp;F University, Hangzhou 311300, China;  (D.Y.Z.)
7469146	Bo Li_Wang	College of Economic and Management, Zhejiang A&amp;F University, Hangzhou 311300, China; 
7469146	Gai Lan_Yan	Fengdong New City Administration for Market Regulation, Xi&#x2019;an 710086, China; 
7469146	Yan Hong_Liu	College of Plant Protection, Northwest A&amp;F University, Yangling 712100, China; 
7469146	Da Yu_Zhang	College of Agriculture and Food Science, Zhejiang A&amp;F University, Hangzhou 311300, China;  (D.Y.Z.)
7469146	Tong Xian_Liu	College of Plant Protection, Northwest A&amp;F University, Yangling 712100, China; 
7381296	Sung-Yong_Kim	Department of Plant Breeding, Swedish University of Agricultural Sciences, Alnarp, Sweden
7381296	Therese_Bengtsson	Department of Plant Breeding, Swedish University of Agricultural Sciences, Alnarp, Sweden
7381296	Niklas_Olsson	Department of Plant Breeding, Swedish University of Agricultural Sciences, Alnarp, Sweden
7381296	Vehbo_Hot	Department of Plant Breeding, Swedish University of Agricultural Sciences, Alnarp, Sweden
7381296	Li-Hua_Zhu	Department of Plant Breeding, Swedish University of Agricultural Sciences, Alnarp, Sweden
7381296	Inger_&#xC5;hman	Department of Plant Breeding, Swedish University of Agricultural Sciences, Alnarp, Sweden
7411604	Jing_Gao	Guangdong Key Laboratory of Animal Conservation and Resource Utilization, Guangdong Public Laboratory of Wild Animal Conservation and Utilization, Guangdong Institute of Applied Biological Resources, Guangdong Academy of Science, Guangzhou 510260, China; 
7411604	Steve_Arthurs	Biobee USA, Altamonte Springs, FL 32714, USA; 
7411604	Runqian_Mao	Guangdong Key Laboratory of Animal Conservation and Resource Utilization, Guangdong Public Laboratory of Wild Animal Conservation and Utilization, Guangdong Institute of Applied Biological Resources, Guangdong Academy of Science, Guangzhou 510260, China; 
7325037	Mathilde_Dupeyron	grid.8391.30000 0004 1936 8024Centre for Ecology and Conservation, University of Exeter, Penryn Campus, Penryn, Cornwall, TR10 9FE UK 
7325037	Tobias_Baril	grid.8391.30000 0004 1936 8024Centre for Ecology and Conservation, University of Exeter, Penryn Campus, Penryn, Cornwall, TR10 9FE UK 
7325037	Chris_Bass	grid.8391.30000 0004 1936 8024Centre for Ecology and Conservation, University of Exeter, Penryn Campus, Penryn, Cornwall, TR10 9FE UK 
7325037	Alexander_Hayward	grid.8391.30000 0004 1936 8024Centre for Ecology and Conservation, University of Exeter, Penryn Campus, Penryn, Cornwall, TR10 9FE UK 
7325723	Carla_Gualtieri	Department of Biology and Biotechnology &#x201C;L. Spallanzani&#x201D;, University of Pavia, Pavia, Italy
7325723	Paola_Leonetti	Institute for Sustainable Plant Protection, National Council of Research, Research Unit of Bari, Bari, Italy
7325723	Anca_Macovei	Department of Biology and Biotechnology &#x201C;L. Spallanzani&#x201D;, University of Pavia, Pavia, Italy
7243947	Jacob R._MacWilliams	Graduate Program in Biochemistry and Molecular Biology, University of California, Riverside, Riverside, CA, United States
7243947	Stephanie_Dingwall	Department of Biochemistry, University of California, Riverside, Riverside, CA, United States
7243947	Quentin_Chesnais	Universit&#xE9; de Strasbourg, INRAE, SVQV UMR-A1131, Colmar, France
7243947	Akiko_Sugio	INRAE, UMR1349, Institute of Genetics, Environment and Plant Protection, Le Rheu, France
7243947	Isgouhi_Kaloshian	Graduate Program in Biochemistry and Molecular Biology, University of California, Riverside, Riverside, CA, United States
7290403	Phillipp_Kirfel	Fraunhofer Institute for Molecular Biology and Applied Ecology (IME), Branch for Bioresources, Ohlebergsweg 12, 35392 Giessen, Germany;  (A.V.)
7290403	Andreas_Vilcinskas	Fraunhofer Institute for Molecular Biology and Applied Ecology (IME), Branch for Bioresources, Ohlebergsweg 12, 35392 Giessen, Germany;  (A.V.)
7290403	Marisa_Skaljac	Fraunhofer Institute for Molecular Biology and Applied Ecology (IME), Branch for Bioresources, Ohlebergsweg 12, 35392 Giessen, Germany;  (A.V.)
7250505	Ruo-Lin_Cheng	Key Laboratory of Marine Genetic Resources, Third Institute of Oceanography, Ministry of Natural Resources, Xiamen, China
7250505	Xiao-Feng_Li	Key Laboratory of Marine Genetic Resources, Third Institute of Oceanography, Ministry of Natural Resources, Xiamen, China
7250505	Chuan-Xi_Zhang	Institute of Plant Virology, Ningbo University, China
6994723	Silke_Jacques	grid.493032.fCentre for Environment and Life Sciences, CSIRO Agriculture and Food, Floreat, WA 6014 Australia 
6994723	Jenny_Reidy-Crofts	grid.493032.fCentre for Environment and Life Sciences, CSIRO Agriculture and Food, Floreat, WA 6014 Australia 
6994723	Jana_Sperschneider	0000 0001 2180 7477grid.1001.0Biological Data Science Institute, The Australian National University, Canberra, ACT 2600 Australia 
6994723	Lars G._Kamphuis	grid.493032.fCentre for Environment and Life Sciences, CSIRO Agriculture and Food, Floreat, WA 6014 Australia 
6994723	Ling-Ling_Gao	grid.493032.fCentre for Environment and Life Sciences, CSIRO Agriculture and Food, Floreat, WA 6014 Australia 
6994723	Owain R._Edwards	grid.469914.7Centre for Environment and Life Sciences, CSIRO Land and Water, Floreat, WA 6014 Australia 
6994723	Karam B._Singh	grid.493032.fCentre for Environment and Life Sciences, CSIRO Agriculture and Food, Floreat, WA 6014 Australia 
6992952	Alexandra_Schoeny	INRAE, Pathologie V&#xE9;g&#xE9;tale, F-84140, Montfavet, France
6992952	Patrick_Gognalons	INRAE, Pathologie V&#xE9;g&#xE9;tale, F-84140, Montfavet, France
7093385	Lumi_Viljakainen	grid.10858.340000 0001 0941 4873Department of Ecology and Genetics, University of Oulu, Pentti Kaiteran katu 1, 90014 Oulu, Finland 
7093385	Anna-Maria_Borshagovski	grid.10858.340000 0001 0941 4873Department of Ecology and Genetics, University of Oulu, Pentti Kaiteran katu 1, 90014 Oulu, Finland 
7093385	Sami_Saarenp&#xE4;&#xE4;	grid.10858.340000 0001 0941 4873Department of Ecology and Genetics, University of Oulu, Pentti Kaiteran katu 1, 90014 Oulu, Finland 
7093385	Arja_Kaitala	grid.10858.340000 0001 0941 4873Department of Ecology and Genetics, University of Oulu, Pentti Kaiteran katu 1, 90014 Oulu, Finland 
7093385	Jaana_Jurvansuu	grid.10858.340000 0001 0941 4873Department of Ecology and Genetics, University of Oulu, Pentti Kaiteran katu 1, 90014 Oulu, Finland 
6917271	Markus W._Eitle	University of Natural Resources and Life Sciences, Department of Crop Sciences, Institute of Viticulture and Pomology, Vienna, Austria
6917271	James C._Carolan	Department of Biology, Maynooth University, Maynooth, Co. Kildare, Ireland
6917271	Michaela_Griesser	University of Natural Resources and Life Sciences, Department of Crop Sciences, Institute of Viticulture and Pomology, Vienna, Austria
6917271	Astrid_Forneck	University of Natural Resources and Life Sciences, Department of Crop Sciences, Institute of Viticulture and Pomology, Vienna, Austria
6906386	Max C._Thompson	0000 0004 1936 8606grid.26790.3aDepartment of Biology, University of Miami, Coral Gables, FL 33146 USA 
6906386	Honglin_Feng	0000 0004 1936 8606grid.26790.3aDepartment of Biology, University of Miami, Coral Gables, FL 33146 USA 
6906386	Stefan_Wuchty	0000 0004 1936 8606grid.26790.3aDepartment of Biology, University of Miami, Coral Gables, FL 33146 USA 
6906386	Alex C. C._Wilson	0000 0004 1936 8606grid.26790.3aDepartment of Biology, University of Miami, Coral Gables, FL 33146 USA 
6906763	Minori_Uchimiya	USDA-ARSSouthern Regional Research Center, 1100 Robert E. Lee Boulevard, New Orleans, Louisiana 70124, United States
6906763	Joseph E._Knoll	USDA-ARSCrop Genetics and Breeding Research Unit, 115 Coastal Way, Tifton, Georgia 31793, United States
7038657	Irene_Julca	Centre for Genomic Regulation (CRG), The Barcelona Institute of Science and Technology, Barcelona, Spain
7038657	Marina_Marcet-Houben	Centre for Genomic Regulation (CRG), The Barcelona Institute of Science and Technology, Barcelona, Spain
7038657	Fernando_Cruz	CNAG-CRG, Centre for Genomic Regulation (CRG), Barcelona Institute of Science and Technology (BIST), Barcelona, Spain
7038657	Carlos_Vargas-Chavez	Institute for Integrative Systems Biology (I2SysBio), University of Valencia and CSIC, Valencia, Spain
7038657	John Spencer_Johnston	Department of Entomology, Texas A&amp;M University, College Station, TX
7038657	J&#xE8;ssica_G&#xF3;mez-Garrido	CNAG-CRG, Centre for Genomic Regulation (CRG), Barcelona Institute of Science and Technology (BIST), Barcelona, Spain
7038657	Leonor_Frias	CNAG-CRG, Centre for Genomic Regulation (CRG), Barcelona Institute of Science and Technology (BIST), Barcelona, Spain
7038657	Andr&#xE9;_Corvelo	CNAG-CRG, Centre for Genomic Regulation (CRG), Barcelona Institute of Science and Technology (BIST), Barcelona, Spain
7038657	Damian_Loska	Centre for Genomic Regulation (CRG), The Barcelona Institute of Science and Technology, Barcelona, Spain
7038657	Francisco_C&#xE1;mara	Centre for Genomic Regulation (CRG), The Barcelona Institute of Science and Technology, Barcelona, Spain
7038657	Marta_Gut	CNAG-CRG, Centre for Genomic Regulation (CRG), Barcelona Institute of Science and Technology (BIST), Barcelona, Spain
7038657	Tyler_Alioto	CNAG-CRG, Centre for Genomic Regulation (CRG), Barcelona Institute of Science and Technology (BIST), Barcelona, Spain
7038657	Amparo_Latorre	Institute for Integrative Systems Biology (I2SysBio), University of Valencia and CSIC, Valencia, Spain
7038657	Toni_Gabald&#xF3;n	Centre for Genomic Regulation (CRG), The Barcelona Institute of Science and Technology, Barcelona, Spain
6825165	Zhengbing_Wang	0000 0000 9546 5767grid.20561.30Guangdong Engineering Research Center for Insect Behavior Regulation, Key Laboratory of Bio-Pesticide Innovation and Application, College of Agriculture, South China Agricultural University, Guangzhou, 510642 China 
6825165	Fajun_Tian	0000 0000 9546 5767grid.20561.30Guangdong Engineering Research Center for Insect Behavior Regulation, Key Laboratory of Bio-Pesticide Innovation and Application, College of Agriculture, South China Agricultural University, Guangzhou, 510642 China 
