pmcid	forename_lastname	affiliation
7511395	Katrin_Liebig	grid.412970.90000 0001 0126 6191Institute for Parasitology, Centre for Infection Medicine, University of Veterinary Medicine Hannover, Hanover, Germany 
7511395	Mathias_Boelke	grid.412970.90000 0001 0126 6191Institute for Parasitology, Centre for Infection Medicine, University of Veterinary Medicine Hannover, Hanover, Germany 
7511395	Domenic_Grund	grid.412970.90000 0001 0126 6191Institute for Parasitology, Centre for Infection Medicine, University of Veterinary Medicine Hannover, Hanover, Germany 
7511395	Sabine_Schicht	grid.412970.90000 0001 0126 6191Institute for Parasitology, Centre for Infection Medicine, University of Veterinary Medicine Hannover, Hanover, Germany 
7511395	Andrea_Springer	grid.412970.90000 0001 0126 6191Institute for Parasitology, Centre for Infection Medicine, University of Veterinary Medicine Hannover, Hanover, Germany 
7511395	Christina_Strube	grid.412970.90000 0001 0126 6191Institute for Parasitology, Centre for Infection Medicine, University of Veterinary Medicine Hannover, Hanover, Germany 
7511395	Lidia_Chitimia-Dobler	grid.414796.90000 0004 0493 1339Bundeswehr Institute of Microbiology, Neuherbergstra&#xDF;e 11, 80937 Munich, Germany 
7511395	Gerhard_Dobler	grid.414796.90000 0004 0493 1339Bundeswehr Institute of Microbiology, Neuherbergstra&#xDF;e 11, 80937 Munich, Germany 
7511395	Klaus_Jung	grid.412970.90000 0001 0126 6191Institute for Animal Breeding and Genetics, University of Veterinary Medicine Hannover, Hanover, Germany 
7511395	Stefanie_Becker	grid.412970.90000 0001 0126 6191Institute for Parasitology, Centre for Infection Medicine, University of Veterinary Medicine Hannover, Hanover, Germany 
7497999	Pablo_Colunga-Salas	Centro de Medicina Tropical, Unidad de Investigaci&#xF3;n en Medicina Experimental, Facultad de Medicina, Universidad Nacional Aut&#xF3;noma de M&#xE9;xico, Ciudad de M&#xE9;xico, M&#xE9;xico
7497999	Sokani_S&#xE1;nchez-Montes	Centro de Medicina Tropical, Unidad de Investigaci&#xF3;n en Medicina Experimental, Facultad de Medicina, Universidad Nacional Aut&#xF3;noma de M&#xE9;xico, Ciudad de M&#xE9;xico, M&#xE9;xico
7497999	Patricia_Volkow	Departamento de Infectolog&#xED;a, Instituto Nacional de Cancerologia, Ciudad de M&#xE9;xico, M&#xE9;xico
7497999	Adriana_Ru&#xED;z-Remigio	Centro de Medicina Tropical, Unidad de Investigaci&#xF3;n en Medicina Experimental, Facultad de Medicina, Universidad Nacional Aut&#xF3;noma de M&#xE9;xico, Ciudad de M&#xE9;xico, M&#xE9;xico
7497999	Ingeborg_Becker	Centro de Medicina Tropical, Unidad de Investigaci&#xF3;n en Medicina Experimental, Facultad de Medicina, Universidad Nacional Aut&#xF3;noma de M&#xE9;xico, Ciudad de M&#xE9;xico, M&#xE9;xico
7471009	Ronald A._Shikiya	Department of Medical Microbiology and Immunology, Creighton University, Omaha, Nebraska, USA        
7471009	Anthony E._Kincaid	Pharmacy Science, Creighton University, Omaha, Nebraska, USA        
7471009	Jason C._Bartz	Department of Medical Microbiology and Immunology, Creighton University, Omaha, Nebraska, USA        
7471009	Travis J._Bourret	Department of Medical Microbiology and Immunology, Creighton University, Omaha, Nebraska, USA        
7469740	Brendan_O&#x2019;Kelly	UNKNOWN
7469740	John S._Lambert	UNKNOWN
7416948	Gunavanthi D. Y._Boorgula	Department of Diagnostic Medicine and Pathobiology, College of Veterinary Medicine, Kansas State University, Manhattan, Kansas, United States of America
7416948	A. Townsend_Peterson	Department of Ecology and Evolutionary Biology, College of Liberal Arts and Sciences, The University of Kansas, Lawrence, Kansas, United States of America
7416948	Desmond H._Foley	Walter Reed Biosystematics Unit, Department of Entomology, National Museum of History, Washington, District of Columbia, United States of America
7416948	Roman R._Ganta	Department of Diagnostic Medicine and Pathobiology, College of Veterinary Medicine, Kansas State University, Manhattan, Kansas, United States of America
7416948	Ram K._Raghavan	Center for Vector-borne and Emerging Infectious Diseases, Departments of Veterinary Pathobiology and Public Health, College of Veterinary Medicine and School of Health Professions, University of Missouri, Columbia, South Carolina, United States of America
7469192	Danilo G._Quadros	Texas A&amp;M AgriLife Research, San Angelo, TX 76901, USA;  (T.R.W.)
7469192	Tammi L._Johnson	Department of Rangelands, Wildlife and Fisheries Management, Texas A&amp;M AgriLife Research, Texas A&amp;M University, Uvalde, TX 78801, USA; 
7469192	Travis R._Whitney	Texas A&amp;M AgriLife Research, San Angelo, TX 76901, USA;  (T.R.W.)
