pmcid	forename_lastname	affiliation
7143976	Saeedeh_Noushini	Department of Molecular Sciences, Macquarie University, Sydney, NSW 2109, Australia;  (J.J.)
7143976	Jeanneth_Perez	Australian Research Council Industrial Transformation Training Centre for Fruit Fly Biosecurity Innovation, Macquarie University, Sydney, NSW 2109, Australia;  (P.T.)
7143976	Soo Jean_Park	Australian Research Council Industrial Transformation Training Centre for Fruit Fly Biosecurity Innovation, Macquarie University, Sydney, NSW 2109, Australia;  (P.T.)
7143976	Danielle_Holgate	Department of Molecular Sciences, Macquarie University, Sydney, NSW 2109, Australia;  (J.J.)
7143976	Vivian_Mendez Alvarez	Australian Research Council Industrial Transformation Training Centre for Fruit Fly Biosecurity Innovation, Macquarie University, Sydney, NSW 2109, Australia;  (P.T.)
7143976	Ian_Jamie	Department of Molecular Sciences, Macquarie University, Sydney, NSW 2109, Australia;  (J.J.)
7143976	Joanne_Jamie	Department of Molecular Sciences, Macquarie University, Sydney, NSW 2109, Australia;  (J.J.)
7143976	Phillip_Taylor	Australian Research Council Industrial Transformation Training Centre for Fruit Fly Biosecurity Innovation, Macquarie University, Sydney, NSW 2109, Australia;  (P.T.)
7022760	Saeedeh_Noushini	Department of Molecular Sciences, Macquarie University, Sydney NSW 2109, Australia
7022760	Jeanneth_Perez	Australian Research Council Industrial Transformation Training Centre for Fruit Fly Biosecurity Innovation, Macquarie University, Sydney NSW 2109, Australia
7022760	Soo Jean_Park	Australian Research Council Industrial Transformation Training Centre for Fruit Fly Biosecurity Innovation, Macquarie University, Sydney NSW 2109, Australia
7022760	Danielle_Holgate	Department of Molecular Sciences, Macquarie University, Sydney NSW 2109, Australia
7022760	Ian_Jamie	Department of Molecular Sciences, Macquarie University, Sydney NSW 2109, Australia
7022760	Joanne_Jamie	Department of Molecular Sciences, Macquarie University, Sydney NSW 2109, Australia
7022760	Phillip_Taylor	Australian Research Council Industrial Transformation Training Centre for Fruit Fly Biosecurity Innovation, Macquarie University, Sydney NSW 2109, Australia
6920482	Benjamin L._Hanssen	0000 0001 2158 5405grid.1004.5Department of Molecular Sciences, Macquarie University, North Ryde, NSW 2109 Australia 
6920482	Soo Jean_Park	0000 0001 2158 5405grid.1004.5Department of Molecular Sciences, Macquarie University, North Ryde, NSW 2109 Australia 
6920482	Jane E._Royer	grid.492998.7Department of Agriculture and Fisheries, PO Box 267, Brisbane, Qld 4000 Australia 
6920482	Joanne F._Jamie	0000 0001 2158 5405grid.1004.5Department of Molecular Sciences, Macquarie University, North Ryde, NSW 2109 Australia 
6920482	Phillip W._Taylor	0000 0001 2158 5405grid.1004.5Department of Biological Sciences, Macquarie University, North Ryde, NSW 2109 Australia 
6920482	Ian M._Jamie	0000 0001 2158 5405grid.1004.5Department of Molecular Sciences, Macquarie University, North Ryde, NSW 2109 Australia 
5794786	Fan_Jiang	0000 0004 1756 5008grid.418544.8Chinese Academy of Inspection and Quarantine, Beijing, 100176 China 
5794786	Liang_Liang	grid.469560.8Key Laboratory of Agro-Products Postharvest Handling, Ministry of Agriculture, Chinese Academy of Agricultural Engineering, Beijing, 100121 China 
5794786	Zhihong_Li	0000 0004 0530 8290grid.22935.3fCollege of Plant Protection, China Agricultural University, Beijing, 100193 China 
5794786	Yanxue_Yu	0000 0004 1756 5008grid.418544.8Chinese Academy of Inspection and Quarantine, Beijing, 100176 China 
5794786	Jun_Wang	0000 0004 1756 5008grid.418544.8Chinese Academy of Inspection and Quarantine, Beijing, 100176 China 
5794786	Yuping_Wu	0000 0004 1756 5008grid.418544.8Chinese Academy of Inspection and Quarantine, Beijing, 100176 China 
5794786	Shuifang_Zhu	0000 0004 1756 5008grid.418544.8Chinese Academy of Inspection and Quarantine, Beijing, 100176 China 
5799784	Camiel_Doorenweerd	University of Hawaii, Department of Plant and Environmental Protection Services, 3050 Maile Way, Honolulu, Hawaii, 96822-2231, USA
5799784	Luc_Leblanc	University of Idaho, Department of Entomology, Plant Pathology and Nematology, 875 Perimeter Drive, MS2329, Moscow, Idaho, 83844-2329, USA
5799784	Allen L._Norrbom	Systematic Entomology Laboratory, ARS, USDA, c/o Smithsonian Institution, P.O. Box 37012, MRC 168, Washington, DC 20013-7012, USA
