pmcid	forename_lastname	affiliation
7497999	Pablo_Colunga-Salas	Centro de Medicina Tropical, Unidad de Investigaci&#xF3;n en Medicina Experimental, Facultad de Medicina, Universidad Nacional Aut&#xF3;noma de M&#xE9;xico, Ciudad de M&#xE9;xico, M&#xE9;xico
7497999	Sokani_S&#xE1;nchez-Montes	Centro de Medicina Tropical, Unidad de Investigaci&#xF3;n en Medicina Experimental, Facultad de Medicina, Universidad Nacional Aut&#xF3;noma de M&#xE9;xico, Ciudad de M&#xE9;xico, M&#xE9;xico
7497999	Patricia_Volkow	Departamento de Infectolog&#xED;a, Instituto Nacional de Cancerologia, Ciudad de M&#xE9;xico, M&#xE9;xico
7497999	Adriana_Ru&#xED;z-Remigio	Centro de Medicina Tropical, Unidad de Investigaci&#xF3;n en Medicina Experimental, Facultad de Medicina, Universidad Nacional Aut&#xF3;noma de M&#xE9;xico, Ciudad de M&#xE9;xico, M&#xE9;xico
7497999	Ingeborg_Becker	Centro de Medicina Tropical, Unidad de Investigaci&#xF3;n en Medicina Experimental, Facultad de Medicina, Universidad Nacional Aut&#xF3;noma de M&#xE9;xico, Ciudad de M&#xE9;xico, M&#xE9;xico
7498064	Nicolas_De Pelsmaeker	Department of Nature, Health and Environment, University of Southeastern Norway, B&#xF8;, Norway
7498064	Lars_Korslund	Department of Natural Sciences, University of Agder, Kristiansand, Norway
7498064	&#xD8;yvind_Steifetten	Department of Nature, Health and Environment, University of Southeastern Norway, B&#xF8;, Norway
7490856	Cedar L._Mitchell	grid.410711.20000 0001 1034 1720Department of Epidemiology, Gillings School of Global Public Health, University of North Carolina, Chapel Hill, North Carolina USA 
7490856	Feng-Chang_Lin	grid.10698.360000000122483208Department of Biostatistics, Gillings School of Global Public Health, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina USA 
7490856	Meagan_Vaughn	grid.410711.20000 0001 1034 1720Department of Epidemiology, Gillings School of Global Public Health, University of North Carolina, Chapel Hill, North Carolina USA 
7490856	Charles S._Apperson	grid.40803.3f0000 0001 2173 6074Department of Entomology and Plant Pathology, North Carolina State University, Raleigh, North Carolina USA 
7490856	Steven R._Meshnick	grid.410711.20000 0001 1034 1720Department of Epidemiology, Gillings School of Global Public Health, University of North Carolina, Chapel Hill, North Carolina USA 
7490856	Scott P._Commins	Department of Medicine, Thurston Research Center, Division of Allergy, Immunology and Rheumatology, Chapel Hill, North Carolina USA 
7471009	Ronald A._Shikiya	Department of Medical Microbiology and Immunology, Creighton University, Omaha, Nebraska, USA        
7471009	Anthony E._Kincaid	Pharmacy Science, Creighton University, Omaha, Nebraska, USA        
7471009	Jason C._Bartz	Department of Medical Microbiology and Immunology, Creighton University, Omaha, Nebraska, USA        
7471009	Travis J._Bourret	Department of Medical Microbiology and Immunology, Creighton University, Omaha, Nebraska, USA        
7469740	Brendan_O&#x2019;Kelly	UNKNOWN
7469740	John S._Lambert	UNKNOWN
7474356	Mariame_Najem	Environment &amp; Soil Microbiology Laboratory, Moulay Ismail University of Meknes, Faculty of Sciences, Meknes B. P: 11201, Morocco
7474356	Mohamed_Bammou	Environment &amp; Soil Microbiology Laboratory, Moulay Ismail University of Meknes, Faculty of Sciences, Meknes B. P: 11201, Morocco
7474356	Lamia_Bachiri	Environment &amp; Soil Microbiology Laboratory, Moulay Ismail University of Meknes, Faculty of Sciences, Meknes B. P: 11201, Morocco
7474356	El Houssine_Bouiamrine	Environment &amp; Soil Microbiology Laboratory, Moulay Ismail University of Meknes, Faculty of Sciences, Meknes B. P: 11201, Morocco
7474356	Jamal_Ibijbijen	Environment &amp; Soil Microbiology Laboratory, Moulay Ismail University of Meknes, Faculty of Sciences, Meknes B. P: 11201, Morocco
7474356	Laila_Nassiri	Environment &amp; Soil Microbiology Laboratory, Moulay Ismail University of Meknes, Faculty of Sciences, Meknes B. P: 11201, Morocco
7437863	Priscilla_Seabourn	Plant and Environmental Protection Sciences, University of Hawai&#x2019;i at M&#x101;noa, Honolulu, Hawai&#x2019;i, United States of America
7437863	Helen_Spafford	Plant and Environmental Protection Sciences, University of Hawai&#x2019;i at M&#x101;noa, Honolulu, Hawai&#x2019;i, United States of America
7437863	Nicole_Yoneishi	Pacific Biosciences Research Center, University of Hawai&#x2019;i at M&#x101;noa, Honolulu, Hawai&#x2019;i, United States of America
7437863	Matthew_Medeiros	Pacific Biosciences Research Center, University of Hawai&#x2019;i at M&#x101;noa, Honolulu, Hawai&#x2019;i, United States of America
7416948	Gunavanthi D. Y._Boorgula	Department of Diagnostic Medicine and Pathobiology, College of Veterinary Medicine, Kansas State University, Manhattan, Kansas, United States of America
7416948	A. Townsend_Peterson	Department of Ecology and Evolutionary Biology, College of Liberal Arts and Sciences, The University of Kansas, Lawrence, Kansas, United States of America
7416948	Desmond H._Foley	Walter Reed Biosystematics Unit, Department of Entomology, National Museum of History, Washington, District of Columbia, United States of America
7416948	Roman R._Ganta	Department of Diagnostic Medicine and Pathobiology, College of Veterinary Medicine, Kansas State University, Manhattan, Kansas, United States of America
7416948	Ram K._Raghavan	Center for Vector-borne and Emerging Infectious Diseases, Departments of Veterinary Pathobiology and Public Health, College of Veterinary Medicine and School of Health Professions, University of Missouri, Columbia, South Carolina, United States of America
7469143	Nicoletta_Faraone	Department of Chemistry, Acadia University, Wolfville, NS B4P 2R6, Canada
7469143	Michael_Light	Department of Forestry, University of Toronto, Toronto, ON M5S 1A1, Canada; 
7469143	Catherine_Scott	Department of Biology, Acadia University, Wolfville, NS B4P 2R6, Canada;  (N.K.H.)
7469143	Samantha_MacPherson	Department of Biology, Acadia University, Wolfville, NS B4P 2R6, Canada;  (N.K.H.)
7469143	N. Kirk_Hillier	Department of Biology, Acadia University, Wolfville, NS B4P 2R6, Canada;  (N.K.H.)
7425989	John H.-O._Pettersson	Zoonosis Science Center, Department of Medical Biochemistry and Microbiology, Uppsala University, Uppsala, Sweden
7425989	Patrik_Ellstr&#xF6;m	Zoonosis Science Center, Department of Medical Sciences, Uppsala University, Uppsala, Sweden
7425989	Jiaxin_Ling	Zoonosis Science Center, Department of Medical Biochemistry and Microbiology, Uppsala University, Uppsala, Sweden
7425989	Ingela_Nilsson	Department of Molecular Biology, Ume&#xE5; University, Ume&#xE5;, Sweden
7425989	Sven_Bergstr&#xF6;m	Department of Molecular Biology, Ume&#xE5; University, Ume&#xE5;, Sweden
7425989	Daniel_Gonz&#xE1;lez-Acu&#xF1;a	Laboratorio de Par&#xE1;sitos y Enfermedades de Fauna silvestre, Facultad de Ciencias Veterinarias, Universidad de Concepci&#xF3;n, Chill&#xE1;n, Chile
