pmcid	forename_lastname	affiliation
7452910	Leonid V._Egorov	The State Nature Reserve &#xAB;Prisursky&#xBB;, Lesnoj, 9, 428034 Cheboksary, Russia
7452910	Alexander B._Ruchin	The State Nature Reserve &#xAB;Prisursky&#xBB;, Lesnoj, 9, 428034 Cheboksary, Russia
7452910	Viktor B._Semenov	UNKNOWN
7452910	Oleg I._Semionenkov	National Park &#xAB;Smolensk Lakeland&#xBB;, Gurevich str., 19, Przhevalskoye, Demidov district, 216270 Smolensk region, Russia
7452910	Gennady B._Semishin	Joint Directorate of the Mordovia State Nature Reserve and National Park &#xAB;Smolny&#xBB;, Krasnaya str., 30, 430005 Saransk, Russia
6571962	Vaclav_Stejskal	Crop Research Institute, Drnovska 507/73, CZ-16106 Prague 6-Ruzyne, Czech Republic;  (R.A.)
6571962	Tomas_Vendl	Crop Research Institute, Drnovska 507/73, CZ-16106 Prague 6-Ruzyne, Czech Republic;  (R.A.)
6571962	Zhihong_Li	Key Laboratory of Ministry of Agriculture for Monitoring and Green Management of Crop Pests, Department of Entomology, College of Plant Protection, China Agricultural University, Beijing 100193, China; 
6571962	Radek_Aulicky	Crop Research Institute, Drnovska 507/73, CZ-16106 Prague 6-Ruzyne, Czech Republic;  (R.A.)
6309819	Ksenia_Smurova	<institution>Centre for Integrative Biology, University of Trento</institution>, <addr-line>Trento</addr-line>, <country>Italy</country>
6309819	Peter_De Wulf	<institution>Centre for Integrative Biology, University of Trento</institution>, <addr-line>Trento</addr-line>, <country>Italy</country>
5799738	Yves_Bousquet	Canadian National Collection of Insects, Arachnids and Nematodes, Agriculture and Agri-Food Canada, Ottawa, Ontario, K1A 0C6, Canada
5799738	Donald B._Thomas	USDA ARS, Cattle Fever Tick Research Laboratory, 22675 N Moorefield Rd, Edinburg, Texas, 78596, USA
5799738	Patrice_Bouchard	Canadian National Collection of Insects, Arachnids and Nematodes, Agriculture and Agri-Food Canada, Ottawa, Ontario, K1A 0C6, Canada
5799738	Aaron D._Smith	Northern Arizona University, Department of Biological Sciences, POB 5640, Flagstaff, Arizona, 86011, USA
5799738	Rolf L._Aalbu	California Academy of Sciences, Department of Entomology, 55 Music Concourse Dr, Golden Gate Park, San Francisco, California, 94118, USA
5799738	M. Andrew_Johnston	Arizona State University, School of Life Sciences, POB 874501, Tempe, Arizona, 85287, USA
5799738	Warren E. Steiner_Jr.	Smithsonian Institution, Department of Entomology, NHB 187, Washington, DC, 20013, USA
4411372	Shweta_Mehrotra	Department of Botany, University of Delhi, Delhi 110007, India
4411372	Vinod_Goyal	Department of Botany, University of Delhi, Delhi 110007, India
3411249	Josip_Brajkovi&#x107;	Department of Molecular Biology, Ru&#x111;er Bo&#x161;kovi&#x107; Institute, Bijeni&#x10D;ka 54, HR-10000 Zagreb, Croatia, and
3411249	Isidoro_Feliciello	Department of Molecular Biology, Ru&#x111;er Bo&#x161;kovi&#x107; Institute, Bijeni&#x10D;ka 54, HR-10000 Zagreb, Croatia, and
3411249	Branka_Bruvo-Ma&#x111;ari&#x107;	Department of Molecular Biology, Ru&#x111;er Bo&#x161;kovi&#x107; Institute, Bijeni&#x10D;ka 54, HR-10000 Zagreb, Croatia, and
3411249	&#x110;ur&#x111;ica_Ugarkovi&#x107;	Department of Molecular Biology, Ru&#x111;er Bo&#x161;kovi&#x107; Institute, Bijeni&#x10D;ka 54, HR-10000 Zagreb, Croatia, and
2220036	&#x17D;eljka_Pezer	Department of Molecular Biology, Ru&#x111;er Bo&#x161;kovi&#x107; Institute, Zagreb, Croatia
2220036	&#x110;ur&#x111;ica_Ugarkovi&#x107;	Department of Molecular Biology, Ru&#x111;er Bo&#x161;kovi&#x107; Institute, Zagreb, Croatia
