pmcid	forename_lastname	affiliation
7382497	Philip J._Lester	0000 0001 2292 3111grid.267827.eSchool of Biological Sciences, Victoria University of Wellington, PO Box 600, Wellington, New Zealand 
7382497	Mariana_Bulgarella	0000 0001 2292 3111grid.267827.eSchool of Biological Sciences, Victoria University of Wellington, PO Box 600, Wellington, New Zealand 
7382497	James W._Baty	0000 0001 2292 3111grid.267827.eSchool of Biological Sciences, Victoria University of Wellington, PO Box 600, Wellington, New Zealand 
7382497	Peter K._Dearden	0000 0004 1936 7830grid.29980.3aGenomics Aotearoa and Biochemistry Department, University of Otago, Dunedin, New Zealand 
7382497	Joseph_Guhlin	0000 0004 1936 7830grid.29980.3aGenomics Aotearoa and Biochemistry Department, University of Otago, Dunedin, New Zealand 
7382497	John M._Kean	0000 0001 2110 5328grid.417738.eAgResearch Limited, Hamilton, 3240 New Zealand 
7347709	Simon_Blank	grid.6936.a0000000123222966Center of Allergy and Environment (ZAUM), School of Medicine and Helmholtz Center Munich, German Research Center for Environmental Health, Member of the German Center of Lung Research (DZL), Technical University of Munich, Ingolst&#xE4;dter Landstra&#xDF;e 1, 85764 Munich, Germany 
7347709	Murilo Luiz_Bazon	grid.6936.a0000000123222966Center of Allergy and Environment (ZAUM), School of Medicine and Helmholtz Center Munich, German Research Center for Environmental Health, Member of the German Center of Lung Research (DZL), Technical University of Munich, Ingolst&#xE4;dter Landstra&#xDF;e 1, 85764 Munich, Germany 
7347709	Johannes_Grosch	grid.6936.a0000000123222966Center of Allergy and Environment (ZAUM), School of Medicine and Helmholtz Center Munich, German Research Center for Environmental Health, Member of the German Center of Lung Research (DZL), Technical University of Munich, Ingolst&#xE4;dter Landstra&#xDF;e 1, 85764 Munich, Germany 
7347709	Carsten B._Schmidt-Weber	grid.6936.a0000000123222966Center of Allergy and Environment (ZAUM), School of Medicine and Helmholtz Center Munich, German Research Center for Environmental Health, Member of the German Center of Lung Research (DZL), Technical University of Munich, Ingolst&#xE4;dter Landstra&#xDF;e 1, 85764 Munich, Germany 
7347709	M&#xE1;rcia Regina_Brochetto-Braga	grid.410543.70000 0001 2188 478XDepartment of General and Applied Biology, Biosciences Institute, Sao Paulo State University, Rio Claro, S&#xE3;o Paulo Brazil 
7347709	Maria Beatrice_Bil&#xF2;	grid.7010.60000 0001 1017 3210Department of Clinical and Molecular Sciences, Ancona and Allergy Unit, Department of Internal Medicine, University Hospital of Ancona, Polytechnic University of Marche, Ancona, Italy 
7347709	Thilo_Jakob	grid.8664.c0000 0001 2165 8627Experimental Dermatology and Allergy Research Group, Department of Dermatology and Allergology, Justus-Liebig-University Gie&#xDF;en, Giessen, Germany 
7354477	Andrea_Highfield	The Marine Biological Association of the United Kingdom, Citadel Hill, Plymouth PL1 2PB, UK;  (S.H.)
7354477	Jessica_Kevill	School of Environmental and Life Sciences, The University of Salford, Manchester M5 4WT, UK;  (S.J.M.)
7354477	Gideon_Mordecai	The Marine Biological Association of the United Kingdom, Citadel Hill, Plymouth PL1 2PB, UK;  (S.H.)
7354477	Jade_Hunt	The Marine Biological Association of the United Kingdom, Citadel Hill, Plymouth PL1 2PB, UK;  (S.H.)
7354477	Summer_Henderson	The Marine Biological Association of the United Kingdom, Citadel Hill, Plymouth PL1 2PB, UK;  (S.H.)
7354477	Daniel_Sauvard	INRAE UR633 Zoologie Foresti&#xE8;re, 45075 Orl&#xE9;ans, France; 
7354477	John_Feltwell	Wildlife Matters Consultancy Unit, Battle, East Sussex TN33 9BN, UK; 
7354477	Stephen J._Martin	School of Environmental and Life Sciences, The University of Salford, Manchester M5 4WT, UK;  (S.J.M.)
7354477	Seirian_Sumner	Centre for Biodiversity and Environment Research, University College London, Gower Street, London WC1E 6BT, UK; 
7354477	Declan C._Schroeder	The Marine Biological Association of the United Kingdom, Citadel Hill, Plymouth PL1 2PB, UK;  (S.H.)
7270585	Orlando_Ya&#xF1;ez	Institute of Bee Health, Vetsuisse Faculty, University of Bern, Bern, Switzerland
7270585	Niels_Piot	Laboratory of Agrozoology, Department of Plants and Crops, Faculty of Bioscience Engineering, Ghent University, Ghent, Belgium
7270585	Anne_Dalmon	INRAE, Unit&#xE9; de Recherche Abeilles et Environnement, Avignon, France
7270585	Joachim R._de Miranda	Department of Ecology, Swedish University of Agricultural Sciences, Uppsala, Sweden
7270585	Panuwan_Chantawannakul	Environmental Science Research Center, Faculty of Science, Chiang Mai University, Chiang Mai, Thailand
7270585	Delphine_Panziera	General Zoology, Institute for Biology, Martin-Luther-University of Halle-Wittenberg, Halle (Saale), Germany
7270585	Esmaeil_Amiri	Department of Biology, University of North Carolina at Greensboro, Greensboro, NC, United States
7270585	Guy_Smagghe	Laboratory of Agrozoology, Department of Plants and Crops, Faculty of Bioscience Engineering, Ghent University, Ghent, Belgium
7270585	Declan_Schroeder	Department of Veterinary Population Medicine, College of Veterinary Medicine, University of Minnesota, Saint Paul, MN, United States
7270585	Nor_Chejanovsky	Entomology Department, Institute of Plant Protection, The Volcani Center, Rishon LeZion, Israel
7290573	Cintia Akemi_Oi	Laboratory of Socioecology and Social Evolution, KU Leuven, 3000 Leuven, Belgium
7290573	Robert L._Brown	Manaaki Whenua&#x2014;Landcare Research, P.O. Box 69040, Lincoln 7640, New Zealand
7290573	Ian_Stevens	Laboratory of Socioecology and Social Evolution, KU Leuven, 3000 Leuven, Belgium
7290573	Tom_Wenseleers	Laboratory of Socioecology and Social Evolution, KU Leuven, 3000 Leuven, Belgium
7232509	Rhys_Parry	Australian Infectious Diseases Research Centre, School of Biological Sciences, The University of Queensland, Brisbane, QLD 4072, Australia;  (S.A.)
7232509	Fanny_Naccache	Institute for Parasitology, University of Veterinary Medicine Hannover, 30559 Hannover, Germany; 
7232509	El Hadji_Ndiaye	Pole de Zoologie M&#xE9;dicale, Institut Pasteur de Dakar, Dakar BP 220, Senegal;  (M.D.)
7232509	Gamou_Fall	Pole de Virologie, Unit&#xE9; des Arbovirus et Virus de Fi&#xE8;vres H&#xE9;morragiques, Institut Pasteur de Dakar, Dakar BP 220, Senegal; 
7232509	Ilaria_Castelli	Arboviruses and Insect Vectors, Department of Virology, Institut Pasteur, 75724 Paris, France;  (A.-B.F.)
7232509	Renke_L&#xFC;hken	Faculty of Mathematics, Informatics and Natural Sciences, Universi&#xE4;t Hamburg, 20148 Hamburg, Germany;  (E.S.)
7232509	Jolyon_Medlock	Health Protection Research Unit in Emerging and Zoonotic Infection, Public Health England, Porton Down, Salisbury SP4 0JG, UK; 
7232509	Benjamin_Cull	Medical Entomology &amp; Zoonoses Ecology, Emergency Response Department Science &amp; Technology, Public Health England, Porton Down, Salisbury SP4 0JG, UK;  or 
7232509	Jenny C._Hesson	Department of Medical Biochemistry and Microbiology/Zoonosis Science Center, Uppsala University, 75237 Uppsala, Sweden; 
7232509	Fabrizio_Montarsi	Laboratory of Parasitology, Istituto Zooprofilattico Sperimentale delle Venezie, 35020 Legnaro (Padua), Italy; 
7232509	Anna-Bella_Failloux	Arboviruses and Insect Vectors, Department of Virology, Institut Pasteur, 75724 Paris, France;  (A.-B.F.)
7232509	Alain_Kohl	MRC-University of Glasgow Centre for Virus Research, Glasgow G61 1QH, UK; 
7232509	Esther_Schnettler	Faculty of Mathematics, Informatics and Natural Sciences, Universi&#xE4;t Hamburg, 20148 Hamburg, Germany;  (E.S.)
7232509	Mawlouth_Diallo	Pole de Zoologie M&#xE9;dicale, Institut Pasteur de Dakar, Dakar BP 220, Senegal;  (M.D.)
7232509	Sassan_Asgari	Australian Infectious Diseases Research Centre, School of Biological Sciences, The University of Queensland, Brisbane, QLD 4072, Australia;  (S.A.)
7232509	Isabelle_Dietrich	The Pirbright Institute, Pirbright GU24 0NF, UK
7232509	Stefanie C._Becker	Institute for Parasitology, University of Veterinary Medicine Hannover, 30559 Hannover, Germany; 
7150836	Jana_Dobelmann	School of Biological Sciences, Victoria University of Wellington, Wellington 6012, New Zealand;  (P.J.L.)
7150836	Antoine_Felden	School of Biological Sciences, Victoria University of Wellington, Wellington 6012, New Zealand;  (P.J.L.)
7150836	Philip J._Lester	School of Biological Sciences, Victoria University of Wellington, Wellington 6012, New Zealand;  (P.J.L.)
6955951	Anamika_Sharma	Montana State University, Western Triangle Agricultural Research Center, 9546 Old Shelby Rd, P.O. Box 656, Conrad, MT 59425, USA;  (R.K.S.)
6955951	Ramandeep Kaur_Sandhi	Montana State University, Western Triangle Agricultural Research Center, 9546 Old Shelby Rd, P.O. Box 656, Conrad, MT 59425, USA;  (R.K.S.)
6955951	Gadi V. P._Reddy	USDA-ARS, Southern Insect Management Research Unit, 141 Experiment Station Road, P.O. Box 346, Stoneville, MS 38776, USA
6805011	Eugene V._Ryabov	Bee Research Laboratory, Beltsville Agricultural Research Center, Agricultural Research Service, USDA, Beltsville, Maryland, United States of America
